	CMCP6_HS1	CMCP6_HS2	CMCP6_YJ016ref_ASW1	CMCP6_YJ016ref_ASW2
VV1_RS07875	823	505	909	569
VV1_RS07880	288	261	388	279
VV1_RS07885	50	62	110	74
VV1_RS07895	498	243	801	351
VV1_RS07900	260	128	173	115
VV1_RS07905	66	62	484	201
VV1_RS07910	112	118	239	148
VV1_RS07915	1165	1708	1835	1415
VV1_RS07920	1900	5536	1105	1485
VV1_RS07930	2058	2124	981	1226
VV1_RS07935	1014	1237	561	522
VV1_RS07945	1168	3264	2820	1615
VV1_RS07950	2089	7198	8640	7156
VV1_RS07955	752	3139	689	471
VV1_RS07960	4113	3208	716	563
VV1_RS07970	3674	2967	756	1429
HFLB	29756	35712	24999	25258
FOLP	233	1021	607	548
VV1_RS08070	293	248	306	374
VV1_RS08090	25022	24894	4540	3925
VV1_RS08095	9115	1591	1359	3380
VV1_RS08110	460	132	2162	1328
VV1_RS08115	659	102	34	22
VV1_RS08120	2339	1677	1748	1617
VV1_RS08145	1030	2164	42991	29818
VV1_RS08150	886	4247	2103	1753
VV1_RS08160	1431	5513	2528	1270
VV1_RS08165	4933	28184	3868	3142
VV1_RS08170	2559	13207	12726	8888
VV1_RS08180	1769	4542	4228	3265
VV1_RS08190	1464	1642	391	438
VV1_RS08200	3402	9025	11010	8486
VV1_RS08205	2885	1124	1054	890
VV1_RS08210	1020	6769	4024	3353
VV1_RS08215	376	2997	1831	2036
VV1_RS08220	345	1160	1379	1078
VV1_RS08240	1018	727	56454	66486
VV1_RS08245	564	366	12408	10008
VV1_RS08270	29	38	1321	1370
VV1_RS08275	223	150	4126	4436
VV1_RS08285	58	174	2168	2054
VV1_RS08300	423	490	9148	8556
VV1_RS08305	191	219	4506	3440
VV1_RS08310	226	221	3346	2478
VV1_RS08315	76	301	1947	1685
VV1_RS08320	1004	669	15667	8066
VV1_RS08325	212	897	298	222
VV1_RS08330	563	954	724	559
VV1_RS08335	164	317	1674	1618
VV1_RS08345	32	293	54	34
VV1_RS08350	78	1860	297	151
VV1_RS08375	106	1987	219	175
VV1_RS08380	510	3678	665	447
VV1_RS08385	162	789	183	176
VV1_RS08395	1342	2064	15251	16252
VV1_RS08400	970	2201	1150	817
VV1_RS08425	5988	2028	542	863
VV1_RS08430	31679	12340	4259	5197
VV1_RS08435	1972	1188	571	913
VV1_RS08445	4431	6017	1462	1757
VV1_RS08455	1309	40382	2027	626
VV1_RS08460	10926	6539	288	209
VV1_RS08470	153	141	117	60
VV1_RS08475	617	1800	83	91
VV1_RS08480	1410	810	501	412
VV1_RS08505	5976	569	891	888
VV1_RS08520	562	197	359	201
VV1_RS08575	4853	9768	73707	59023
VV1_RS08580	314	552	2489	2956
VV1_RS08595	1424	1901	1055	1009
VV1_RS08605	8184	22558	1975	1310
VV1_RS08610	2770	9114	798	585
VV1_RS08615	1081	3302	402	164
VV1_RS08620	3277	5216	865	337
VV1_RS08630	4963	11492	1696	1031
VV1_RS08635	849	361	238	190
VV1_RS08645	1530	1233	5183	8268
VV1_RS08650	1146	848	3437	2121
VV1_RS08655	5134	2199	899	962
VV1_RS08660	1984	906	715	527
VV1_RS08665	154	223	1435	709
VV1_RS08670	370	735	13509	15258
VV1_RS08685	40858	28187	473	523
VV1_RS08690	4408	2291	712	343
VV1_RS08695	956	246	161	153
VV1_RS08705	39	131	97	71
VV1_RS08760	361	10651	182	183
VV1_RS08770	169	428	256	176
VV1_RS08780	13505	4814	1744	2623
VV1_RS08785	1834	2112	450	292
VV1_RS08810	1436	3218	736	582
VV1_RS08815	121	453	210	196
VV1_RS08820	498	282	204	119
VV1_RS08825	16501	10079	3519	4987
VV1_RS08830	7590	8450	2834	2739
VV1_RS08850	1459	1547	553	552
VV1_RS08870	3585	6365	1084	755
VV1_RS08875	4998	1885	291	293
VV1_RS08890	473	536	623	626
VV1_RS08895	1298	1017	709	382
VV1_RS08900	271	373	250	180
VV1_RS08905	3402	1029	1163	1035
VV1_RS08910	2166	3149	1635	1486
VV1_RS08920	1871	1412	1100	604
VV1_RS08925	2822	2206	3117	4120
VV1_RS08930	1104	897	1050	1368
VV1_RS08935	1586	2056	3520	4305
VV1_RS08940	108	231	1021	804
