	K12_batch1	K12_batch2	K12_starvation1	K12_starvation2
menE	345	585	14	6
menC	446	790	17	22
menB	929	1513	22	33
yfbB	329	425	8	6
menD	286	426	21	27
menF	517	677	26	15
elaC	330	453	4	4
nuoN	1201	2153	60	103
nuoM	1414	2265	29	34
nuoL	2740	4413	107	148
nuoH	2528	3724	78	76
nuoG	8174	12737	260	303
nuoF	3729	5934	101	155
nuoC	4949	7006	188	225
nuoB	2357	3295	209	190
lrhA	1112	1785	547	677
yfbQ	775	1179	18	27
yfbS	195	310	62	57
yfbT	1631	2375	164	161
ackA	1766	2341	603	578
pta	2411	3531	189	154
yfcF	167	182	14	12
yfcG	40	63	98	104
yfcH	844	1249	445	515
hisP	924	1298	6	11
hisM	717	908	13	9
hisQ	1325	1746	37	35
hisJ	7200	9659	218	207
purF	3840	5623	22	23
dedD	623	1007	106	125
folC	1465	2166	124	154
accD	5926	8958	126	140
truA	835	1161	86	90
usg	935	1442	23	16
pdxB	1552	2525	28	38
flk	440	614	4	4
yfcJ	101	155	2	1
fabB	3667	5649	235	238
trmC	468	662	15	11
yfcA	525	654	8	5
mepA	483	845	7	7
aroC	2456	3529	30	27
prmB	1828	2611	22	16
yfcY	140	190	399	442
fadL	904	1022	465	468
vacJ	1738	2647	153	205
yfdC	62	95	88	105
dsdA	229	277	15	19
emrY	30	22	2	3
emrK	33	44	22	51
evgA	1016	1464	5	13
yfdE	21	45	77	81
yfdV	12	18	1	4
oxc	34	45	0	0
frc	37	50	0	1
yfdX	21	36	1	6
ddg	117	102	4	4
yfdZ	633	1057	56	70
ypdA	323	420	70	61
ypdB	335	509	83	74
ypdC	76	96	19	21
ypdD	61	85	2	3
ypdE	21	32	0	1
ypdF	17	26	0	3
ypdG	11	15	2	1
glk	930	1358	117	124
yfeO	115	157	49	52
mntH	789	1013	1177	1249
nupC	870	1286	23	24
yfeA	674	868	19	21
gltX	7044	9991	66	79
yfeR	121	171	16	12
yfeH	430	627	38	50
ligA	1112	1669	83	79
zipA	3636	5251	320	419
cysZ	264	361	35	35
cysK	29380	42910	195	252
ptsI	36131	51724	2259	2489
pdxK	732	1140	25	32
cysM	3830	5320	22	28
cysA	2449	3554	35	34
cysW	1307	1880	10	13
cysU	1241	1759	7	17
cysP	2583	4032	18	27
ucpA	815	1085	1814	1651
yfeT	72	148	10	7
yfeU	47	85	32	34
murP	78	104	36	30
murQ	80	121	25	26
yfeX	1556	2243	47	59
amiA	785	1195	48	47
hemF	231	373	4	16
yfeG	91	148	4	8
eutL	118	156	9	7
eutC	127	206	8	10
eutB	628	937	47	52
eutA	8	11	0	3
eutH	14	26	7	12
eutG	11	25	2	0
eutJ	7	8	3	0
eutE	21	22	2	2
eutI	23	28	4	3
eutT	7	17	2	3
eutQ	8	20	1	9
maeB	5605	7960	604	632
talA	940	1345	331	384
tktB	1495	2276	607	699
ypfG	186	234	16	25
aegA	76	142	6	8
narQ	197	274	25	21
acrD	124	224	8	18
dapE	1015	1382	176	235
ypfH	291	435	105	91
ypfJ	1029	1399	701	735
purC	4750	7522	22	35
nlpB	4616	7212	106	129
dapA	7035	10061	128	149
hyfA	0	1	1	0
hyfC	11	13	0	1
hyfD	11	17	3	3
hyfE	10	15	0	1
hyfG	32	48	7	7
hyfI	14	19	1	4
perM	326	435	7	17
yfgC	1526	2035	53	70
hda	996	1422	4	5
uraA	3279	5099	9	14
upp	6661	8778	13	14
purM	2878	4784	31	26
purN	1100	1589	6	9
ppk	1347	1624	105	92
ppx	1097	1541	23	32
yfgF	73	102	7	13
guaA	8514	13991	39	51
guaB	6107	9202	20	16
xseA	813	1013	5	7
der	2589	3569	92	101
yfgL	3439	5264	135	182
yfgM	2204	3269	38	40
hisS	5345	7466	99	104
ispG	2395	3341	367	432
yfgA	1612	2076	400	387
yfgB	1398	1857	43	51
pbpC	83	143	6	5
sseA	578	766	472	459
sseB	749	1197	17	13
pepB	1816	2678	56	61
hscA	2551	3988	36	46
iscS	5579	7794	415	470
yfhQ	968	1575	57	75
suhB	2136	2840	17	18
yfhR	26	37	4	6
hcaT	106	141	65	72
hcaR	474	633	74	82
hcaE	123	186	13	9
hcaB	23	62	3	0
yphB	74	97	11	5
yphC	58	92	3	5
yphD	21	34	6	4
yphE	25	35	8	12
yphF	18	37	11	16
yphH	328	464	28	24
glyA	26485	39053	112	139
hmp	498	925	69	78
yfhA	544	787	5	11
yfhG	295	377	8	10
yfhK	491	659	61	70
yfhD	322	449	6	11
yfhB	328	526	37	41
yfhH	180	269	10	2
pdxJ	1428	2170	33	41
recO	617	917	36	31
era	1913	2607	236	258
rnc	1574	2080	194	286
lepB	1979	2825	101	128
lepA	4172	6390	83	119
rseB	1354	1878	73	81
rseA	3763	5640	1433	1391
yfiC	287	427	4	3
srmB	616	837	16	14
yfiE	147	257	17	21
