	K12_batch1	K12_batch2	K12_starvation1	K12_starvation2
gadA	312	492	86	98
yhjA	79	99	10	12
treF	241	341	174	175
yhjB	77	118	10	14
yhjC	146	221	8	7
yhjD	153	238	267	245
yhjE	3702	5614	33	41
yhjG	1603	2188	186	209
yhjH	3962	5340	36	49
kdgK	683	1032	24	21
yhjJ	724	1023	10	21
dctA	317	415	270	321
yhjK	460	618	39	31
bcsC	352	481	79	83
bcsZ	53	66	0	1
bcsB	66	93	3	2
bcsA	73	109	2	3
bcsE	1039	1347	57	66
bcsG	261	341	13	12
yhjV	307	401	2	8
dppF	1111	1765	20	13
dppD	1028	1491	18	21
dppC	825	1349	25	27
dppB	944	1440	21	27
dppA	12379	16311	628	789
eptB	233	296	3	14
yhjX	25	27	6	8
yhjY	261	363	190	175
yiaD	264	375	4	7
tiaE	1607	2251	17	19
yiaF	2806	4111	215	264
glyS	8261	12842	128	120
glyQ	4284	6655	67	75
yiaH	108	126	8	10
xylB	227	298	110	115
xylA	162	201	130	156
xylF	23	29	14	19
xylG	101	153	10	19
xylH	71	73	27	23
xylR	211	307	12	13
bax	2949	3801	197	201
avtA	1581	1919	49	46
yiaJ	306	484	17	8
yiaK	9	13	7	6
yiaN	11	5	0	2
yiaO	4	8	0	0
sgbH	10	12	1	2
sgbU	25	17	1	1
sgbE	13	28	2	3
yiaT	54	47	46	42
yiaU	87	138	27	28
yiaV	32	40	11	12
aldB	47	69	979	1074
yiaY	7	15	2	3
selB	1567	2378	17	19
selA	642	917	8	18
yibF	178	253	16	33
yibH	54	69	52	44
mtlA	1041	1786	1429	1479
mtlD	921	1294	526	640
lldP	148	186	49	51
lldR	120	168	14	23
lldD	161	274	7	19
cysE	784	953	118	98
gpsA	1857	2752	133	192
gpmI	4611	6532	84	103
envC	1075	1601	10	9
yibQ	316	455	2	2
yibD	37	35	1	0
tdh	404	540	123	164
kbl	369	646	157	207
waaD	2520	3405	105	108
waaF	1482	2109	22	31
kdtA	406	624	21	19
mutM	296	399	8	9
yicR	940	1327	79	62
dfp	754	816	11	7
pyrE	132	185	8	7
yicC	1685	2311	30	36
yicG	32	32	1	2
ligB	71	124	12	9
gmk	2644	3414	185	246
spoT	2913	4275	44	40
trmH	484	631	0	4
gltS	182	288	87	113
yicE	949	1271	22	14
yicH	1016	1426	273	271
yicI	101	177	11	10
yicJ	40	41	4	8
setC	11	15	0	3
yicL	500	605	32	27
nlpA	3002	4060	49	51
yicM	114	170	3	2
uhpT	895	1796	820	1111
uhpC	94	140	2	1
uhpB	166	311	2	4
ilvB	3058	4252	46	58
emrD	6	9	5	4
yidJ	33	39	1	3
yidK	13	18	4	0
yidL	49	62	9	9
yidP	14	30	0	2
yidE	543	759	116	125
yidR	326	431	11	15
cbrA	16	28	2	2
dgoT	25	35	3	9
dgoD	31	52	17	28
dgoA	18	25	6	8
dgoR	184	301	57	55
yidX	163	248	19	21
yidA	580	761	12	7
gyrB	4943	7133	193	231
recF	643	832	2	7
dnaN	1302	1826	43	50
dnaA	2022	2946	47	67
yidC	5730	8032	58	71
trmE	646	904	14	17
tnaA	82	91	25	30
tnaB	27	25	10	7
mdtL	27	44	2	4
yidZ	193	216	33	29
yieE	186	266	10	9
yieH	211	251	5	7
yieK	40	95	6	12
yieL	24	37	1	4
bglH	20	35	4	1
bglB	23	52	2	0
bglG	15	15	0	0
phoU	696	1106	12	15
pstB	898	1037	16	12
pstA	219	341	11	6
pstC	336	489	21	15
pstS	1027	1300	25	16
glmS	9530	15498	519	528
glmU	6436	9892	376	393
atpD	17790	27349	264	297
atpG	14162	18495	109	159
atpA	31168	47074	288	360
atpB	16653	21903	148	155
gidB	425	570	11	9
gidA	2031	2883	25	33
asnA	608	907	21	22
yieM	309	414	13	13
ravA	260	378	42	58
trkD	651	833	35	26
rbsA	593	904	91	120
rbsC	412	610	69	92
rbsB	2861	3898	258	383
rbsK	784	1030	25	41
rbsR	199	247	7	5
hsrA	182	237	9	8
yieP	700	1002	40	43
hdfR	502	708	20	27
yifB	210	277	5	3
ilvE	2340	3412	17	13
ilvD	2200	3304	43	25
ilvA	1039	1654	22	32
ilvY	156	217	39	47
ilvC	50213	75232	195	233
rep	856	1155	14	11
gpp	979	1160	36	36
rhlB	2842	3538	152	182
rho	3366	3879	106	136
rfe	1540	2236	38	40
wzzE	958	1465	18	10
rffE	1020	1543	10	4
rffD	1004	1412	12	8
rffG	735	1026	9	9
rffH	414	574	11	16
rffC	295	406	1	2
rffA	566	790	20	23
wzxE	469	694	21	27
rffT	306	446	13	9
wzyE	265	347	14	13
rffM	397	527	12	18
yifK	1410	2055	169	209
hemY	1329	1975	43	59
hemX	1606	2255	66	77
hemD	626	708	28	27
hemC	577	826	138	130
cyaA	4550	5944	282	290
dapF	1111	1696	25	26
yigA	680	1012	4	5
xerC	1069	1450	3	5
yigB	593	794	9	7
uvrD	838	1244	27	26
yigE	47	72	1	1
corA	960	1391	47	39
rarD	158	201	4	5
pldA	995	1425	20	13
recQ	666	977	3	7
rhtC	403	580	7	4
rhtB	287	397	6	5
pldB	779	1103	30	32
yigL	454	633	7	8
yigM	124	150	2	2
metR	344	510	7	14
ysgA	726	1071	62	58
udp	806	1280	71	101
rmuC	328	429	57	49
ubiE	1497	2070	41	51
yigP	341	538	19	22
ubiB	1246	1776	34	37
tatC	853	1264	6	11
tatD	278	417	8	6
ubiD	1945	2855	233	280
fre	1350	2032	166	211
fadA	108	157	251	258
fadB	220	275	772	844
pepQ	3657	5104	158	147
yigZ	405	628	24	28
trkH	706	982	51	63
yihE	1533	2007	17	16
dsbA	3608	5027	71	50
yihG	127	171	0	0
polA	3180	4311	266	269
hemN	976	1399	39	34
glnG	635	968	61	60
glnL	538	737	40	40
glnA	6752	8620	40	51
bipA	13873	21448	119	136
yihL	108	156	2	4
yihM	152	194	2	6
yihN	47	68	2	1
ompL	13	9	0	0
yihO	32	32	2	8
yihP	28	43	2	4
yihQ	28	26	1	5
yihS	64	92	5	13
yihT	30	44	2	5
yihU	16	12	2	1
yihV	47	58	22	23
yihW	291	398	34	36
rbn	412	578	64	65
yiiD	1211	1762	36	38
fdhE	338	500	31	47
fdoI	135	154	66	106
fdoH	135	212	153	185
fdoG	1626	2231	1232	1487
fdhD	325	539	91	80
frvB	15	29	3	1
rhaD	13	27	0	2
rhaA	14	28	2	1
rhaS	29	41	30	23
rhaR	37	49	7	13
sodA	32206	37809	336	345
kdgT	95	121	14	20
yiiM	402	523	90	99
cpxA	1537	2257	51	39
cpxR	1681	2433	44	47
fieF	1321	1750	78	84
pfkA	4770	7143	479	516
sbp	1225	1595	8	16
cdh	232	327	2	1
tpiA	8947	13466	123	139
fpr	1012	1357	29	27
glpX	604	868	161	176
glpK	10067	14086	8580	9119
glpF	2347	2677	6492	6722
menA	477	668	6	4
hslU	3096	4503	234	233
ftsN	766	1072	67	59
cytR	693	859	17	18
yiiX	235	351	5	6
metB	1863	2135	20	13
metL	1833	2988	34	50
metF	5735	8489	37	43
katG	4861	7665	315	358
yijE	90	117	6	4
yijF	12	19	0	0
gldA	103	191	43	43
fsaB	33	44	10	6
ptsA	25	42	15	20
frwC	12	17	11	2
pflD	74	126	15	9
pflC	24	53	4	0
yijO	60	53	1	3
yijP	1020	1237	24	38
ppc	9389	13235	104	113
argE	2380	3492	60	81
argC	3400	4794	27	23
argB	2756	4113	17	19
argH	4691	7738	49	53
oxyR	1280	1887	41	39
sthA	1071	1366	125	138
fabR	1629	2173	63	66
trmA	813	1097	148	174
btuB	2290	3049	55	39
murI	230	362	10	9
murB	2073	2802	19	34
birA	766	1033	24	20
coaA	1132	1500	9	18
tufB	149249	226426	1930	2154
rplA	26843	40361	327	367
rpoB	36343	53371	757	862
rpoC	36523	59020	875	1011
thiH	3028	4179	20	22
thiG	1439	2048	6	19
thiF	1557	2284	13	18
thiE	1332	2005	18	18
thiC	5570	7354	65	54
nudC	547	767	54	44
hemE	726	1051	29	26
nfi	279	461	3	2
yjaH	438	581	7	7
zraR	240	364	45	29
purD	1663	2648	18	15
purH	1839	2800	14	18
metA	3174	4665	55	71
aceA	14563	22214	1230	1198
aceK	2420	3354	575	632
iclR	973	1201	41	23
metH	7792	10602	171	192
yjbB	318	489	70	65
pepE	84	157	12	13
yjbC	644	854	24	23
lysC	5476	7951	22	30
pgi	10170	14411	213	254
yjbF	8	12	0	0
yjbG	8	11	1	0
yjbH	57	74	13	6
xylE	73	106	13	28
malG	41	58	37	50
malF	122	143	14	16
malE	1274	1617	140	131
malK	243	271	30	18
malM	159	186	55	75
ubiA	550	769	181	176
plsB	2437	3502	150	169
lexA	1183	1737	514	560
dinF	122	180	6	10
yjbM	7	18	2	2
yjbN	678	938	7	10
qor	757	1110	270	382
dnaB	1450	2046	14	13
alr	544	811	4	11
tyrB	3219	4768	37	49
aphA	148	207	8	17
uvrA	852	1169	80	97
yjcC	131	166	182	201
yjcE	573	866	22	45
actP	134	193	250	318
acs	899	1224	2796	3309
nrfA	60	99	4	3
nrfC	7	6	0	2
nrfD	9	10	0	0
gltP	854	1338	12	15
yjcO	357	440	31	41
fdhF	241	386	37	22
yjcQ	38	35	5	5
yjcR	13	20	2	3
phnL	20	22	9	9
phnK	6	19	5	2
phnJ	2	1	0	0
phnI	1	3	0	0
phnF	3	5	0	0
phnD	3	10	0	1
phnC	0	6	0	0
yjcZ	1487	2231	47	48
proP	3017	4384	58	77
basS	169	198	28	32
basR	99	165	65	88
eptA	63	103	61	51
adiC	13	23	8	8
adiY	12	17	4	8
adiA	50	51	5	4
melR	85	129	160	154
melA	55	92	116	105
melB	86	113	47	48
yjdF	174	235	8	7
fumB	80	110	24	26
dcuB	21	30	14	12
dcuR	308	443	12	19
dcuS	584	729	25	32
lysU	879	1218	23	29
yjdL	95	136	6	3
cadA	95	95	4	3
cadB	3	11	1	2
cadC	50	89	23	14
dipZ	588	798	7	5
dcuA	1836	2532	492	523
aspA	977	1374	5076	5050
yjeH	267	423	12	18
groL	40410	61987	807	877
yjeJ	351	466	7	6
yjeK	671	879	20	17
frdB	166	262	331	376
frdA	441	797	1145	1249
poxA	254	385	26	28
yjeP	575	868	12	13
psd	874	1221	20	21
rsgA	1725	2285	35	42
yjeS	330	438	82	65
yjeF	413	561	112	121
amiB	714	1096	33	40
mutL	954	1293	33	47
miaA	5985	8590	620	633
hflX	5662	7978	216	232
hflK	5095	7364	144	137
hflC	4236	6143	111	123
purA	9093	13210	401	435
rnr	3533	5435	828	945
rlmB	425	706	50	55
yjfJ	14	17	2	3
yjfK	6	13	1	0
yjfC	23	42	2	3
aidB	177	262	275	304
yjfP	187	261	29	28
ulaR	369	488	25	34
ulaG	63	106	18	28
ulaA	20	20	5	11
ulaD	47	86	4	8
ulaE	51	84	12	6
ulaF	44	52	5	7
ytfB	783	1017	189	201
fklB	613	715	38	31
cycA	1383	2226	656	724
ytfE	56	84	11	10
ytfF	42	72	3	9
ytfG	106	135	12	6
cpdB	1021	1367	56	54
cysQ	703	1101	1412	1342
ytfL	166	259	33	27
msrA	274	352	60	37
ytfM	861	1295	19	37
ytfQ	113	142	1168	1185
ytfT	16	36	115	165
yjfF	41	55	131	200
fbp	832	1130	128	122
mpl	1903	2772	35	36
pmbA	1357	1943	136	124
nrdD	247	376	972	1261
treC	54	91	5	3
treB	56	98	10	13
treR	165	214	17	13
mgtA	5191	6762	82	97
pyrB	9665	13557	35	44
yjgI	40	39	0	4
argI	3997	6088	41	49
valS	8826	13520	229	261
pepA	4109	6436	297	302
yjgP	1340	1925	194	224
yjgQ	817	1234	143	159
yjgB	135	203	115	123
yjhT	168	241	83	88
yjhA	26	45	13	12
fimB	676	861	1	1
fimC	366	472	3	4
fimH	135	176	11	13
gntP	56	90	27	32
uxuA	159	290	64	53
uxuB	186	310	26	30
uxuR	396	622	129	133
yjiE	217	287	8	13
iadA	629	910	37	51
yjiH	23	28	0	0
yjiK	67	81	6	4
hgdC	7	20	2	7
yjiM	40	43	22	28
yjiN	98	140	45	44
yjiY	70	71	8	19
tsr	16027	23175	171	179
mdoB	1527	2089	84	120
dnaC	207	309	20	21
yjjP	39	52	1	6
yjjQ	4	5	1	1
bglJ	196	252	12	10
rsmC	530	743	10	19
yjjG	189	326	36	41
prfC	2587	3758	22	19
osmY	1804	2477	732	757
yjjU	543	849	23	38
yjjW	27	62	1	3
yjjI	67	87	72	72
deoC	240	384	131	157
deoA	326	520	139	185
deoB	1045	1561	335	372
deoD	2084	2904	145	202
ytjB	264	351	13	19
serB	870	1260	8	14
radA	1140	1690	21	19
nadR	1097	1553	276	307
slt	868	1336	98	100
ytjC	575	863	28	43
rob	1125	1544	624	659
creB	569	837	20	18
creC	276	384	9	2
arcA	4094	5336	4573	4272
yjtD	240	290	23	19
