	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2
ydaM	505	294	52	64
ydaN	724	405	152	175
dbpA	250	137	6	5
ydaO	1208	657	45	55
ompN	1771	1006	23	32
ldhA	971	654	112	116
feaR	2231	786	60	77
feaB	537	252	96	87
maoC	40	15	2	3
paaA	81	25	2	2
paaC	46	18	1	3
paaJ	54	26	1	3
paaF	24	18	2	0
paaG	47	25	0	0
paaH	95	31	2	2
paaE	1261	487	116	109
paaK	1338	525	65	81
paaX	873	384	115	101
ydbC	602	222	199	199
azoR	350	236	9	7
hrpA	2071	1177	142	156
ydcF	609	425	27	20
aldA	104345	37604	6400	6611
trg	14309	5394	178	165
ydcI	4475	2033	216	275
ydcJ	507	213	364	347
mdoD	2552	1219	42	54
ydcK	277	167	206	253
tehA	352	187	12	29
ydcL	2204	1259	796	861
ydcO	113	61	9	3
ydcP	1400	801	24	24
ydcR	567	361	13	18
ydcS	1170	341	1206	1326
ydcT	286	97	172	209
ydcU	127	61	48	58
ydcV	552	238	29	47
ydcW	2121	1069	111	128
yncB	973	493	94	97
yncC	223	122	28	33
yncD	462	266	10	13
yncE	6248	3315	134	139
ansP	168	109	11	11
yncG	107	52	38	36
nhoA	248	161	22	16
narV	58	31	9	4
narW	45	32	5	2
narY	127	69	9	9
narZ	184	112	18	24
narU	55	33	8	6
yddG	198	110	3	3
fdnG	223	142	59	67
fdnH	78	45	8	12
fdnI	53	35	16	17
adhP	1327	638	119	114
sfcA	4925	2638	52	65
ddpD	98	34	5	2
ddpC	101	38	3	4
ddpB	54	26	1	1
ddpA	223	82	13	20
dos	359	222	95	88
yddV	543	317	465	427
yddW	303	186	9	8
gadC	349	154	48	70
gadB	399	223	89	104
ydeM	73	29	1	1
ydeN	777	418	18	21
ydeO	14	10	2	3
ydeP	199	136	5	6
ydeQ	29	16	2	0
lsrK	404	161	89	113
lsrR	742	293	116	87
lsrC	95	34	52	70
lsrD	100	41	57	31
lsrB	377	147	64	58
lsrF	443	177	54	86
tam	333	166	93	88
yneE	155	108	25	24
uxaB	321	173	48	31
yneF	91	58	6	12
yneH	403	214	4	4
yneI	663	433	10	11
ydeA	126	92	3	12
marC	277	150	70	62
eamA	1234	670	50	33
ydeE	188	147	12	16
ydeH	441	211	43	41
dcp	4252	2282	40	54
ydfG	3189	1708	107	126
ydfH	536	374	12	6
ydfT	174	95	9	8
ydfU	16	11	3	2
rspB	172	71	12	8
rspA	241	89	5	3
ynfC	681	393	58	51
ynfF	162	119	10	9
ynfG	25	26	1	4
ynfH	208	121	6	14
dmsD	275	150	5	5
clcB	50	28	4	1
ynfK	358	180	122	115
dgsA	3096	1449	36	44
ynfL	120	55	19	17
ynfM	189	119	6	11
ydgD	587	351	684	685
ydgG	173	109	30	29
pntB	15536	9038	485	541
pntA	24866	14452	449	474
ydgH	4370	2395	67	81
ydgI	158	82	10	12
folM	305	170	21	15
rstA	1113	641	15	12
rstB	1227	655	14	22
tus	437	221	64	52
fumC	6701	3115	455	417
fumA	14668	6249	1173	1343
manA	1478	878	55	49
ydgA	5509	3174	2038	2189
uidC	62	39	7	6
uidB	88	32	3	3
uidA	409	170	25	34
hdhA	1931	1123	139	166
malI	179	91	163	369
malX	367	214	13	18
malY	502	261	12	12
add	425	240	27	14
ydgJ	2131	1139	80	75
rsxD	306	172	0	1
rsxG	232	130	3	2
rsxE	120	70	2	4
nth	142	69	0	2
ydgR	284	189	17	18
gst	1056	632	179	169
pdxY	625	337	16	15
tyrS	4906	2694	74	92
pdxH	1032	571	8	10
anmK	807	422	49	51
ydhJ	89	47	5	2
ydhF	1000	431	207	223
nemA	314	213	20	14
rnt	179	118	6	1
ydhO	427	224	11	17
ydhP	139	97	4	8
purR	2569	1483	22	30
ydhB	216	134	14	26
ydhC	107	62	8	7
cfa	2088	1357	212	213
ribC	1911	1158	42	45
mdtK	567	354	89	117
ydhQ	2017	1253	261	273
ydhS	462	251	276	268
ydhT	74	39	17	18
ydhU	99	45	13	9
ydhX	82	30	0	2
ydhV	101	40	8	7
ydhY	15	5	0	0
pykF	5406	3539	491	487
ynhG	1060	688	4124	3953
sufS	759	366	224	206
sufC	492	231	149	185
sufB	1443	688	687	649
ydiK	533	293	86	94
ydiM	22	15	2	2
ydiN	11	3	1	1
ydiB	96	63	2	4
aroD	455	272	9	10
ydiF	38	25	0	1
ydiO	45	23	0	1
ydiP	117	80	12	11
ydiQ	21	22	1	2
ydiR	50	36	11	4
ydiS	46	22	2	2
ydiD	135	83	5	6
pps	14977	7554	724	778
ydiA	314	195	19	12
aroH	455	328	9	13
ydiV	133	88	4	8
btuD	569	322	14	19
btuC	336	152	18	12
pheT	13102	7257	1820	2195
pheS	4018	2181	27	26
thrS	28963	15381	1108	1119
ydiY	175	96	4	6
pfkB	97	49	61	69
yniA	1418	628	1984	2273
yniC	171	108	7	8
ydjN	4261	2642	68	66
katE	2188	1240	41	47
chbF	287	158	7	8
chbR	212	136	13	20
chbC	188	93	12	11
nadE	2712	1537	40	42
ydjQ	301	134	7	4
astE	101	39	318	384
astB	161	57	518	664
astA	230	89	850	964
astC	470	145	1880	1870
xthA	1007	518	33	25
ydjX	141	61	9	11
ydjZ	103	55	11	13
ynjE	615	315	8	8
ynjF	110	49	8	8
gdhA	17165	10716	108	91
topB	1873	921	26	33
selD	3343	1639	168	167
sppA	1569	931	40	56
ansA	397	258	6	7
pncA	483	318	29	29
ydjE	68	39	9	8
ydjF	733	338	48	49
ydjG	156	107	4	5
ydjH	115	55	0	0
ydjI	149	70	0	2
ydjJ	115	42	0	1
ydjK	91	40	1	1
ydjL	118	58	3	1
gapA	43454	29979	606	639
yeaD	756	568	11	10
yeaE	521	284	35	30
mipA	2537	1727	82	91
yeaG	3066	1631	11374	11387
yeaH	632	347	3527	3576
yeaI	28	19	22	21
yeaJ	260	156	7	11
yeaM	157	118	16	20
yeaN	88	58	7	7
yeaP	1201	665	11	15
yeaS	118	46	9	7
yeaT	781	307	65	44
yeaU	167	79	21	19
yeaV	54	23	3	1
yeaW	53	39	1	2
yeaX	153	56	2	4
rnd	596	340	19	21
fadD	3679	1349	7334	8341
yeaZ	722	378	6	13
yoaA	667	358	6	6
sdaA	370	224	1052	1073
adrB	163	88	14	15
yoaE	703	414	21	23
manX	35423	17055	236	262
manY	22491	11391	148	193
rrmA	377	205	9	3
kdgR	3175	1539	454	429
yebQ	54	36	7	5
htpX	5139	3017	2015	1915
prc	7638	4207	116	112
yebS	293	176	28	27
yebT	840	488	31	47
yebU	234	122	4	6
pphA	121	72	41	56
yebZ	489	324	13	9
yobB	198	98	60	61
exoX	382	188	22	14
ptrB	600	369	133	135
yebE	547	264	110	124
purT	1382	777	12	11
eda	1182	665	44	32
edd	1075	559	19	25
zwf	5514	3029	110	107
yebK	1795	866	79	75
pykA	6154	3080	241	230
lpxM	649	393	24	19
yebA	4685	2558	59	70
znuA	18056	10266	77	88
znuC	742	489	17	12
znuB	599	334	21	22
ruvB	727	475	27	43
ruvA	697	392	34	37
yebB	34	20	2	3
yebC	4041	2194	53	64
aspS	5252	2954	106	130
yecE	242	189	9	16
yecO	345	216	10	12
yecP	437	285	10	16
torY	64	29	2	5
cutC	554	320	48	144
argS	2788	1581	72	81
flhA	2520	1409	25	23
flhB	1734	905	11	11
cheZ	8795	4788	57	68
cheB	7627	3938	42	44
cheR	4685	2568	34	40
tap	25606	12919	176	192
tar	40805	20355	276	290
cheA	29123	15549	171	210
motB	7610	4372	51	63
motA	11602	6062	83	96
otsA	1900	1080	345	392
otsB	1109	604	240	259
araH	336	178	218	221
araG	523	252	253	297
araF	975	409	336	333
tyrP	346	231	27	35
yecA	1731	1001	119	114
uvrC	1624	935	41	33
uvrY	1906	1065	45	55
sdiA	465	242	72	84
yecC	941	504	21	48
yecS	627	343	23	32
yedO	1928	1023	134	119
fliY	24543	11643	1354	1437
fliA	23220	11884	130	145
fliD	11105	6205	66	76
amyA	3578	1977	157	174
yedE	3569	1578	38	43
fliF	6236	3311	33	41
fliG	4752	2602	38	31
fliH	2550	1431	17	22
fliI	2029	1070	8	14
fliM	2849	1634	19	10
fliP	491	291	3	1
fliR	301	146	6	5
rcsA	374	214	8	2
yedP	491	274	508	534
yedQ	392	257	156	176
yedI	711	415	118	158
yedA	44	24	3	3
dcm	1039	549	11	6
