"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_chemostat1","K12_chemostat2","K12_starvation1","K12_starvation2"
"50","aldA","aldA",1214,21097.2166500953,0.748428190877212,0.221069023547568,3.38549552925569,0.000710498668788851,0.00135555397562103,19029.8849378147,12397.2377694686,27342.6808019795,25619.0630911183
"51","aldB","aldB",101,2190.00939380555,4.29597865269084,0.230043335181922,18.6746494928597,7.96108202961492e-78,1.82474305926322e-76,254.595039275378,160.883204752172,4182.5757039278,4161.98362726684
"52","alkB","alkB",880,24.4007518976306,2.60934270354143,0.493420145135808,5.28827760533214,1.23473490722914e-07,3.24819467072213e-07,7.1126121287534,5.93421656872766,34.1783510024744,50.377827890567
"53","allB","allB",699,75.5626107996463,1.98074059343297,0.303828893587354,6.51926342503526,7.06534775849003e-11,2.33995422902781e-10,30.274195214694,30.3304402401636,98.2627591321139,143.383048611614
"54","allC","allC",1966,33.0118986306194,-0.395252545434228,0.47159240908229,-0.838123213652616,0.40196150668055,0.473248730064612,36.8396833335433,38.5724076967298,25.6337632518558,31.0017402403489
"55","allD","allD",2213,4.5322603387627,-0.241003264021372,1.05103407930984,-0.229301093813842,0.818634903388097,0.85636683296134,4.37699207923286,5.60453787046501,4.2722938753093,3.87521753004362
"56","allR","allR",8,4476.94115182229,4.85901968806999,0.131150737392721,37.0491221373771,1.85528646108187e-300,5.36873519675567e-298,292.164221288794,300.666972815535,8177.170477342,9137.76293584285
"57","alr","alr",1132,63.8039082679561,-1.64597343144629,0.432644275967061,-3.80444980525202,0.000142119726033367,0.000290642372585906,94.2877043734746,101.211360366633,17.0891755012372,42.6273928304798
"58","alx","alx",1622,12.6575334852844,-1.50278291339178,0.833561733375673,-1.80284537211894,0.0714125022547341,0.101860716401546,17.5079683169314,21.0994366888095,4.2722938753093,7.75043506008723
"59","amiA","amiA",1697,172.097688561158,0.359601492920408,0.226990112211466,1.58421655206461,0.113144447877534,0.154348495484085,144.258363944716,156.92706037302,205.070106014846,182.13522391205
"60","amiB","amiB",2066,155.795577949458,-0.139118520427624,0.246627477252812,-0.564083621084188,0.572697224322847,0.641605233347108,154.10659612299,173.08131658789,140.985697885207,155.008701201745
"61","amiC","amiC",678,171.662736548513,-2.01660851959602,0.300679814799638,-6.70683039012718,1.98897213856987e-11,6.78125257848195e-11,283.592611800296,268.028781687533,76.9012897555674,58.1282629506542
"62","amn","amn",1407,132.913832639317,-0.722751265024331,0.285031019140593,-2.53569336840434,0.0112224951321806,0.0184648729431401,152.100474753342,179.34521185488,111.079640758042,89.1300031910032
"63","ampE","ampE",1091,136.135991854725,1.06558852184288,0.261759023663363,4.07087597947831,4.68366812394951e-05,9.9383058725418e-05,85.7160948849769,89.0132485309149,226.431575391393,143.383048611614
"64","ampG","ampG",1031,39.9622524737906,-3.31069783849627,0.749440718135612,-4.41755799809265,9.98222899843405e-06,2.24140253456594e-05,70.943746617566,76.4854579969343,8.5445877506186,3.87521753004362
"65","ampH","ampH",1346,78.3783823344591,-0.974953342409293,0.353766491045944,-2.7559233762552,0.00585267057889443,0.0100660716122887,106.324432591365,102.859753857946,38.4506448777837,65.8786980107415
"66","amtB","amtB",2095,39.7199493128364,0.215693299855423,0.414336210010448,0.520575548658863,0.602662486342372,0.665949239084769,38.8458047031917,34.2865846193154,46.9952326284023,38.7521753004362
"67","amyA","amyA",2181,662.337336065509,0.0443094652607436,0.149493212629388,0.29639783961692,0.766926274985149,0.814046000270802,652.536569145633,651.774786465255,670.75013842356,674.287850227589
"68","anmK","anmK",1482,173.319815813356,0.501791281270648,0.221028485905179,2.27025615823073,0.0231920454382073,0.0362033615572825,147.176358664205,139.124410666837,209.342399890156,197.636094032224
