"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_K12ref_batch1","IAI1_K12ref_batch2"
"1726","yrbG",295.613692215277,0.0181328734062966,0.0592179795736396,0.306205539885868,0.759448154652317,0.999909243911142,313.00557710045,265.629420742901,326.840789370098,276.978981647658
"1727","kdsD",929.51901641086,0.0162825872778816,0.0648666861773585,0.251016172359441,0.801801605674754,0.999909243911142,911.157596166754,927.947712110664,930.89732679232,948.073430573701
"1728","lptB",958.725905122811,0.0325945652025329,0.0648332481123844,0.502744597124492,0.615143850323641,0.999909243911142,930.00348169898,946.67049066523,971.110722343091,987.118925783943
"1729","rpoN",2518.89445461401,-0.0077014884668394,0.0625763011995279,-0.123073564899319,0.902048844266368,0.999909243911142,2518.79357069838,2540.44701512264,2513.76502400353,2502.57220863148
"1730","yhbJ",782.542844113136,0.029425678696384,0.0649561591765908,0.45300829158305,0.650542770945233,0.999909243911142,766.94560252885,766.463747077534,799.98989021215,796.772136634011
"1731","yrbL",1850.91058659196,0.0337121413087666,0.064244086087862,0.524750889329502,0.599756375660215,0.999909243911142,1874.75591729275,1751.74996851156,1954.19990293535,1822.9365576282
"1732","mtgA",351.732450523756,-0.00475518399906374,0.0625542780559881,-0.0760169271685574,0.939405631230546,0.999909243911142,358.071825112295,348.711750578787,358.498143314322,341.648083089622
"1733","elbB",755.808130336355,0.0281886360460862,0.0648725326559613,0.43452343992147,0.663908377197696,0.999909243911142,712.866104914637,767.633920737195,743.520015608939,799.212480084651
"1734","arcB",709.640699108056,0.024194994372334,0.0648836863567244,0.372897961427657,0.709224389315686,0.999909243911142,679.271265487625,714.976106052479,702.451015897513,741.864408994608
"1735","yhcC",19.6113244687785,0.00249025668467713,0.0256082818315917,0.0972441923692445,0.922532473887223,0.999909243911142,19.6652718597141,18.7227785545657,20.5344998557129,19.5227476051213
"1736","gltB",11990.4927760059,-0.0717838344985428,0.0646803552394896,-1.10982436989951,0.267074715739861,0.999909243911142,13405.1603177051,11667.8015604734,12271.0748721098,10617.9343537353
"1737","gltD",6246.65969717696,-0.0556782954663933,0.0618012823601963,-0.900924598002411,0.367628411649966,0.999909243911142,6602.61502689901,6259.25890552325,6214.25301883513,5910.51183745046
"1738","nanE",20.2784166451686,0.00342104278668879,0.023316808316998,0.146720028752599,0.883353009032222,0.999909243911142,26.2203624796188,12.8719102562639,27.3793331409506,14.6420607038409
"1739","nanT",25.6221035548043,-0.0123048315098384,0.0286137341661996,-0.430032355734039,0.667172104913609,0.999909243911142,26.2203624796188,29.2543414915089,21.3901040163676,25.6236062317216
"1740","nanA",53.7523035649315,0.006109930584697,0.0388503576018219,0.157268322915269,0.875033384215053,0.999909243911142,54.8988839417019,50.3174673653954,57.3254787638653,52.4673841887634
"1741","nanR",417.02480516068,-0.0189022594049468,0.0620251854573567,-0.304751356494411,0.760555532062682,0.999909243911142,396.582982504235,452.857206288559,378.17703900938,440.481992840548
"1742","dcuD",23.9861571561878,-0.00251713509063807,0.027972717925572,-0.0899853599258928,0.928298848713678,0.999909243911142,25.4009761521307,23.4034731932072,23.9569164983318,23.1832627810815
"1743","sspA",2465.28642172547,0.0377993218667737,0.0631867058030454,0.598216371408808,0.549695569012985,0.999909243911142,2359.01323683821,2466.72607456403,2463.2843785249,2572.12199697473
"1744","degQ",628.979977404664,0.0280321070925071,0.0647148419153911,0.433163494846461,0.664895997287782,0.999909243911142,598.152019066304,633.063949876254,624.591037277935,660.112903398162
"1745","degS",306.548630542764,0.0127026404725397,0.0616978111395611,0.205884783234954,0.836880912035095,0.999909243911142,305.631100153057,299.564456873052,312.295518638968,308.70344650598
"1746","mdh",13059.1475006988,-0.0523704036990673,0.0598957953819878,-0.874358598380288,0.381922996664682,0.999909243911142,13268.3228010146,13533.058373972,12520.911287021,12914.2975407877
"1747","aaeB",35.8115977876545,0.00400163153623342,0.0321488312024767,0.124472069016467,0.900941514069985,0.999909243911142,30.3172941170593,39.7859044284522,31.6573539442241,41.4858386608827
"1748","aaeA",47.4319630585549,0.0027616336053844,0.0371784014247638,0.0742805903307325,0.94078712103168,0.999909243911142,45.8856343393329,47.9771200460747,47.0582288360088,48.8068690128031
"1749","aaeR",98.2959945262701,0.00344554418923128,0.0481024158861994,0.0716293376487106,0.942896891969143,0.999909243911142,99.1457456260587,95.9542400921493,99.2500826359459,98.8339097509264
"1750","tldD",998.189789591415,-0.0217690440899498,0.0647995615252183,-0.335944311621274,0.736912861091545,0.999909243911142,1012.76150077528,1012.20021560621,1000.20126380535,967.596178178822
"1751","rng",989.703318421078,-0.0287053164084063,0.0648077352593823,-0.442930404735144,0.657816074509907,0.999909243911142,1019.31659139518,996.987958030625,982.233576431602,960.275147826902
"1752","mreC",536.038782621857,0.0792144244406429,0.064490993174384,1.2283021324613,0.219333570782072,0.999909243911142,508.019523042615,497.323805355652,577.532808441926,561.278993647236
"1753","mreB",2004.17031683032,0.0043692773211658,0.0647639220604755,0.0674646806764705,0.946211778677342,0.999909243911142,2099.26777102448,1898.0216759691,2124.46513090563,1894.92668942208
"1754","csrD",442.375787676466,0.0240190646423091,0.0634118616587251,0.378778733410743,0.704852180981225,0.999909243911142,415.428868036461,450.516858969238,433.791309451936,469.76611424823
"1755","yhdH",435.131504320243,0.00609239459114072,0.0633577845125033,0.0961585800074561,0.923394626685532,0.999909243911142,449.023707463472,416.581822839087,455.181413468303,419.739073510107
"1756","accC",6082.99480600213,-0.0181208857147357,0.0608875632929227,-0.29761226652409,0.765999111273488,0.999909243911142,6066.7363687218,6212.45195913684,5942.17089574693,6110.62000040295
"1757","panF",204.955196390676,-0.0268091683309279,0.0577951225773309,-0.463865584765509,0.642744051147951,0.999909243911142,208.943513509462,215.311953377506,202.778186075165,192.787132600572
"1758","prmA",475.326273813524,0.0250516223637007,0.0641148801420855,0.390730237788538,0.695996645606845,0.999909243911142,471.147138305651,459.878248246521,491.972392376456,478.307316325471
"1759","dusB",4939.26599219093,0.0345489736075832,0.0644326213487447,0.536203135684721,0.591818166613005,0.999909243911142,4546.7747312314,5121.85010833339,4747.74748747296,5340.69164172598
"1760","yhdJ",49.7352304122558,0.00375267960730996,0.0361611890619289,0.103776443879741,0.917346760577058,0.999909243911142,41.7887027018925,56.1683356636972,43.63581219339,57.3480710900437
"1761","envR",15.510926279701,0.000671524490379326,0.0230577737479996,0.0291235614382584,0.976766044455732,0.999909243911142,15.5683402222737,15.2122575755847,15.4008748917847,15.862232429161
"1762","acrE",10.9272652368477,-0.00190525519096644,0.0184573047159526,-0.10322499521394,0.917784402561344,0.999909243911142,7.37447694739279,15.2122575755847,7.70043744589235,13.4218889785209
"1763","acrF",166.124224866901,0.0029195239265858,0.055252500010252,0.0528396710745051,0.957859652688469,0.999909243911142,162.238492842641,168.505006991092,161.709186363739,172.044213270131
"1764","aapQ",29.4605667619649,-0.000563472406555678,0.0305592712259992,-0.0184386729116854,0.985288901158115,0.999909243911142,28.6785214620831,30.4245151511693,28.2349373016053,30.504293133002
"1765","aapP",29.4400216120911,-0.0141408050522825,0.0305266869248793,-0.463227637086217,0.643201208284933,0.999909243911142,31.1366804445473,32.76486247049,28.2349373016053,25.6236062317216
"1766","aroE",526.206448988907,-0.00523449907634027,0.0636319802021576,-0.0822620804776209,0.934438307579415,0.999909243911142,502.283818750198,554.66231467901,490.261184055146,557.618478471276
"1767","smf",321.021360942723,0.0101697715458514,0.0617391842882907,0.164721508116527,0.869163187200867,0.999909243911142,308.908645463009,326.47845104524,313.151122799622,335.547224463022
"1768","fmt",1002.61064325127,0.020483834180486,0.0648632565429145,0.315800273872059,0.752154110224328,0.999909243911142,1012.76150077528,965.393269219795,1037.84784687416,994.439956135864
"1769","rsmB",479.416436394797,0.00777880409084314,0.064011492529223,0.121521992121835,0.903277596594091,0.999909243911142,461.314502375794,491.47293705735,473.149100842052,491.729205303992
"1770","trkA",465.698315194637,0.00774565685782421,0.0623949219302719,0.124139218676805,0.901205046294525,0.999909243911142,429.358435603758,494.983458036331,432.080101130626,506.371266007833
"1771","rpoA",62100.1735527662,0.042457843412353,0.0597192575450312,0.710957321938198,0.47711068295247,0.999909243911142,59592.3288255537,61985.2689258688,62210.122917043,64612.9735425994
"1772","rpsD",40906.917367812,0.0420059259842068,0.0603671480304963,0.695840823273385,0.486528520320254,0.999909243911142,39052.7717544098,41021.6078130535,40778.9499009639,42774.3400028207
"1773","secY",54742.0239183664,0.0018180214098304,0.0626227825721241,0.0290313099347916,0.976839619395752,0.999909243911142,52258.8211945353,57116.1763280221,52387.787152727,57205.3109981812
"1774","rpsC",35690.9728641681,0.0423539290680653,0.0600711122172076,0.705063174374401,0.480770922480043,0.999909243911142,34177.4231058556,35686.7860986619,35688.1051450684,37211.5771070864
"1775","rplB",38495.3741011201,0.0405497440209289,0.0614980638320593,0.659366189668399,0.509660647986373,0.999909243911142,36395.5018943659,38958.5916510723,38004.2256079607,40623.1772510814
"1776","rplD",31700.1117827794,0.0408125629577598,0.0613070593427622,0.665707398059666,0.505598143898029,0.999909243911142,30032.9670614209,32019.4618492864,31360.4593004769,33387.5589199333
"1777","rplC",39878.3696347665,0.0416140412457373,0.0606887264019679,0.685696400516124,0.49290457705943,0.999909243911142,37966.2654841606,40094.8302746025,39644.4187839358,41807.9639963672
"1778","tufA",110228.340839685,0.0423856827847177,0.0599648657948935,0.706841951913902,0.479664700682441,0.999909243911142,105449.284643425,110329.823501077,110102.56580969,115031.68940455
"1779","fusA",86694.340879122,0.0294299805434314,0.0616300078450157,0.477526801837192,0.632987040294617,0.999909243911142,82274.5811430789,88426.5129395543,84913.5793200156,91162.690113839
"1780","yheO",814.427976852088,0.0252407591822275,0.0646968704653474,0.39013879652412,0.696433915871282,0.999909243911142,753.835421289041,843.695208615118,782.877806999056,877.303470505136
"1781","fkpA",5247.53062197871,0.0320948914617137,0.0636052569743981,0.504594949983965,0.613843357514947,0.999909243911142,4914.67919227355,5386.30935541663,5101.96760998401,5587.16633024064
