	IAI1_batch1	IAI1_batch2	IAI1_K12ref_batch1	IAI1_K12ref_batch2
yeeI	583	414	582	414
shiA	897	519	845	490
amn	411	240	403	235
yeeN	1937	1594	1935	1592
yeeO	96	94	87	83
cbl	1621	1199	1563	1156
nac	31	16	28	14
erfK	353	243	344	240
cobS	231	165	217	160
yeeA	90	48	83	47
dacD	54	50	51	47
yeeE	944	659	933	653
yeeF	4880	3739	4379	3331
yeeY	137	89	135	90
yeeZ	745	458	737	455
hisG	2065	1238	1775	1069
hisD	1898	1023	1372	743
hisC	1694	957	1469	835
hisB	2688	1460	2144	1176
hisA	2081	1266	2081	1266
hisF	2135	1326	1814	1145
ugd	437	313	351	264
gnd	8306	6421	5748	4384
galF	3653	2728	1798	1322
wcaL	24	17	12	12
wcaK	15	8	14	7
wzxC	7	4	5	4
wcaJ	9	1	8	1
cpsG	2178	1433	5	6
cpsB	1332	926	20	8
fcl	17	9	11	7
gmd	17	9	17	9
wcaE	3	3	3	3
wcaD	6	3	4	3
wcaC	15	10	11	10
wcaA	6	2	6	2
wzc	22	16	20	15
wza	8	4	8	3
yegH	500	399	481	384
asmA	1142	758	1095	740
udk	424	321	424	319
yegL	10	4	9	4
mdtA	36	34	35	33
mdtB	111	82	104	73
mdtC	82	78	74	72
baeS	69	55	64	49
baeR	146	95	140	90
yegQ	621	445	621	445
yegS	23	24	17	19
gatD	19	13	19	12
gatZ	3	10	3	10
gatY	5	5	5	5
fbaB	405	306	396	298
yegT	59	35	59	35
yegU	63	53	60	51
yegV	62	33	62	32
yegW	128	82	128	82
yegX	142	85	138	83
thiD	1423	844	1377	815
thiM	1568	986	1504	943
rncA	46	39	44	37
yehA	12	8	12	8
yehC	0	1	0	1
mrp	2349	1812	1955	1515
metG	3024	1825	2640	1590
yehL	23	15	13	9
yehP	24	28	19	27
yehT	262	201	262	201
yehU	490	347	477	329
mlrA	38	19	37	19
yehW	17	15	19	16
yehX	26	19	22	19
yehY	18	5	15	4
yehZ	26	17	26	17
bglX	1898	1294	1849	1270
dld	1770	1129	1714	1089
pbpG	453	315	452	314
yohF	33	15	26	9
dusC	392	239	361	221
yohK	35	18	35	18
cdd	69	49	67	48
sanA	160	87	160	87
yeiT	38	37	37	37
yeiA	70	67	69	64
mglC	337	263	335	261
mglA	561	465	522	448
mglB	1455	1112	1407	1065
galS	100	78	97	73
yeiB	348	188	349	188
folE	2469	1301	2458	1290
frmC	383	182	431	211
cirA	8202	2689	7540	2480
lysP	5929	3858	5920	3847
yeiE	182	109	180	108
yeiH	200	107	199	106
nfo	304	206	298	193
yeiJ	59	35	40	15
rihB	13	4	12	4
yeiL	19	18	18	16
yeiC	4	1	4	1
fruA	859	604	783	561
fruK	476	286	473	286
fruB	473	293	479	294
setB	36	21	25	14
yeiQ	229	135	216	132
yeiR	237	208	236	207
yeiU	386	323	385	319
rtn	310	189	299	185
yejB	89	69	79	60
yejE	123	105	121	104
yejF	314	199	313	198
bcr	298	189	276	176
rsuA	449	301	393	277
yejH	63	39	55	33
yejK	1479	1099	1365	1019
yejM	780	509	773	495
narP	241	196	247	208
ccmH	174	179	143	141
ccmF	283	293	245	248
ccmC	93	99	93	98
ccmB	68	57	63	55
ccmA	66	80	63	72
napC	95	121	95	121
napH	43	59	41	56
napG	44	64	44	64
napA	305	404	280	380
mqo	1095	694	1048	655
yojI	953	624	866	568
alkB	23	20	21	18
ada	69	44	64	41
yojL	49	38	39	25
rcsB	1923	1343	1912	1339
rcsC	915	671	971	730
yfaP	13	3	10	3
