"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_K12ref_chemostat1","IAI1_K12ref_chemostat2"
"82","araC","araC",216,722.027859882053,1.59772437407472,0.13110888173377,12.1862405730762,3.68010257045501e-34,4.02255655965013e-33,345.52957098168,370.762446640944,1135.93185707802,1035.88756482757
"83","araD","araD",1082,15.8982818866275,1.92009976160529,0.675130221674378,2.84404356368952,0.00445449570623623,0.00972002251610327,2.74957218287809,9.26906116602359,23.5775329860523,27.996961211556
"84","araE","araE",1706,325.402457957229,-0.194371806889865,0.168529205234892,-1.15334197784268,0.248770046623629,0.344282579178423,319.866897274818,376.059053021528,300.613545572166,305.070335960404
"85","araF","araF",44,725.104003014992,5.56950554620865,0.225039442218666,24.7490195109748,3.17656665863008e-135,1.70451679114219e-133,31.1618180726183,25.1588803077783,1443.2818406462,1400.81347303337
"86","araG","araG",104,348.984988714056,3.79260220731455,0.214310668269632,17.6967494802589,4.44217930086831e-70,1.00846012782212e-68,49.4922992918056,41.048699449533,631.5410621264,673.857893988486
"87","araH","araH",191,187.197769490107,3.58344192558968,0.272018784994259,13.1735090488891,1.24665934318762e-39,1.54102759647433e-38,26.5791977678215,29.131335093217,330.085461804732,362.995083294657
"88","araJ","araJ",1462,98.0741223797462,-0.482940708545814,0.278800438433786,-1.7322092865378,0.0832363061904416,0.134419233184427,102.650694827449,127.118553134038,83.3634202006848,79.1638213568136
"89","arcA","arcA",351,2971.198494115,0.798427426888913,0.0938371683472166,8.50864791587241,1.75973305285616e-17,1.18368368598102e-16,2048.43127624418,2290.78225960297,3816.19212474246,3729.38831587038
"90","arcB","arcB",467,1053.1232796575,0.752355113168878,0.111253331612349,6.76254007197179,1.35593158227851e-11,6.85514874894983e-11,759.798446535312,809.056624634345,1295.92225948337,1347.71578797697
"91","argA","argA",93,4821.37846541161,-1.65507386740071,0.0896454200576559,-18.4624475666045,4.14142240701262e-76,1.05138691429643e-74,7306.52981396804,7337.12398870524,2186.81618445635,2455.04387451679
"92","argB","argB",164,1646.1855232275,-1.6108695994981,0.112471621536187,-14.3224537665247,1.58429040876054e-46,2.28079857017295e-45,2536.93860073552,2425.84572230789,737.639960563635,884.317809302942
"93","argC","argC",84,2324.80344698792,-1.8028377647421,0.0917589777926993,-19.6475354031847,6.06889832924287e-86,1.70579392325505e-84,3601.9395595703,3629.49952229581,1028.99090389128,1038.78380219429
"94","argD","argD",120,2791.0499674891,-1.49282726128512,0.0893542435718509,-16.7068423570137,1.16862064119174e-62,2.29926111154475e-61,4155.52009238975,4085.00767102611,1427.28280040566,1496.38930613489
"95","argE","argE",182,1301.8130649182,-1.48953181322119,0.109143185887548,-13.6475016842176,2.08918949170823e-42,2.71020680765007e-41,1998.02245289141,1843.21902044355,659.328868859961,706.681917477897
"96","argG","argG",47,9181.27591882611,-2.09451211396951,0.087645743955791,-23.8974765851265,3.25346468587211e-126,1.63434683475405e-124,14356.4328908675,15414.4487190972,3299.17050854831,3655.05155679142
"97","argH","argH",74,3424.07915473211,-1.83850979652193,0.0883096641151796,-20.8188969456845,2.91825967954161e-96,9.31082581540234e-95,5441.40334991574,5266.15089389654,1450.86033339172,1537.90204172444
"98","argI","argI",237,1011.44981694054,-1.30246733558079,0.113464959022696,-11.4790270652657,1.68162131111509e-30,1.675235407402e-29,1418.77924636509,1461.86336104143,560.808463168243,604.348197187382
"99","argK","argK",2264,12.5615895326619,-0.113272434382291,0.688960269536256,-0.164410691575198,0.869407847443097,0.906571706192964,9.16524060959363,17.213970736901,8.42054749501866,15.4465992891344
"100","argO","argO",1539,94.7161775501253,-0.417903116141096,0.277777568261581,-1.50445235285363,0.132464932924169,0.203216183647799,113.648983558961,103.283824421406,80.8372559521792,81.0946462679554
"101","argP","argP",1370,478.324937671474,-0.276926373754555,0.140094281815257,-1.97671432528374,0.0480739306190018,0.08284857678209,517.83609444204,530.984789653637,431.974086494457,432.504780095762
"102","argS","argS",520,2360.57048894902,-0.583485930704273,0.0923940207285945,-6.31519146047611,2.69827209601494e-10,1.22511931128678e-09,2735.8243219637,2930.3474800586,1888.72880313269,1887.3813506411
"103","arnT","arnT",487,232.095254249979,1.27510043413152,0.193653658137442,6.58443763157079,4.5661034623791e-11,2.21366946091931e-10,133.812512900067,136.387614300061,337.663954550248,320.516935249538
"104","aroA","aroA",96,3422.28953869029,-1.72558486382822,0.0942742689931675,-18.3038795448341,7.70609484035793e-75,1.89521769980053e-73,5245.26720087043,5270.12334868198,1486.22663287079,1687.54097233793
"105","aroB","aroB",580,3446.9842788833,-0.532575957023937,0.0939310754429901,-5.66985903772788,1.42915055767836e-08,5.81762839082521e-08,3847.56800790741,4308.78929060582,2739.20410012957,2892.37571689041
