	IAI1_batch1	IAI1_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
fadD	429	319	5549	4968
yeaZ	581	395	411	357
yoaA	515	332	443	390
sdaA	151	112	205	150
adrB	31	41	69	60
yoaE	335	233	507	469
manX	5828	3975	44968	40200
manY	4750	3406	33320	30618
rrmA	228	185	178	141
kdgR	1301	1050	2169	1904
yebQ	16	19	40	34
htpX	4203	3013	5238	4516
prc	5880	4217	5133	4767
yebS	180	115	189	130
yebT	466	341	398	324
yebU	340	239	222	191
pphA	37	26	73	54
yebZ	864	636	221	170
yobB	124	69	164	169
exoX	210	131	274	248
ptrB	208	111	187	183
yebE	238	150	468	438
purT	1577	1101	975	789
eda	1079	752	538	500
edd	684	421	304	288
zwf	4412	2853	2182	1996
yebK	368	234	1135	984
pykA	1852	1175	2849	2927
lpxM	616	421	571	520
yebA	3632	2652	3711	3202
znuA	19263	13534	8700	7940
znuC	892	656	696	621
znuB	767	571	585	539
ruvB	576	377	628	522
ruvA	367	223	442	387
yebB	24	14	21	14
yebC	3200	2356	2320	2237
aspS	5329	3743	4050	3793
yecE	61	35	102	92
yecO	293	185	159	130
yecP	467	364	239	202
torY	4	6	52	37
cutC	641	459	695	600
argS	2985	2213	2243	1955
flhA	125	95	159	149
flhB	6	5	11	12
cheZ	31	34	55	38
cheB	12	11	15	14
cheR	10	9	10	5
tap	16	7	24	19
tar	15	7	13	11
cheA	56	36	65	53
motB	19	12	17	19
motA	16	8	14	6
otsA	111	85	165	129
otsB	24	20	40	35
araH	29	22	392	376
araG	54	31	750	698
araF	34	19	1714	1451
tyrP	331	264	301	218
yecA	795	606	1809	1467
uvrC	968	704	727	599
uvrY	1302	1077	1238	968
sdiA	260	180	267	201
yecC	381	264	246	193
yecS	283	182	174	142
yedO	771	435	441	414
fliY	6432	4397	4655	4529
fliA	3	3	7	8
fliD	22	12	24	15
amyA	132	85	246	211
yedE	1487	1062	6199	5720
fliF	9	3	7	4
fliG	13	8	6	10
fliH	6	3	9	3
fliI	7	3	6	4
fliM	13	5	12	12
fliP	6	4	4	12
fliR	14	10	45	22
rcsA	63	38	322	238
yedP	19	23	38	44
yedQ	177	101	247	201
yedI	312	230	415	374
yedA	24	14	41	26
dcm	818	520	703	581
yedJ	213	128	184	148
hchA	158	124	197	173
yedW	435	357	367	283
yedZ	65	43	68	59
yodA	17212	16450	4398	4208
yeeI	583	414	4090	3397
shiA	897	519	403	345
amn	411	240	405	395
yeeN	1937	1594	1431	1247
yeeO	96	94	140	93
cbl	1621	1199	1015	962
nac	31	16	50	53
erfK	353	243	483	374
cobS	231	165	257	224
yeeA	90	48	133	131
dacD	54	50	62	54
yeeE	944	659	2611	2106
yeeF	4880	3739	1510	1506
yeeY	137	89	173	126
yeeZ	745	458	690	620
hisG	2065	1238	1643	1546
hisD	1898	1023	1204	1191
hisC	1694	957	1366	1277
hisB	2688	1460	2088	2003
hisA	2081	1266	2129	2085
hisF	2135	1326	1818	1765
ugd	437	313	603	525
gnd	8306	6421	2857	2801
galF	3653	2728	2141	1954
wcaL	24	17	15	23
wcaK	15	8	13	11
wzxC	7	4	8	9
wcaJ	9	1	5	13
cpsG	2178	1433	14	10
cpsB	1332	926	29	28
fcl	17	9	20	21
gmd	17	9	30	20
wcaE	3	3	8	2
wcaD	6	3	16	10
wcaC	15	10	14	12
wcaA	6	2	11	7
wzc	22	16	28	26
wza	8	4	6	3
yegH	500	399	397	343
asmA	1142	758	1528	1176
udk	424	321	365	311
yegL	10	4	13	9
mdtA	36	34	33	30
mdtB	111	82	101	76
mdtC	82	78	92	78
baeS	69	55	57	57
baeR	146	95	126	108
yegQ	621	445	241	243
yegS	23	24	43	34
gatD	19	13	32	27
