"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_starvation1","IAI1_starvation2"
"1763","ycdX",644.077741914823,0.207921861670988,0.13551647401158,1.53429214556764,0.124957797166534,0.167342801537258,576.525676869482,620.701969833444,755.326898658726,623.756422297641
"1764","eda",311.331149514222,-0.254632778592191,0.166515933725868,-1.52917965803433,0.126219912008466,0.168937195154189,328.324445030165,350.103807703808,295.091870802155,271.80447452076
"1765","yhfS",37.924612334986,0.640645750988598,0.420099644395698,1.52498522561272,0.127262782775911,0.170236504325171,31.9287992414656,26.5018818580571,39.2553406112958,54.0124276291253
"1766","ydcO",71.3886993417498,0.479432822076951,0.315025513716757,1.5218856924332,0.128037724761361,0.171176142786847,66.2673191804002,52.3063457724812,79.8643136574639,87.1168187566537
"1767","bioH",99.7704174838243,-0.416866255295968,0.276057958260627,-1.51006787821854,0.13102610485864,0.175072231789049,125.90790644276,102.520437714063,85.278843396953,85.3744823815207
"1768","glpA",19.8648965927373,0.833948225703059,0.552386819526074,1.50971782132411,0.131115441894912,0.175092510358533,12.6510336617128,15.3431947599278,27.0726486974454,24.392709251863
"1769","gntU",44.2031155169388,-0.601434199160002,0.398856572596226,-1.50789592169727,0.13158116661162,0.175615112702111,59.0381570879929,48.1218381106827,36.5480757415513,33.1043911275284
"1770","yjiE",67.9887529427133,-0.497809316446872,0.330480363581611,-1.50632040903071,0.131984941400261,0.176054489630518,80.1232131908476,80.2030635178045,66.3279893087412,45.3007457534599
"1771","fixA",15.7023588391347,-0.969893535861764,0.644502613600701,-1.50487137739159,0.132357148358375,0.17645128586907,20.4826259284873,21.6199562526256,6.76816217436135,13.9386910010646
"1772","yghS",15.9181098377328,0.912153679569824,0.608399696245708,1.49926715150995,0.133804340447211,0.178279936679383,9.6388827898764,11.8561050417624,23.0117513928286,19.1657001264638
"1773","tdk",219.816320500721,-0.284228285262429,0.190189673963065,-1.49444646147102,0.135058965516592,0.179850094520403,245.189080967481,237.819518778881,197.630335491351,198.62634676517
"1774","lolE",654.06419804627,-0.18693409135241,0.125440691496194,-1.49021891638793,0.136166684133111,0.181222965748746,685.565538429959,707.879212787579,619.963655171499,602.848385796044
"1775","ypfH",173.799083598739,0.334309362441582,0.225224948893337,1.48433539039188,0.137719965915047,0.183186951845311,140.968660801942,165.288052641041,162.435892184672,226.5037287673
"1776","ycbR",16.9761215901055,0.876303987764019,0.590758855228385,1.48335311440274,0.137980617379551,0.183347118203745,12.0486034873455,11.1586870981293,20.304486523084,24.392709251863
"1777","ycfS",177.32311287219,0.308975311906294,0.208303156836226,1.48329634845246,0.137995692099981,0.183347118203745,153.619694463655,162.498380866508,184.094011142629,209.080365015969
"1778","fucA",494.575840691915,-0.207805022865104,0.140356852131783,-1.48054775886533,0.138727125169716,0.184215265762486,534.355564663773,527.247965386611,484.600411684272,432.099421033002
"1779","yggM",73.2750691239409,0.451537755432392,0.305979076716234,1.47571448439643,0.140020555909148,0.185828292580943,60.8454476110948,62.7676149269775,89.3397407015698,80.1474732561214
"1780","nadE",738.149834313486,-0.183679132470721,0.124762143835165,-1.47223450018137,0.140957563959605,0.186966746353161,756.652299005297,815.281576107074,725.546985091536,655.118477050036
"1781","ung",215.617383274596,-0.281719364517287,0.19161801977752,-1.47021331732986,0.141503989002533,0.187586141513183,235.550198177604,237.819518778881,192.215805751862,196.884010390037
"1782","ylbF",15.5500171128046,0.907314539888569,0.61764578907646,1.46898846545241,0.141835917816168,0.187831887094768,8.43402244114185,12.5535229853955,20.304486523084,20.9080365015969
"1783","ycbL",1492.21061723433,0.14905295677415,0.101469588458944,1.46894216324194,0.141848477208798,0.187831887094768,1454.2664409226,1376.70302073171,1620.29802454211,1517.57498274091
"1784","gltP",59.1302805470811,0.504409428975055,0.344572780483321,1.46386905044425,0.14322973119509,0.189554593806955,47.5919837750147,50.214091941582,81.2179460923361,57.4971003793915
"1785","aroG",1569.50657173986,-0.149830827927684,0.103143160617577,-1.45264918226823,0.1463211831904,0.193429066916313,1568.72817405238,1733.08358992821,1455.15486748769,1521.05965549117
"1786","dcuD",44.3155203512197,0.576917259003613,0.397097368429491,1.45283576490397,0.146269359233555,0.193429066916313,40.9652518569747,29.2915536325895,46.0235027856572,60.9817731296576
"1787","fliD",19.4315007147534,0.808480028237034,0.557069607909306,1.45130880729839,0.14669388993828,0.193813247982248,15.0607543591819,12.5535229853955,25.7190162625731,24.392709251863
"1788","yieK",28.8467802024394,0.687345262277353,0.475132777344682,1.44663827681735,0.147998259908202,0.195427232462676,21.0850561028546,22.3173741962587,28.4262811323177,43.5584093783269
"1789","hcaB",13.776324115315,-0.97947204596092,0.680894644680784,-1.43850748953991,0.150290113957253,0.19834262663671,17.470475056651,20.2251203653594,12.1826919138504,5.22700912539922
