	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2
hscA	1698	1661	722	567
iscS	7660	8281	9176	6872
yfhQ	488	388	423	330
suhB	878	721	58	43
yfhR	25	26	13	10
hcaT	299	216	239	186
hcaR	5498	4341	2051	1540
hcaE	43	37	29	20
hcaB	29	29	9	3
yphB	69	65	171	113
yphC	82	56	209	127
yphD	35	31	193	111
yphE	114	98	433	316
yphF	112	93	501	367
yphH	187	160	109	94
glyA	16726	15274	2159	1693
hmp	963	832	1194	1072
yfhA	444	335	47	36
yfhG	286	262	74	41
yfhK	477	374	144	102
yfhD	184	168	44	16
yfhB	242	200	268	174
yfhH	272	217	73	70
pdxJ	1408	1266	281	208
recO	339	352	50	45
era	1106	949	137	95
rnc	691	590	85	71
lepB	1490	1339	256	229
lepA	3573	3253	379	267
rseB	1648	1264	675	507
rseA	7225	5984	6885	5368
yfiC	218	200	38	19
srmB	327	287	160	125
yfiE	125	120	246	208
ung	391	341	142	113
yfiF	737	683	124	105
yfiP	74	49	22	19
yfiQ	3946	3295	4586	3735
pssA	4029	3503	2643	2081
kgtP	4746	4081	3270	2418
clpB	5540	5135	23547	19803
yfiH	179	159	55	63
rluD	561	498	305	282
yfiO	3585	3271	956	650
pheA	883	849	486	384
tyrA	1470	1481	305	216
aroF	2007	1884	249	186
yfiN	107	78	96	68
trmD	16382	15633	2183	1826
ffh	1428	1321	992	897
ypjD	348	278	89	55
yfjD	582	470	212	178
yfjB	315	279	232	178
recN	309	271	581	468
gabT	1048	820	421	259
gabP	262	229	154	108
csiR	338	227	279	234
nrdF	106	71	33	22
proV	283	225	77	69
proW	76	92	27	27
proX	248	223	63	37
ygaZ	597	490	218	156
emrA	141	123	19	8
emrB	135	139	45	37
gshA	2255	2150	908	678
alaS	11708	11123	1874	1398
recA	3726	3311	1693	1439
mltB	106	91	6	11
srlE	31	34	109	88
srlD	92	93	186	116
srlR	412	347	606	519
gutQ	420	347	377	277
norV	24	17	33	26
norW	17	17	14	7
ascG	419	359	98	85
ascF	35	41	89	73
hycG	64	56	19	8
hycE	21	22	5	2
hycD	8	5	2	1
hycC	12	11	7	8
hycB	2	2	0	0
hypB	126	105	73	52
hypD	121	107	55	57
hypE	100	99	46	52
fhlA	87	84	77	78
mutS	656	589	136	82
ygbI	701	596	545	398
ygbJ	62	35	152	136
ygbK	83	56	144	123
ygbL	28	27	92	50
ygbM	48	34	103	73
ygbN	64	35	63	61
nlpD	40216	35415	63600	55788
pcm	632	533	240	156
surE	570	503	242	151
truD	1164	1052	263	210
ispD	468	424	44	35
cysC	1011	867	43	33
cysN	3931	3748	216	158
cysD	1964	1837	84	50
iap	230	202	138	133
cysH	2368	2318	50	41
cysI	4546	4707	74	31
cysJ	2541	2493	36	17
ygcQ	38	30	15	12
ygcR	21	22	3	5
ygcS	10	9	7	4
ygcU	99	111	29	21
ygcW	71	59	15	13
yqcE	66	64	30	22
ygcF	473	429	456	350
eno	13729	12550	1838	1349
pyrG	3528	3354	919	689
mazG	818	662	301	259
relA	3245	2915	2045	1440
barA	605	521	179	142
gudD	174	153	366	263
gudX	94	81	303	217
gudP	40	45	483	428
truC	181	123	9	8
queF	673	534	239	192
ygdH	1449	1239	879	833
sdaC	117	100	57	46
sdaB	112	96	69	66
exo	272	231	98	83
fucO	4493	3809	1479	940
fucA	887	756	358	248
fucP	153	110	252	225
fucI	418	400	373	257
fucK	277	269	256	211
fucR	2031	1791	575	460
ygdE	549	490	235	182
gcvA	284	243	242	214
csdA	237	195	109	89
ygdL	295	279	92	68
mltA	2118	1791	1064	833
amiC	560	467	85	64
argA	2756	2681	213	172
recD	569	517	106	71
ptr	1278	1115	302	234
recC	758	617	316	280
thyA	699	658	301	227
lgt	470	386	105	77
ptsP	1402	1164	459	324
mutH	257	201	189	169
ygdQ	128	92	76	77
tas	457	477	397	370
ygeD	345	333	106	69
aas	1065	940	143	92
galR	281	243	189	165
lysA	933	865	30	24
