"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_chemostat1","K12_chemostat2"
"43","agaR","agaR",1280,195.532031459749,-0.734775194197753,0.23616844076465,-3.11123362553756,0.00186307476733226,0.00343649962943084,146.452707262321,146.613464371775,252.088733634399,236.973220570501
"44","agaS","agaS",1860,9.48872337483223,0.844570475505735,0.741139446157197,1.13955677286485,0.254471003108656,0.323013999107278,12.9222976996166,11.8875781923061,7.00246482317776,6.14255278422854
"45","agp","agp",76,7305.79386721313,3.86681312576037,0.189880592471335,20.3644462840199,3.45738827695286e-92,1.07406496340601e-90,14214.5274695782,13155.5865328187,1072.63397060677,780.427495848826
"46","ahpF","ahpF",778,500.113868350277,-1.05879879985783,0.177635634148914,-5.96050902134998,2.51453420682597e-09,7.62107222376908e-09,314.442577357336,332.852189384569,676.186731386858,676.973975272345
"47","aidB","aidB",32,560.402278033099,4.30880821335382,0.165812933465654,25.9859597396625,7.13708107459304e-149,5.26582763034818e-147,1072.55070906817,1061.95698517934,51.1718583232221,55.9295595616598
"48","ais","ais",1856,6.01156009822271,1.01544171665271,0.887189474743696,1.14456014815332,0.252391408565517,0.321064717469389,8.61486513307771,7.92505212820404,3.95010836179258,3.55621476981652
"49","alaS","alaS",218,1744.39700919093,-2.06176306384698,0.14662282647186,-14.0616786175697,6.53182780503859e-45,7.07414928793399e-44,646.114884980828,697.404587281955,2798.47222394996,2835.59634055097
"50","aldA","aldA",1195,20968.6468225228,0.77359380429619,0.222069749782636,3.48356228191094,0.000494787982182599,0.000977568557266207,27210.0515228259,25772.2695209195,18735.1844096021,12157.0818367437
"51","aldB","aldB",98,2190.43784614234,4.32193815886916,0.231440323428641,18.6740931521457,8.04446164524888e-78,1.93805856575843e-76,4160.97985927653,4192.35257581993,250.652330593748,157.766618879133
"52","alkB","alkB",844,24.6985061803105,2.65675498552461,0.491758686328342,5.40255832664788,6.56970847204541e-08,1.83780588892171e-07,34.4594605323108,51.5128388333262,7.00246482317776,5.81926053242704
"53","allB","allB",705,74.2406762576979,1.97936423191232,0.30807501850048,6.4249423453633,1.31919506977176e-10,4.41790008472498e-10,94.7635164638548,142.650938307673,29.8053630935259,29.7428871657382
"54","allC","allC",1933,31.8329353956863,-0.453073580176575,0.485136587022468,-0.933909320171707,0.350350670756688,0.427924435414662,21.5371628326943,31.7002085128161,36.2691767764592,37.8251934607757
