	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_chemostat1	K12_chemostat2
metB	20	13	1820	952
metL	31	46	2146	1058
metF	32	39	4404	2423
katG	286	325	9272	4945
yijE	6	3	104	55
yijF	0	0	13	9
gldA	43	42	220	120
fsaB	5	4	70	45
ptsA	13	18	66	31
frwC	11	2	73	33
pflD	15	8	166	78
pflC	2	0	68	30
yijO	1	2	64	35
yijP	23	34	844	470
ppc	102	105	7400	4734
argE	60	80	1798	979
argC	27	23	2564	1154
argB	17	19	2310	962
argH	47	50	3892	1715
oxyR	41	39	1475	875
sthA	123	133	3761	2015
fabR	64	65	3849	1730
trmA	137	159	1061	621
btuB	55	39	2559	1323
murI	10	9	297	209
murB	17	34	2020	1053
birA	24	19	766	383
coaA	9	18	1398	743
tufB	1930	2155	163475	86216
rplA	327	367	24218	13173
rpoB	756	862	45087	25157
rpoC	873	1003	45883	24668
thiH	18	19	3330	2035
thiG	6	17	1607	1005
thiF	13	18	1824	1000
thiE	18	18	1492	949
thiC	65	54	5708	3529
nudC	54	44	538	282
hemE	29	26	639	391
nfi	3	2	309	159
yjaH	6	7	626	337
zraR	41	27	381	204
purD	17	15	1289	770
purH	11	13	1359	902
metA	55	71	2830	1533
aceA	1175	1147	69521	37379
aceK	492	555	9744	5271
iclR	40	23	956	590
metH	154	176	7644	4002
yjbB	67	62	465	244
pepE	11	13	643	270
yjbC	19	19	651	395
lysC	21	30	2937	1560
pgi	200	236	8932	5207
yjbF	0	0	4	2
yjbG	1	0	5	7
yjbH	13	5	104	43
xylE	12	28	89	47
malG	37	50	532	287
malF	14	16	2085	960
malE	135	128	22750	11078
malK	30	18	5572	2495
malM	55	75	1813	927
ubiA	173	171	948	450
plsB	145	160	3286	1746
lexA	514	558	1678	933
dinF	6	11	156	87
yjbM	2	2	11	10
yjbN	7	10	622	428
qor	262	367	1323	755
dnaB	14	12	1462	786
alr	4	11	517	307
tyrB	37	49	3682	2097
aphA	8	17	1286	454
uvrA	65	79	1319	782
yjcC	182	200	173	95
yjcE	22	45	619	379
actP	222	295	7670	3460
acs	2763	3261	29556	11825
nrfA	4	3	102	49
nrfC	0	2	7	7
nrfD	0	0	20	8
gltP	10	15	310	204
yjcO	28	38	743	383
fdhF	37	21	363	199
yjcQ	5	5	39	23
yjcR	2	1	12	13
phnL	6	8	22	16
phnK	5	2	30	13
phnJ	0	0	5	2
phnI	0	0	5	2
phnF	0	0	3	2
phnD	0	1	11	7
phnC	0	0	9	6
yjcZ	46	43	4050	2308
proP	56	77	2108	1729
basS	31	34	193	114
basR	58	82	217	93
eptA	61	51	123	59
adiC	8	8	24	8
adiY	4	8	9	10
adiA	5	4	78	35
melR	160	154	376	156
melA	114	105	307	148
melB	47	47	178	90
yjdF	8	7	166	86
fumB	24	26	298	122
dcuB	14	12	32	20
dcuR	11	16	749	369
dcuS	24	31	1307	636
lysU	21	29	861	518
yjdL	6	3	132	67
cadA	4	3	100	49
cadB	1	2	13	5
cadC	23	14	69	44
dipZ	6	5	692	417
dcuA	491	521	2441	1511
aspA	5068	5039	9167	3666
yjeH	12	18	290	173
groL	789	855	45051	28059
yjeJ	7	5	464	269
yjeK	16	17	717	406
frdB	330	376	752	310
frdA	1141	1238	2303	882
poxA	26	28	246	136
yjeP	12	12	732	442
psd	20	21	1146	694
rsgA	34	42	2135	1142
yjeS	83	65	426	214
yjeF	110	119	671	274
amiB	33	36	845	525
mutL	33	47	1109	596
miaA	620	633	8064	4539
hflX	216	232	6823	3838
hflK	144	137	5926	3503
hflC	111	123	4646	2795
purA	399	432	12429	7136
rnr	814	930	3977	2220
rlmB	46	49	467	302
yjfJ	2	3	21	15
yjfK	1	0	21	12
yjfC	2	2	24	6
aidB	249	268	285	173
yjfP	28	26	194	125
ulaR	25	33	497	242
ulaG	13	24	69	39
ulaA	4	7	78	38
ulaD	4	7	94	50
ulaE	10	5	106	49
ulaF	3	3	70	37
ytfB	207	212	1027	552
fklB	39	31	651	360
cycA	608	684	4379	1897
ytfE	11	10	92	41
ytfF	3	8	65	38
ytfG	11	6	147	74
cpdB	47	47	3135	1352
cysQ	1360	1294	1196	597
ytfL	33	27	261	159
msrA	60	37	363	224
ytfM	19	37	861	478
ytfQ	887	880	1328	476
ytfT	91	142	118	41
yjfF	117	180	141	47
fbp	127	120	906	505
mpl	31	35	2058	1130
pmbA	129	121	1485	853
nrdD	872	1156	588	306
treC	5	3	237	105
treB	10	13	435	173
treR	16	11	218	141
mgtA	80	95	5460	2881
pyrB	35	44	13369	7172
yjgI	0	4	32	23
argI	33	40	4681	1997
valS	210	238	8592	5002
pepA	290	288	4927	2711
yjgP	194	223	1467	882
yjgQ	135	150	937	530
yjgB	100	110	312	174
yjhT	81	85	340	185
yjhA	13	12	82	44
fimB	1	1	384	274
fimC	3	4	407	280
fimH	11	13	146	109
gntP	27	32	462	174
uxuA	62	51	922	434
uxuB	25	30	916	434
uxuR	123	127	564	292
yjiE	8	13	189	105
iadA	37	51	514	338
yjiH	0	0	14	12
yjiK	6	5	92	47
hgdC	2	7	59	22
yjiM	22	27	266	95
yjiN	34	36	161	95
yjiY	32	46	149	67
tsr	157	163	21818	11496
mdoB	82	117	2049	1152
dnaC	20	21	281	189
yjjP	1	6	65	36
yjjQ	1	1	4	3
bglJ	12	10	226	106
rsmC	10	19	535	329
yjjG	35	32	249	126
prfC	20	14	1983	1156
osmY	725	750	3121	1809
yjjU	23	38	728	379
yjjW	1	3	41	20
yjjI	72	70	64	47
deoC	122	154	330	184
deoA	133	176	739	353
deoB	302	334	2219	1246
deoD	127	181	3216	1798
ytjB	13	19	270	190
serB	8	14	885	437
radA	21	18	1101	632
nadR	206	228	1206	647
slt	96	97	1325	673
ytjC	27	43	1340	577
rob	573	616	1481	811
creB	14	13	632	362
creC	9	3	324	179
arcA	4434	4126	7612	4086
yjtD	22	18	255	158
