	YJ016_ASW1	YJ016_ASW2	YJ016_CMCP6ref_ASW1	YJ016_CMCP6ref_ASW2
VV1_RS05570	4046	983	3901	961
VV1_RS05580	293	104	266	91
VV1_RS05585	192	62	192	62
VV1_RS05655	1251	596	1250	596
VV1_RS05660	712	383	709	378
VV1_RS05725	18343	3080	18682	3126
VV1_RS05745	215	84	215	83
VV1_RS05760	864	459	881	464
VV1_RS05770	986	299	984	298
VV1_RS05780	3092	2580	3069	2565
VV1_RS05785	888	214	877	207
VV1_RS05800	1338	681	1327	662
VV1_RS05810	976	219	976	219
VV1_RS05820	997	289	989	287
VV1_RS05835	4742	3369	4582	3292
VV1_RS05840	426	319	443	319
VV1_RS05845	2002	1144	1986	1138
VV1_RS05850	226	52	211	46
VV1_RS05855	3413	918	3407	915
VV1_RS05875	15126	18146	15057	18059
VV1_RS05885	369	226	364	224
VV1_RS05890	4539	2456	4487	2428
VV1_RS05900	752	238	646	200
VV1_RS05930	5403	3036	5405	3028
VV1_RS05950	140	23	148	25
VV1_RS05975	259	83	259	82
VV1_RS05985	979	727	874	671
VV1_RS06000	3100	563	3093	566
VV1_RS06005	18855	6557	18378	6323
VV1_RS06010	726	113	951	149
VV1_RS06020	5751	1453	5747	1453
VV1_RS06025	340	360	329	340
VV1_RS06030	567	167	579	168
VV1_RS06035	394	320	429	333
VV1_RS06060	7845	2484	8247	2761
VV1_RS06065	421	319	417	319
VV1_RS06070	1006	650	987	640
VV1_RS06080	4842	2685	4837	2684
VV1_RS06135	619	215	632	226
VV1_RS06145	1530	643	1529	642
VV1_RS06165	6791	1961	6776	1948
VV1_RS06170	19070	3619	18984	3589
VV1_RS06175	17242	3957	17202	3941
VV1_RS06185	2223	793	2221	791
VV1_RS06190	12316	7380	12204	7352
VV1_RS06195	400	185	393	179
VV1_RS06205	372	154	351	142
VV1_RS06210	36813	12908	36550	12840
VV1_RS06215	3614	1576	3580	1555
VV1_RS06220	250	119	242	114
VV1_RS06225	1028	469	1026	468
VV1_RS06230	341	117	325	116
VV1_RS06250	33032	25144	33011	25111
VV1_RS06260	23891	30300	22915	29784
VV1_RS06265	2090	1004	2090	1004
VV1_RS06270	1840	998	1776	959
VV1_RS06280	3251	1853	3207	1807
VV1_RS06290	10248	2528	10246	2524
VV1_RS06300	4732	2328	4632	2289
VV1_RS06315	453	189	446	186
VV1_RS06325	744	268	749	272
VV1_RS06330	5384	2713	5380	2709
VV1_RS06335	2834	1301	2831	1297
VV1_RS06385	1604	512	1554	503
VV1_RS06410	1493	1426	1507	1459
VV1_RS06430	970	337	912	308
VV1_RS06450	6488	3091	6466	3087
VV1_RS06465	998	431	997	425
VV1_RS06475	722	362	607	289
VV1_RS06490	11988	3505	11980	3499
VV1_RS06495	2113	1158	2109	1154
VV1_RS06500	1504	693	1492	685
VV1_RS06510	137	61	103	55
VV1_RS06515	617	307	561	274
VV1_RS06520	441	206	431	202
VV1_RS06530	5902	1596	5764	1546
VV1_RS06535	4233	2884	4223	2868
VV1_RS06540	630	410	639	410
VV1_RS06560	620	263	613	260
VV1_RS06575	10781	3766	10773	3765
VV1_RS06580	1473	295	1470	296
VV1_RS06585	331	141	331	139
VV1_RS06610	831	283	854	297
VV1_RS06615	2519	1175	2507	1159
VV1_RS06625	1070	268	1070	269
VV1_RS06650	566	222	566	220
VV1_RS06660	895	299	900	299
CYSJ	5186	1376	5106	1347
VV1_RS06675	6051	1230	5760	1198
VV1_RS06680	6523	1900	6289	1721
VV1_RS06715	90897	24982	90394	24768
VV1_RS06720	36342	10049	35711	9855
VV1_RS06725	13936	4642	14132	4692
VV1_RS06735	395	119	391	119
VV1_RS06740	1935	1364	1929	1361
VV1_RS06745	3133	2511	3116	2484
VV1_RS06755	24921	2717	24928	2718
VV1_RS06760	2885	2188	2882	2187
VV1_RS06770	18034	4335	21574	5145
VV1_RS06780	7891	2473	7890	2462
VV1_RS06790	26765	9438	26483	9328
VV1_RS06795	26246	7640	26517	7826
VV1_RS06800	16089	4167	15950	4106
VV1_RS06805	15176	4148	14895	4076
