	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
hyfG	19	20	13	8
hyfI	14	8	4	3
perM	320	245	277	211
yfgC	1642	1487	786	549
hda	436	356	158	106
uraA	576	554	23	21
upp	2141	2143	48	18
purM	2791	2517	123	98
purN	499	460	46	36
ppk	915	784	882	751
ppx	659	605	302	244
yfgF	110	89	74	48
guaA	2036	1880	389	333
guaB	1433	1247	117	98
xseA	253	215	63	50
der	1605	1421	373	281
yfgL	4217	3794	650	501
yfgM	1800	1712	343	266
hisS	3265	2891	724	521
ispG	1607	1445	962	703
yfgA	1339	1118	953	752
yfgB	1031	948	179	129
pbpC	229	195	36	41
sseA	2619	2158	1260	1045
sseB	592	489	485	354
pepB	1578	1384	668	467
hscA	1698	1661	707	554
iscS	7660	8281	9161	6867
yfhQ	488	388	393	311
suhB	878	721	58	42
yfhR	25	26	13	10
hcaT	299	216	235	181
hcaR	5498	4341	1872	1437
hcaE	43	37	29	20
hcaB	29	29	9	3
yphB	69	65	171	113
yphC	82	56	192	111
yphD	35	31	163	95
yphE	114	98	363	260
yphF	112	93	454	319
yphH	187	160	107	94
glyA	16726	15274	2009	1581
hmp	963	832	1190	1069
yfhA	444	335	42	31
yfhG	286	262	58	30
yfhK	477	374	137	96
yfhD	184	168	46	19
yfhB	242	200	282	177
yfhH	272	217	73	70
pdxJ	1408	1266	243	165
recO	339	352	47	45
era	1106	949	112	72
rnc	691	590	90	74
lepB	1490	1339	242	210
lepA	3573	3253	364	264
rseB	1648	1264	675	507
rseA	7225	5984	6881	5367
yfiC	218	200	36	17
srmB	327	287	153	116
yfiE	125	120	210	171
ung	391	341	127	104
yfiF	737	683	112	97
yfiP	74	49	21	18
yfiQ	3946	3295	4393	3565
pssA	4029	3503	2622	2061
kgtP	4746	4081	3028	2260
clpB	5540	5135	22700	19108
yfiH	179	159	51	59
rluD	561	498	285	260
yfiO	3585	3271	951	649
pheA	883	849	446	354
tyrA	1470	1481	281	198
aroF	2007	1884	249	186
yfiN	107	78	95	65
trmD	16382	15633	2182	1823
ffh	1428	1321	1073	979
ypjD	348	278	84	53
yfjD	582	470	202	174
yfjB	315	279	232	178
recN	309	271	581	468
gabT	1048	820	351	226
gabP	262	229	124	87
csiR	338	227	274	231
nrdF	106	71	33	22
proV	283	225	77	68
proW	76	92	25	26
proX	248	223	54	36
ygaZ	597	490	218	156
emrA	141	123	18	8
emrB	135	139	40	34
gshA	2255	2150	885	656
alaS	11708	11123	1856	1378
recA	3726	3311	1640	1383
mltB	106	91	6	11
srlE	31	34	109	88
srlD	92	93	186	116
srlR	412	347	587	490
gutQ	420	347	347	253
norV	24	17	30	22
norW	17	17	14	7
ascG	419	359	98	84
ascF	35	41	85	68
hycG	64	56	14	8
hycE	21	22	4	1
hycD	8	5	2	0
hycC	12	11	5	6
hycB	2	2	0	0
hypB	126	105	73	51
hypD	121	107	40	48
hypE	100	99	44	42
fhlA	87	84	73	72
mutS	656	589	125	76
ygbI	701	596	542	396
ygbJ	62	35	152	136
ygbK	83	56	131	113
ygbL	28	27	99	55
ygbM	48	34	102	70
ygbN	64	35	63	61
nlpD	40216	35415	64583	56790
pcm	632	533	240	156
surE	570	503	153	94
truD	1164	1052	263	209
ispD	468	424	40	34
cysC	1011	867	43	33
cysN	3931	3748	203	148
cysD	1964	1837	84	50
iap	230	202	134	128
cysH	2368	2318	40	34
cysI	4546	4707	69	31
cysJ	2541	2493	36	17
ygcQ	38	30	15	12
ygcR	21	22	3	5
ygcS	10	9	7	4
ygcU	99	111	28	20
ygcW	71	59	15	13
yqcE	66	64	27	22
ygcF	473	429	456	349
eno	13729	12550	1828	1343
pyrG	3528	3354	895	674
mazG	818	662	281	242
relA	3245	2915	1792	1283
barA	605	521	177	141
gudD	174	153	357	253
gudX	94	81	258	182
gudP	40	45	465	410
truC	181	123	9	8
queF	673	534	235	186
ygdH	1449	1239	879	832
sdaC	117	100	55	46
sdaB	112	96	66	61
exo	272	231	97	83
fucO	4493	3809	1479	940
fucA	887	756	361	249
fucP	153	110	235	203
fucI	418	400	368	248
fucK	277	269	256	211
fucR	2031	1791	575	460
ygdE	549	490	235	182
gcvA	284	243	233	207
csdA	237	195	98	73
ygdL	295	279	88	65
mltA	2118	1791	997	781
amiC	560	467	80	57
argA	2756	2681	192	161
recD	569	517	103	69
ptr	1278	1115	291	224
