	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_batch1	K12_batch2
rbsB	2848	3864	2861	3898
rbsK	779	1025	784	1030
rbsR	197	245	199	247
hsrA	180	231	182	237
yieP	666	929	700	1002
hdfR	502	707	502	708
yifB	207	273	210	277
ilvE	2220	3249	2340	3412
ilvD	1915	2859	2200	3304
ilvA	784	1239	1039	1654
ilvY	97	125	156	217
ilvC	42041	62877	50213	75232
rep	746	983	856	1155
gpp	972	1146	979	1160
rhlB	2790	3466	2842	3538
rho	3235	3705	3366	3879
rfe	1507	2181	1540	2236
wzzE	944	1459	958	1465
rffE	1000	1517	1020	1543
rffD	961	1359	1004	1412
rffG	716	997	735	1026
rffH	383	531	414	574
rffC	278	387	295	406
rffA	562	783	566	790
wzxE	443	668	469	694
rffT	284	418	306	446
wzyE	262	345	265	347
rffM	301	422	397	527
yifK	1397	2036	1410	2055
hemY	1178	1768	1329	1975
hemX	1561	2193	1606	2255
hemD	612	689	626	708
hemC	533	768	577	826
cyaA	4330	5662	4550	5944
dapF	1111	1696	1111	1696
yigA	653	970	680	1012
xerC	1049	1411	1069	1450
yigB	590	787	593	794
uvrD	741	1103	838	1244
yigE	46	70	47	72
corA	904	1322	960	1391
rarD	151	192	158	201
pldA	961	1387	995	1425
recQ	621	905	666	977
rhtC	386	542	403	580
rhtB	383	527	287	397
pldB	598	832	779	1103
yigL	432	604	454	633
yigM	111	144	124	150
metR	325	473	344	510
ysgA	623	904	726	1071
udp	806	1278	806	1280
rmuC	317	416	328	429
ubiE	1497	2070	1497	2070
yigP	650	949	341	538
ubiB	1244	1772	1246	1776
tatC	853	1262	853	1264
tatD	278	416	278	417
ubiD	1851	2714	1945	2855
fre	1305	1966	1350	2032
fadA	107	151	108	157
fadB	208	262	220	275
pepQ	3272	4524	3657	5104
yigZ	399	603	405	628
trkH	682	958	706	982
yihE	1509	1977	1533	2007
dsbA	3596	5010	3608	5027
yihG	121	166	127	171
polA	3179	4305	3180	4311
hemN	976	1396	976	1399
glnG	631	967	635	968
glnL	538	737	538	737
glnA	6611	8393	6752	8620
bipA	13702	21180	13873	21448
yihL	97	133	108	156
yihM	152	193	152	194
yihN	46	67	47	68
ompL	13	9	13	9
yihO	31	31	32	32
yihP	23	36	28	43
yihQ	27	25	28	26
yihS	64	92	64	92
yihT	30	44	30	44
yihU	16	12	16	12
yihV	47	58	47	58
yihW	291	398	291	398
rbn	376	523	412	578
yiiD	1107	1565	1211	1762
fdhE	298	445	338	500
fdoI	135	154	135	154
fdoH	128	202	135	212
fdoG	1601	2203	1626	2231
fdhD	322	532	325	539
frvB	14	27	15	29
rhaD	11	23	13	27
rhaA	13	21	14	28
rhaS	29	39	29	41
rhaR	37	48	37	49
sodA	32199	37801	32206	37809
kdgT	95	121	95	121
yiiM	395	511	402	523
cpxA	1513	2216	1537	2257
cpxR	1681	2433	1681	2433
fieF	1321	1749	1321	1750
pfkA	4721	7056	4770	7143
sbp	1165	1523	1225	1595
cdh	198	287	232	327
tpiA	8186	12299	8947	13466
fpr	890	1222	1012	1357
glpX	603	867	604	868
glpK	9579	13349	10067	14086
glpF	2347	2677	2347	2677
menA	475	666	477	668
hslU	3055	4452	3096	4503
ftsN	742	1020	766	1072
cytR	688	839	693	859
yiiX	119	195	235	351
metB	1848	2117	1863	2135
metL	1701	2792	1833	2988
metF	5190	7645	5735	8489
katG	4415	6948	4861	7665
yijE	84	112	90	117
yijF	8	11	12	19
gldA	95	177	103	191
fsaB	32	29	33	44
ptsA	23	39	25	42
frwC	12	17	12	17
pflD	72	113	74	126
pflC	22	48	24	53
yijO	55	51	60	53
yijP	874	1080	1020	1237
ppc	9134	12955	9389	13235
argE	2324	3419	2380	3492
argC	3401	4796	3400	4794
argB	2756	4113	2756	4113
argH	4612	7606	4691	7738
oxyR	1262	1849	1280	1887
sthA	1048	1322	1071	1366
fabR	1630	2178	1629	2173
trmA	744	1018	813	1097
btuB	2286	3043	2290	3049
murI	199	322	230	362
murB	2036	2724	2073	2802
birA	725	969	766	1033
coaA	1126	1495	1132	1500
tufB	149286	226469	149249	226426
rplA	26843	40361	26843	40361
rpoB	36328	53344	36343	53371
rpoC	36143	58371	36523	59020
thiH	2694	3744	3028	4179
thiG	1419	2022	1439	2048
thiF	1546	2266	1557	2284
thiE	1326	2000	1332	2005
thiC	5560	7342	5570	7354
nudC	547	767	547	767
hemE	725	1049	726	1051
nfi	279	461	279	461
yjaH	396	518	438	581
zraR	230	348	240	364
purD	1631	2580	1663	2648
purH	1705	2557	1839	2800
metA	2987	4391	3174	4665
aceA	13650	20893	14563	22214
aceK	2013	2746	2420	3354
iclR	927	1154	973	1201
metH	7269	9861	7792	10602
yjbB	300	458	318	489
pepE	83	156	84	157
yjbC	439	637	644	854
lysC	5168	7625	5476	7951
pgi	9314	13296	10170	14411
yjbF	8	10	8	12
yjbG	8	10	8	11
yjbH	54	67	57	74
xylE	70	102	73	106
malG	39	57	41	58
malF	122	142	122	143
malE	1196	1505	1274	1617
malK	242	262	243	271
malM	159	184	159	186
ubiA	519	738	550	769
plsB	2350	3367	2437	3502
lexA	1181	1730	1183	1737
dinF	111	168	122	180
yjbM	7	18	7	18
yjbN	632	871	678	938
qor	717	1047	757	1110
dnaB	1359	1869	1450	2046
alr	532	784	544	811
tyrB	3215	4757	3219	4768
aphA	145	205	148	207
uvrA	707	1002	852	1169
yjcC	131	166	131	166
yjcE	557	836	573	866
actP	127	175	134	193
acs	890	1205	899	1224
nrfA	60	99	60	99
nrfC	5	5	7	6
nrfD	9	10	9	10
gltP	832	1284	854	1338
yjcO	348	424	357	440
fdhF	236	381	241	386
yjcQ	36	33	38	35
yjcR	12	20	13	20
phnL	19	18	20	22
phnK	5	18	6	19
phnJ	2	1	2	1
phnI	1	2	1	3
phnF	2	4	3	5
phnD	2	7	3	10
phnC	2	6	0	6
yjcZ	1461	2175	1487	2231
proP	2973	4315	3017	4384
basS	218	277	169	198
basR	96	152	99	165
eptA	63	101	63	103
adiC	13	22	13	23
adiY	12	17	12	17
adiA	50	52	50	51
melR	85	129	85	129
melA	53	91	55	92
melB	85	113	86	113
yjdF	166	223	174	235
fumB	80	110	80	110
dcuB	21	30	21	30
dcuR	296	430	308	443
dcuS	561	691	584	729
lysU	860	1189	879	1218
yjdL	94	132	95	136
cadA	94	92	95	95
cadB	3	11	3	11
cadC	49	88	50	89
dipZ	573	773	588	798
dcuA	1825	2523	1836	2532
aspA	976	1373	977	1374
yjeH	265	416	267	423
groL	39580	60618	40410	61987
yjeJ	348	458	351	466
yjeK	553	709	671	879
frdB	166	261	166	262
frdA	435	792	441	797
poxA	254	385	254	385
yjeP	507	788	575	868
psd	870	1215	874	1221
rsgA	1723	2278	1725	2285
yjeS	328	446	330	438
yjeF	386	532	413	561
amiB	662	1028	714	1096
mutL	907	1218	954	1293
miaA	5976	8575	5985	8590
hflX	5640	7959	5662	7978
hflK	5087	7357	5095	7364
hflC	4230	6131	4236	6143
purA	9025	13090	9093	13210
rnr	3468	5303	3533	5435
rlmB	397	661	425	706
yjfJ	13	16	14	17
yjfK	6	11	6	13
yjfC	19	32	23	42
aidB	162	230	177	262
yjfP	181	255	187	261
ulaR	359	479	369	488
ulaG	52	90	63	106
ulaA	15	15	20	20
ulaD	47	86	47	86
ulaE	40	73	51	84
ulaF	33	40	44	52
ytfB	832	1072	783	1017
fklB	611	711	613	715
cycA	1297	2101	1383	2226
ytfE	55	79	56	84
ytfF	39	70	42	72
ytfG	102	134	106	135
cpdB	825	1125	1021	1367
cysQ	674	1054	703	1101
ytfL	163	256	166	259
msrA	273	351	274	352
ytfM	818	1223	861	1295
ytfQ	84	97	113	142
ytfT	13	29	16	36
yjfF	35	45	41	55
fbp	830	1125	832	1130
mpl	1734	2512	1903	2772
pmbA	1271	1814	1357	1943
nrdD	215	337	247	376
treC	52	89	54	91
treB	52	91	56	98
treR	159	202	165	214
mgtA	5054	6582	5191	6762
pyrB	9658	13542	9665	13557
yjgI	40	38	40	39
argI	3166	4866	3997	6088
valS	8188	12502	8826	13520
pepA	3933	6164	4109	6436
yjgP	1327	1911	1340	1925
yjgQ	773	1173	817	1234
yjgB	115	183	135	203
yjhT	157	230	168	241
yjhA	26	45	26	45
fimB	676	861	676	861
fimC	359	466	366	472
fimH	119	162	135	176
gntP	56	89	56	90
uxuA	154	274	159	290
uxuB	182	300	186	310
uxuR	386	609	396	622
yjiE	217	283	217	287
iadA	595	866	629	910
yjiH	23	28	23	28
yjiK	82	109	67	81
hgdC	7	17	7	20
yjiM	36	41	40	43
yjiN	70	117	98	140
yjiY	70	68	70	71
tsr	14810	21353	16027	23175
mdoB	1447	1996	1527	2089
dnaC	204	307	207	309
yjjP	37	49	39	52
yjjQ	4	5	4	5
bglJ	196	251	196	252
rsmC	524	730	530	743
yjjG	176	297	189	326
prfC	2296	3291	2587	3758
osmY	1790	2458	1804	2477
yjjU	537	844	543	849
yjjW	20	50	27	62
yjjI	66	87	67	87
deoC	226	360	240	384
deoA	307	491	326	520
deoB	848	1289	1045	1561
deoD	1768	2490	2084	2904
ytjB	252	343	264	351
serB	843	1201	870	1260
radA	1025	1554	1140	1690
nadR	806	1110	1097	1553
slt	829	1264	868	1336
ytjC	557	844	575	863
rob	1025	1422	1125	1544
creB	451	660	569	837
creC	259	358	276	384
arcA	4067	5293	4094	5336
yjtD	227	272	240	290
