	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_batch1	K12_batch2
dinG	217	327	235	362
ybiB	713	895	716	906
ybiC	5230	6999	5256	7057
ybiX	109	151	113	154
fiu	884	1064	931	1118
ybiN	279	421	328	473
ybiO	74	137	83	156
glnQ	964	1687	1059	1808
glnP	954	1462	960	1467
glnH	3931	4933	3935	4937
rhtA	77	104	78	104
ybiR	336	454	340	455
ybiS	1970	2541	2072	2669
ybiT	2423	3349	2545	3528
ybiU	286	424	289	427
ybiV	666	770	674	774
ybiW	71	89	82	102
ybiY	18	25	20	25
fsaA	95	133	106	143
moeB	345	483	412	585
moeA	529	841	590	929
iaaA	2554	3756	2493	3671
yliA	2059	2939	2086	2977
yliB	1512	2214	1645	2399
yliC	481	711	496	732
yliD	378	502	403	534
yliE	886	1216	936	1286
yliF	364	473	365	480
yliG	729	964	729	964
yliI	85	121	85	122
yliJ	1747	2450	1756	2456
dacC	1606	2446	1664	2521
deoR	574	786	575	788
cmr	260	339	266	340
ybjI	466	643	481	670
ybjJ	190	282	191	283
ybjL	564	828	568	840
nfsA	758	1041	758	1041
rimK	453	717	466	735
potF	1292	1950	1400	2120
potG	342	536	520	811
potH	226	365	238	384
potI	124	255	146	289
rumB	219	306	324	438
artJ	4849	6143	5870	7446
artM	606	952	665	1006
artQ	471	758	471	758
artI	1393	2142	1426	2203
artP	920	1154	920	1154
ybjR	321	541	326	547
ybjS	257	329	257	329
ybjT	472	700	521	750
ltaE	726	1105	821	1259
poxB	520	700	637	835
hcr	19	29	19	29
hcp	28	45	28	46
ybjE	83	94	83	94
aqpZ	66	86	66	86
ybjD	723	1037	787	1130
ybjX	2796	3609	2801	3614
macA	482	673	488	674
macB	403	626	419	685
clpA	14381	21583	14584	21891
aat	127	143	127	143
cydC	702	1060	766	1131
cydD	897	1204	928	1244
trxB	5289	7755	5607	8278
lolA	1262	1592	1260	1590
ycaJ	489	642	511	675
serS	3043	4674	3187	4917
dmsA	124	244	135	252
dmsB	28	58	33	64
dmsC	50	84	60	103
ycaC	213	249	216	254
ycaD	314	443	343	488
ycaM	37	45	38	45
ycaN	90	148	91	148
pflA	427	545	429	547
pflB	22183	33244	22310	33451
focA	1567	2231	1642	2326
ycaO	1611	2007	1635	2061
ycaP	183	202	206	225
serC	15175	22301	15605	22902
aroA	9303	12196	9402	12319
ycaL	85	123	79	103
cmk	7893	9163	7922	9224
rpsA	92850	131669	93139	132026
msbA	2180	2998	2258	3114
lpxK	321	521	324	526
kdsB	1454	2219	1508	2305
ycbJ	175	252	175	252
smtA	942	1254	1001	1344
mukF	1549	2181	1507	2123
mukE	998	1215	1027	1255
mukB	5220	7749	5609	8273
ycbB	787	1204	791	1209
ycbL	1918	2853	1920	2862
aspC	6074	7927	6162	8045
ompF	241382	312413	241435	312515
asnS	7257	10880	7553	11296
pncB	2225	3109	2300	3230
pepN	2753	3549	3094	4004
ssuC	14	18	14	19
ssuA	12	21	12	23
ycbR	17	17	17	17
ycbT	60	94	74	114
ycbF	72	100	73	107
pyrD	957	1291	957	1291
ycbX	618	807	619	808
ycbY	1395	2091	1448	2158
uup	2361	3320	2378	3333
pqiA	437	657	437	658
pqiB	1003	1371	944	1308
ycbZ	1586	2203	1591	2208
yccR	300	337	300	337
yccS	696	973	701	979
helD	1456	2149	1459	2155
yccT	25	24	25	24
yccW	668	939	884	1216
yccA	3760	5116	4108	5564
hyaA	15	17	15	17
hyaB	22	30	22	31
hyaC	15	30	15	30
hyaF	28	28	28	28
appC	82	130	82	131
appB	52	75	53	73
appA	77	114	77	114
yccC	326	495	326	495
yccZ	77	115	77	115
ymcA	66	91	69	100
ymcB	11	15	12	15
ymcC	17	29	17	29
yccM	35	60	33	62
torR	147	229	155	243
torC	28	37	28	39
torA	79	113	80	120
cbpA	632	977	649	994
agp	503	759	509	780
rutG	61	88	67	107
rutD	8	11	8	11
rutB	4	7	4	7
rutA	6	12	6	12
rutR	229	357	231	367
putP	1249	1889	1346	2074
efeO	1277	1863	1308	1919
efeB	636	978	652	1002
phoH	1256	1596	1257	1597
ycdW	1375	2067	1375	2071
ycdX	1557	2026	1562	2041
csgG	209	318	242	363
csgD	389	527	402	546
ymdC	396	552	396	554
mdoC	191	245	201	258
mdoG	2834	3624	3011	3822
mdoH	2287	3327	2299	3343
mdtG	39	63	40	64
lpxL	147	192	152	194
yceA	2694	3444	2811	3579
solA	1032	1337	1128	1459
pyrC	1122	1350	1297	1596
grxB	585	727	586	728
mdtH	17	31	18	32
yceH	755	1052	785	1113
mviM	576	938	588	973
mviN	332	423	334	426
flgA	4079	5309	4095	5330
flgD	8881	11933	8892	11956
flgF	4302	6224	5532	7855
flgG	6481	8925	6519	8987
flgH	2265	3066	2265	3066
flgI	2333	3293	2478	3432
flgJ	1875	2482	1914	2519
flgK	12702	16519	13374	17317
flgL	11333	15132	13802	18309
rluC	2057	2850	2057	2850
plsX	3736	5380	3753	5408
fabH	5473	7749	5493	7779
fabD	7894	11107	7955	11224
fabG	13466	18259	13468	18270
fabF	7740	12700	8084	13271
pabC	380	535	385	538
yceG	314	394	332	423
tmk	249	375	257	384
holB	294	432	308	452
ycfH	524	671	525	672
ptsG	18429	27324	18444	27338
fhuE	315	482	323	495
ycfM	845	1238	854	1256
ycfN	527	767	531	772
nagZ	1433	1919	1513	2002
ndh	1791	2657	1816	2707
ycfQ	423	562	423	563
ycfS	335	409	338	411
mfd	2404	3382	2551	3579
lolC	690	874	691	875
lolD	332	455	386	516
lolE	1063	1457	1077	1478
ycfX	674	957	731	1044
cobB	864	1218	932	1312
potD	4251	6115	5448	7821
potC	1092	1341	1097	1352
potB	486	631	513	663
potA	973	1201	882	1099
pepT	1195	1778	1275	1923
ycfD	1172	1737	1220	1799
phoQ	1382	1793	1389	1803
phoP	1633	2201	1757	2369
purB	1180	1483	1267	1599
hflD	297	372	302	376
trmU	1180	1554	1180	1555
ymfC	138	185	151	198
icd	62906	89591	69772	99814
ycgE	855	1084	845	1083
ycgF	306	295	306	295
ycgG	30	45	30	45
minD	4001	5877	4003	5884
minC	1499	1968	1551	2023
ycgM	747	1223	809	1317
umuC	103	129	104	130
nhaB	281	383	281	385
fadR	725	976	731	980
ycgB	396	496	404	506
dadA	326	603	380	652
dadX	242	383	257	405
cvrA	860	1091	928	1192
emtA	842	1269	873	1319
ycgR	3347	3823	3366	3842
treA	99	104	99	104
dhaH	1032	1540	1040	1551
dhaL	583	814	591	817
dhaK	885	1149	888	1161
dhaR	349	511	361	526
ychF	4550	6411	4559	6428
ychM	138	230	141	232
prsA	2951	3699	2953	3700
ispE	968	1326	972	1331
lolB	726	960	726	960
hemA	949	1284	973	1317
prfA	963	1210	999	1271
prmC	274	343	274	343
ychA	1345	1921	1348	1922
kdsA	3563	5165	3567	5170
chaA	1174	1535	1202	1586
chaC	385	581	363	536
ychP	256	360	322	437
narL	353	525	355	533
narX	351	524	353	533
narK	16	37	17	37
narG	124	187	124	187
narH	63	141	63	142
narJ	14	36	20	47
narI	17	54	18	54
purU	4480	5865	4670	6088
rssA	878	1099	783	1000
rssB	521	662	534	688
galU	3668	5654	3680	5678
tdk	956	1173	956	1173
adhE	8711	11904	8731	11950
ychE	137	157	138	159
oppA	41857	58053	42043	58259
oppB	5548	7740	5576	7788
oppC	5702	7723	5705	7731
oppD	5282	8015	5577	8451
oppF	5165	7653	5545	8179
cls	1298	1860	1383	1989
kch	346	532	362	554
tonB	1056	1501	1124	1552
yciC	613	842	626	869
ompW	423	791	443	825
trpA	1950	2915	2004	2985
trpB	3661	5418	3725	5483
trpD	1726	2442	1909	2682
trpE	611	825	833	1084
yciV	840	1045	842	1046
yciO	626	799	672	868
rluB	1160	1828	1425	2196
yciK	543	708	558	724
sohB	2705	3858	2838	4037
topA	8147	11663	8171	11701
cysB	1379	1838	1449	1925
acnA	2875	3926	3051	4144
pgpB	389	544	389	544
yciM	1068	1499	1076	1510
pyrF	1551	2419	1558	2431
deoT	341	370	372	402
gmr	485	583	486	588
rnb	6505	8918	6609	9053
fabI	9524	14117	9584	14235
sapF	146	180	148	182
sapD	313	389	313	389
sapC	122	164	129	173
sapB	143	204	147	208
sapA	289	412	289	412
puuP	98	140	99	142
puuA	630	830	683	924
puuD	473	652	477	662
puuB	50	87	55	99
puuE	77	102	82	106
pspF	200	261	200	261
pspA	1421	1884	1447	1929
ycjM	20	25	20	25
ycjN	10	11	10	11
ycjO	6	7	6	7
ycjP	12	9	12	9
ycjQ	13	29	15	35
ycjR	15	27	16	30
ycjS	48	57	49	58
ycjU	1	8	1	9
ompG	4	5	5	6
ycjW	137	158	178	205
ycjX	282	490	462	753
ycjF	368	537	397	574
tyrR	1333	2109	1341	2122
ycjG	371	448	381	471
mpaA	196	245	195	241
ycjZ	269	376	280	389
mppA	782	1116	798	1135
ynaI	366	453	403	499
uspE	3005	4170	3015	4183
fnr	3109	4444	3109	4444
abgT	39	48	46	65
abgB	43	52	50	59
abgA	33	56	34	57
abgR	93	143	96	153
ydaM	226	318	229	328
ydaN	480	745	487	752
dbpA	191	277	200	287
ydaO	1272	1901	1397	2058
ompN	1330	1987	1567	2481
ldhA	811	1241	836	1276
feaR	166	218	166	221
feaB	203	284	206	290
maoC	19	31	20	32
paaA	12	23	12	23
paaC	14	22	15	24
paaJ	17	34	17	36
paaF	8	29	9	33
paaG	17	19	19	20
paaH	37	54	39	56
paaE	147	180	147	185
paaK	117	168	122	170
paaX	338	473	398	554
ydbC	85	136	108	173
azoR	335	467	366	514
hrpA	1874	2736	2234	3219
ydcF	476	571	482	579
aldA	5903	7352	5976	7454
trg	1344	1778	1403	1839
ydcI	880	1024	893	1038
ydcJ	75	114	75	114
mdoD	1584	2219	1625	2291
ydcK	168	218	176	230
tehA	224	302	224	306
ydcL	1056	1425	1092	1470
ydcO	39	68	40	70
ydcP	1312	2022	1347	2079
ydcR	431	615	439	623
ydcS	55	96	56	96
ydcT	25	24	25	24
ydcU	23	42	23	42
ydcV	63	103	66	105
ydcW	273	451	291	477
yncB	284	436	351	517
yncC	111	160	111	160
yncD	517	660	519	665
yncE	6047	8269	6407	8709
ansP	244	336	248	340
