	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
ddpA	124	99	124	98
dos	322	234	307	222
yddV	351	239	329	223
yddW	377	352	364	344
gadC	119	103	117	99
gadB	172	154	172	154
ydeM	274	240	267	235
ydeN	2786	2577	2784	2571
ydeO	6	6	6	6
ydeP	231	203	211	184
ydeQ	15	15	14	15
lsrK	552	462	529	435
lsrR	1077	936	1007	882
lsrC	240	161	218	146
lsrD	175	127	174	127
lsrB	666	569	641	552
lsrF	751	693	723	668
tam	201	163	195	156
yneE	62	51	62	49
uxaB	275	239	258	218
yneF	253	205	206	162
yneH	227	206	223	204
yneI	143	110	128	97
ydeA	64	46	63	46
marC	95	83	95	81
eamA	721	574	683	545
ydeE	109	83	107	80
ydeH	656	527	652	525
dcp	2441	2236	2338	2154
ydfG	1971	1654	1934	1625
ydfH	419	352	413	349
ydfT	70	41	70	41
ydfU	13	12	13	12
rspB	242	168	220	152
rspA	738	572	456	380
ynfC	370	299	370	299
ynfF	85	64	85	64
ynfG	19	23	19	22
ynfH	123	122	122	122
dmsD	150	127	150	127
clcB	33	24	33	24
ynfK	745	632	745	632
dgsA	4282	3311	4211	3255
ynfL	55	43	55	39
ynfM	56	48	55	44
ydgD	231	198	202	175
ydgG	90	102	87	100
pntB	13964	13573	13597	13212
pntA	18161	17493	17514	16783
ydgH	6688	5705	6681	5699
ydgI	178	149	155	141
folM	355	331	350	329
rstA	742	762	741	761
rstB	882	685	872	680
tus	281	240	278	236
fumC	4777	3900	4422	3585
fumA	26011	24513	24905	23451
manA	1017	988	933	918
ydgA	2036	1908	1896	1770
uidC	46	28	46	28
uidB	63	43	60	41
uidA	273	234	256	220
hdhA	724	700	679	658
malI	137	144	132	138
malX	306	305	303	303
malY	601	557	547	506
add	428	351	428	351
ydgJ	1561	1313	1561	1311
rsxD	183	156	180	154
rsxG	146	107	145	105
rsxE	99	65	99	64
nth	108	84	108	84
ydgR	216	163	211	155
gst	1874	1653	1872	1650
pdxY	557	541	555	539
tyrS	4328	4031	4317	4019
pdxH	718	696	670	641
anmK	848	753	777	691
ydhJ	29	39	26	35
ydhF	508	446	506	446
nemA	236	250	231	238
rnt	95	88	95	88
ydhO	721	623	721	623
ydhP	91	75	91	75
purR	2180	1977	2087	1906
ydhB	125	89	122	86
ydhC	56	45	55	44
cfa	416	323	394	306
ribC	985	892	937	846
mdtK	211	150	208	149
ydhQ	938	760	869	697
ydhS	35	30	35	29
ydhT	50	40	50	39
ydhU	98	68	98	67
ydhX	43	56	42	55
ydhV	108	69	98	66
ydhY	11	6	11	6
pykF	1771	1740	1772	1735
ynhG	343	281	339	276
sufS	550	380	463	314
sufC	337	223	317	214
sufB	621	462	599	442
ydiK	453	380	451	379
ydiM	36	18	35	18
ydiN	52	41	52	41
ydiB	82	77	77	74
aroD	421	368	386	338
ydiF	20	26	18	23
ydiO	38	21	38	21
ydiP	138	137	138	137
ydiQ	21	13	21	13
ydiR	32	30	32	29
ydiS	23	19	22	16
ydiD	142	82	137	80
pps	25294	23474	24242	22545
ydiA	275	223	273	221
aroH	164	157	155	149
ydiV	433	312	403	282
btuD	337	288	322	283
btuC	317	235	299	227
pheT	9569	8861	9176	8519
pheS	2910	2611	2796	2534
thrS	24342	21660	22223	19885
ydiY	48	43	45	42
pfkB	187	174	186	170
yniA	1406	1235	1353	1190
yniC	324	312	307	283
ydjN	2626	2410	2558	2352
katE	180	198	162	172
chbF	202	241	195	238
chbR	249	226	245	223
chbC	217	187	217	187
nadE	1256	1169	1214	1120
ydjQ	63	56	60	55
astE	69	73	69	73
astB	102	68	98	67
astA	85	68	85	67
astC	144	101	144	101
xthA	584	546	583	545
ydjX	92	66	88	62
ydjZ	47	50	47	47
ynjE	912	871	808	753
ynjF	62	53	62	53
gdhA	10066	10826	8923	9680
topB	1775	1512	1642	1405
selD	2674	2390	2114	1936
sppA	1109	943	1083	947
ansA	393	347	385	343
pncA	582	481	538	449
ydjE	84	68	83	65
ydjF	525	400	525	400
ydjG	167	149	167	149
ydjH	69	88	69	88
ydjI	75	118	75	118
ydjJ	109	85	106	82
ydjK	78	86	76	83
ydjL	87	78	85	77
gapA	18990	17862	18944	17827
yeaD	297	281	287	266
yeaE	330	327	320	318
mipA	2640	2369	2633	2363
yeaG	327	286	316	269
yeaH	93	56	92	56
yeaI	10	5	10	5
yeaJ	165	115	161	115
yeaM	93	57	82	52
yeaN	58	37	56	35
yeaP	815	623	798	603
yeaS	52	42	51	42
yeaT	236	182	228	179
yeaU	90	57	85	55
yeaV	444	353	421	324
yeaW	1665	1601	1649	1592
yeaX	1104	1051	1068	1029
rnd	420	363	417	362
fadD	5864	5214	5549	4968
yeaZ	471	399	411	357
yoaA	476	421	443	390
sdaA	205	151	205	150
adrB	69	61	69	60
yoaE	507	469	507	469
manX	44991	40214	44968	40200
manY	33046	30451	33320	30618
rrmA	185	151	178	141
kdgR	2177	1910	2169	1904
yebQ	43	38	40	34
htpX	5256	4539	5238	4516
prc	5361	4981	5133	4767
yebS	200	137	189	130
yebT	439	358	398	324
yebU	231	199	222	191
pphA	73	54	73	54
yebZ	223	171	221	170
yobB	164	169	164	169
exoX	274	248	274	248
ptrB	194	185	187	183
yebE	471	439	468	438
purT	1003	819	975	789
eda	545	502	538	500
edd	305	288	304	288
zwf	2229	2050	2182	1996
yebK	1147	996	1135	984
pykA	2861	2940	2849	2927
lpxM	580	527	571	520
yebA	3733	3229	3711	3202
znuA	8837	8091	8700	7940
znuC	744	653	696	621
znuB	609	555	585	539
ruvB	713	585	628	522
ruvA	443	389	442	387
yebB	21	15	21	14
yebC	2404	2336	2320	2237
aspS	4289	4011	4050	3793
yecE	106	94	102	92
yecO	174	137	159	130
yecP	334	289	239	202
torY	55	40	52	37
cutC	696	600	695	600
argS	2313	2034	2243	1955
flhA	159	149	159	149
flhB	11	12	11	12
cheZ	55	38	55	38
cheB	16	14	15	14
cheR	10	5	10	5
tap	24	19	24	19
tar	13	11	13	11
cheA	67	55	65	53
motB	18	20	17	19
motA	14	6	14	6
otsA	165	129	165	129
otsB	40	35	40	35
araH	407	384	392	376
araG	794	739	750	698
araF	1714	1451	1714	1451
tyrP	301	218	301	218
yecA	1809	1467	1809	1467
uvrC	728	599	727	599
uvrY	1238	968	1238	968
sdiA	296	230	267	201
yecC	261	204	246	193
yecS	185	152	174	142
yedO	461	432	441	414
fliY	4945	4854	4655	4529
fliA	7	9	7	8
fliD	25	18	24	15
amyA	257	222	246	211
