	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_batch1	K12_batch2
ygcR	15	13	18	16
ygcS	31	11	16	18
ygcU	56	28	27	35
ygcW	25	10	2	4
yqcE	87	42	44	48
ygcF	691	400	688	928
eno	28639	17373	37245	59259
pyrG	6330	3792	8532	12711
mazG	948	502	901	1204
relA	3444	1797	2947	4130
barA	794	463	762	1052
gudD	222	122	130	235
gudX	98	39	65	98
gudP	54	28	12	24
truC	225	116	208	325
queF	885	517	875	1144
ygdH	1115	570	739	849
sdaC	941	655	641	856
sdaB	367	233	268	487
exo	255	170	145	211
fucO	1288	467	117	142
fucA	452	158	32	51
fucP	98	40	26	30
fucI	283	143	46	82
fucK	247	151	144	181
fucR	1465	642	386	469
ygdE	815	441	623	943
gcvA	430	211	399	528
csdA	339	190	384	508
ygdL	427	209	381	616
mltA	954	468	972	1354
amiC	1399	726	756	1314
argA	3746	1655	4819	7010
recD	822	420	687	1125
ptr	1603	843	1333	1976
recC	1097	582	1049	1368
thyA	1010	619	1306	1721
lgt	819	460	827	1133
ptsP	2755	1637	2443	3425
mutH	236	102	171	224
ygdQ	148	127	163	181
tas	908	572	841	1161
ygeD	279	126	247	292
aas	878	538	902	1255
galR	448	201	337	419
lysA	1488	752	1444	2143
lysR	114	72	68	104
ygeA	727	358	453	602
araE	236	105	142	210
kduD	219	119	103	120
kduI	202	92	67	97
yqeF	5164	2217	740	992
yqeG	80	43	51	85
yqeH	35	25	34	51
yqeI	65	32	56	101
ygeH	21	13	13	32
ygeR	1117	544	624	755
xdhA	178	90	49	80
xdhB	71	34	23	39
ygeV	1376	508	113	157
ygeW	28	10	14	12
ygeX	51	23	25	28
ygeY	41	24	33	29
hyuA	53	18	44	44
yqeA	138	71	68	109
yqeB	407	144	83	140
yqeC	195	58	15	32
ssnA	20	9	16	18
ygfM	30	12	21	37
xdhD	158	95	101	154
ygfO	96	65	100	110
guaD	214	111	188	227
ygfT	159	62	44	61
ygfU	41	22	8	13
lysS	5726	3111	6442	9330
prfB	4401	2499	4958	6533
recJ	1032	623	1245	1913
dsbC	1289	734	1316	1769
xerD	994	555	1001	1359
ygfZ	2234	1171	1495	2160
yqfA	600	322	380	440
bglA	2391	1519	2453	3565
ygfF	116	48	102	135
gcvP	2815	1227	2840	4698
gcvT	1461	693	1878	2782
visC	990	601	982	1366
serA	16583	11578	35610	51539
rpiA	3556	1902	3076	4474
argP	801	446	665	945
yliK	83	38	47	80
argK	28	18	21	25
ygfG	37	21	38	37
ygfH	78	52	56	76
ygfI	120	47	73	115
yggE	1460	892	1221	1828
argO	173	71	254	308
mscS	1807	1300	2498	4019
fbaA	17142	9705	19427	28689
pgk	18382	10606	17603	25594
epd	3393	1943	3669	5143
yggF	52	37	42	41
cmtA	31	15	13	18
tktA	5715	3959	5810	7720
yggG	1360	643	801	1069
speB	947	496	1066	1598
speA	6953	3720	8480	12436
