	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2	IAI1_K12ref_batch1	IAI1_K12ref_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
acrF	198	144	229	189	196	169	203	272	245	139	21	29	211	277	254	143	25	33	189	141	228	186	191	157
aapQ	35	26	64	49	120	86	30	67	65	38	13	12	30	67	66	38	13	12	33	25	61	48	115	85
aapP	38	28	106	86	117	83	102	110	143	72	3	5	125	127	168	81	4	5	33	21	97	75	102	77
aroE	613	474	475	417	185	113	962	1264	870	482	75	77	1010	1338	919	506	78	80	573	457	455	397	179	110
smf	377	279	757	645	842	714	667	926	1028	584	231	248	694	962	1064	598	231	249	366	275	741	635	837	710
fmt	1236	825	1003	918	855	634	1959	2602	1716	1129	684	598	1999	2669	1759	1147	700	610	1213	815	992	905	847	628
rsmB	563	420	496	449	124	88	996	1515	975	596	49	73	1032	1544	995	615	49	73	553	403	476	435	119	86
trkA	524	423	490	456	243	165	1006	1352	928	561	156	145	1023	1369	942	568	159	148	505	415	479	451	240	164
rpoA	72728	52971	41803	39530	3632	3080	63731	99071	64514	33859	700	830	63750	99111	64536	33876	700	830	72709	52954	41798	39522	3632	3080
rpsD	47661	35056	29833	28012	2248	1944	56084	79228	57743	30167	436	537	56084	79228	57743	30167	436	537	47661	35056	29833	28012	2248	1944
secY	63778	48810	39647	38127	6711	5577	63333	96334	67703	35654	1731	2117	62194	94262	66346	34965	1656	2023	61229	46883	38109	36746	6381	5213
rpsC	41711	30497	24030	24096	1152	942	43710	65367	44913	21849	364	444	43710	65367	44913	21849	364	444	41711	30497	24030	24096	1152	942
rplB	44418	33293	24211	24319	755	611	43190	65015	41895	21598	312	383	43190	65015	41895	21598	312	383	44418	33293	24211	24319	755	611
rplD	36653	27363	19199	18662	510	447	27394	44924	26961	15293	263	259	27394	44924	26961	15293	263	259	36653	27363	19199	18662	510	447
rplC	46335	34264	24179	24243	646	552	43073	66164	40280	22323	282	319	43073	66164	40280	22323	282	319	46335	34264	24179	24243	646	552
tufA	128693	94285	96211	89262	7086	5480	158827	235631	172475	90219	1962	2224	159018	235885	172677	90307	1962	2226	128684	94275	96234	89270	7086	5480
fusA	100410	75567	58585	56492	3094	2363	138345	200938	152172	77938	2055	2370	134798	196610	148426	76194	2041	2350	99244	74713	57809	55796	3064	2338
yheO	920	721	991	787	222	180	1300	1789	1330	850	28	27	1315	1806	1345	853	29	27	915	719	987	787	222	180
fkpA	5998	4603	8453	7456	1874	1501	6260	8371	6181	3750	169	215	6371	8509	6297	3810	171	215	5963	4579	8396	7427	1868	1496
kefB	288	176	338	301	290	277	456	675	597	334	70	70	487	707	646	349	73	73	278	164	318	280	270	270
yheS	695	499	491	446	94	71	870	1142	861	575	21	32	885	1163	875	587	22	33	685	486	482	440	92	68
yheT	237	148	167	141	30	18	208	320	257	143	25	23	221	347	282	153	25	23	220	139	153	123	28	17
prkB	275	190	354	325	336	293	499	606	630	345	60	46	520	636	662	362	62	47	273	186	347	322	332	290
crp	2706	1764	4021	3524	2296	2074	4120	5986	5687	3445	164	220	5196	7214	6933	4191	195	234	2857	1864	4268	3725	2510	2249
yhfK	763	449	634	543	96	106	922	1429	1040	620	10	13	943	1463	1064	624	11	13	740	439	611	531	93	105
argD	4534	3085	1745	1601	97	69	5885	9121	4099	1944	32	36	6085	9503	4290	2037	33	36	4411	2997	1695	1550	96	67
fic	47	39	53	57	93	70	179	205	379	181	696	649	185	219	395	189	725	664	45	37	52	53	93	67
tsgA	203	124	58	45	34	26	228	308	96	72	10	9	228	310	96	72	10	9	202	124	58	45	34	26
nirB	94	152	77	48	44	49	97	182	129	80	5	7	99	184	134	83	5	7	92	146	77	46	42	49
nirC	32	20	24	22	12	3	67	134	81	47	4	0	67	134	83	48	4	0	32	18	24	22	12	3
cysG	663	434	634	520	353	256	570	839	698	392	23	36	650	939	793	441	24	37	621	396	585	487	326	237
frlA	12	7	17	13	4	10	20	23	37	22	5	1	20	23	37	22	5	1	12	7	17	13	4	10
frlB	15	7	11	11	11	6	12	24	38	21	5	3	12	24	38	21	5	3	14	6	11	11	11	6
frlC	25	16	28	31	9	6	35	50	49	23	2	3	35	50	54	23	2	3	24	16	27	31	9	6
frlD	19	20	34	38	14	12	34	69	83	53	5	11	34	69	83	53	5	11	19	20	34	38	14	12
frlR	135	68	145	134	102	91	141	210	196	125	17	9	141	210	196	125	17	9	135	68	145	134	102	91
yhfS	32	24	53	38	29	31	38	53	43	38	8	4	38	53	43	38	8	4	32	24	53	38	29	31
yhfT	21	15	53	49	13	22	27	41	40	25	1	0	29	43	42	28	1	0	18	13	47	47	12	18
php	13	11	21	20	12	8	24	26	42	15	2	5	28	30	43	15	2	5	13	11	20	20	12	8
yhfZ	187	168	376	351	608	515	172	233	373	180	51	59	207	287	479	223	61	77	159	153	312	296	509	431
trpS	3029	2008	2175	1973	541	447	4109	6013	3480	1940	74	75	4400	6398	3702	2069	85	86	2776	1847	1971	1814	492	414
gph	933	621	665	695	121	73	1377	1929	1256	655	15	10	1427	2014	1297	681	16	12	910	601	656	678	120	72
rpe	821	620	837	757	148	114	1146	1590	1239	678	12	14	1177	1640	1271	697	12	16	800	606	818	733	146	110
dam	682	500	569	511	137	84	909	1200	828	532	8	15	913	1203	832	532	8	15	681	498	568	511	137	83
aroB	4198	3254	3256	2996	600	446	5139	7175	5064	2915	70	99	5148	7190	5075	2921	70	99	4191	3248	3253	2996	600	444
hofQ	27	19	94	86	15	14	53	90	83	39	4	2	53	90	83	39	4	2	27	19	94	86	15	14
yrfD	36	33	119	107	23	20	58	79	99	62	3	4	66	84	103	67	3	4	36	31	113	102	22	20
mrcA	1835	1319	1121	927	82	64	1250	1798	1251	787	21	21	1347	1906	1334	851	22	21	1747	1258	1068	881	78	64
igaA	660	458	1078	954	595	497	657	965	1270	630	42	31	695	1017	1337	659	42	31	622	438	1012	909	567	474
yrfG	427	293	328	289	108	83	526	839	651	364	37	35	526	839	651	364	37	35	427	293	328	289	108	83
hslO	1079	687	706	679	272	186	965	1568	1067	590	80	83	976	1573	1074	590	81	83	1072	682	704	673	271	186
pck	2084	1547	30557	27715	23151	19574	1311	1942	17349	7644	1671	1594	1424	2140	19043	8420	1851	1789	1816	1341	26455	24033	19738	16517
envZ	341	200	656	510	294	224	473	708	990	497	57	60	508	770	1061	532	60	63	311	184	587	462	270	208
ompR	595	365	1388	1210	1311	1053	837	1081	1533	839	198	188	840	1082	1540	842	198	190	597	363	1381	1200	1308	1047
yhgF	2625	1679	1595	1470	69	44	2416	3819	1882	1145	12	19	2486	3912	1943	1175	12	21	2550	1631	1564	1437	68	43
feoB	1245	759	1216	1113	1146	894	1101	1899	1067	623	38	53	1106	1915	1077	625	38	53	1235	751	1202	1105	1135	890
yhgA	48	46	51	49	33	30	90	136	105	61	2	1	105	166	133	80	2	2	38	39	41	41	29	25
bioH	262	183	209	147	63	49	260	393	246	153	9	15	261	393	246	153	9	15	261	183	208	147	62	47
gntX	217	143	218	175	97	83	189	216	241	152	8	10	191	219	245	154	8	11	214	142	217	174	95	82
gntT	1089	857	2017	1899	77	70	225	426	376	203	43	57	232	440	391	212	43	59	1054	835	1962	1846	75	69
malQ	718	523	1255	1203	74	58	1313	1786	2900	1493	43	54	1363	1856	3021	1555	43	56	695	507	1211	1159	72	54
malP	1050	782	1325	1231	94	71	2080	2605	4306	2216	44	44	2117	2646	4376	2248	44	44	1044	772	1310	1217	92	69
malT	3693	2658	16032	13690	2358	1818	4354	6159	23747	10353	1449	1356	4672	6637	25720	11180	1502	1437	3394	2422	14655	12471	2162	1703
rtcB	83	51	62	66	66	58	129	188	156	84	108	108	133	195	162	88	113	112	79	49	62	64	66	55
glpG	582	442	405	341	60	41	1059	1371	902	502	23	18	1090	1398	921	510	24	19	564	427	386	328	60	41
glpD	43	47	81	83	151	124	15090	21810	38309	18670	17482	16836	17703	25954	45595	22202	21419	20731	36	43	71	66	143	120
glgP	4562	3088	7656	6802	4591	3586	4618	7279	5953	3402	342	383	4766	7505	6147	3486	348	386	4460	3032	7504	6665	4486	3502
glgA	2465	1644	3890	3531	2083	1535	2492	3900	3500	1980	194	231	2495	3903	3505	1983	194	232	2463	1640	3888	3527	2083	1534
glgC	2791	1781	4335	4263	2755	1988	3756	5394	4808	2687	289	332	3777	5434	4839	2707	291	338	2775	1771	4315	4243	2749	1979
glgX	2978	2053	3686	3496	2106	1788	3024	4552	3972	2232	300	348	3035	4569	3984	2238	300	348	2968	2045	3681	3491	2104	1788
glgB	6267	4361	6931	6372	1228	963	5723	8791	6542	3632	142	202	5762	8874	6594	3668	142	202	6196	4311	6871	6313	1214	957
asd	11939	7537	4625	4518	1288	1005	18386	27350	12543	6878	180	217	18393	27357	12548	6880	180	217	11936	7533	4624	4514	1288	1004
gntU	110	88	98	69	27	19	80	169	93	47	8	9	86	185	102	48	8	10	101	81	91	59	24	14
gntR	266	154	234	225	76	87	312	403	414	254	36	30	382	491	521	304	39	35	228	133	207	192	66	82
yhhW	130	94	168	161	168	142	209	302	279	143	24	23	212	314	287	148	25	23	121	90	159	152	154	132
yhhX	717	483	709	619	337	309	810	1185	697	402	122	137	818	1191	704	404	127	137	709	479	701	617	334	306
yhhZ	3	0	6	5	4	3	6	12	7	0	1	0	6	12	7	0	1	0	2	0	6	5	4	3
ggt	48	32	70	41	14	15	178	284	466	268	5	7	182	300	489	285	6	7	46	29	69	41	13	15
ugpC	63	28	160	161	38	15	156	216	420	227	24	47	162	226	447	235	27	49	56	26	149	148	34	14
ugpE	11	10	62	72	12	9	40	48	151	56	8	10	41	52	159	57	8	10	11	9	59	72	12	9
ugpA	16	9	44	50	15	4	21	24	89	46	9	9	21	24	93	46	9	9	16	8	43	49	15	4
ugpB	126	85	895	753	880	642	474	608	2296	852	1399	1573	514	664	2468	930	1493	1657	118	82	854	708	828	610
livF	989	691	902	847	235	173	2650	3619	2726	1395	15	17	3635	5092	3829	1971	24	23	719	479	656	601	169	126
livG	1179	805	1056	832	246	165	2424	3467	2533	1256	7	19	2942	4135	3036	1485	9	22	996	700	888	723	208	143
livM	1933	1313	1682	1459	460	319	3166	5134	3501	1824	30	25	3577	5841	4018	2066	34	30	1739	1162	1507	1305	413	280
livH	1792	1263	1850	1687	610	398	2803	4527	3154	1619	24	27	3000	4862	3413	1732	27	30	1628	1166	1685	1536	559	360
livK	3550	2507	4774	4384	1570	1066	10209	14215	11536	5527	91	95	10480	14682	11603	5582	97	103	3239	2276	4384	4017	1423	983
livJ	12210	7523	16109	14481	4227	3140	28431	38952	49247	26926	256	250	30391	41741	52720	28734	279	258	11491	7089	15135	13670	4006	2992
rpoH	2145	1510	4340	3933	2292	1830	2369	3848	3579	2010	419	412	2459	3999	3688	2078	449	455	2070	1454	4207	3793	2206	1746
ftsX	936	659	995	844	722	519	860	1390	974	638	127	134	978	1568	1108	720	150	149	806	567	866	730	642	464
ftsE	681	452	553	521	231	175	663	969	722	393	59	62	701	1027	769	411	61	64	650	432	538	499	223	165
ftsY	2230	1622	2306	1991	862	650	3258	4425	3505	1834	98	120	3505	4730	3772	1984	106	127	2063	1517	2156	1837	806	616
yhhN	238	124	165	167	102	78	106	178	172	97	37	38	112	195	179	107	39	40	215	117	156	155	96	70
yhhQ	67	52	71	63	36	58	93	127	132	84	7	5	101	136	149	93	8	5	65	45	62	56	28	51
yhhS	151	108	71	73	101	68	184	255	162	95	11	10	188	258	168	97	12	10	151	108	71	72	99	68
yhhT	52	33	70	56	55	58	96	130	212	135	87	111	103	139	226	143	89	116	50	29	63	55	51	54
nikA	28	12	32	22	3	11	21	35	12	16	1	1	22	35	14	16	1	1	27	10	29	21	3	10
nikB	9	7	13	12	7	5	13	28	19	6	0	0	13	28	19	6	0	0	9	7	13	12	7	5
nikC	8	6	13	8	2	2	12	18	14	5	1	0	12	18	14	5	1	0	8	5	13	7	2	2
nikD	8	3	10	6	2	7	23	28	22	13	0	0	23	29	23	13	0	0	8	3	10	6	2	6
nikE	11	8	10	8	5	2	12	25	23	13	2	6	13	31	23	14	2	6	8	5	5	6	4	2
yhhI	406	388	889	558	626	453	377	644	501	284	21	34	65	125	94	51	3	5	89	84	189	125	124	82
yhhJ	507	434	1294	1173	592	470	425	590	526	330	44	36	491	681	611	376	45	40	435	370	1093	1002	515	401
rbbA	1030	773	2006	1796	807	623	1084	1813	1342	849	53	63	1150	1933	1441	899	56	65	962	725	1875	1704	756	575
yhiI	948	662	1899	1743	1208	911	1252	2139	1740	960	188	213	1397	2342	1908	1058	199	237	881	609	1748	1605	1129	846
yhiM	57	55	62	60	86	66	53	60	54	28	11	9	54	60	54	28	12	10	57	55	61	60	85	66
yhiN	489	352	271	214	212	149	590	814	462	263	69	63	616	856	485	275	71	63	470	324	257	206	202	142
pitA	1999	1364	1355	1249	452	337	2504	3509	2045	1234	153	179	2525	3542	2065	1250	157	180	1990	1358	1351	1244	451	334
yhiP	32	29	47	34	50	34	115	141	166	103	142	158	117	146	173	108	144	169	30	28	46	33	49	33
yhiQ	116	67	73	69	19	14	201	304	204	132	17	36	224	366	240	150	21	40	105	59	61	50	17	13
prlC	1306	733	1028	1003	810	689	1674	2749	1964	1253	220	278	1908	3084	2181	1415	251	309	1159	667	931	903	752	633
yhiR	170	94	122	99	32	28	191	264	204	133	4	6	201	279	213	135	4	6	160	87	111	93	28	22
gor	1092	716	908	795	229	174	1483	2257	1764	1005	57	55	1486	2257	1766	1007	57	55	1091	716	906	795	229	174
arsB	44	32	57	42	25	29	59	71	69	49	13	17	59	71	69	49	13	17	44	32	57	42	25	29
yhiD	27	15	33	27	17	11	36	56	41	26	4	5	36	56	41	26	4	5	27	15	33	27	17	11
mdtE	21	19	18	7	5	3	17	25	25	14	4	2	17	25	25	14	4	2	21	19	18	7	5	3
mdtF	120	63	97	87	54	51	163	216	162	106	18	9	175	229	172	113	19	10	117	62	91	84	54	50
gadW	184	118	36	28	24	13	266	371	140	101	12	24	291	403	148	112	15	24	182	113	36	25	23	11
gadX	271	290	89	66	62	38	439	718	305	157	96	121	498	801	330	181	108	133	249	248	75	64	58	36
gadA	149	109	159	140	98	85	320	506	337	190	86	98	312	492	334	187	86	98	147	108	157	140	98	86
yhjA	65	43	81	63	68	56	79	99	106	46	10	12	79	99	107	46	10	12	64	43	81	62	68	56
treF	83	48	78	75	113	107	224	321	280	201	165	168	241	341	294	216	174	175	82	48	77	74	107	105
yhjB	49	40	59	44	41	31	75	111	127	50	10	14	77	118	130	53	10	14	49	39	58	44	41	31
yhjC	114	80	70	68	32	33	141	216	209	107	9	7	146	221	212	110	8	7	110	76	66	68	30	31
yhjD	68	57	57	51	69	48	145	226	250	164	253	233	153	238	259	168	267	245	64	50	55	50	68	42
yhjE	3927	2299	2219	2001	632	490	3409	5095	2419	1833	29	37	3702	5614	2676	2000	33	41	3609	2124	2028	1816	575	468
yhjG	62	40	48	66	79	65	1553	2147	3212	1665	185	205	1603	2188	3243	1688	186	209	43	24	40	57	74	64
yhjH	9	10	15	20	8	6	3875	5247	8808	4459	35	48	3962	5340	8957	4547	36	49	3	5	9	15	4	2
kdgK	240	156	289	263	141	129	636	975	1284	606	21	20	683	1032	1357	630	24	21	229	149	278	254	134	125
yhjJ	584	418	965	795	198	135	640	911	1016	554	9	20	724	1023	1143	617	10	21	513	372	887	739	183	123
dctA	425	284	7155	6717	9575	9075	317	414	2990	1310	269	321	317	415	2995	1314	270	321	425	284	7144	6703	9568	9062
yhjK	410	266	394	352	123	98	453	604	521	290	38	25	460	618	535	297	39	31	409	271	399	356	129	101
bcsC	659	407	668	597	166	122	346	470	475	231	79	83	352	481	488	234	79	83	644	397	639	584	164	120
bcsZ	151	116	227	184	62	50	52	65	51	26	0	1	53	66	52	26	0	1	149	114	226	181	60	50
bcsB	330	173	312	310	131	98	62	90	61	47	2	1	66	93	62	47	3	2	323	171	310	309	130	94
bcsA	440	305	425	389	255	193	194	294	192	97	6	9	73	109	87	47	2	3	296	210	296	268	158	120
bcsE	292	184	338	255	395	282	1035	1345	1004	594	57	66	1039	1347	1006	595	57	66	292	184	338	255	395	282
bcsG	135	93	171	157	76	61	254	332	273	203	12	12	261	341	280	210	13	12	132	87	164	155	75	58
yhjV	164	119	179	140	58	72	298	392	576	275	2	8	307	401	589	283	2	8	162	117	175	139	58	71
dppF	425	319	624	579	45	30	929	1480	2225	1215	16	12	1111	1765	2624	1424	20	13	370	270	526	497	32	27
dppD	470	363	839	727	49	31	968	1408	2420	1221	18	21	1028	1491	2569	1287	18	21	438	334	784	673	48	28
dppC	434	358	681	718	36	18	824	1346	2096	1001	25	27	825	1349	2103	1003	25	27	434	358	679	717	36	18
dppB	485	407	879	825	40	29	892	1366	2509	1201	18	25	944	1440	2677	1276	21	27	498	418	905	842	45	31
dppA	5704	4310	16999	15663	1905	1560	10869	14198	44393	22780	549	696	12379	16311	50752	25972	628	789	5165	3936	15461	14357	1788	1478
eptB	118	100	883	662	571	438	232	295	644	289	3	14	233	296	647	291	3	14	118	100	882	663	571	438
yhjX	18	12	29	23	94	66	17	24	36	24	4	8	25	27	43	31	6	8	13	10	24	16	75	49
yhjY	61	38	76	62	132	94	261	363	560	300	190	173	261	363	561	301	190	175	59	38	76	61	132	93
yiaD	151	113	116	77	10	10	261	374	213	113	4	7	264	375	214	113	4	7	148	113	116	77	10	10
tiaE	1031	566	601	518	100	50	1594	2226	1509	1028	17	18	1607	2251	1520	1043	17	19	1011	561	594	511	99	49
yiaF	1781	1420	2103	1932	1019	804	2652	3894	2726	1471	202	249	2806	4111	2888	1553	215	264	1634	1322	1946	1817	930	735
glyS	5689	4037	4552	4214	756	689	7602	11939	7560	4445	121	112	8261	12842	8203	4815	128	120	5263	3760	4242	3877	708	633
glyQ	2547	1891	1891	1721	407	285	4235	6597	4205	2408	66	75	4284	6655	4252	2437	67	75	2532	1879	1879	1706	406	283
yiaH	79	58	65	48	80	71	107	126	92	46	8	10	108	126	92	46	8	10	79	58	65	48	80	71
xylB	118	69	250	209	171	153	212	273	284	143	96	100	227	298	309	154	110	115	107	61	229	193	152	144
xylA	83	49	356	304	267	185	154	185	340	142	127	153	162	201	370	154	130	156	82	48	328	286	256	176
xylF	32	22	674	617	481	366	23	28	411	162	14	18	23	29	426	174	14	19	30	21	643	599	471	353
xylG	36	29	375	288	158	153	101	151	371	193	10	19	101	153	372	195	10	19	36	29	371	287	157	153
xylH	61	45	255	195	180	104	72	76	148	69	28	23	71	73	147	69	27	23	56	40	249	187	174	100
xylR	211	146	507	411	208	180	178	283	247	145	10	13	211	307	272	161	12	13	229	163	523	427	221	190
bax	2277	1573	15891	13900	2356	1805	2775	3599	14156	6629	187	195	2949	3801	15078	7065	197	201	2174	1495	15042	13165	2237	1721
avtA	1443	1001	1216	1063	361	305	1390	1666	1417	846	15	21	1581	1919	1666	972	49	46	1377	959	1160	1015	354	296
yiaJ	408	308	236	200	99	82	301	474	326	175	17	8	306	484	331	178	17	8	403	299	233	194	96	81
yiaK	13	8	96	102	154	124	9	11	62	33	7	6	9	13	70	40	7	6	13	9	90	89	144	114
yiaN	5	4	28	32	49	36	11	5	22	11	0	2	11	5	22	11	0	2	5	4	28	32	49	36
yiaO	2	1	94	72	64	51	4	5	21	10	0	0	4	8	24	10	0	0	1	1	80	63	61	42
sgbH	2	4	64	61	23	16	4	6	18	13	1	2	10	12	26	20	1	2	2	2	43	42	19	8
sgbU	7	3	92	78	28	31	19	14	26	13	2	1	25	17	35	19	1	1	6	2	72	51	20	28
sgbE	12	6	77	60	30	23	12	23	36	17	3	2	13	28	42	18	2	3	9	3	64	47	22	18
yiaT	18	16	30	36	36	9	53	45	42	24	42	41	54	47	44	27	46	42	15	16	29	36	34	9
yiaU	84	46	111	84	131	90	87	138	107	61	27	28	87	138	108	61	27	28	84	46	111	83	131	90
yiaV	19	20	30	21	29	20	31	37	40	23	11	12	32	40	42	24	11	12	16	19	28	18	28	19
aldB	37	27	428	314	409	263	45	69	1382	478	966	1058	47	69	1396	488	979	1074	37	28	421	312	405	260
yiaY	25	21	52	59	21	23	7	15	16	9	2	3	7	15	16	9	2	3	25	20	50	57	21	23
selB	1256	886	943	905	194	151	1333	2037	1216	653	16	19	1567	2378	1421	778	17	19	1121	815	863	809	176	137
selA	586	404	402	351	78	78	632	894	571	299	8	18	642	917	579	305	8	18	572	397	390	348	77	75
yibF	188	121	206	173	54	36	179	255	232	125	15	33	178	253	231	124	16	33	187	118	203	172	54	36
yibH	26	24	68	56	61	40	54	69	99	66	52	44	54	69	99	66	52	44	26	24	68	56	61	40
mtlA	574	384	1701	1312	1490	1174	1014	1735	3119	1491	1390	1427	1041	1786	3204	1542	1429	1479	556	375	1655	1280	1459	1157
mtlD	539	413	753	659	758	521	785	1113	1432	741	457	557	921	1294	1681	850	526	640	426	330	637	570	645	455
lldP	128	84	327	264	225	180	123	162	723	349	43	38	148	186	842	412	49	51	115	79	294	239	199	159
lldR	76	57	126	93	76	46	116	166	305	142	14	23	120	168	316	151	14	23	73	56	117	91	74	45
lldD	149	78	180	169	99	77	153	262	442	230	7	18	161	274	465	241	7	19	139	72	163	162	92	73
cysE	848	529	1137	1031	922	655	720	882	1304	663	116	93	784	953	1408	709	118	98	795	509	1050	975	895	634
gpsA	1742	1169	2357	2234	613	464	1622	2410	2836	1421	115	153	1857	2752	3230	1631	133	192	1516	1018	2066	1976	542	405
gpmI	2250	1665	514	467	156	156	4177	5874	2255	1564	78	94	4611	6532	2492	1740	84	103	1990	1502	446	415	138	145
envC	842	587	600	453	68	42	927	1406	911	569	10	8	1075	1601	1066	636	10	9	744	517	528	394	65	37
yibQ	313	234	238	207	46	47	297	417	264	177	2	2	316	455	282	190	2	2	293	222	225	198	45	46
yibD	32	14	78	38	19	13	34	34	51	30	1	0	37	35	53	31	1	0	31	14	75	37	19	13
tdh	211	141	437	357	455	372	269	361	403	228	83	108	404	540	634	334	123	164	138	104	283	243	292	252
kbl	233	192	553	472	594	471	353	611	728	391	147	195	369	646	757	414	157	207	219	184	522	445	568	453
waaD	1239	810	991	854	673	541	2329	3114	2021	1213	97	95	2520	3405	2187	1353	105	108	1085	722	875	760	617	494
waaF	990	724	809	712	172	121	1476	2098	1353	819	22	31	1482	2109	1359	826	22	31	986	722	806	712	172	121
kdtA	543	334	591	493	169	121	389	602	510	282	20	19	406	624	532	293	21	19	519	328	561	472	167	118
mutM	192	156	190	144	159	139	288	395	268	136	8	9	296	399	271	139	8	9	188	149	187	144	156	135
yicR	839	640	813	696	388	292	746	1034	746	440	53	37	940	1327	939	556	79	62	1084	826	959	847	508	376
dfp	507	277	414	398	64	58	750	807	674	484	11	7	754	816	679	490	11	7	497	274	408	388	64	57
pyrE	952	747	337	300	13	8	96	136	76	35	6	6	132	185	102	47	8	7	767	599	259	236	10	7
yicC	1143	780	938	865	243	211	1505	2105	1417	802	28	31	1685	2311	1574	889	30	36	1022	710	853	780	209	193
yicG	5	4	14	5	9	9	30	31	28	15	1	2	32	32	30	16	1	2	5	4	11	4	9	9
ligB	41	31	89	73	45	33	70	121	212	96	12	9	71	124	217	103	12	9	41	28	86	72	43	32
gmk	1005	652	735	637	457	387	2644	3413	2462	1414	185	246	2644	3414	2462	1414	185	246	1004	652	735	637	457	387
spoT	3072	2074	1841	1600	127	112	2789	4086	2603	1572	44	40	2913	4275	2707	1635	44	40	2953	2009	1762	1547	125	110
trmH	513	342	285	278	23	16	484	631	431	243	0	4	484	631	431	243	0	4	513	342	285	278	23	16
gltS	556	439	335	268	386	289	162	250	178	112	79	103	182	288	204	127	87	113	516	411	316	257	363	267
yicE	1309	769	605	523	23	18	947	1270	1102	667	22	14	949	1271	1102	669	22	14	1308	767	605	523	23	18
yicH	720	511	1059	888	819	630	1003	1399	1292	752	270	268	1016	1426	1321	772	273	271	702	491	1028	869	808	621
yicI	89	53	113	93	88	77	98	173	228	131	11	10	101	177	235	132	11	10	87	53	108	91	82	74
yicJ	22	20	58	37	29	29	40	41	43	23	4	8	40	41	43	23	4	8	22	20	58	37	29	29
setC	16	11	21	11	21	16	11	15	26	10	0	3	11	15	26	10	0	3	16	11	21	11	21	16
yicL	305	226	331	259	129	79	500	605	534	275	32	27	500	605	534	275	32	27	305	225	331	259	129	79
nlpA	1815	1282	984	944	195	113	2997	4057	3310	1605	49	51	3002	4060	3317	1607	49	51	1813	1282	983	943	195	113
yicM	102	81	34	20	10	10	119	172	64	53	4	2	114	170	55	45	3	2	100	79	28	17	6	10
uhpT	12	11	115	81	38	40	888	1785	4167	2480	817	1106	895	1796	4186	2491	820	1111	12	11	115	79	38	40
uhpC	93	54	39	39	10	3	91	140	113	63	2	1	94	140	114	65	2	1	91	54	39	39	10	3
uhpB	174	128	105	63	10	5	151	297	229	124	2	4	166	311	236	132	2	4	163	118	98	61	9	5
ilvB	1855	1159	2187	2505	263	243	3161	4393	6871	3306	48	66	3058	4252	6625	3161	46	58	1648	1029	1837	2041	238	218
emrD	6	7	26	12	26	35	6	9	14	3	5	4	6	9	14	3	5	4	6	7	26	12	26	35
yidJ	39	25	128	101	113	95	28	33	73	35	1	2	33	39	85	47	1	3	30	18	106	86	89	74
yidK	8	3	46	30	23	12	12	17	30	19	4	0	13	18	30	19	4	0	8	3	46	30	23	12
yidL	39	26	120	109	128	117	54	69	133	69	10	10	49	62	118	60	9	9	28	18	107	100	109	101
yidP	25	16	26	18	11	9	14	29	30	12	0	2	14	30	33	14	0	2	26	16	25	16	11	8
yidE	501	389	1639	1436	958	662	541	759	887	475	116	125	543	759	890	477	116	125	500	389	1637	1431	958	660
yidR	214	147	336	276	194	159	274	357	619	277	11	13	326	431	771	340	11	15	185	126	268	230	161	129
cbrA	20	6	32	33	21	17	14	28	41	14	1	2	16	28	44	18	2	2	20	5	27	27	21	14
dgoT	27	13	89	51	42	55	24	33	44	27	2	9	25	35	45	27	3	9	24	13	85	49	42	54
dgoD	43	31	168	132	132	96	30	47	108	73	16	25	31	52	126	80	17	28	40	27	146	112	117	87
dgoA	17	15	59	57	60	48	18	25	54	22	6	8	18	25	58	22	6	8	17	15	58	56	60	46
dgoR	130	116	308	319	307	225	182	289	424	166	56	53	184	301	441	176	57	55	121	110	290	298	296	215
yidX	95	99	167	92	82	87	163	248	202	112	19	21	163	248	202	112	19	21	95	99	167	92	82	87
yidA	422	233	220	170	60	56	525	675	426	269	11	7	580	761	467	301	12	7	390	220	196	151	55	55
gyrB	3642	2529	2625	2513	1461	1256	4713	6790	4459	2486	186	220	4943	7133	4693	2635	193	231	3492	2400	2516	2391	1376	1182
recF	443	348	198	173	14	21	602	781	434	243	2	6	643	832	456	256	2	7	424	341	193	166	13	21
dnaN	1049	786	854	699	168	141	1247	1736	1319	715	41	47	1302	1826	1385	757	43	50	1007	758	834	682	163	136
dnaA	1771	1215	1546	1346	629	523	2017	2920	2421	1268	47	66	2022	2946	2438	1279	47	67	1754	1204	1534	1338	625	518
yidC	5152	3553	4049	3768	318	231	5670	7955	6093	3475	58	71	5730	8032	6172	3514	58	71	5126	3528	4033	3746	317	231
trmE	497	351	427	374	178	120	605	843	732	462	14	16	646	904	774	500	14	17	449	323	395	331	164	111
tnaA	71	44	1184	993	211	143	74	85	5628	2130	24	30	82	91	6005	2264	25	30	69	43	1130	939	207	137
tnaB	16	9	109	95	71	65	25	21	481	167	10	7	27	25	532	188	10	7	15	8	97	86	67	60
