	CMCP6_HS1	CMCP6_HS2	CMCP6_ASW1	CMCP6_ASW2	YJ016_HS1	YJ016_HS2	YJ016_ASW1	YJ016_ASW2	CMCP6_YJ016_HS1	CMCP6_YJ016_HS2	CMCP6_YJ016_ASW1	CMCP6_YJ016_ASW2	YJ016_CMCP6_HS1	YJ016_CMCP6_HS2	YJ016_CMCP6_ASW1	YJ016_CMCP6_ASW2
VV1_RS10165	451	729	1988	3031	574	410	960	882	570	408	957	879	450	726	1980	3004
VV1_RS10180	11543	12198	1941	879	14989	7326	3476	915	14826	7239	3423	897	11270	12041	1921	861
VV1_RS10185	2440	3777	551	242	3881	4029	1104	225	3871	4016	1101	224	2423	3766	548	241
VV1_RS10205	3756	3327	626	657	4913	2731	918	401	4897	2724	917	403	3740	3308	623	655
VV1_RS10215	1424	1553	540	430	2225	2034	724	376	2225	2036	725	377	1423	1554	540	430
VV1_RS10230	4225	3566	1659	1538	4288	3326	1979	973	4326	3306	2062	997	4271	3582	1558	1445
VV1_RS10235	12949	4468	1095	1468	5191	4461	1233	460	5175	4449	1227	448	12917	4458	1107	1463
VV1_RS10240	267	400	310	245	219	140	99	47	218	140	102	47	252	381	302	244
VV1_RS10255	130	225	155	112	142	115	148	61	139	106	147	60	155	239	163	133
VV1_RS10265	9469	7919	32939	30879	5745	6755	32824	16109	5726	6723	32621	15882	9314	7844	32698	30547
VV1_RS10360	1407	530	311	292	803	901	380	282	634	675	306	217	1641	564	378	294
VV1_RS10365	207	317	315	178	654	469	291	93	625	440	278	94	227	325	320	179
VV1_RS10370	9204	1913	1042	2905	4470	4392	2399	1389	4104	4122	2068	950	10257	2335	1321	3083
VV1_RS10375	213	273	87	130	146	111	76	26	132	111	73	27	176	165	74	118
VV1_RS10380	959	2976	235	121	10344	568	213	115	10323	577	224	122	931	2947	204	120
VV1_RS10390	1990	638	316	297	329	263	316	171	274	203	287	146	2003	647	304	298
VV1_RS10395	2070	1702	5247	4423	1797	1779	3294	1643	1764	1752	3231	1550	1962	1657	5081	4279
VV1_RS10400	274	489	375	234	316	292	346	148	321	309	412	386	214	429	218	200
VV1_RS10405	746	2123	1837	2257	2208	904	1536	1063	2129	894	1441	1011	741	2150	1917	2284
VV1_RS10410	693	967	881	408	1087	451	420	157	1089	460	423	156	644	871	813	385
VV1_RS10415	5715	42164	38493	34001	50079	4873	33710	15348	49666	4837	33391	15090	5619	41635	37943	33559
VV1_RS10420	432	3386	5313	8033	3515	787	6841	2100	3490	750	6910	2069	393	2829	4553	6967
VV1_RS10425	31	62	20	25	57	25	40	13	60	30	36	14	14	53	19	30
VV1_RS10435	401	460	277	228	349	288	759	229	335	271	747	226	374	433	273	216
VV1_RS10445	15614	2249	938	452	3747	20795	1255	459	3512	19585	1173	444	15344	2216	934	426
VV1_RS10450	46507	8286	1002	670	9133	28993	1484	546	9129	28989	1483	546	46499	8282	1002	668
VV1_RS10460	8499	880	2650	3292	544	3176	2271	1129	531	3034	2176	1098	8301	842	2584	3163
VV1_RS10465	1439	468	1127	1272	174	578	730	324	161	551	699	314	1409	397	1080	1212
VV1_RS10470	375	179	229	339	335	586	463	138	336	583	463	137	373	171	228	337
VV1_RS10480	328	951	440	423	904	468	911	240	902	467	894	236	328	947	444	419
VV1_RS10485	113	245	99	52	245	72	47	49	244	72	47	49	113	243	99	52
VV1_RS10490	639	344	57	118	638	302	107	35	623	293	106	34	625	339	55	118
VV1_RS10505	3110	3336	1210	1014	2263	3152	1590	606	2232	3133	1536	578	3113	3342	1239	1025
VV1_RS10520	221	283	393	533	286	185	1806	872	284	185	1802	859	217	282	389	531
VV1_RS10530	109	102	168	157	124	134	401	160	121	131	386	148	107	103	171	139
VV1_RS10535	1313	1756	991	1265	637	588	536	429	637	585	535	429	1307	1752	990	1263
VV1_RS10540	402	759	680	875	559	757	1138	409	558	756	1137	409	402	759	680	872
VV1_RS10550	202	453	230	258	585	377	384	139	565	373	372	129	194	451	233	257
VV1_RS10555	1301	1414	298	272	863	565	276	123	858	563	273	121	1285	1373	294	257
VV1_RS10560	75	152	138	66	98	100	186	57	59	93	154	49	69	130	130	50
VV1_RS10570	1241	15792	50438	40289	21214	1130	53428	11563	27223	1361	64228	13473	1006	12151	42237	32375
VV1_RS10575	43410	3079	1188	884	3759	22593	1234	653	3716	22434	1193	631	43184	3050	1177	862
VV1_RS10580	184	256	1549	1193	203	142	2083	707	201	138	2066	698	184	258	1535	1181
VV1_RS10610	322	7021	3280	1839	3020	156	2031	726	3003	146	2027	723	320	6977	3266	1834
VV1_RS10625	1120	3243	14771	8627	3175	3138	640	260	3179	3136	637	257	1120	3223	14760	8604
VV1_RS10630	229	2495	3852	2093	1424	189	790	226	1417	188	790	226	229	2490	3833	2076
VV1_RS10635	519	9274	1713	1340	4845	276	2391	1338	4712	269	2358	1307	513	9153	1694	1318
VV1_RS10640	605	783	7984	4208	508	353	5884	2378	507	351	5869	2366	605	779	7973	4167
VV1_RS10650	897	1262	48692	56361	734	1326	60638	17777	707	1290	57216	16555	896	1291	50150	57968
VV1_RS10665	5930	26615	5697	4014	23276	6681	4060	1875	23204	6669	4043	1858	5865	26448	5671	3963
VV1_RS10680	9693	2621	357	556	3081	3918	442	238	3082	3920	442	238	9693	2620	357	556
VV1_RS10685	4054	2852	554	478	3261	2341	552	348	3258	2339	552	348	4052	2847	554	477
VV1_RS10705	1918	5600	82	36	1850	2940	82	47	1829	2865	78	48	1885	5518	82	33
VV1_RS10710	1662	6340	88	102	4169	3968	79	32	4901	4621	101	45	1496	5087	59	68
VV1_RS10720	193	534	139	148	458	780	163	56	457	780	163	56	192	536	140	146
VV1_RS10725	9677	12752	2949	3358	13883	5002	2867	2472	13656	4880	2830	2423	9468	12416	2880	3263
VV1_RS10730	1254	1674	1393	1366	849	495	824	352	847	491	820	349	1244	1666	1388	1364
VV1_RS10735	2486	4518	17660	15097	4262	1845	15553	4479	4094	1817	15002	4335	2409	4239	17057	14370
VV1_RS10745	4029	2623	10920	11319	3732	5707	17128	8334	3719	5677	16985	8261	4010	2604	10815	11207
VV1_RS10750	1660	2051	7324	5940	1915	5196	23089	6793	1910	5188	23077	6777	1659	2046	7321	5934
VV1_RS10755	649	765	1080	1156	619	461	965	715	619	460	962	712	648	765	1081	1153
VV1_RS10760	407	289	4346	3929	847	450	13854	3966	841	449	13752	3904	405	288	4317	3870
VV1_RS10765	180	109	76	34	66	50	99	49	66	48	99	49	180	109	77	34
VV1_RS10770	1179	6392	5559	4223	4990	828	5575	1600	5197	870	6171	1736	1157	5894	5022	3815
VV1_RS10775	154	190	63	62	93	152	232	88	90	110	221	81	115	156	57	40
VV1_RS10780	511	228	1218	1299	228	225	2527	1257	228	219	2517	1255	513	233	1219	1296
VV1_RS10785	105	309	237	522	491	66	207	171	490	65	206	171	105	307	235	522
VV1_RS10790	1360	3472	280	315	7915	1116	1837	1224	7922	1113	1838	1208	1351	3424	280	313
VV1_RS10800	1030	1507	2455	2098	2880	2117	4542	977	2581	1971	4469	907	1081	1543	2463	2121
VV1_RS10825	13105	1514	311	355	1180	6798	205	103	1176	6781	205	103	13100	1515	311	355
VV1_RS10830	68	95	112	165	69	79	358	71	68	79	353	71	68	94	111	163
VV1_RS10835	217	1139	311	249	962	181	283	131	962	179	277	131	218	1139	312	251
VV1_RS10850	828	776	332	324	585	788	328	161	578	787	328	161	827	776	332	323
VV1_RS10870	89	196	177	228	259	174	181	70	263	175	183	73	89	195	176	224
VV1_RS10875	43	94	177	145	125	110	68	23	124	110	64	23	43	97	177	145
VV1_RS10885	846	582	499	643	356	342	337	141	355	341	333	141	844	581	499	641
VV1_RS10895	1046	2325	11585	15215	1478	680	13383	5980	1473	679	13249	5905	1042	2250	11375	14823
VV1_RS10900	3339	7100	64368	59080	3434	1644	35432	15687	3324	1585	34452	15273	3317	7019	63837	58129
VV1_RS10910	3035	2942	843	768	1931	1051	1593	352	1925	1045	1588	355	3018	2922	840	762
VV1_RS10920	194	2418	298	170	1910	352	85	22	1844	341	80	22	174	2282	290	158
VV1_RS10925	1354	12847	175	106	7645	665	132	65	7505	645	127	65	1332	12627	173	102
VV1_RS10930	908	12584	71	38	6851	241	84	39	6857	241	84	39	908	12588	71	38
VV1_RS10935	291	1080	203	161	734	542	208	73	755	559	349	84	281	923	148	128
VV1_RS10955	1724	1776	714	792	1513	809	293	181	1718	941	319	196	1343	1293	565	585
VV1_RS10980	462	224	31	71	485	535	20	20	482	530	19	20	460	223	31	67
VV1_RS10985	743	199	100	157	189	237	115	26	208	263	116	26	717	192	99	124
VV1_RS10995	261	140	75	146	341	580	62	49	334	558	61	49	261	141	76	146
VV1_RS11000	200	115	51	136	192	337	69	21	192	334	69	21	200	115	51	136
VV1_RS11005	107	32	47	42	41	105	39	33	41	105	39	33	106	32	47	42
VV1_RS11010	68	51	24	20	54	72	33	11	61	77	36	11	62	45	22	20
VV1_RS11015	72	11	14	27	37	38	20	6	37	38	20	6	72	11	14	27
VV1_RS11030	60	123	94	102	268	97	130	36	268	97	126	36	62	121	94	102
VV1_RS11040	89	167	54	49	164	124	136	27	164	124	135	27	89	161	52	49
VV1_RS11045	2339	4371	7444	2666	4181	2161	4270	3779	4206	2157	4278	3781	2319	4337	7440	2657
VV1_RS11070	76	147	1842	2128	76	83	4860	1631	76	83	4849	1621	76	147	1841	2126
VV1_RS11100	1144	1364	229	167	1286	658	247	119	1270	650	243	110	1116	1337	226	167
VV1_RS11105	4374	4123	420	316	4207	2257	449	99	4214	2267	445	105	4374	4083	421	314
VV1_RS11115	163	197	1477	839	156	101	4844	376	158	109	4822	370	152	185	1471	832
VV1_RS11130	1509	1593	498	517	1526	1888	457	152	1484	1808	400	131	1481	1570	474	500
VV1_RS11140	64	45	17	22	26	72	51	15	26	76	51	15	59	43	17	22
VV1_RS11145	3276	2685	439	407	3438	1716	414	130	3992	1931	460	139	3209	2466	424	393
VV1_RS11155	84	19	222	70	103	55	112	47	98	55	112	45	77	19	218	69
VV1_RS11160	126	202	2765	564	343	200	1660	879	341	198	1657	876	126	196	2765	556
VV1_RS11165	1602	7508	14687	14869	9947	1414	18571	5121	9922	1413	18553	5109	1599	7478	14659	14825
VV1_RS11180	4956	1593	180	155	2301	3116	537	135	2289	3107	536	135	4942	1591	180	154
VV1_RS11185	1931	1772	123	88	1843	908	164	28	1817	891	155	22	1918	1778	126	88
VV1_RS11190	2764	1841	72	76	1839	1964	111	43	1837	1963	110	43	2764	1841	72	76
VV1_RS11200	5990	41981	2384	3817	25484	4091	2838	1200	25516	4092	2823	1196	5978	41949	2392	3815
VV1_RS11205	1325	817	624	602	567	719	776	359	567	719	775	357	1325	817	624	596
VV1_RS11215	752	2848	753	594	2268	497	748	148	2044	451	659	117	719	2423	699	552
VV1_RS11225	1451	1377	1040	613	639	584	1140	634	639	584	1140	634	1451	1377	1044	617
VV1_RS11230	738	443	136	93	461	558	176	106	454	553	177	103	738	440	136	87
VV1_RS11235	210	264	60	65	238	141	65	21	238	141	65	21	210	264	60	65
VV1_RS11240	1570	3698	10418	7904	4032	2213	22666	5055	4033	2210	22631	5046	1574	3699	10414	7895
VV1_RS11245	25355	6071	2368	3187	4954	26641	3481	1497	4854	26075	3479	1497	25204	6021	2357	3161
VV1_RS11255	6321	19979	1169	1554	16224	6037	2257	833	16225	6034	2258	831	6293	19909	1168	1553
VV1_RS11260	171	245	446	258	123	45	308	272	123	45	305	266	171	240	443	251
VV1_RS11270	126	1686	48720	26816	545	102	22761	12621	503	97	20977	11365	102	1579	43180	24815
VV1_RS11275	110	882	29584	13368	363	213	10939	6976	356	212	10813	6898	110	862	29735	13290
VV1_RS11285	154	688	889	570	750	189	1576	627	745	188	1564	624	152	683	881	552
VV1_RS11290	730	791	155	126	1056	720	231	137	1054	720	229	137	730	791	154	126
VV1_RS11295	1041	1248	1120	974	1368	749	1002	357	1359	741	995	351	1040	1239	1112	966
THRS	28215	11298	2620	2346	11831	16740	3889	1261	11815	16708	3875	1256	28137	11291	2613	2342
VV1_RS11320	408	702	2290	2369	417	365	1372	396	424	370	1382	399	409	702	2295	2367
VV1_RS11675	1057	2505	665	327	1350	1172	575	233	1464	1225	613	243	977	2183	623	282
VV1_RS11900	1583	2097	1843	1439	2490	1210	1421	645	2851	1376	1590	754	1822	2445	2098	1651
VV1_RS12160	2216	2377	3167	3456	296	284	230	54	244	251	228	64	2275	2985	3255	3445
VV1_RS12210	1887	634	135	183	532	1093	236	105	673	1173	247	102	1824	574	121	177
VV1_RS12215	2526	2452	10508	5589	1164	1153	2775	1456	1163	1161	2760	1441	2529	2446	10467	5556
VV1_RS12225	1048	14556	26796	21454	23095	1295	29942	11489	23061	1298	29874	11446	1048	14530	26776	21377
VV1_RS12230	298	2731	371	213	2141	484	830	222	1988	463	775	197	267	2535	350	197
VV1_RS12235	248	2031	540	427	1791	517	858	258	1789	514	857	257	248	2021	540	426
VV1_RS12255	390	303	59	69	278	472	127	41	296	478	129	42	388	297	58	68
VV1_RS12265	1932	26599	1639	2496	12483	920	948	435	12026	896	917	420	1878	25746	1607	2407
VV1_RS12275	519	7338	484	277	2671	692	428	151	2660	684	420	147	507	7310	480	275
VV1_RS12285	1184	7675	860	870	2540	579	340	245	2666	601	356	256	1104	6969	820	772
VV1_RS12290	942	2622	503	147	971	255	166	71	909	249	157	62	789	2055	396	131
VV1_RS12295	4443	3625	2026	1971	6551	4517	2738	788	6555	4517	2736	787	4444	3621	2019	1967
VV1_RS12300	4888	5665	508	682	9116	3938	480	342	9410	4022	497	356	4777	5231	482	613
VV1_RS12305	1319	4700	410	382	4604	2083	504	263	4423	1983	485	244	1288	4507	387	349
VV1_RS12310	151	371	230	83	441	367	516	131	428	355	491	127	148	363	230	83
VV1_RS12320	212	540	371	286	759	300	357	128	746	298	345	125	212	520	356	273
VV1_RS12330	3768	1522	528	528	3313	8707	1488	349	3239	8571	1460	340	3710	1499	526	518
VV1_RS12345	2626	3301	715	1605	6777	1342	1233	318	6362	1279	1120	290	2344	2950	631	1371
VV1_RS12350	611	926	398	395	1805	530	747	173	1799	531	741	173	610	912	397	390
VV1_RS12360	1434	1965	1084	870	5100	2192	2129	421	4998	2158	2082	416	1419	1933	1072	856
VV1_RS12365	152	156	80	53	827	363	351	78	826	363	349	80	151	156	80	50
VV1_RS12370	283	622	275	286	1341	525	422	112	1334	517	415	112	282	610	268	279
VV1_RS12395	3748	594	378	417	225	1400	171	39	223	1385	167	38	3652	589	362	399
VV1_RS12400	3984	2736	2195	2466	2532	1992	1237	1234	2507	1968	1223	1213	3934	2676	2177	2425
POTD	2322	1760	700	675	1689	1104	345	101	2627	2114	1367	299	1249	1094	226	237
VV1_RS12430	331	696	3984	2413	283	157	4920	1370	283	157	4921	1371	331	697	3986	2414
VV1_RS12435	696	1157	5905	4406	1195	227	5763	3000	1187	223	5728	2984	693	1155	5896	4386
VV1_RS12440	236	550	3208	1689	375	175	1967	808	374	174	1957	805	234	548	3207	1683
VV1_RS12445	247	517	2877	1520	457	206	1170	461	456	205	1152	454	247	499	2849	1438
VV1_RS12450	15812	18627	57544	31801	27609	10041	47874	18765	24514	9087	43469	17581	14060	16989	52336	28857
VV1_RS12455	15333	22657	15247	19351	28722	10315	17985	9774	28715	10315	17976	9772	15326	22637	15244	19329
VV1_RS12460	229	460	225	175	196	159	240	90	199	162	240	90	227	458	222	173
VV1_RS12480	2271	4205	1038	756	6564	5397	1806	581	6558	5393	1805	581	2268	4196	1038	764
VV1_RS12490	7551	8178	3213	2812	15875	10494	4930	1494	15872	10490	4929	1497	7555	8173	3210	2803
VV1_RS12495	5218	7353	2305	3029	8331	7387	3384	1074	8328	7395	3377	1074	5213	7359	2301	3015
VV1_RS12505	2072	3440	1576	2193	3382	2381	2248	1034	3371	2365	2233	1027	2061	3423	1567	2183
VV1_RS12510	835	3460	2324	1868	3376	1086	2310	881	3373	1084	2307	877	835	3450	2313	1858
VV1_RS12515	1224	2942	31391	15675	1864	1337	22524	5511	1858	1332	22491	5501	1224	2931	31361	15625
VV1_RS12535	518	1366	313	281	1184	503	239	139	1183	504	239	136	518	1362	313	280
VV1_RS12555	1883	5998	3778	4721	3365	1608	4929	3090	3488	1634	5188	3224	1889	6024	3803	4733
VV1_RS12575	1142	2065	495	391	3149	1109	505	158	3107	1101	514	161	1129	2031	471	391
VV1_RS12590	940	326	32142	23833	532	442	20353	6662	547	468	20645	6696	851	280	30599	22715
VV1_RS12595	7893	6048	10711	8214	7064	9149	16529	4395	6987	9045	16290	4330	7500	5726	10323	7745
VV1_RS12600	3516	4779	8953	6869	7086	4666	27384	4058	7029	4581	27145	3991	3601	4839	8995	6896
VV1_RS12610	1789	3519	10975	7418	4469	1444	10704	2512	4457	1443	10659	2504	1781	3501	10950	7370
VV1_RS12615	545	1014	747	443	581	508	970	428	585	514	984	441	541	993	739	443
VV1_RS12620	1008	3075	1313	1070	2181	862	957	372	2151	853	930	364	1000	3047	1309	1057
VV1_RS12630	1677	3327	1313	1181	2962	2276	2206	427	2815	2087	2105	404	1643	3231	1263	1152
VV1_RS12635	1197	1348	607	999	1147	952	541	291	1141	949	538	286	1183	1344	604	994
VV1_RS12645	1058	710	144	81	638	641	124	57	624	627	124	57	1030	697	137	73
VV1_RS12660	263	548	126	79	688	286	190	72	687	286	191	72	264	545	125	79
VV1_RS12670	89	29	26	20	29	95	49	26	28	95	44	25	92	30	26	20
VV1_RS12675	213	133	136	69	140	261	374	121	139	261	371	120	208	128	136	68
VV1_RS12680	40	26	26	28	47	74	98	51	47	73	100	51	40	26	24	28
VV1_RS12685	975	253	2841	1441	129	134	4407	2682	128	134	4395	2667	974	253	2831	1434
VV1_RS12690	358	794	20611	12733	723	739	26986	7514	723	736	26904	7465	356	787	20535	12569
VV1_RS12695	1791	3608	30764	23316	2334	1508	46090	12228	2318	1504	45974	12202	1789	3595	30716	23224
VV1_RS12710	171	174	1866	1192	179	179	5054	1349	177	179	4862	1304	170	163	1759	1143
VV1_RS12720	87	96	737	576	59	67	2539	688	58	67	2495	679	86	94	716	568
VV1_RS12725	60	10	162	199	28	59	587	150	28	59	566	144	61	10	158	196
VV1_RS12730	743	850	492	587	174	106	287	116	172	105	285	114	737	826	486	576
VV1_RS12735	87	135	60	53	117	76	137	38	128	86	146	38	61	104	53	52
VV1_RS12750	275	93	57	122	262	438	99	78	262	435	99	77	275	93	56	121
VV1_RS12780	1756	4981	1077	665	4004	2079	2140	855	3558	1785	1845	737	1263	4058	859	550
VV1_RS12785	825	1491	629	454	1653	891	1203	546	1597	872	1159	521	833	1491	629	448
VV1_RS12790	1665	2940	1035	640	3619	1326	3213	1424	3511	1318	2852	1342	1543	2813	1004	641
VV1_RS12795	655	711	1505	1721	923	685	1123	839	918	683	1105	828	655	703	1485	1716
VV1_RS12800	328	911	1303	1623	1082	648	1667	769	1081	648	1668	767	328	910	1298	1619
VV1_RS12815	638	1125	145	62	2606	2646	223	76	1832	1917	166	71	601	1038	131	58
VV1_RS12820	119	445	87	55	670	503	70	45	665	502	70	43	114	438	86	53
VV1_RS12825	142	447	96	61	479	402	125	70	463	391	121	70	137	436	96	60
VV1_RS12830	1453	2497	864	1399	2470	1210	640	357	2463	1206	636	356	1443	2480	861	1387
VV1_RS12835	21237	12533	7587	8857	14575	12285	6506	3496	20923	15353	8650	4321	17891	9447	5465	6777
VV1_RS12845	1042	363	223	147	478	1146	347	111	478	1145	347	111	1039	362	223	147
VV1_RS12855	1886	1316	282	255	1802	2197	338	213	1802	2196	338	213	1886	1315	280	248
VV1_RS12865	148	606	57	66	957	97	103	37	964	97	175	45	141	589	54	63
VV1_RS12880	1276	732	1002	733	1260	964	1439	506	1260	961	1430	506	1265	692	999	734
VV1_RS12885	28411	14865	108400	88363	8362	25263	160909	44687	7746	22799	138851	39695	32680	16661	115013	106684
VV1_RS12890	1160	1025	3156	2686	528	1702	4454	1089	545	1735	4609	1154	1044	949	2953	2459
VV1_RS12895	1211	1475	4119	5174	826	2141	5185	949	828	2125	5185	951	1220	1476	4146	5210
VV1_RS12900	4901	4845	22633	10710	3642	8361	36358	7470	3632	8351	36266	7435	4888	4822	22590	10639
VV1_RS12925	15632	13468	6511	7434	11407	9691	6337	3069	11334	9633	6246	3060	15560	13242	6418	7333
VV1_RS12945	20526	11559	10544	6380	13181	11560	13300	6624	13627	11767	13589	6711	19775	11013	10098	6049
VV1_RS12950	40751	12013	9569	6131	29029	18104	14715	7915	28620	17873	14411	7696	40492	11940	9544	6081
VV1_RS12960	187	1245	195	157	743	146	221	105	742	143	220	104	187	1243	195	157
VV1_RS12965	173	138	94	64	418	204	211	71	417	202	207	71	169	138	93	63
VV1_RS12970	664	314	204	181	288	235	313	59	288	235	313	59	662	311	205	181
VV1_RS12975	1133	693	102	55	425	357	82	72	418	346	80	72	1123	687	102	55
VV1_RS12980	294	1069	116	81	1170	157	136	42	1180	158	137	41	287	1042	115	80
VV1_RS12985	422	848	120	193	475	317	165	109	477	319	165	108	422	839	115	185
VV1_RS12990	176	171	145	115	501	346	687	439	498	345	685	437	175	170	143	114
VV1_RS13025	362	1154	15396	5023	1202	651	15254	5209	1168	644	14894	5090	358	1138	15263	4934
VV1_RS13035	649	885	7060	2588	940	277	6880	2385	937	277	6853	2378	641	885	7046	2559
VV1_RS13045	105	32	423	469	41	304	636	148	44	325	681	150	101	32	392	442
VV1_RS13055	464	188	186	118	157	182	149	40	156	177	144	37	453	186	180	117
VV1_RS13070	56	40	24	49	58	326	74	14	54	325	74	14	56	41	24	49
VV1_RS13080	1222	3868	1372	1258	2096	1334	1692	647	2093	1332	1690	648	1221	3861	1368	1255
VV1_RS13095	8648	1546	1437	2648	1122	3206	6206	2510	1092	3162	6171	2469	8616	1529	1434	2627
VV1_RS13100	1250	3389	1551	1814	4470	943	4237	2965	4402	900	4157	2876	1240	3366	1544	1782
VV1_RS13105	22	35	104	62	28	22	276	78	28	22	276	77	22	35	103	61
VV1_RS13110	29	55	68	68	16	15	15	10	16	15	15	10	29	55	68	63
VV1_RS13115	131	134	64	91	88	56	43	25	84	51	35	25	111	118	50	79
VV1_RS13125	49	53	73	40	35	28	71	14	35	29	72	14	49	53	75	40
VV1_RS13130	1548	7520	2884	2155	5357	1279	4422	1317	5350	1273	4402	1305	1544	7490	2877	2138
VV1_RS13150	377	526	657	502	346	332	567	454	341	331	568	453	376	531	661	500
VV1_RS13165	1271	1260	14547	11023	2414	1413	16915	5533	2412	1411	16886	5521	1263	1258	14521	10968
VV1_RS13170	2050	2517	2245	2198	2422	1849	1651	655	2415	1841	1644	652	2043	2511	2237	2178
VV1_RS13180	250	208	2095	1317	155	263	3623	814	159	263	3598	811	245	210	2126	1311
VV1_RS13190	213	901	5033	2928	698	300	3439	660	692	297	3408	658	213	908	5088	2932
VV1_RS13195	464	4033	21608	16071	5002	816	13770	3423	5394	876	15760	3745	432	3545	18541	14882
VV1_RS13200	180	3124	14824	7967	2197	215	17462	4028	2207	214	17421	4000	175	3120	14790	7917
VV1_RS13205	558	160	141	51	210	310	158	64	175	266	136	42	557	155	164	58
VV1_RS13215	691	200	175	270	188	487	316	152	206	488	354	161	663	173	143	212
VV1_RS13220	81	342	546	291	201	38	389	440	216	41	427	537	50	270	436	256
VV1_RS13245	757	11364	2137	1769	10329	468	1039	809	10303	465	1036	805	751	11260	2134	1763
VV1_RS13250	954	1196	222	405	567	913	182	136	560	910	178	135	942	1182	220	395
VV1_RS13265	107	86	44	43	220	110	67	30	215	110	65	26	91	83	43	43
VV1_RS13270	380	479	269	170	487	194	237	107	462	184	216	98	371	457	254	171
VV1_RS13275	1741	7899	874	760	5752	2274	1156	378	5683	2249	1151	373	1624	7297	827	710
VV1_RS13280	15037	7844	2342	3294	4900	7297	2541	1695	4879	7245	2537	1685	14926	7794	2332	3278
VV1_RS13285	4490	3818	1194	613	937	1354	780	663	939	1354	780	663	4490	3818	1194	614
VV1_RS13305	328	2926	6177	3789	5075	187	5517	3196	4870	180	5269	3108	321	2826	6006	3653
VV1_RS13320	169	69	144	37	79	122	177	47	80	121	176	47	169	69	144	37
VV1_RS13340	1971	715	877	684	3684	3594	1552	877	3676	3589	1552	870	1969	713	876	684
VV1_RS13350	2787	3314	2808	1197	3345	2972	2895	694	3336	2961	2886	692	2771	3293	2769	1170
VV1_RS13355	663	846	562	565	1121	701	524	183	1117	696	522	179	658	841	557	557
VV1_RS13360	121	393	1585	391	121	34	386	277	223	85	612	512	24	221	880	239
VV1_RS13365	1574	2282	2398	3911	1747	1106	4333	1347	1745	1103	4315	1331	1574	2273	2392	3897
VV1_RS13370	388	585	295	247	722	382	352	182	722	382	350	182	388	586	294	244
VV1_RS13380	125	219	3210	1293	292	209	6143	679	292	211	6134	677	126	219	3208	1285
VV1_RS13385	14068	5092	2337	2048	9195	8075	2145	1149	9172	8101	2160	1140	13964	5038	2311	2021
VV1_RS13390	177	483	69	62	341	190	178	42	338	188	174	42	176	477	69	62
VV1_RS13395	190	313	101	41	319	286	219	94	316	292	215	94	189	314	101	41
VV1_RS13400	23099	2016	511	727	1629	10374	489	224	1693	10659	524	237	22655	1938	503	708
VV1_RS13405	10920	4323	5113	4270	5905	7011	5304	5869	5926	7021	5323	5895	10819	4309	5103	4237
VV1_RS13430	2228	3199	1719	1294	2292	1997	2082	1205	2285	1993	2075	1200	2230	3193	1717	1288
VV1_RS13435	1290	927	652	455	423	1005	344	231	424	1005	344	231	1287	924	652	454
VV1_RS13445	705	1790	549	317	1495	675	472	200	1466	668	460	197	712	1869	559	317
VV1_RS13450	12152	24099	6719	4582	34934	7887	9060	4337	34938	7886	9062	4332	12159	24092	6718	4589
VV1_RS13455	4542	23087	10347	6928	25235	2695	22510	2761	25237	2697	22502	2760	4543	23079	10344	6927
VV1_RS13465	357	914	239	192	1201	759	719	429	1198	759	717	429	355	912	241	188
VV1_RS13470	7232	1605	842	701	2067	3552	1394	389	2067	3551	1395	389	7233	1603	842	700
VV1_RS13475	2980	26589	13670	9146	27146	2804	15620	5165	25485	2605	14582	4841	2803	24891	12856	8502
VV1_RS13480	261	3180	1312	808	5594	196	1456	476	5592	193	1443	475	261	3162	1317	811
VV1_RS13490	157	354	71	105	322	143	71	49	322	143	71	49	157	354	71	105
VV1_RS13495	583	706	472	375	1340	671	423	195	1333	672	424	194	583	705	471	372
VV1_RS13500	61	307	45	45	170	97	83	23	171	96	83	23	61	305	46	45
VV1_RS13505	1906	2368	1543	2337	2240	2858	1479	1139	2210	2825	1471	1132	1881	2300	1533	2278
VV1_RS13510	195	307	411	275	274	293	750	315	272	289	737	314	192	288	406	268
VV1_RS13515	153	74	29	53	121	214	36	20	113	200	34	19	158	82	30	54
VV1_RS13520	773	424	157	143	339	949	304	61	374	1045	311	70	675	365	151	127
VV1_RS13525	158	435	143	125	372	153	251	73	371	153	251	73	156	435	143	125
VV1_RS13530	243	300	69	58	526	250	92	28	582	298	111	36	203	277	55	51
VV1_RS13540	5518	4429	495	542	7612	5949	429	253	7318	6377	453	266	4817	3523	402	439
VV1_RS13545	1271	1977	278	194	2941	1639	228	215	2722	1430	219	201	1306	2005	280	194
VV1_RS13555	125	151	126	100	536	204	290	133	536	204	290	132	125	150	126	100
VV1_RS13560	231	274	419	287	396	316	475	151	396	316	475	150	230	274	418	285
VV1_RS13565	1339	1308	2449	2152	2393	1336	2204	879	2370	1335	2200	874	1336	1285	2429	2131
VV1_RS13585	2551	2283	22499	18708	1894	1216	20467	5179	2052	1338	22155	5591	2123	2019	20211	16952
VV1_RS13590	143	280	1078	750	160	184	1418	462	165	186	1551	495	152	270	959	704
VV1_RS13595	281	211	1705	1037	214	148	1975	433	189	125	1644	328	137	169	1339	758
VV1_RS13600	46	199	1265	963	49	44	646	171	39	40	607	159	53	204	1291	969
