	CMCP6_HS1	CMCP6_HS2	CMCP6_ASW1	CMCP6_ASW2	YJ016_HS1	YJ016_HS2	YJ016_ASW1	YJ016_ASW2	CMCP6_YJ016_HS1	CMCP6_YJ016_HS2	CMCP6_YJ016_ASW1	CMCP6_YJ016_ASW2	YJ016_CMCP6_HS1	YJ016_CMCP6_HS2	YJ016_CMCP6_ASW1	YJ016_CMCP6_ASW2
VV1_RS02610	388	408	388	325	620	340	517	245	601	310	428	201	395	452	512	355
VV1_RS02625	45759	835	3164	2010	1301	33305	1796	818	1294	33039	1779	816	45531	837	3148	2003
VV1_RS02630	7565	626	605	649	1180	3528	898	470	1181	3502	893	467	7546	629	604	645
VV1_RS02640	22685	4088	4407	4448	3972	19517	4983	1725	3956	19290	4934	1710	22444	4007	4347	4415
VV1_RS02645	20332	4262	3325	4818	6513	26761	3089	1769	6509	26751	3086	1768	20328	4258	3324	4809
VV1_RS02670	15973	11411	4404	3528	29747	21337	4673	2162	29690	21305	4651	2152	15916	11396	4383	3499
VV1_RS02680	12380	23257	10835	11100	13515	7621	7826	3476	13499	7615	7814	3472	12355	23183	10769	11052
VV1_RS02685	1940	1328	1315	1472	679	1004	1807	653	679	1001	1804	649	1940	1324	1310	1470
VV1_RS02690	2526	1950	95	106	1153	1931	200	98	1129	1908	200	97	2441	1929	94	103
VV1_RS02720	678	1949	862	773	1257	519	1197	410	1235	503	1164	392	675	1899	835	750
VV1_RS02730	188	533	76	64	369	91	63	63	378	92	62	63	180	525	76	64
VV1_RS02735	31	186	47	29	128	58	40	16	206	68	50	23	28	137	30	20
VV1_RS02740	144	590	126	109	278	92	138	75	321	119	172	86	133	548	117	108
VV1_RS02745	110	308	66	58	48	53	108	17	54	64	143	26	99	254	51	47
VV1_RS02760	336	517	140	90	905	960	391	100	903	960	391	99	336	521	139	90
VV1_RS02765	3810	1531	368	744	2496	3054	816	356	2483	3044	814	355	3793	1527	367	737
VV1_RS02790	47277	26049	49025	42327	37292	39663	65268	21260	37280	39652	65229	21250	47245	26029	49018	42270
VV1_RS02800	4905	6286	5219	5536	7204	6796	6163	2937	7204	6797	6163	2937	4906	6286	5217	5530
VV1_RS02815	704	1437	809	880	620	373	360	192	790	456	468	248	667	1289	745	782
MURF	490	617	252	177	933	890	943	290	927	892	933	291	489	611	250	174
VV1_RS02840	121	347	119	95	424	329	150	65	433	344	152	69	119	339	117	95
VV1_RS02855	5202	4243	3798	4042	7041	5128	8326	3302	6908	5059	8197	3242	5094	4190	3743	3948
VV1_RS02860	9815	3617	2933	3507	4254	5531	3748	2235	4252	5536	3745	2231	9792	3610	2932	3505
VV1_RS02890	9538	7914	6435	9437	12161	7064	8394	4573	12150	7060	8382	4566	9524	7900	6435	9432
VV1_RS02895	6708	9326	6491	7425	9448	5612	8202	3642	9242	5488	7965	3521	6520	8973	6328	6987
VV1_RS02915	1915	1934	5544	4169	2167	1422	3644	3286	2160	1421	3640	3272	1915	1939	5538	4163
VV1_RS02925	5312	90230	1277	1494	27582	3014	1033	382	26385	2911	961	352	5168	87407	1235	1419
VV1_RS02930	1334	914	516	407	483	797	405	180	469	772	392	174	1319	894	495	396
VV1_RS02935	2228	1326	925	709	1900	1697	1041	308	1884	1690	1022	301	2212	1301	906	707
VV1_RS02940	1323	1106	469	320	1311	919	429	153	1259	907	419	151	1301	1083	460	303
VV1_RS02950	2817	1748	1787	1200	1472	1390	1847	752	1464	1387	1840	749	2815	1747	1783	1198
NUDF	2404	2158	639	664	2313	3241	1014	317	2310	3223	1004	314	2433	2173	653	671
VV1_RS02970	7542	5584	1917	2507	10398	7225	3213	1566	10316	7162	3174	1537	7480	5604	1934	2567
VV1_RS02975	6966	5987	2821	3140	8260	10088	3226	1778	8241	10051	3205	1775	6782	5833	2767	3026
VV1_RS02980	11574	25377	11101	11026	42452	10385	16067	7076	41045	9988	15475	6883	11229	23685	10465	10416
VV1_RS02985	1567	6708	6848	6242	704	775	2769	1301	3921	1545	9972	5434	1004	1045	1268	2005
VV1_RS02990	12360	5836	2702	2854	8084	8950	2957	1230	8076	8928	2963	1233	12329	5801	2665	2835
VV1_RS02995	1549	5890	5705	3740	8281	1352	6395	1396	8300	1369	6415	1417	1495	5840	5663	3726
VV1_RS03000	333	1202	451	228	1111	361	696	140	1111	361	696	140	333	1202	451	228
VV1_RS03005	754	1033	115	187	791	477	188	79	790	474	187	79	749	1026	115	187
VV1_RS03035	3206	2827	4074	4442	1089	1517	3076	1587	1068	1466	2983	1560	3094	2711	3893	4232
VV1_RS03045	465	1066	3659	1966	1397	445	3517	989	1335	425	3508	983	453	1025	3651	1957
VV1_RS03065	17144	42373	12050	7852	22517	7265	19501	5103	22210	7193	19168	4968	17228	43258	12349	7938
VV1_RS03075	2922	4659	2316	2201	4926	5278	2880	1138	4920	5247	2871	1139	2932	4668	2320	2203
VV1_RS03080	227	329	497	358	347	126	602	172	346	123	639	176	223	320	437	344
VV1_RS03085	1732	3161	850	1229	2416	1567	1079	309	2408	1559	1138	319	1714	3129	684	1131
VV1_RS03090	562	8075	12327	19803	8082	605	8307	20552	8059	597	8275	20332	570	8083	12318	19710
VV1_RS03095	722	5442	5896	10674	5738	924	6527	6674	5847	934	6632	6690	709	5270	5786	10157
VV1_RS03105	64934	1445	4156	5317	2750	20580	4104	4164	2749	20535	4096	4154	64645	1437	4144	5297
VV1_RS03110	16175	470	2252	4450	688	6884	3445	3708	689	6885	3437	3689	16149	469	2251	4437
VV1_RS03115	22077	14064	5579	4295	10627	16851	13059	4358	10110	15867	11422	3318	22997	16688	6794	5109
VV1_RS03120	592	947	278	424	1038	406	499	232	1038	404	499	232	588	942	275	419
VV1_RS03130	3006	4535	2058	1376	3665	1694	3028	859	3666	1692	3025	863	2992	4516	2050	1375
VV1_RS03140	34735	14323	2198	4297	28635	12502	4249	3471	28566	12462	4229	3453	34551	14213	2188	4245
VV1_RS03145	4142	3219	1317	648	3693	3029	1304	340	3659	3007	1293	334	4105	3167	1312	652
VV1_RS03155	56	92	64	117	72	65	100	47	72	63	99	46	56	92	67	117
VV1_RS03165	600	196	165	193	399	992	306	104	358	951	270	97	637	218	200	247
VV1_RS03170	10588	10975	3111	4201	3957	6464	2703	1128	3954	6457	2698	1123	10559	10947	3103	4191
VV1_RS03175	6726	9471	5102	2790	4573	7612	3445	917	4566	7600	3445	912	6718	9450	5085	2784
VV1_RS03180	3386	4904	2506	1738	2512	5428	2362	701	2485	5355	2324	690	3361	4817	2472	1716
VV1_RS03190	334	271	977	564	530	490	1053	220	457	440	954	184	313	241	932	535
VV1_RS03200	4920	5014	2384	2483	4662	5120	2817	1406	4493	5027	2739	1367	4850	4872	2325	2437
VV1_RS03205	1180	1293	3248	3635	1262	1518	5462	1376	1268	1533	5519	1382	1178	1271	3219	3589
VV1_RS03260	5641	1967	1001	1223	1673	2934	1394	787	1669	2933	1398	792	5627	1961	996	1215
VV1_RS03265	3222	10056	24778	12629	4995	1449	11993	9832	4990	1456	12085	9826	3209	9941	24695	12498
VV1_RS03275	8121	3904	4104	2460	3395	3710	2955	973	3079	3408	2794	895	7587	3686	3914	2316
VV1_RS03280	3345	1817	4801	3903	1115	2773	6398	2378	1104	2754	6218	2322	3373	1821	4744	3888
VV1_RS03290	171	192	294	265	269	228	359	92	269	227	358	92	167	189	294	262
VV1_RS03295	2265	2299	3355	4087	2693	2272	2829	717	2692	2268	2827	715	2264	2293	3349	4082
VV1_RS03310	2481	1920	7048	5562	3848	2611	6511	1855	3789	2593	6430	1826	2479	1901	7031	5475
VV1_RS03320	617	1214	2253	2922	1282	697	1448	541	1286	696	1445	540	614	1211	2248	2899
VV1_RS03325	1107	2644	5906	7355	2108	1120	4254	980	2098	1119	4236	977	1105	2630	5873	7308
VV1_RS03330	267	538	325	253	450	203	442	180	435	184	409	158	290	548	360	269
VV1_RS03335	2862	2799	2088	1914	1826	1185	5343	1327	1822	1180	5308	1314	2848	2789	2078	1902
VV1_RS03355	1187	3171	738	675	4186	1357	797	397	4161	1336	787	394	1180	3112	737	658
VV1_RS03360	13113	17184	92115	46902	17652	9580	86555	33827	17637	9557	86358	33721	13080	17158	92050	46791
VV1_RS03375	361	632	2378	2714	391	219	1232	1008	446	248	1468	1119	338	568	2137	2224
VV1_RS03385	2237	1052	1276	1244	1300	2048	2089	652	1294	2031	2069	643	2222	1045	1267	1218
VV1_RS03400	172	52	94	43	101	80	121	51	101	80	121	51	172	52	94	43
VV1_RS03415	1626	1541	14340	8652	1724	1578	22352	6265	1677	1546	21567	5939	1510	1432	12557	8346
VV1_RS03420	7543	4696	49756	42584	8298	5777	132547	17128	8103	5640	130924	16670	8172	5036	49521	42300
VV1_RS03425	1160	2144	8631	7553	2143	1034	8600	2852	2164	1054	8734	2897	1152	2144	8537	7494
VV1_RS03450	1342	1952	901	868	2409	1169	1288	510	2409	1169	1288	509	1340	1952	901	868
VV1_RS03455	1589	715	5025	7124	908	1099	6745	2525	909	1100	6758	2533	1574	709	4937	7049
VV1_RS03475	281	254	672	500	108	80	862	147	133	126	1012	174	155	108	406	319
