"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_starvation1","IAI1_starvation2"
"52","alaS","alaS",161,5649.74756165689,-2.15610356573912,0.0959601744610799,-22.4687332828225,8.39516201197297e-112,1.23111661554461e-110,9307.99279215065,9154.82568969521,2118.22159865862,2017.95016612307
"53","aldA","aldA",7,3781.71552666086,4.30860386983199,0.109219747747767,39.4489454396316,0,0,376.947061824283,346.058703046898,7186.58106951521,7217.27527225705
"54","aldB","aldB",364,222.739862130775,4.08175672756488,0.274115679868127,14.8906356963183,3.79147385253996e-50,2.45924993567221e-49,24.0466229094801,24.9828475461664,462.301298746732,379.628679320721
"55","alkB","alkB",1778,25.1884324059862,0.994473646824526,0.565514829048952,1.75852797440692,0.0786577160203822,0.104449306818966,14.9479007275147,18.5058129971603,38.4309148102417,28.8691010890282
"56","allB","allB",377,246.366958814003,3.81493167217014,0.260745249744083,14.6308769801729,1.78471753470554e-48,1.11769710860472e-47,29.8958014550293,35.1610446946046,517.687028914433,402.723960191943
"57","allC","allC",1215,68.5440968211275,1.61786264536066,0.361619551887365,4.47393576181572,7.67928211670423e-06,1.49224568539413e-05,31.845527636879,35.1610446946046,111.901781359233,95.268033593793
"58","allD","allD",1754,21.5356293694538,1.17433240689307,0.611497107608986,1.92042185037445,0.0548046357445093,0.0737706641920106,10.3985396365319,15.7299410475863,28.258025595766,31.756011197931
"59","allR","allR",683,1162.52912673395,1.18627020028179,0.129815802956927,9.13810316818972,6.35572864786251e-20,2.19705349013227e-19,721.398687284403,695.818568693228,1502.19664067092,1730.70261028724
"60","alr","alr",1044,226.248639674251,-1.25506388281725,0.214516678295936,-5.85065875896994,4.89629852378377e-09,1.10729509718903e-08,324.954363641623,313.673530301867,137.899164907338,128.467499846175
"61","alx","alx",1836,33.3606898765446,-0.821059550625553,0.507222446103442,-1.61873662518892,0.105503943006198,0.135672554159932,40.9442498188445,44.4139511931848,19.2154574051209,28.8691010890282
"62","amiA","amiA",1226,218.444353103662,-0.976568282537184,0.220386726309197,-4.43115744260879,9.37286202629327e-06,1.80500222219237e-05,299.607923277576,279.437776257121,134.508201835846,160.223511044106
"63","amiB","amiB",1703,308.310956129602,-0.414173381281348,0.191706892999194,-2.16045117002177,0.0307377598357795,0.0426141227083238,352.250530187519,353.461028245762,289.362182100644,238.170083984483
"64","amiC","amiC",457,350.202837953572,-2.67232398507356,0.209075209522887,-12.7816396366257,2.07645340410584e-37,1.07275853109275e-36,556.321870554458,656.031070749333,96.0772870256044,92.3811234848902
"65","amn","amn",1808,277.808514849591,0.339993707558048,0.200387820004492,1.69667850845639,0.0897574580014137,0.117146135069838,267.112486913414,222.069755965924,297.274429267458,324.777387251567
"66","ampE","ampE",1462,251.541879467323,0.655999256234133,0.203836332034494,3.21826462283044,0.00128968773453279,0.00208273101315453,191.073165821274,199.862780369331,332.314381006208,282.917190672476
"67","ampG","ampG",835,89.5766175950926,-2.84363555205957,0.387418639047401,-7.33995545245734,2.13664958991731e-13,6.04147267280812e-13,181.324534912026,134.167144229412,22.6064204766128,20.2083707623197
"68","ampH","ampH",1405,101.200364086658,-1.08522972143038,0.308776811142469,-3.51460887692652,0.00044040209873627,0.000740063597947568,151.428733456996,123.988947080974,64.4282983583465,64.9554774503134
"69","amtB","amtB",2105,91.0102807853263,-0.215310696691255,0.319741039012461,-0.673390870800491,0.500698654999247,0.561737658423718,85.1380432741052,111.034877982962,87.0347188349592,80.8334830492789
"70","amyA","amyA",606,238.429053753341,2.24760130484722,0.221678616411195,10.1390081787506,3.70845571803923e-24,1.44482903470142e-23,85.7879520013884,78.6497052379314,360.572406601974,428.706151172069
"71","anmK","anmK",895,390.245887084708,1.15353437307821,0.168556419000014,6.84360987212309,7.72220457279248e-12,2.03496041035809e-11,245.665498913067,237.79969701351,554.987622700844,522.53072971141
