	IAI1_batch1	IAI1_batch2	IAI1_starvation1	IAI1_starvation2
yeaP	940	695	381	310
yeaS	26	25	85	77
yeaT	70	62	103	81
yeaU	67	44	90	108
yeaV	21	15	359	315
yeaW	56	34	609	477
yeaX	55	33	379	258
rnd	235	156	94	49
fadD	429	319	6909	5383
yeaZ	581	395	36	33
yoaA	515	332	114	57
sdaA	151	112	627	505
adrB	31	41	55	44
yoaE	335	233	142	102
manX	5828	3975	1142	891
manY	4750	3406	848	646
rrmA	228	185	41	37
kdgR	1301	1050	1433	1121
yebQ	16	19	27	19
htpX	4203	3013	19217	15586
prc	5880	4217	952	736
yebS	180	115	136	125
yebT	466	341	97	102
yebU	340	239	62	54
pphA	37	26	61	49
yebZ	864	636	74	69
yobB	124	69	307	271
exoX	210	131	202	115
ptrB	208	111	140	116
yebE	238	150	936	744
purT	1577	1101	28	26
eda	1079	752	218	156
edd	684	421	95	86
zwf	4412	2853	791	640
yebK	368	234	554	503
pykA	1852	1175	738	584
lpxM	616	421	214	210
yebA	3632	2652	1455	1002
znuA	19263	13534	631	497
znuC	892	656	182	141
znuB	767	571	53	47
ruvB	576	377	369	264
ruvA	367	223	339	276
yebB	24	14	38	24
yebC	3200	2356	472	305
aspS	5329	3743	887	766
yecE	61	35	30	31
yecO	293	185	96	63
yecP	467	364	121	94
torY	4	6	44	28
cutC	641	459	242	227
argS	2985	2213	402	308
flhA	125	95	78	65
flhB	6	5	6	5
cheZ	31	34	22	25
cheB	12	11	14	7
cheR	10	9	9	6
tap	16	7	16	7
tar	15	7	41	21
cheA	56	36	14	7
motB	19	12	9	3
motA	16	8	2	8
otsA	111	85	240	173
otsB	24	20	77	76
araH	29	22	895	738
araG	54	31	854	610
araF	34	19	1564	1205
tyrP	331	264	109	79
yecA	795	606	1696	1323
uvrC	968	704	205	135
uvrY	1302	1077	581	441
sdiA	260	180	307	220
yecC	381	264	53	56
yecS	283	182	49	51
yedO	771	435	154	126
fliY	6432	4397	1294	912
fliA	3	3	6	3
fliD	22	12	19	14
amyA	132	85	319	297
yedE	1487	1062	312	198
fliF	9	3	6	2
fliG	13	8	8	7
fliH	6	3	5	2
fliI	7	3	4	4
fliM	13	5	6	5
fliP	6	4	5	4
fliR	14	10	110	108
rcsA	63	38	28	21
yedP	19	23	106	64
yedQ	177	101	206	147
yedI	312	230	210	141
yedA	24	14	19	10
dcm	818	520	152	119
yedJ	213	128	33	22
hchA	158	124	991	983
yedW	435	357	274	231
yedZ	65	43	70	59
yodA	17212	16450	77	65
yeeI	583	414	4862	4101
shiA	897	519	250	212
amn	411	240	263	225
yeeN	1937	1594	279	197
yeeO	96	94	191	159
cbl	1621	1199	73	60
nac	31	16	72	51
erfK	353	243	273	207
cobS	231	165	223	149
yeeA	90	48	105	86
dacD	54	50	26	32
yeeE	944	659	84	56
yeeF	4880	3739	51	39
yeeY	137	89	332	265
yeeZ	745	458	884	787
hisG	2065	1238	203	171
hisD	1898	1023	178	152
hisC	1694	957	142	130
hisB	2688	1460	292	241
hisA	2081	1266	172	110
hisF	2135	1326	143	108
ugd	437	313	329	218
gnd	8306	6421	1359	922
galF	3653	2728	1003	713
wcaL	24	17	14	11
wcaK	15	8	11	15
wzxC	7	4	1	4
wcaJ	9	1	5	5
cpsG	2178	1433	123	76
cpsB	1332	926	115	80
fcl	17	9	8	4
gmd	17	9	8	7
wcaE	3	3	2	4
wcaD	6	3	6	3
wcaC	15	10	9	8
wcaA	6	2	5	6
wzc	22	16	22	23
wza	8	4	3	3
yegH	500	399	209	178
asmA	1142	758	659	482
udk	424	321	38	37
yegL	10	4	3	2
mdtA	36	34	17	19
mdtB	111	82	19	20
mdtC	82	78	20	9
baeS	69	55	15	8
baeR	146	95	125	91
yegQ	621	445	68	55
yegS	23	24	71	48
gatD	19	13	63	31
gatZ	3	10	30	19
gatY	5	5	35	18
fbaB	405	306	576	401
yegT	59	35	41	34
yegU	63	53	23	24
yegV	62	33	34	22
yegW	128	82	98	58
yegX	142	85	12	18
thiD	1423	844	118	80
thiM	1568	986	92	85
rncA	46	39	74	45
yehA	12	8	27	25
yehC	0	1	1	0
mrp	2349	1812	1027	850
metG	3024	1825	514	451
yehL	23	15	7	9
yehP	24	28	8	3
yehT	262	201	268	170
yehU	490	347	992	774
mlrA	38	19	58	46
yehW	17	15	6	4
yehX	26	19	15	6
yehY	18	5	10	8
yehZ	26	17	48	40
bglX	1898	1294	415	289
dld	1770	1129	1631	1271
pbpG	453	315	183	151
yohF	33	15	52	42
dusC	392	239	37	35
yohK	35	18	42	22
cdd	69	49	367	300
sanA	160	87	82	59
yeiT	38	37	1590	1169
yeiA	70	67	1211	842
mglC	337	263	700	489
mglA	561	465	1773	1119
mglB	1455	1112	6956	5254
galS	100	78	649	418
yeiB	348	188	36	19
folE	2469	1301	182	147
frmC	383	182	259	240
cirA	8202	2689	492	341
lysP	5929	3858	121	125
yeiE	182	109	159	128
yeiH	200	107	333	270
nfo	304	206	99	80
yeiJ	59	35	105	102
rihB	13	4	35	34
yeiL	19	18	112	79
yeiC	4	1	33	13
fruA	859	604	575	437
fruK	476	286	190	162
fruB	473	293	140	100
setB	36	21	29	18
yeiQ	229	135	165	156
yeiR	237	208	10	14
yeiU	386	323	16	10
rtn	310	189	182	154
yejB	89	69	46	26
yejE	123	105	31	22
yejF	314	199	89	48
bcr	298	189	96	96
rsuA	449	301	97	50
yejH	63	39	28	22
yejK	1479	1099	384	338
yejM	780	509	126	111
narP	241	196	325	258
ccmH	174	179	123	95
ccmF	283	293	73	39
ccmC	93	99	33	29
ccmB	68	57	29	17
ccmA	66	80	111	111
napC	95	121	148	141
napH	43	59	51	29
napG	44	64	35	18
napA	305	404	198	170
mqo	1095	694	20	24
yojI	953	624	64	44
alkB	23	20	34	20
ada	69	44	128	80
yojL	49	38	21	15
rcsB	1923	1343	1385	1056
rcsC	915	671	261	214
yfaP	13	3	8	13
yfaQ	29	22	26	15
yfaT	1	2	2	3
gyrA	8946	6396	964	715
ubiG	443	277	49	48
nrdA	2307	1368	99	92
nrdB	1607	1123	165	120
inaA	301	187	232	171
glpQ	331	247	1322	1021
glpT	100	59	496	376
glpA	20	13	20	14
glpB	14	10	11	11
glpC	23	14	31	35
yfaY	333	223	193	152
ais	146	85	47	18
yfbE	547	374	162	132
yfbF	144	76	38	26
yfbG	360	251	82	52
yfbH	123	84	26	20
arnT	146	103	60	60
menE	341	266	25	16
menC	437	291	55	37
menB	780	557	88	64
yfbB	160	142	21	17
menD	252	199	52	51
menF	325	237	70	58
elaC	145	91	65	53
nuoN	2334	1580	695	650
nuoM	2164	1484	439	351
nuoL	3941	2699	1091	852
nuoH	2602	1883	623	514
nuoG	8739	6362	2243	1628
nuoF	3788	2804	870	645
nuoC	4672	3515	2136	1564
nuoB	2457	1674	1959	1357
lrhA	636	565	6392	5384
yfbQ	690	464	905	759
yfbS	205	139	365	303
yfbT	1907	1345	762	593
ackA	2302	1554	1404	1249
pta	3849	2537	815	543
yfcF	111	58	39	23
yfcG	13	11	42	42
yfcH	691	437	945	771
hisP	1338	909	160	109
hisM	1094	758	171	133
hisQ	2094	1634	430	287
hisJ	10536	7580	1233	942
purF	4608	3337	209	179
dedD	569	370	318	233
folC	1061	762	395	309
accD	5631	4128	1880	1601
truA	625	456	122	87
usg	1225	873	140	100
pdxB	1379	1008	253	197
flk	289	199	42	25
yfcJ	153	92	8	11
fabB	7074	4692	12369	10057
trmC	369	260	103	101
yfcA	380	290	179	138
mepA	537	354	109	79
aroC	1742	1084	245	196
prmB	1284	842	201	125
yfcY	85	51	734	510
fadL	1106	682	707	523
vacJ	1243	984	350	284
yfdC	23	31	67	51
dsdA	131	90	69	63
emrY	18	14	27	19
emrK	19	14	33	21
evgA	460	361	32	25
yfdE	25	23	65	52
yfdV	11	14	45	29
oxc	45	25	46	34
frc	60	31	27	31
yfdX	18	17	39	17
