	IAI1_batch1	IAI1_batch2	IAI1_starvation1	IAI1_starvation2
tktA	7882	4872	2293	1883
yggG	1100	875	1453	1233
speB	875	569	115	82
speA	8625	5938	643	505
metK	9908	6580	2074	1361
galP	161	121	25	15
endA	76	60	11	8
yggJ	372	246	95	95
gshB	804	496	330	264
yggS	417	304	132	111
yggW	477	363	40	35
yggM	29	21	66	46
ansB	67	47	113	88
yggN	469	360	232	172
yggH	1216	908	139	114
mutY	414	296	50	40
mltC	456	277	45	51
nupG	164	134	3627	3276
yqgA	30	23	39	35
yghK	29	25	425	349
glcF	52	30	926	752
glcD	32	23	1765	1480
glcC	153	96	2650	1999
ECIAI1_3132	11	9	5	3
yghR	10	8	4	4
yghS	9	11	17	11
yghT	3	6	11	9
pitB	38	28	26	17
gss	1035	771	490	428
yghU	595	390	518	392
hybC	342	252	301	255
hybB	39	52	129	73
hybA	31	18	118	92
hybO	65	51	260	161
yghZ	213	123	1027	869
yghA	15	5	33	31
exbB	2937	1655	975	678
metC	1476	1052	261	166
yghB	256	181	306	277
yqhC	116	70	145	93
yqhD	343	191	570	557
dkgA	84	58	680	542
yqhG	48	25	45	32
ygiQ	831	532	43	28
sufI	761	512	217	176
plsC	394	285	111	95
parC	1750	1254	320	246
qseB	126	110	73	59
parE	1969	1455	264	214
cpdA	869	603	1961	1665
nudF	423	296	220	189
tolC	2906	1609	1111	952
ygiC	2218	1640	1310	937
ygiE	393	272	1013	720
ribB	570	431	1990	1529
yqiJ	18	13	56	45
yqiK	36	18	53	38
rfaE	1730	1170	277	258
htrG	246	164	135	84
cca	414	284	240	193
bacA	573	524	244	194
plsY	212	126	61	57
ygiP	34	33	30	30
ttdA	10	6	4	1
ttdB	8	5	4	5
ygjE	27	31	16	10
gcp	556	394	195	148
dnaG	2041	1460	530	505
rpoD	4349	2783	5108	4094
yqjH	277	102	51	69
yqjI	194	135	46	40
aer	115	106	47	30
ygjG	65	45	225	160
ebgR	83	46	43	45
ygjI	5	4	19	16
ygjJ	7	4	5	4
ygjK	24	18	22	18
ygjO	264	182	20	20
ygjQ	19	18	9	3
ygjR	161	108	873	738
alx	63	48	17	20
sstT	1857	1274	5080	4151
uxaA	326	187	423	339
uxaC	347	178	372	318
exuT	141	87	255	194
exuR	487	346	683	573
yqjA	371	263	840	766
yqjG	85	52	100	90
yhaJ	536	352	116	85
yhaK	32	25	101	87
yhaM	76	57	72	38
yhaO	31	26	64	57
tdcG	45	37	64	40
tdcE	207	140	271	190
tdcD	13	18	64	46
tdcC	89	72	278	201
tdcB	9	8	150	98
tdcA	8	9	336	257
garK	73	55	1531	1106
garR	53	49	2095	1466
garL	12	12	1034	875
garP	44	23	1336	1151
garD	63	45	983	711
agaR	383	352	287	231
kbaZ	27	13	48	46
agaS	18	9	18	19
kbaY	10	11	11	17
agaC	8	12	15	10
agaD	14	9	22	23
agaI	19	17	3	6
yraI	6	7	38	45
yraL	383	230	120	79
yraQ	321	234	48	36
yraR	66	38	77	52
yhbU	22	29	15	3
yhbV	29	32	24	20
yhbW	118	76	36	36
mtr	347	210	270	261
deaD	1747	1297	436	341
nlpI	3871	3012	1924	1911
pnp	11016	7951	1242	1033
truB	1389	1104	205	144
infB	16318	12137	956	763
nusA	6532	4770	629	445
argG	15664	11641	233	185
yhbX	69	47	39	33
glmM	2130	1454	692	504
folP	513	304	102	91
ftsH	11824	8288	14581	12435
rrmJ	1755	1199	4422	3998
dacB	243	132	68	51
obgE	1345	933	900	732
yhbE	636	453	170	131
ispB	1209	880	405	252
murA	3253	2099	192	149
yrbC	1273	898	478	377
yrbE	938	701	175	147
yrbF	1269	965	331	258
yrbG	382	227	164	118
kdsD	1112	793	213	171
lptB	1135	809	272	183
rpoN	3074	2171	1954	1451
yhbJ	936	655	244	167
yrbL	2288	1497	3764	3178
mtgA	437	298	475	347
elbB	870	656	734	566
arcB	829	611	1839	1426
yhcC	24	16	4	6
gltB	16360	9971	182	141
gltD	8058	5349	149	85
nanE	32	11	96	64
nanT	32	25	195	170
nanA	67	43	50	55
nanR	484	387	238	190
dcuD	31	20	34	35
sspA	2879	2108	1727	1386
degQ	730	541	437	328
degS	373	256	142	110
mdh	16193	11565	9981	7526
aaeB	37	34	39	25
aaeA	56	41	41	46
aaeR	121	82	91	67
tldD	1236	865	514	363
rng	1244	852	201	166
mreC	620	425	26	13
mreB	2562	1622	213	172
csrD	507	385	346	288
yhdH	548	356	366	327
accC	7404	5309	903	714
panF	255	184	21	24
prmA	575	393	49	36
dusB	5549	4377	359	317
yhdJ	51	48	22	13
envR	19	13	3	6
acrE	9	13	8	5
acrF	198	144	196	169
aapQ	35	26	120	86
aapP	38	28	117	83
aroE	613	474	185	113
smf	377	279	842	714
fmt	1236	825	855	634
rsmB	563	420	124	88
trkA	524	423	243	165
rpoA	72728	52971	3632	3080
rpsD	47661	35056	2248	1944
secY	63778	48810	6711	5577
rpsC	41711	30497	1152	942
rplB	44418	33293	755	611
rplD	36653	27363	510	447
rplC	46335	34264	646	552
tufA	128693	94285	7086	5480
fusA	100410	75567	3094	2363
yheO	920	721	222	180
fkpA	5998	4603	1874	1501
kefB	288	176	290	277
yheS	695	499	94	71
yheT	237	148	30	18
prkB	275	190	336	293
crp	2706	1764	2296	2074
yhfK	763	449	96	106
argD	4534	3085	97	69
fic	47	39	93	70
tsgA	203	124	34	26
nirB	94	152	44	49
nirC	32	20	12	3
cysG	663	434	353	256
frlA	12	7	4	10
frlB	15	7	11	6
frlC	25	16	9	6
frlD	19	20	14	12
frlR	135	68	102	91
yhfS	32	24	29	31
yhfT	21	15	13	22
php	13	11	12	8
yhfZ	187	168	608	515
trpS	3029	2008	541	447
gph	933	621	121	73
rpe	821	620	148	114
dam	682	500	137	84
aroB	4198	3254	600	446
hofQ	27	19	15	14
yrfD	36	33	23	20
mrcA	1835	1319	82	64
igaA	660	458	595	497
yrfG	427	293	108	83
hslO	1079	687	272	186
pck	2084	1547	23151	19574
envZ	341	200	294	224
ompR	595	365	1311	1053
yhgF	2625	1679	69	44
feoB	1245	759	1146	894
yhgA	48	46	33	30
bioH	262	183	63	49
gntX	217	143	97	83
gntT	1089	857	77	70
malQ	718	523	74	58
malP	1050	782	94	71
malT	3693	2658	2358	1818
rtcB	83	51	66	58
glpG	582	442	60	41
glpD	43	47	151	124
glgP	4562	3088	4591	3586
glgA	2465	1644	2083	1535
glgC	2791	1781	2755	1988
glgX	2978	2053	2106	1788
glgB	6267	4361	1228	963
asd	11939	7537	1288	1005
gntU	110	88	27	19
gntR	266	154	76	87
yhhW	130	94	168	142
yhhX	717	483	337	309
yhhZ	3	0	4	3
ggt	48	32	14	15
ugpC	63	28	38	15
ugpE	11	10	12	9
ugpA	16	9	15	4
ugpB	126	85	880	642
livF	989	691	235	173
livG	1179	805	246	165
livM	1933	1313	460	319
livH	1792	1263	610	398
livK	3550	2507	1570	1066
livJ	12210	7523	4227	3140
rpoH	2145	1510	2292	1830
ftsX	936	659	722	519
ftsE	681	452	231	175
ftsY	2230	1622	862	650
yhhN	238	124	102	78
yhhQ	67	52	36	58
yhhS	151	108	101	68
yhhT	52	33	55	58
nikA	28	12	3	11
nikB	9	7	7	5
nikC	8	6	2	2
nikD	8	3	2	7
nikE	11	8	5	2
yhhI	406	388	626	453
yhhJ	507	434	592	470
rbbA	1030	773	807	623
yhiI	948	662	1208	911
yhiM	57	55	86	66
yhiN	489	352	212	149
pitA	1999	1364	452	337
yhiP	32	29	50	34
yhiQ	116	67	19	14
prlC	1306	733	810	689
yhiR	170	94	32	28
gor	1092	716	229	174
arsB	44	32	25	29
yhiD	27	15	17	11
mdtE	21	19	5	3
mdtF	120	63	54	51
gadW	184	118	24	13
gadX	271	290	62	38
gadA	149	109	98	85
yhjA	65	43	68	56
treF	83	48	113	107
yhjB	49	40	41	31
yhjC	114	80	32	33
yhjD	68	57	69	48
yhjE	3927	2299	632	490
yhjG	62	40	79	65
yhjH	9	10	8	6
kdgK	240	156	141	129
yhjJ	584	418	198	135
dctA	425	284	9575	9075
yhjK	410	266	123	98
bcsC	659	407	166	122
bcsZ	151	116	62	50
bcsB	330	173	131	98
bcsA	440	305	255	193
bcsE	292	184	395	282
bcsG	135	93	76	61
yhjV	164	119	58	72
dppF	425	319	45	30
dppD	470	363	49	31
dppC	434	358	36	18
dppB	485	407	40	29
dppA	5704	4310	1905	1560
eptB	118	100	571	438
yhjX	18	12	94	66
yhjY	61	38	132	94
yiaD	151	113	10	10
tiaE	1031	566	100	50
yiaF	1781	1420	1019	804
glyS	5689	4037	756	689
glyQ	2547	1891	407	285
yiaH	79	58	80	71
xylB	118	69	171	153
xylA	83	49	267	185
xylF	32	22	481	366
xylG	36	29	158	153
xylH	61	45	180	104
xylR	211	146	208	180
bax	2277	1573	2356	1805
avtA	1443	1001	361	305
yiaJ	408	308	99	82
yiaK	13	8	154	124
yiaN	5	4	49	36
yiaO	2	1	64	51
sgbH	2	4	23	16
sgbU	7	3	28	31
sgbE	12	6	30	23
yiaT	18	16	36	9
yiaU	84	46	131	90
yiaV	19	20	29	20
aldB	37	27	409	263
yiaY	25	21	21	23
selB	1256	886	194	151
selA	586	404	78	78
yibF	188	121	54	36
yibH	26	24	61	40
mtlA	574	384	1490	1174
mtlD	539	413	758	521
lldP	128	84	225	180
lldR	76	57	76	46
lldD	149	78	99	77
cysE	848	529	922	655
gpsA	1742	1169	613	464
gpmI	2250	1665	156	156
envC	842	587	68	42
yibQ	313	234	46	47
yibD	32	14	19	13
tdh	211	141	455	372
kbl	233	192	594	471
waaD	1239	810	673	541
waaF	990	724	172	121
kdtA	543	334	169	121
mutM	192	156	159	139
yicR	839	640	388	292
dfp	507	277	64	58
pyrE	952	747	13	8
yicC	1143	780	243	211
yicG	5	4	9	9
ligB	41	31	45	33
gmk	1005	652	457	387
spoT	3072	2074	127	112
trmH	513	342	23	16
gltS	556	439	386	289
yicE	1309	769	23	18
yicH	720	511	819	630
yicI	89	53	88	77
yicJ	22	20	29	29
setC	16	11	21	16
yicL	305	226	129	79
nlpA	1815	1282	195	113
yicM	102	81	10	10
uhpT	12	11	38	40
uhpC	93	54	10	3
uhpB	174	128	10	5
ilvB	1855	1159	263	243
emrD	6	7	26	35
yidJ	39	25	113	95
yidK	8	3	23	12
yidL	39	26	128	117
yidP	25	16	11	9
yidE	501	389	958	662
yidR	214	147	194	159
cbrA	20	6	21	17
dgoT	27	13	42	55
dgoD	43	31	132	96
dgoA	17	15	60	48
dgoR	130	116	307	225
yidX	95	99	82	87
yidA	422	233	60	56
gyrB	3642	2529	1461	1256
recF	443	348	14	21
dnaN	1049	786	168	141
dnaA	1771	1215	629	523
yidC	5152	3553	318	231
trmE	497	351	178	120
tnaA	71	44	211	143
tnaB	16	9	71	65
mdtL	33	20	9	6
yidZ	125	78	49	26
yieE	139	81	69	58
yieH	250	193	76	53
yieK	40	28	21	25
yieL	23	29	15	21
bglH	17	8	42	27
bglB	16	9	10	9
bglG	5	4	17	18
phoU	437	351	287	251
pstB	441	325	212	145
pstA	145	106	24	11
pstC	165	131	59	43
pstS	405	288	60	50
glmS	7380	5414	679	538
glmU	5782	4129	493	368
atpD	27211	18697	1997	1563
atpG	16672	11309	854	734
atpA	41597	29737	2373	1768
atpB	13608	9902	1876	1342
gidB	326	264	81	77
gidA	1981	1387	148	146
asnA	2223	1312	106	97
yieM	244	195	49	38
ravA	259	196	93	85
trkD	426	268	67	61
rbsA	212	145	253	140
rbsC	142	88	384	280
rbsB	789	867	3889	3157
rbsK	415	289	433	315
rbsR	181	138	56	45
hsrA	98	90	45	42
yieP	251	209	140	121
hdfR	310	228	228	206
yifB	36	38	34	28
ilvE	9807	6367	301	200
ilvD	10524	6609	356	291
ilvA	6150	3840	211	163
ilvY	184	99	93	74
ilvC	22146	16004	152	112
rep	748	519	131	103
gpp	1195	702	167	115
rhlB	2450	1589	589	505
rho	3096	1809	2477	2199
rfe	1117	864	332	236
wzzE	947	658	140	116
rffE	805	588	24	20
rffD	828	554	29	17
rffG	678	375	39	12
rffH	434	305	19	16
rffC	208	171	18	13
rffA	435	297	76	53
wzxE	383	232	67	35
rffT	306	225	45	27
wzyE	197	174	35	28
rffM	216	155	55	44
yifK	1049	729	118	87
hemY	1491	965	781	584
hemX	1544	1008	651	508
hemD	507	293	218	177
hemC	766	487	559	429
cyaA	2857	1891	827	666
dapF	814	535	133	103
yigA	470	310	40	25
xerC	563	371	20	17
yigB	318	210	15	14
uvrD	702	453	280	207
yigE	60	38	7	4
corA	981	689	485	461
rarD	154	106	68	29
pldA	887	643	163	126
recQ	807	511	39	25
rhtC	393	294	332	268
rhtB	216	153	174	113
pldB	385	283	186	115
yigL	260	165	60	58
yigM	171	121	56	57
metR	486	355	348	196
ysgA	838	530	360	264
udp	920	562	2242	1861
rmuC	189	159	512	399
ubiE	1144	818	634	514
yigP	714	452	265	200
ubiB	1104	741	449	351
tatC	1136	836	115	123
tatD	265	193	24	32
ubiD	1677	1148	1555	1257
fre	1010	728	974	696
fadA	118	73	1295	1070
fadB	269	171	3211	2435
pepQ	2141	1448	1411	1043
yigZ	290	214	159	126
trkH	559	380	222	143
yihE	1016	766	459	353
dsbA	2169	1615	695	519
yihG	111	89	20	21
polA	1535	1066	1485	1213
hemN	1031	695	420	299
glnG	818	555	147	109
glnL	676	427	87	74
glnA	8991	6186	863	679
bipA	11721	8297	1436	1180
yihL	82	56	51	47
yihM	106	89	90	70
yihN	55	48	14	18
ompL	7	6	17	14
yihO	6	8	60	56
yihP	12	15	54	46
yihQ	35	17	87	67
yihS	69	36	60	40
yihT	29	20	20	24
yihU	14	12	25	7
yihV	30	25	74	59
yihW	257	164	370	303
rbn	203	171	227	197
yiiD	658	431	182	150
fdhE	385	224	298	239
fdoI	107	73	603	449
fdoH	180	128	1165	974
fdoG	1371	957	7827	7077
fdhD	213	191	283	240
frvB	11	6	3	3
rhaD	19	6	10	8
rhaA	5	5	6	5
rhaS	22	22	84	59
rhaR	31	22	259	239
sodA	16891	8516	5107	4120
kdgT	31	25	88	65
yiiM	272	187	148	134
cpxA	1515	1085	433	395
cpxR	1327	972	618	455
fieF	708	510	408	347
pfkA	3175	2168	936	773
sbp	846	642	38	33
cdh	263	176	24	18
tpiA	6248	4380	790	586
fpr	597	325	497	345
glpX	182	116	199	168
glpK	139	116	1016	816
glpF	20	17	348	320
menA	412	286	72	59
hslU	1943	1312	1940	1424
ftsN	673	488	294	235
cytR	496	319	170	150
yiiX	57	50	48	28
metB	1493	954	1053	476
metL	2673	1705	1313	679
metF	7118	5254	1432	740
katG	3493	2505	3760	2688
yijE	55	47	62	65
yijF	8	5	6	5
gldA	102	81	281	163
fsaB	23	13	31	16
ptsA	27	26	60	57
frwC	19	8	30	26
pflD	58	35	79	57
pflC	27	9	20	12
yijO	31	20	18	18
yijP	1544	942	106	91
ppc	7041	4003	662	576
argE	2180	1392	174	137
argC	3930	2741	81	41
argB	2768	1832	62	31
argH	5937	3977	119	65
oxyR	1281	847	620	472
sthA	1007	738	2914	2510
fabR	857	661	1262	1098
trmA	570	362	196	140
btuB	1492	1072	396	301
murI	248	154	152	122
murB	881	693	450	323
birA	494	325	239	202
coaA	724	550	232	201
tufB	129863	95058	7049	5451
rplA	30120	21880	1759	1333
rpoB	39413	27910	5908	4430
rpoC	41848	29584	6843	5345
thiH	3502	1929	355	230
thiG	2501	1272	235	134
thiF	3127	1647	204	171
thiE	2597	1340	219	149
thiC	10766	6125	1146	779
nudC	375	241	79	67
hemE	815	484	180	124
nfi	276	200	40	29
yjaH	427	310	81	79
zraR	212	148	247	170
purD	1842	1258	77	55
purH	1836	1186	43	39
metA	4367	3113	2644	1424
aceA	471	325	3358	2602
aceK	88	52	1048	936
iclR	314	214	258	232
metH	8389	5344	2551	1862
yjbB	285	237	125	102
pepE	142	111	280	306
yjbC	739	453	306	246
lysC	7796	4633	494	510
pgi	5636	4168	1813	1467
yjbF	7	9	1	3
yjbG	14	4	1	1
yjbH	37	16	14	12
xylE	30	15	93	58
malG	67	49	135	119
malF	154	130	33	33
malE	878	625	86	90
malK	201	135	23	19
malM	170	116	57	76
ubiA	451	323	1187	882
plsB	1696	1129	1296	951
lexA	904	615	1357	1037
dinF	164	88	73	59
yjbM	2	4	7	11
yjbN	538	395	138	101
qor	434	275	311	286
dnaB	1091	732	102	92
alr	500	339	122	89
tyrB	2562	1605	193	157
aphA	67	65	363	320
uvrA	682	483	353	290
yjcC	40	32	147	107
yjcE	791	573	189	177
actP	174	115	970	740
acs	1024	665	6193	4326
nrfA	37	22	33	29
nrfC	7	3	5	1
nrfD	12	5	8	7
gltP	601	543	60	33
yjcO	394	281	467	498
fdhF	94	63	141	94
yjcQ	14	10	7	10
yjcR	12	2	5	5
phnL	5	1	0	1
phnK	7	2	12	11
phnJ	2	2	2	1
phnI	1	4	1	1
phnF	5	1	0	0
phnD	5	5	3	2
phnC	2	2	1	1
yjcZ	20	14	17	10
proP	1481	1059	267	209
basS	338	234	56	43
basR	298	201	102	66
eptA	384	259	55	58
adiC	13	3	32	20
adiY	4	2	53	34
adiA	19	11	46	37
melR	69	59	517	377
melA	55	41	129	109
melB	43	34	96	62
yjdF	134	99	57	36
fumB	65	60	453	353
dcuB	19	17	66	47
dcuR	196	159	273	208
dcuS	378	308	375	262
lysU	608	480	170	152
yjdL	17	13	29	26
cadA	57	50	83	72
cadB	5	1	12	8
cadC	45	28	121	110
dipZ	453	284	89	73
dcuA	2007	1442	4978	4483
aspA	993	807	24403	19910
yjeH	281	191	136	103
groL	25091	18140	23628	16825
yjeJ	76	72	98	86
yjeK	354	237	78	55
frdB	134	111	1334	1072
frdA	327	251	3498	2661
poxA	238	192	100	68
yjeP	533	377	112	77
psd	638	417	265	188
rsgA	934	598	269	204
yjeS	158	104	101	87
yjeF	217	136	149	113
amiB	542	382	256	165
mutL	889	575	570	431
miaA	4400	3029	3228	2601
hflX	4460	2985	1483	1136
hflK	4763	3238	1140	800
hflC	4300	2958	1069	796
purA	8359	5490	2047	1548
rnr	3350	2369	3009	2226
rlmB	759	487	280	200
yjfJ	16	21	18	17
yjfK	10	4	5	5
yjfC	32	27	37	38
aidB	131	73	125	79
yjfP	163	105	133	88
ulaR	226	143	332	287
ulaG	52	33	54	43
ulaA	20	20	35	22
ulaD	42	33	32	22
ulaE	58	32	33	22
ulaF	33	17	30	21
ytfB	495	301	569	443
fklB	808	385	58	69
cycA	1326	952	3096	2424
ytfE	41	19	129	90
ytfF	76	32	37	29
ytfG	59	29	47	25
cpdB	610	437	1135	881
cysQ	422	306	978	712
ytfL	229	155	227	183
msrA	233	149	209	167
ytfM	644	523	194	146
ytfQ	45	22	583	417
ytfT	12	7	107	82
yjfF	20	15	129	115
fbp	1065	657	2090	1959
mpl	1757	1247	461	317
pmbA	916	603	392	297
nrdD	102	100	126	139
treC	34	25	26	14
treB	42	25	62	39
treR	220	138	99	78
mgtA	1924	1514	335	264
pyrB	321	226	12	7
yjgI	36	22	27	14
argI	1548	1104	51	38
valS	8002	5626	996	725
pepA	4392	2914	776	610
yjgP	1005	701	389	323
yjgQ	891	603	415	347
yjgB	19	24	33	20
yjhT	56	69	209	174
yjhA	18	10	43	21
fimB	491	450	27	16
fimC	1331	887	316	224
fimH	533	358	103	70
gntP	36	33	174	145
uxuA	231	146	728	562
uxuB	252	156	354	244
uxuR	343	258	419	341
yjiE	139	90	49	26
iadA	524	405	46	45
yjiH	8	9	24	12
yjiK	52	50	73	64
hgdC	8	8	26	26
yjiM	16	24	124	73
yjiN	79	45	35	30
yjiY	92	57	584	430
tsr	73	38	81	63
mdoB	1513	1097	425	321
dnaC	222	150	38	45
yjjP	32	31	55	56
yjjQ	9	5	9	12
bglJ	44	22	44	28
rsmC	477	309	50	52
yjjG	234	155	36	16
prfC	1580	1081	35	33
osmY	83	69	168	147
yjjU	184	134	59	54
yjjW	14	20	8	6
yjjI	37	27	31	26
deoC	170	89	388	279
deoA	220	170	438	346
deoB	790	558	1951	1526
deoD	1033	611	1973	1809
ytjB	262	222	146	127
serB	1333	815	62	46
radA	1506	962	123	75
nadR	1037	742	200	151
slt	620	475	746	547
ytjC	706	461	263	214
rob	834	628	1069	1044
creB	529	360	130	95
creC	221	168	51	60
arcA	2235	1730	13489	10931
yjtD	104	89	128	102
