	YJ016_HS1	YJ016_HS2	YJ016_CMCP6ref_ASW1	YJ016_CMCP6ref_ASW2
VV1_RS06330	6014	3977	5380	2709
VV1_RS06335	2521	4653	2831	1297
VV1_RS06385	1528	2908	1554	503
VV1_RS06410	2098	760	1507	1459
VV1_RS06430	300	444	912	308
VV1_RS06450	12583	1470	6466	3087
VV1_RS06465	1542	1708	997	425
VV1_RS06475	786	1607	607	289
VV1_RS06490	2785	352	11980	3499
VV1_RS06495	4318	62330	2109	1154
VV1_RS06500	2116	7218	1492	685
VV1_RS06510	661	11158	103	55
VV1_RS06515	2674	38057	561	274
VV1_RS06520	3170	32121	431	202
VV1_RS06530	3414	1960	5764	1546
VV1_RS06535	5941	7496	4223	2868
VV1_RS06540	533	312	639	410
VV1_RS06560	1073	699	613	260
VV1_RS06575	5379	5434	10773	3765
VV1_RS06580	595	477	1470	296
VV1_RS06585	1870	286	331	139
VV1_RS06610	775	477	854	297
VV1_RS06615	8494	4914	2507	1159
VV1_RS06625	1864	1457	1070	269
VV1_RS06650	294	192	566	220
VV1_RS06660	1331	698	900	299
CYSJ	634	522	5106	1347
VV1_RS06675	1428	1433	5760	1198
VV1_RS06680	1022	1304	6289	1721
VV1_RS06715	5631	3300	90394	24768
VV1_RS06720	765	901	35711	9855
VV1_RS06725	1173	1251	14132	4692
VV1_RS06735	510	796	391	119
VV1_RS06740	9559	5446	1929	1361
VV1_RS06745	561	732	3116	2484
VV1_RS06755	4076	5327	24928	2718
VV1_RS06760	501	364	2882	2187
VV1_RS06770	5547	2448	21574	5145
VV1_RS06780	1620	744	7890	2462
VV1_RS06790	4344	2652	26483	9328
VV1_RS06795	2717	1619	26517	7826
VV1_RS06800	1918	1485	15950	4106
VV1_RS06805	2836	2575	14895	4076
VV1_RS06810	1528	852	8186	2307
VV1_RS06855	4463	2627	2258	853
VV1_RS06860	252	277	166	55
VV1_RS06875	2360	910	2622	941
VV1_RS06880	1539	1338	6764	1400
VV1_RS06885	1375	1265	4026	752
TLDD	5320	3844	12266	7741
VV1_RS06895	13898	15227	289633	114779
VV1_RS06905	231	411	399	88
VV1_RS06930	182	4904	206	64
VV1_RS06935	620	159	6054	2894
VV1_RS06945	521	221	361	222
VV1_RS06960	1954	568	545	229
VV1_RS06965	2100	910	615	317
VV1_RS06980	3446	3598	3898	849
VV1_RS06985	1986	2877	1026	462
VV1_RS06990	1437	1963	1067	514
VV1_RS07005	5565	687	467	327
VV1_RS07015	6109	476	104	27
VV1_RS07025	12698	2054	462	207
VV1_RS07030	4051	1215	731	301
VV1_RS07035	7767	2547	1580	798
VV1_RS07045	550	588	15728	3591
VV1_RS07090	434	451	25050	5606
VV1_RS07095	444	279	26903	6743
VV1_RS07150	738	763	596	160
VV1_RS07160	1407	1516	895	662
VV1_RS07170	1449	165	284	144
VV1_RS07175	320	226	247	84
VV1_RS07180	979	531	2064	760
VV1_RS07185	846	361	1536	511
VV1_RS07205	4588	1148	369	161
VV1_RS07210	4739	794	616	391
VV1_RS07215	5382	4354	43386	16117
VV1_RS07220	2009	2254	13760	3059
VV1_RS07235	8792	2636	18105	6458
VV1_RS07240	4653	993	344	178
VV1_RS07250	823	966	739	338
VV1_RS07260	307	358	59921	16308
VV1_RS07265	2024	2778	6123	1670
GAPA	2120	1649	681	308
VV1_RS07290	20177	32330	5003	1092
VV1_RS07295	9053	7907	3101	1233
VV1_RS07300	282	772	321	89
VV1_RS07305	1063	440	840	341
VV1_RS07310	3504	1784	5884	1196
VV1_RS07320	814	355	216	129
VV1_RS07340	1767	982	263	96
VV1_RS07345	2222	1695	714	500
VV1_RS07375	4391	7803	1409	634
VV1_RS07385	7198	2418	2875	1043
VV1_RS07400	2218	987	871	256
VV1_RS07405	210	236	1083	174
VV1_RS07425	1863	2010	3016	1512
VV1_RS07435	7005	2501	19276	11865
VV1_RS07445	6119	1493	13091	4644
RELA	8163	9332	3756	1644
VV1_RS07510	20568	16193	232106	106954
VV1_RS07515	9575	13311	207276	134005
VV1_RS07520	1986	1697	1973	962
VV1_RS07600	15000	15838	1155	491
VV1_RS07605	7601	9435	898	341
VV1_RS07610	5017	4428	15523	5242
VV1_RS07620	8852	9748	26296	9651
VV1_RS07630	4597	2495	5408	2072
VV1_RS07640	430	581	357	127
VV1_RS07645	1998	2002	3247	2267
VV1_RS07650	6553	1909	1833	559
VV1_RS07680	11618	5219	2343	1400
VV1_RS07690	447	735	243	116
VV1_RS07695	114	154	168	93
VV1_RS07735	16369	4296	3464	1112
VV1_RS07740	4384	8220	9857	3918
VV1_RS07750	2245	1851	471	306
VV1_RS07755	291	275	255	104
VV1_RS07760	12369	210	213	77
VV1_RS07765	2548	235	82	44
VV1_RS07785	3361	2494	1005	663
VV1_RS07790	305	118	338	158
VV1_RS07800	4192	328	11357	3557
VV1_RS07810	1197	1440	1227	303
VV1_RS07820	16055	18915	12156	3756
VV1_RS07830	82	74	132	33
VV1_RS07835	701	590	177	126
VV1_RS07850	6712	249546	2033	446
VV1_RS07855	46445	21807	4848	4477
VV1_RS07860	2213	1420	344	306
VV1_RS07865	1029	921	286	118
VV1_RS07870	504	723	749	427
VV1_RS07875	514	836	985	420
VV1_RS07880	288	308	609	256
VV1_RS07885	60	76	184	105
VV1_RS07895	113	109	425	348
VV1_RS07900	192	144	362	116
VV1_RS07905	33	38	879	98
VV1_RS07910	117	150	452	103
VV1_RS07915	767	706	3658	1591
VV1_RS07920	3949	1479	1408	619
VV1_RS07930	1642	1817	1036	760
VV1_RS07935	1092	589	591	254
VV1_RS07945	1134	810	6171	1130
VV1_RS07950	3596	3798	17300	3222
VV1_RS07955	1383	257	540	278
VV1_RS07960	2673	2091	552	350
