	YJ016_HS1	YJ016_HS2	YJ016_ASW1	YJ016_ASW2
VV1_RS06060	18399	50205	7845	2484
VV1_RS06065	906	465	421	319
VV1_RS06070	3705	827	1006	650
VV1_RS06080	4013	2753	4842	2685
VV1_RS06135	619	274	619	215
VV1_RS06145	3662	1563	1530	643
VV1_RS06165	6907	6134	6791	1961
VV1_RS06170	7892	6884	19070	3619
VV1_RS06175	10479	9819	17242	3957
VV1_RS06185	4415	7054	2223	793
VV1_RS06190	6709	5657	12316	7380
VV1_RS06195	317	109	400	185
VV1_RS06205	1467	359	372	154
VV1_RS06210	21085	12823	36813	12908
VV1_RS06215	2091	881	3614	1576
VV1_RS06220	475	263	250	119
VV1_RS06225	2075	4568	1028	469
VV1_RS06230	804	380	341	117
VV1_RS06250	1216	5485	33032	25144
VV1_RS06260	618	3103	23891	30300
VV1_RS06265	8364	14605	2090	1004
VV1_RS06270	755	1179	1840	998
VV1_RS06280	809	220	3251	1853
VV1_RS06290	1831	807	10248	2528
VV1_RS06300	2382	2784	4732	2328
VV1_RS06315	3522	2061	453	189
VV1_RS06325	819	206	744	268
VV1_RS06330	6014	3977	5384	2713
VV1_RS06335	2521	4653	2834	1301
VV1_RS06385	1528	2908	1604	512
VV1_RS06410	2098	760	1493	1426
VV1_RS06430	300	444	970	337
VV1_RS06450	12583	1470	6488	3091
VV1_RS06465	1542	1708	998	431
VV1_RS06475	786	1607	722	362
VV1_RS06490	2785	352	11988	3505
VV1_RS06495	4318	62330	2113	1158
VV1_RS06500	2116	7218	1504	693
VV1_RS06510	661	11158	137	61
VV1_RS06515	2674	38057	617	307
VV1_RS06520	3170	32121	441	206
VV1_RS06530	3414	1960	5902	1596
VV1_RS06535	5941	7496	4233	2884
VV1_RS06540	533	312	630	410
VV1_RS06560	1073	699	620	263
VV1_RS06575	5379	5434	10781	3766
VV1_RS06580	595	477	1473	295
VV1_RS06585	1870	286	331	141
VV1_RS06610	775	477	831	283
VV1_RS06615	8494	4914	2519	1175
VV1_RS06625	1864	1457	1070	268
VV1_RS06650	294	192	566	222
VV1_RS06660	1331	698	895	299
CYSJ	634	522	5186	1376
VV1_RS06675	1428	1433	6051	1230
VV1_RS06680	1022	1304	6523	1900
VV1_RS06715	5631	3300	90897	24982
VV1_RS06720	765	901	36342	10049
VV1_RS06725	1173	1251	13936	4642
VV1_RS06735	510	796	395	119
VV1_RS06740	9559	5446	1935	1364
VV1_RS06745	561	732	3133	2511
VV1_RS06755	4076	5327	24921	2717
VV1_RS06760	501	364	2885	2188
VV1_RS06770	5547	2448	18034	4335
VV1_RS06780	1620	744	7891	2473
VV1_RS06790	4344	2652	26765	9438
VV1_RS06795	2717	1619	26246	7640
VV1_RS06800	1918	1485	16089	4167
VV1_RS06805	2836	2575	15176	4148
VV1_RS06810	1528	852	8218	2320
VV1_RS06855	4463	2627	2272	866
VV1_RS06860	252	277	166	55
VV1_RS06875	2360	910	2657	946
VV1_RS06880	1539	1338	6722	1391
VV1_RS06885	1375	1265	4055	756
TLDD	5320	3844	12357	7758
VV1_RS06895	13898	15227	298938	116410
VV1_RS06905	231	411	402	87
VV1_RS06930	182	4904	207	66
VV1_RS06935	620	159	6128	2913
VV1_RS06945	521	221	361	222
VV1_RS06960	1954	568	542	231
VV1_RS06965	2100	910	627	320
VV1_RS06980	3446	3598	3894	848
VV1_RS06985	1986	2877	1036	466
VV1_RS06990	1437	1963	1065	518
VV1_RS07005	5565	687	466	329
VV1_RS07015	6109	476	104	22
VV1_RS07025	12698	2054	460	205
VV1_RS07030	4051	1215	732	306
VV1_RS07035	7767	2547	1598	815
VV1_RS07045	550	588	15724	3590
VV1_RS07090	434	451	25093	5621
VV1_RS07095	444	279	27023	6818
VV1_RS07150	738	763	609	162
VV1_RS07160	1407	1516	924	712
VV1_RS07170	1449	165	285	144
VV1_RS07175	320	226	246	84
VV1_RS07180	979	531	2089	764
VV1_RS07185	846	361	1540	515
VV1_RS07205	4588	1148	371	173
VV1_RS07210	4739	794	485	279
VV1_RS07215	5382	4354	44337	16321
VV1_RS07220	2009	2254	13810	3061
VV1_RS07235	8792	2636	18139	6476
VV1_RS07240	4653	993	343	173
VV1_RS07250	823	966	754	349
VV1_RS07260	307	358	60695	16495
VV1_RS07265	2024	2778	6141	1678
GAPA	2120	1649	657	316
VV1_RS07290	20177	32330	5002	1093
VV1_RS07295	9053	7907	3156	1266
VV1_RS07300	282	772	303	83
VV1_RS07305	1063	440	855	344
VV1_RS07310	3504	1784	5903	1203
VV1_RS07320	814	355	230	125
VV1_RS07340	1767	982	262	96
VV1_RS07345	2222	1695	717	501
VV1_RS07375	4391	7803	1587	944
VV1_RS07385	7198	2418	2892	1046
VV1_RS07400	2218	987	872	257
VV1_RS07405	210	236	447	113
VV1_RS07425	1863	2010	3026	1516
VV1_RS07435	7005	2501	19464	11968
VV1_RS07445	6119	1493	13119	4664
RELA	8163	9332	3831	1678
VV1_RS07510	20568	16193	206115	92434
VV1_RS07515	9575	13311	220835	158655
VV1_RS07520	1986	1697	2023	972
VV1_RS07600	15000	15838	1169	495
VV1_RS07605	7601	9435	899	341
VV1_RS07610	5017	4428	15789	5330
VV1_RS07620	8852	9748	26292	9651
VV1_RS07630	4597	2495	5457	2091
VV1_RS07640	430	581	337	118
VV1_RS07645	1998	2002	3299	2300
VV1_RS07650	6553	1909	1895	581
VV1_RS07680	11618	5219	2352	1403
VV1_RS07690	447	735	295	142
VV1_RS07695	114	154	148	92
VV1_RS07735	16369	4296	3478	1118
VV1_RS07740	4384	8220	10327	4057
VV1_RS07750	2245	1851	751	545
VV1_RS07755	291	275	274	108
VV1_RS07760	12369	210	216	77
VV1_RS07765	2548	235	91	45
VV1_RS07785	3361	2494	1073	695
VV1_RS07790	305	118	343	162
VV1_RS07800	4192	328	11355	3558
VV1_RS07810	1197	1440	1226	303
VV1_RS07820	16055	18915	12927	4020
VV1_RS07830	82	74	132	33
VV1_RS07835	701	590	183	126
VV1_RS07850	6712	249546	2951	705
VV1_RS07855	46445	21807	5081	4581
VV1_RS07860	2213	1420	347	307
VV1_RS07865	1029	921	290	118
VV1_RS07870	504	723	814	443
VV1_RS07875	514	836	1003	419
VV1_RS07880	288	308	621	266
VV1_RS07885	60	76	186	107
VV1_RS07895	113	109	427	353
VV1_RS07900	192	144	364	117
VV1_RS07905	33	38	876	97
VV1_RS07910	117	150	452	103
VV1_RS07915	767	706	3658	1593
VV1_RS07920	3949	1479	1396	617
VV1_RS07930	1642	1817	1050	767
VV1_RS07935	1092	589	416	215
VV1_RS07945	1134	810	6197	1138
VV1_RS07950	3596	3798	17856	3310
VV1_RS07955	1383	257	553	280
VV1_RS07960	2673	2091	570	355
VV1_RS07970	3978	3139	1539	766
HFLB	33479	30717	36832	11657
FOLP	1203	573	537	253
VV1_RS08070	92	183	96	45
