	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_chemostat1	K12_chemostat2
phoH	2008	1016	2008	1017
ycdW	1690	932	1691	932
ycdX	1606	800	1613	803
csgG	134	106	159	122
csgD	252	142	260	147
ymdC	603	368	605	369
mdoC	236	128	257	134
mdoG	3323	1948	3496	2045
mdoH	2579	1531	2592	1539
mdtG	58	42	61	43
lpxL	171	131	175	133
yceA	1894	1097	1979	1141
solA	949	579	1027	632
pyrC	1034	578	1226	678
grxB	836	450	838	450
mdtH	28	22	29	22
yceH	894	508	939	530
mviM	784	421	798	432
mviN	393	210	402	212
flgA	6301	3458	6326	3474
flgD	15466	8506	15489	8531
flgF	7402	4084	9522	5293
flgG	10538	5573	10614	5603
flgH	4009	2191	4009	2191
flgI	3944	2159	4120	2283
flgJ	2785	1553	2834	1579
flgK	28519	14721	29946	15519
flgL	23088	11937	27821	14532
rluC	1524	822	1524	822
plsX	4118	2193	4133	2202
fabH	5352	2829	5366	2836
fabD	7825	4200	7908	4227
fabG	15874	8325	15880	8337
fabF	7441	4197	7768	4357
pabC	478	271	479	271
yceG	399	207	424	223
tmk	319	168	325	169
holB	321	175	332	184
ycfH	705	385	706	386
ptsG	40435	19849	40464	19861
fhuE	458	221	463	224
ycfM	1026	576	1032	586
ycfN	621	288	625	290
nagZ	1572	869	1629	895
ndh	867	541	882	549
ycfQ	1001	555	1002	556
ycfS	519	271	522	273
mfd	2562	1532	2734	1622
lolC	716	390	717	390
lolD	341	220	389	256
lolE	1561	775	1589	787
ycfX	1098	515	1169	553
cobB	1079	526	1158	579
potD	6188	3130	7904	3979
potC	1228	655	1233	658
potB	393	272	404	283
potA	787	549	697	493
pepT	1873	1081	2025	1193
ycfD	1528	821	1589	852
phoQ	1834	1015	1839	1022
phoP	2066	1269	2218	1375
purB	873	603	935	641
hflD	345	171	350	172
trmU	1369	788	1370	788
ymfC	127	92	137	98
icd	98903	53722	109539	59606
ycgE	1160	587	1146	582
ycgF	494	280	494	280
ycgG	45	26	46	28
minD	4920	2645	4925	2647
minC	1766	880	1817	903
ycgM	889	515	976	560
umuC	129	71	131	71
nhaB	387	234	387	234
fadR	1019	482	1020	485
ycgB	977	605	999	625
dadA	1918	792	2135	869
dadX	1165	495	1220	521
cvrA	1018	562	1111	616
emtA	1060	587	1108	610
ycgR	6145	3542	6182	3563
treA	429	242	430	242
dhaH	855	481	865	486
dhaL	547	293	553	294
dhaK	1036	519	1051	523
dhaR	415	263	424	267
ychF	3343	2041	3352	2046
ychM	259	141	261	143
prsA	3539	2182	3540	2183
ispE	1284	747	1287	749
lolB	819	513	819	513
hemA	967	575	990	590
prfA	796	502	831	527
prmC	250	121	250	121
ychA	1412	746	1413	746
kdsA	3647	2089	3650	2092
chaA	963	657	987	670
chaC	533	276	501	244
ychP	243	147	299	179
narL	372	256	374	257
narX	382	266	390	272
narK	42	13	43	13
narG	199	84	198	84
narH	113	60	109	60
narJ	38	18	47	20
narI	49	27	49	27
purU	2249	1267	2332	1315
rssA	1407	697	1310	632
rssB	729	444	752	456
galU	2985	1854	2992	1858
tdk	733	416	733	416
adhE	9195	5921	9227	5943
ychE	175	92	175	92
oppA	90292	47486	90652	47682
oppB	10993	5665	11042	5701
oppC	10226	5207	10238	5214
oppD	9702	4971	10245	5249
oppF	9521	4529	10204	4882
cls	1791	926	1923	987
kch	294	183	315	194
tonB	1150	581	1204	610
yciC	713	418	723	427
ompW	1282	592	1343	621
trpA	1615	952	1647	978
trpB	3109	1956	3174	1993
trpD	1377	816	1524	902
trpE	428	273	554	342
yciV	804	485	805	485
yciO	704	406	746	446
rluB	1107	666	1315	802
yciK	862	482	885	496
sohB	2552	1488	2691	1559
topA	9104	5220	9134	5232
cysB	1311	773	1396	808
acnA	7717	4352	8151	4597
pgpB	521	274	521	274
yciM	1480	752	1498	759
pyrF	1143	697	1146	697
deoT	527	307	581	338
gmr	765	403	768	403
rnb	4516	2603	4588	2642
fabI	8263	4883	8328	4924
sapF	175	96	176	96
sapD	329	208	330	209
sapC	138	86	146	88
sapB	178	120	183	121
sapA	378	250	378	250
puuP	325	205	336	207
puuA	1758	1033	1934	1138
puuD	1449	799	1466	814
puuB	174	146	191	176
puuE	182	161	202	178
pspF	268	159	268	159
pspA	1829	849	1867	874
ycjM	66	27	66	27
ycjN	17	11	17	11
ycjO	16	12	17	12
ycjP	15	13	16	13
ycjQ	27	16	35	21
ycjR	36	20	44	24
ycjS	49	24	50	26
ycjU	9	5	10	5
ompG	14	9	15	9
ycjW	141	78	181	100
ycjX	342	196	545	325
ycjF	414	263	446	284
tyrR	1806	1000	1817	1004
ycjG	1036	431	1055	443
mpaA	353	218	349	221
ycjZ	253	182	261	190
mppA	1940	891	1983	909
ynaI	438	274	482	305
uspE	5041	2616	5054	2629
fnr	3771	2501	3771	2501
abgT	57	25	68	35
abgB	86	50	102	60
abgA	83	46	85	47
abgR	398	156	418	165
ydaM	485	282	505	294
ydaN	717	393	724	405
dbpA	238	128	250	137
ydaO	1131	601	1208	657
ompN	1479	861	1771	1006
ldhA	947	637	971	654
feaR	2227	784	2231	786
feaB	527	247	537	252
maoC	40	15	40	15
paaA	79	25	81	25
paaC	45	17	46	18
paaJ	51	25	54	26
paaF	20	16	24	18
paaG	44	25	47	25
paaH	92	30	95	31
paaE	1244	484	1261	487
paaK	1293	493	1338	525
paaX	750	329	873	384
ydbC	509	186	602	222
azoR	304	214	350	236
hrpA	1783	1007	2071	1177
ydcF	598	420	609	425
aldA	103247	37143	104345	37604
trg	13881	5214	14309	5394
ydcI	4433	2014	4475	2033
ydcJ	507	213	507	213
mdoD	2476	1179	2552	1219
ydcK	267	160	277	167
tehA	351	185	352	187
ydcL	2133	1218	2204	1259
ydcO	111	58	113	61
ydcP	1359	779	1400	801
ydcR	557	354	567	361
ydcS	1152	331	1170	341
ydcT	285	96	286	97
ydcU	127	61	127	61
ydcV	534	228	552	238
ydcW	2020	1029	2121	1069
yncB	805	404	973	493
yncC	221	122	223	122
yncD	460	263	462	266
yncE	5903	3116	6248	3315
ansP	164	108	168	109
yncG	94	49	107	52
nhoA	236	156	248	161
narV	54	30	58	31
narW	45	32	45	32
narY	119	63	127	69
narZ	184	111	184	112
narU	55	33	55	33
yddG	137	84	198	110
fdnG	234	144	223	142
fdnH	78	45	78	45
fdnI	46	34	53	35
adhP	1209	589	1327	638
sfcA	4661	2505	4925	2638
ddpD	95	33	98	34
ddpC	93	34	101	38
ddpB	52	26	54	26
ddpA	222	82	223	82
dos	345	210	359	222
yddV	499	302	543	317
yddW	298	182	303	186
gadC	345	151	349	154
gadB	400	225	399	223
ydeM	72	29	73	29
ydeN	772	417	777	418
ydeO	14	9	14	10
ydeP	184	124	199	136
ydeQ	28	16	29	16
lsrK	387	156	404	161
lsrR	707	283	742	293
lsrC	91	33	95	34
lsrD	100	40	100	41
lsrB	363	143	377	147
lsrF	410	168	443	177
tam	317	160	333	166
yneE	153	106	155	108
uxaB	302	162	321	173
yneF	89	55	91	58
yneH	394	207	403	214
yneI	597	385	663	433
ydeA	125	91	126	92
marC	272	146	277	150
eamA	1172	641	1234	670
ydeE	185	143	188	147
ydeH	441	209	441	211
dcp	4052	2182	4252	2282
ydfG	3155	1694	3189	1708
ydfH	533	372	536	374
ydfT	174	95	174	95
ydfU	16	11	16	11
rspB	163	68	172	71
rspA	241	89	241	89
ynfC	681	393	681	393
ynfF	162	117	162	119
ynfG	26	28	25	26
ynfH	206	120	208	121
dmsD	275	150	275	150
clcB	50	28	50	28
ynfK	358	180	358	180
dgsA	3043	1437	3096	1449
ynfL	115	51	120	55
ynfM	181	112	189	119
ydgD	541	325	587	351
ydgG	166	106	173	109
pntB	15124	8779	15536	9038
pntA	23843	13809	24866	14452
ydgH	4361	2391	4370	2395
ydgI	138	75	158	82
folM	297	166	305	170
rstA	1113	640	1113	641
rstB	1208	652	1227	655
tus	436	219	437	221
fumC	6108	2823	6701	3115
fumA	14053	5978	14668	6249
manA	1367	809	1478	878
ydgA	4873	2829	5509	3174
uidC	62	38	62	39
uidB	81	31	88	32
uidA	384	163	409	170
hdhA	1865	1074	1931	1123
malI	175	89	179	91
malX	366	213	367	214
malY	467	239	502	261
add	425	240	425	240
ydgJ	2129	1137	2131	1139
rsxD	299	168	306	172
rsxG	228	130	232	130
rsxE	120	70	120	70
nth	141	69	142	69
ydgR	266	173	284	189
gst	1052	629	1056	632
pdxY	624	336	625	337
tyrS	4895	2689	4906	2694
pdxH	951	522	1032	571
anmK	738	388	807	422
ydhJ	81	44	89	47
ydhF	995	429	1000	431
nemA	303	208	314	213
rnt	176	118	179	118
ydhO	427	223	427	224
ydhP	139	97	139	97
purR	2500	1455	2569	1483
ydhB	212	131	216	134
ydhC	101	60	107	62
cfa	1982	1297	2088	1357
ribC	1832	1112	1911	1158
mdtK	560	352	567	354
ydhQ	1893	1171	2017	1253
ydhS	456	238	462	251
ydhT	74	39	74	39
ydhU	99	45	99	45
ydhX	80	30	82	30
ydhV	95	36	101	40
ydhY	15	5	15	5
pykF	5394	3532	5406	3539
ynhG	1046	674	1060	688
sufS	620	294	759	366
sufC	459	220	492	231
sufB	1395	664	1443	688
ydiK	528	292	533	293
ydiM	22	15	22	15
ydiN	11	3	11	3
ydiB	91	59	96	63
aroD	432	256	455	272
ydiF	36	21	38	25
ydiO	44	23	45	23
ydiP	117	80	117	80
ydiQ	21	22	21	22
ydiR	47	36	50	36
ydiS	43	21	46	22
ydiD	130	78	135	83
pps	14266	7191	14977	7554
ydiA	311	194	314	195
aroH	427	302	455	328
ydiV	118	78	133	88
btuD	552	318	569	322
btuC	325	148	336	152
pheT	12650	6979	13102	7257
pheS	3892	2114	4018	2181
thrS	32243	17185	28963	15381
ydiY	170	95	175	96
pfkB	94	49	97	49
yniA	1370	603	1418	628
yniC	163	105	171	108
ydjN	4100	2556	4261	2642
katE	1954	1113	2188	1240
chbF	284	158	287	158
chbR	211	135	212	136
chbC	187	92	188	93
nadE	2581	1443	2712	1537
ydjQ	289	130	301	134
astE	101	39	101	39
astB	158	57	161	57
astA	225	88	230	89
astC	470	145	470	145
xthA	1003	518	1007	518
ydjX	124	52	141	61
ydjZ	98	52	103	55
ynjE	546	271	615	315
ynjF	110	49	110	49
gdhA	15576	9742	17165	10716
topB	1722	861	1873	921
selD	2977	1475	3343	1639
sppA	1367	817	1569	931
ansA	390	251	397	258
pncA	461	293	483	318
ydjE	68	38	68	39
ydjF	733	338	733	338
ydjG	156	107	156	107
ydjH	115	55	115	55
ydjI	149	70	149	70
ydjJ	114	42	115	42
ydjK	88	40	91	40
ydjL	116	58	118	58
gapA	43365	29905	43454	29979
yeaD	719	547	756	568
yeaE	507	280	521	284
mipA	2521	1720	2537	1727
yeaG	2946	1579	3066	1631
yeaH	618	339	632	347
yeaI	28	19	28	19
yeaJ	250	148	260	156
yeaM	145	111	157	118
yeaN	84	57	88	58
yeaP	1200	666	1201	665
yeaS	115	44	118	46
yeaT	767	300	781	307
yeaU	160	73	167	79
yeaV	50	22	54	23
yeaW	53	39	53	39
yeaX	151	56	153	56
rnd	594	340	596	340
fadD	3506	1285	3679	1349
yeaZ	650	348	722	378
yoaA	606	328	667	358
sdaA	367	224	370	224
adrB	161	88	163	88
yoaE	703	414	703	414
manX	35394	17045	35423	17055
manY	21810	11038	22491	11391
rrmA	354	190	377	205
kdgR	3164	1533	3175	1539
yebQ	53	36	54	36
htpX	5094	2988	5139	3017
prc	7374	4053	7638	4207
yebS	283	174	293	176
yebT	731	431	840	488
yebU	224	119	234	122
pphA	120	71	121	72
yebZ	483	322	489	324
yobB	198	98	198	98
exoX	382	188	382	188
ptrB	584	352	600	369
yebE	541	260	547	264
purT	1334	753	1382	777
eda	1172	662	1182	665
edd	1074	558	1075	559
zwf	5368	2939	5514	3029
yebK	1778	860	1795	866
pykA	6043	3028	6154	3080
lpxM	639	387	649	393
yebA	4610	2530	4685	2558
znuA	17829	10124	18056	10266
znuC	697	467	742	489
znuB	578	324	599	334
ruvB	637	402	727	475
ruvA	695	391	697	392
yebB	33	20	34	20
yebC	3881	2116	4041	2194
aspS	4989	2813	5252	2954
