"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_chemostat1","K12_IAI1ref_chemostat2","K12_chemostat1","K12_chemostat2"
"74","murC",1298.88452882106,0.000952244786207202,0.0690406631369066,0.0137925208557009,0.988995509459824,0.99990598088106,1342.89064481838,1253.27350388605,1352.06223904121,1247.31172753861
"75","ddlB",1470.27132836859,-0.00992151436101523,0.0689864739083087,-0.143818255941043,0.885643986587701,0.99990598088106,1514.92008972457,1444.91818709855,1491.98074420741,1429.26629244382
"76","ftsQ",1559.22708307154,-0.00625458814093631,0.0690096551047405,-0.0906335226779979,0.927783794297342,0.99990598088106,1613.43915508935,1517.99133969037,1597.10086466905,1508.37697283739
"77","ftsA",4045.68926777689,-0.0206323770050663,0.0687731737295543,-0.300006178080449,0.76417244313725,0.99990598088106,4252.9922679011,3944.57150122992,4141.73274618897,3843.46055578757
"78","ftsZ",9909.81403589548,-0.0372599325451934,0.0681508681888479,-0.546727188301476,0.58456617245325,0.99990598088106,10414.9808869859,9845.57325770111,9963.2125207203,9415.48947817462
"79","lpxC",11212.9906322164,-0.0372853397111739,0.0674452674779097,-0.552823661399014,0.580384164590442,0.99990598088106,11578.2636972546,11324.9599130034,11093.43505727,10855.3038613376
"80","secA",4925.45491366019,-0.0110999191787948,0.0678016741855357,-0.163711579575756,0.869958201360208,0.99990598088106,4937.32085270414,4977.24680861238,4865.24916150433,4922.00283181989
"81","yacF",409.766141388236,-0.0490677279566704,0.0630056058445038,-0.77878352725896,0.436107242895964,0.99990598088106,384.22435492264,482.558554851616,345.083981653414,427.197674125274
"82","coaE",356.223667484716,-0.0212009022955181,0.0666452253199972,-0.318115846915093,0.750397063447352,0.99990598088106,358.457830134929,368.123240415376,343.634048957391,354.679550431168
"83","guaC",1082.44020930982,-0.00229878929537293,0.0642878052321802,-0.0357577815430264,0.971475496969395,0.99990598088106,941.993832680161,1228.4562067794,941.006319718762,1218.30447806097
"84","hofC",75.389059966362,0.00673934925417265,0.0491691916018632,0.137064471361316,0.890979835119976,0.99990598088106,76.5417353987903,71.6944138636686,76.8464328892055,76.4736577137835
"85","hofB",75.9237089152261,-0.00832706166068627,0.0489723995438301,-0.170035810747513,0.864981973801954,0.99990598088106,73.5103795414124,81.345584960701,71.0467021051146,77.7921690536763
"86","nadC",276.279373690488,-0.0142588644294486,0.0574661019427969,-0.248126529334498,0.804036509878392,0.99990598088106,239.477112732849,325.382339842804,229.089365971594,311.168676214705
"87","ampE",356.29400379453,-0.0235215608507578,0.0665456332326817,-0.35346512923715,0.723739766561341,0.99990598088106,356.184313241895,372.259456599818,340.734183565345,355.998061771061
