	IAI1_starvation1	IAI1_starvation2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
yhhW	168	142	154	132
yhhX	337	309	334	306
yhhZ	4	3	4	3
ggt	14	15	13	15
ugpC	38	15	34	14
ugpE	12	9	12	9
ugpA	15	4	15	4
ugpB	880	642	828	610
livF	235	173	169	126
livG	246	165	208	143
livM	460	319	413	280
livH	610	398	559	360
livK	1570	1066	1423	983
livJ	4227	3140	4006	2992
rpoH	2292	1830	2206	1746
ftsX	722	519	642	464
ftsE	231	175	223	165
ftsY	862	650	806	616
yhhN	102	78	96	70
yhhQ	36	58	28	51
yhhS	101	68	99	68
yhhT	55	58	51	54
nikA	3	11	3	10
nikB	7	5	7	5
nikC	2	2	2	2
nikD	2	7	2	6
nikE	5	2	4	2
yhhI	626	453	124	82
yhhJ	592	470	515	401
rbbA	807	623	756	575
yhiI	1208	911	1129	846
yhiM	86	66	85	66
yhiN	212	149	202	142
pitA	452	337	451	334
yhiP	50	34	49	33
yhiQ	19	14	17	13
prlC	810	689	752	633
yhiR	32	28	28	22
gor	229	174	229	174
arsB	25	29	25	29
yhiD	17	11	17	11
mdtE	5	3	5	3
mdtF	54	51	54	50
gadW	24	13	23	11
gadX	62	38	58	36
gadA	98	85	98	86
yhjA	68	56	68	56
treF	113	107	107	105
yhjB	41	31	41	31
yhjC	32	33	30	31
yhjD	69	48	68	42
yhjE	632	490	575	468
yhjG	79	65	74	64
yhjH	8	6	4	2
kdgK	141	129	134	125
yhjJ	198	135	183	123
dctA	9575	9075	9568	9062
yhjK	123	98	129	101
bcsC	166	122	164	120
bcsZ	62	50	60	50
bcsB	131	98	130	94
bcsA	255	193	158	120
bcsE	395	282	395	282
bcsG	76	61	75	58
yhjV	58	72	58	71
dppF	45	30	32	27
dppD	49	31	48	28
dppC	36	18	36	18
dppB	40	29	45	31
dppA	1905	1560	1788	1478
eptB	571	438	571	438
yhjX	94	66	75	49
yhjY	132	94	132	93
yiaD	10	10	10	10
tiaE	100	50	99	49
yiaF	1019	804	930	735
glyS	756	689	708	633
glyQ	407	285	406	283
yiaH	80	71	80	71
xylB	171	153	152	144
xylA	267	185	256	176
xylF	481	366	471	353
xylG	158	153	157	153
xylH	180	104	174	100
xylR	208	180	221	190
bax	2356	1805	2237	1721
avtA	361	305	354	296
yiaJ	99	82	96	81
yiaK	154	124	144	114
yiaN	49	36	49	36
yiaO	64	51	61	42
sgbH	23	16	19	8
sgbU	28	31	20	28
sgbE	30	23	22	18
yiaT	36	9	34	9
yiaU	131	90	131	90
yiaV	29	20	28	19
aldB	409	263	405	260
yiaY	21	23	21	23
selB	194	151	176	137
selA	78	78	77	75
yibF	54	36	54	36
yibH	61	40	61	40
mtlA	1490	1174	1459	1157
mtlD	758	521	645	455
lldP	225	180	199	159
lldR	76	46	74	45
lldD	99	77	92	73
cysE	922	655	895	634
gpsA	613	464	542	405
gpmI	156	156	138	145
envC	68	42	65	37
yibQ	46	47	45	46
yibD	19	13	19	13
tdh	455	372	292	252
kbl	594	471	568	453
waaD	673	541	617	494
waaF	172	121	172	121
kdtA	169	121	167	118
mutM	159	139	156	135
yicR	388	292	508	376
dfp	64	58	64	57
pyrE	13	8	10	7
yicC	243	211	209	193
yicG	9	9	9	9
ligB	45	33	43	32
gmk	457	387	457	387
spoT	127	112	125	110
trmH	23	16	23	16
gltS	386	289	363	267
yicE	23	18	23	18
yicH	819	630	808	621
yicI	88	77	82	74
yicJ	29	29	29	29
setC	21	16	21	16
yicL	129	79	129	79
nlpA	195	113	195	113
yicM	10	10	6	10
uhpT	38	40	38	40
uhpC	10	3	10	3
uhpB	10	5	9	5
ilvB	263	243	238	218
emrD	26	35	26	35
yidJ	113	95	89	74
yidK	23	12	23	12
yidL	128	117	109	101
yidP	11	9	11	8
yidE	958	662	958	660
yidR	194	159	161	129
cbrA	21	17	21	14
dgoT	42	55	42	54
dgoD	132	96	117	87
dgoA	60	48	60	46
dgoR	307	225	296	215
yidX	82	87	82	87
yidA	60	56	55	55
gyrB	1461	1256	1376	1182
recF	14	21	13	21
dnaN	168	141	163	136
dnaA	629	523	625	518
yidC	318	231	317	231
trmE	178	120	164	111
tnaA	211	143	207	137
tnaB	71	65	67	60
mdtL	9	6	8	6
yidZ	49	26	46	25
yieE	69	58	69	58
yieH	76	53	69	48
yieK	21	25	18	23
yieL	15	21	15	21
bglH	42	27	40	25
bglB	10	9	10	9
bglG	17	18	17	18
phoU	287	251	273	228
pstB	212	145	211	145
pstA	24	11	22	11
pstC	59	43	59	43
pstS	60	50	60	50
glmS	679	538	554	447
glmU	493	368	426	336
atpD	1997	1563	1983	1550
atpG	854	734	854	734
atpA	2373	1768	2373	1768
atpB	1876	1342	1876	1341
gidB	81	77	81	77
gidA	148	146	148	145
asnA	106	97	95	91
yieM	49	38	49	38
ravA	93	85	84	78
trkD	67	61	67	61
rbsA	253	140	250	135
rbsC	384	280	384	279
rbsB	3889	3157	3779	3080
rbsK	433	315	432	314
rbsR	56	45	56	45
hsrA	45	42	45	41
yieP	140	121	135	116
hdfR	228	206	228	206
yifB	34	28	32	26
ilvE	301	200	285	183
ilvD	356	291	310	247
ilvA	211	163	160	121
ilvY	93	74	66	52
ilvC	152	112	120	94
rep	131	103	111	94
gpp	167	115	167	115
rhlB	589	505	584	501
rho	2477	2199	2387	2124
rfe	332	236	342	239
wzzE	140	116	140	115
rffE	24	20	24	20
rffD	29	17	29	15
rffG	39	12	39	12
rffH	19	16	18	15
rffC	18	13	17	13
rffA	76	53	76	53
wzxE	67	35	64	32
rffT	45	27	41	24
wzyE	35	28	35	28
rffM	55	44	52	43
yifK	118	87	117	86
hemY	781	584	723	557
hemX	651	508	578	455
hemD	218	177	213	174
hemC	559	429	529	392
cyaA	827	666	806	638
dapF	133	103	133	103
yigA	40	25	39	25
xerC	20	17	18	17
yigB	15	14	15	14
uvrD	280	207	246	180
yigE	7	4	7	4
corA	485	461	483	453
rarD	68	29	66	24
pldA	163	126	160	118
recQ	39	25	34	21
rhtC	332	268	295	244
rhtB	174	113	153	95
pldB	186	115	240	166
yigL	60	58	59	57
yigM	56	57	53	54
metR	348	196	312	170
ysgA	360	264	341	242
udp	2242	1861	2219	1844
rmuC	512	399	501	397
ubiE	634	514	634	514
yigP	265	200	160	122
ubiB	449	351	448	350
tatC	115	123	115	123
tatD	24	32	24	32
ubiD	1555	1257	1485	1206
fre	974	696	944	683
fadA	1295	1070	1265	1035
fadB	3211	2435	3097	2338
pepQ	1411	1043	1273	961
yigZ	159	126	159	124
trkH	222	143	216	136
yihE	459	353	450	351
dsbA	695	519	695	518
yihG	20	21	16	21
polA	1485	1213	1484	1213
hemN	420	299	420	299
glnG	147	109	147	109
glnL	87	74	86	74
glnA	863	679	842	660
bipA	1436	1180	1427	1175
yihL	51	47	43	42
yihM	90	70	90	70
yihN	14	18	13	15
ompL	17	14	17	14
yihO	60	56	58	55
yihP	54	46	45	39
yihQ	87	67	85	66
yihS	60	40	60	40
yihT	20	24	20	24
yihU	25	7	25	7
yihV	74	59	74	59
yihW	370	303	370	303
rbn	227	197	221	190
yiiD	182	150	170	135
fdhE	298	239	272	207
fdoI	603	449	603	449
fdoH	1165	974	1147	953
fdoG	7827	7077	7609	6899
fdhD	283	240	272	232
frvB	3	3	3	2
rhaD	10	8	9	7
rhaA	6	5	7	5
rhaS	84	59	87	60
rhaR	259	239	259	239
sodA	5107	4120	5107	4119
kdgT	88	65	88	65
yiiM	148	134	147	133
cpxA	433	395	426	387
cpxR	618	455	618	455
fieF	408	347	407	346
pfkA	936	773	935	770
sbp	38	33	37	32
cdh	24	18	17	15
tpiA	790	586	724	526
fpr	497	345	443	311
glpX	199	168	198	168
glpK	1016	816	969	786
glpF	348	320	348	320
menA	72	59	72	58
hslU	1940	1424	1928	1412
ftsN	294	235	283	228
cytR	170	150	168	149
yiiX	48	28	31	12
metB	1053	476	1046	471
metL	1313	679	1226	649
metF	1432	740	1296	679
katG	3760	2688	3362	2415
yijE	62	65	57	60
yijF	6	5	6	5
gldA	281	163	254	154
fsaB	31	16	24	13
ptsA	60	57	53	51
frwC	30	26	30	26
pflD	79	57	72	52
pflC	20	12	19	11
yijO	18	18	16	18
yijP	106	91	94	85
ppc	662	576	655	567
argE	174	137	172	135
argC	81	41	81	41
argB	62	31	62	31
argH	119	65	118	65
oxyR	620	472	609	465
sthA	2914	2510	2800	2438
fabR	1262	1098	1258	1094
trmA	196	140	185	136
btuB	396	301	395	301
murI	152	122	139	107
murB	450	323	424	312
birA	239	202	227	183
coaA	232	201	232	200
tufB	7049	5451	7048	5450
rplA	1759	1333	1759	1333
rpoB	5908	4430	5908	4429
rpoC	6843	5345	6773	5281
thiH	355	230	319	206
thiG	235	134	232	132
thiF	204	171	204	171
thiE	219	149	219	149
thiC	1146	779	1144	778
nudC	79	67	79	67
hemE	180	124	180	123
nfi	40	29	40	29
yjaH	81	79	73	70
zraR	247	170	238	165
purD	77	55	77	55
purH	43	39	40	35
metA	2644	1424	2570	1376
aceA	3358	2602	3204	2481
aceK	1048	936	968	854
iclR	258	232	243	217
metH	2551	1862	2390	1745
yjbB	125	102	117	100
pepE	280	306	280	306
yjbC	306	246	244	208
lysC	494	510	476	493
pgi	1813	1467	1706	1365
yjbF	1	3	1	1
yjbG	1	1	0	0
yjbH	14	12	14	14
xylE	93	58	89	58
malG	135	119	135	117
malF	33	33	33	33
malE	86	90	85	87
malK	23	19	23	19
malM	57	76	57	76
ubiA	1187	882	1127	842
plsB	1296	951	1246	918
lexA	1357	1037	1352	1037
dinF	73	59	70	54
yjbM	7	11	7	11
yjbN	138	101	146	108
qor	311	286	295	269
dnaB	102	92	101	87
alr	122	89	118	87
tyrB	193	157	193	157
aphA	363	320	356	312
uvrA	353	290	297	247
yjcC	147	107	147	107
yjcE	189	177	183	173
actP	970	740	869	666
acs	6193	4326	6090	4266
nrfA	33	29	33	29
nrfC	5	1	5	1
nrfD	8	7	8	7
gltP	60	33	56	33
yjcO	467	498	440	471
fdhF	141	94	139	92
yjcQ	7	10	5	10
yjcR	5	5	5	5
phnL	0	1	0	1
phnK	12	11	12	11
phnJ	2	1	1	1
phnI	1	1	1	1
phnF	0	0	0	0
phnD	3	2	3	2
phnC	1	1	1	1
yjcZ	17	10	17	10
proP	267	209	264	206
basS	56	43	50	39
basR	102	66	91	65
eptA	55	58	54	56
adiC	32	20	31	19
adiY	53	34	53	34
adiA	46	37	46	37
melR	517	377	517	377
melA	129	109	127	104
melB	96	62	95	62
yjdF	57	36	57	36
fumB	453	353	453	353
dcuB	66	47	66	47
dcuR	273	208	247	196
dcuS	375	262	360	250
lysU	170	152	163	149
yjdL	29	26	28	26
cadA	83	72	83	72
cadB	12	8	11	8
cadC	121	110	120	109
dipZ	89	73	88	73
dcuA	4978	4483	4969	4475
aspA	24403	19910	24367	19894
yjeH	136	103	134	102
groL	23628	16825	22769	16149
yjeJ	98	86	95	83
yjeK	78	55	71	45
frdB	1334	1072	1330	1071
frdA	3498	2661	3468	2643
poxA	100	68	100	68
yjeP	112	77	103	73
psd	265	188	263	188
rsgA	269	204	267	204
yjeS	101	87	98	87
yjeF	149	113	142	110
amiB	256	165	239	150
mutL	570	431	561	423
miaA	3228	2601	3227	2601
hflX	1483	1136	1480	1136
hflK	1140	800	1139	800
hflC	1069	796	1069	793
purA	2047	1548	2032	1539
rnr	3009	2226	2955	2177
rlmB	280	200	266	191
yjfJ	18	17	18	17
yjfK	5	5	4	5
yjfC	37	38	36	33
aidB	125	79	121	70
yjfP	133	88	132	86
ulaR	332	287	326	280
ulaG	54	43	46	35
ulaA	35	22	29	15
ulaD	32	22	32	22
ulaE	33	22	29	14
ulaF	30	21	22	15
ytfB	569	443	515	408
fklB	58	69	58	69
cycA	3096	2424	2913	2311
ytfE	129	90	128	86
ytfF	37	29	34	28
ytfG	47	25	45	24
cpdB	1135	881	944	753
cysQ	978	712	977	715
ytfL	227	183	227	183
msrA	209	167	209	167
ytfM	194	146	186	143
ytfQ	583	417	454	309
ytfT	107	82	92	69
yjfF	129	115	106	95
fbp	2090	1959	2075	1942
mpl	461	317	411	292
pmbA	392	297	380	288
nrdD	126	139	119	127
treC	26	14	26	14
treB	62	39	58	38
treR	99	78	93	76
mgtA	335	264	324	254
pyrB	12	7	12	7
yjgI	27	14	27	14
argI	51	38	41	31
valS	996	725	926	676
pepA	776	610	707	557
yjgP	389	323	387	322
yjgQ	415	347	381	320
yjgB	33	20	32	20
yjhT	209	174	192	162
yjhA	43	21	43	21
fimB	27	16	27	16
fimC	316	224	310	220
fimH	103	70	100	69
gntP	174	145	174	144
uxuA	728	562	706	548
uxuB	354	244	345	235
uxuR	419	341	399	326
yjiE	49	26	47	26
iadA	46	45	43	44
yjiH	24	12	24	12
yjiK	73	64	49	44
hgdC	26	26	23	25
yjiM	124	73	114	69
yjiN	35	30	30	22
yjiY	584	430	506	372
tsr	81	63	68	58
mdoB	425	321	415	302
dnaC	38	45	38	45
yjjP	55	56	54	52
yjjQ	9	12	8	12
bglJ	44	28	44	28
rsmC	50	52	50	51
yjjG	36	16	31	15
prfC	35	33	31	30
osmY	168	147	167	146
yjjU	59	54	59	54
yjjW	8	6	6	4
yjjI	31	26	31	26
deoC	388	279	376	272
deoA	438	346	412	332
deoB	1951	1526	1725	1383
deoD	1973	1809	1686	1532
ytjB	146	127	142	125
serB	62	46	61	45
radA	123	75	108	64
nadR	200	151	139	97
slt	746	547	715	532
ytjC	263	214	257	208
rob	1069	1044	1000	981
creB	130	95	106	74
creC	51	60	49	56
arcA	13489	10931	13066	10504
yjtD	128	102	126	94
