	IAI1_starvation1	IAI1_starvation2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
dedD	318	233	317	231
folC	395	309	395	309
accD	1880	1601	1878	1599
truA	122	87	114	82
usg	140	100	131	95
pdxB	253	197	229	185
flk	42	25	40	25
yfcJ	8	11	8	11
fabB	12369	10057	12141	9860
trmC	103	101	103	101
yfcA	179	138	164	130
mepA	109	79	109	79
aroC	245	196	206	159
prmB	201	125	167	106
yfcY	734	510	679	473
fadL	707	523	671	496
vacJ	350	284	349	290
yfdC	67	51	62	50
dsdA	69	63	64	61
emrY	27	19	27	17
emrK	33	21	26	19
evgA	32	25	32	23
yfdE	65	52	64	52
yfdV	45	29	45	29
oxc	46	34	46	34
frc	27	31	27	31
yfdX	39	17	39	17
ddg	28	20	44	29
yfdZ	895	730	764	633
ypdA	131	74	129	73
ypdB	240	164	240	164
ypdC	80	44	71	40
ypdD	24	28	23	28
ypdE	11	6	9	4
ypdF	16	12	14	11
ypdG	23	14	22	8
glk	653	522	617	490
yfeO	126	117	124	114
mntH	1309	923	1219	865
nupC	651	596	611	560
yfeA	187	167	187	167
gltX	418	332	413	326
yfeR	97	76	98	77
yfeH	286	317	236	281
ligA	304	246	315	257
zipA	2792	2195	2786	2191
cysZ	500	447	493	440
cysK	1806	1373	1778	1337
ptsI	3926	3391	3924	3389
pdxK	158	129	140	118
cysM	69	43	62	40
cysA	74	54	57	43
cysW	42	33	38	29
cysU	25	30	24	30
cysP	116	64	116	64
ucpA	7663	6724	7276	6437
yfeT	49	42	49	41
yfeU	397	330	334	279
murP	464	343	433	323
murQ	586	509	539	466
yfeX	502	372	502	371
amiA	119	111	113	108
hemF	47	22	43	22
yfeG	22	26	19	21
eutL	23	19	17	15
eutC	26	15	25	14
eutB	32	22	32	22
eutA	12	14	11	13
eutH	19	13	19	12
eutG	8	11	5	10
eutJ	1	2	1	2
eutE	11	7	9	6
eutI	102	84	102	83
eutT	50	41	50	41
eutQ	75	46	75	46
maeB	10374	7812	9360	7028
talA	512	367	486	350
tktB	481	326	481	326
ypfG	64	60	62	56
aegA	80	45	76	44
narQ	237	194	226	182
acrD	79	62	78	61
dapE	744	496	677	464
ypfH	120	130	120	130
ypfJ	570	385	551	375
purC	416	323	371	300
nlpB	1500	1208	1500	1208
dapA	1949	1664	1949	1664
hyfA	1	0	1	0
hyfC	15	6	14	6
hyfD	8	6	8	6
hyfE	8	5	8	5
hyfG	13	8	13	8
hyfI	5	3	4	3
perM	278	213	277	211
yfgC	795	555	786	549
hda	158	106	158	106
uraA	23	21	23	21
upp	50	19	48	18
purM	124	98	123	98
purN	46	37	46	36
ppk	924	787	882	751
ppx	308	249	302	244
yfgF	74	48	74	48
guaA	397	340	389	333
guaB	123	109	117	98
xseA	66	52	63	50
der	374	284	373	281
yfgL	650	501	650	501
yfgM	343	266	343	266
hisS	709	515	724	521
ispG	944	687	962	703
yfgA	997	803	953	752
yfgB	182	136	179	129
pbpC	39	42	36	41
sseA	1263	1045	1260	1045
sseB	487	356	485	354
pepB	695	482	668	467
hscA	722	567	707	554
iscS	9176	6872	9161	6867
yfhQ	423	330	393	311
suhB	58	43	58	42
yfhR	13	10	13	10
hcaT	239	186	235	181
hcaR	2051	1540	1872	1437
hcaE	29	20	29	20
hcaB	9	3	9	3
yphB	171	113	171	113
yphC	209	127	192	111
yphD	193	111	163	95
yphE	433	316	363	260
yphF	501	367	454	319
yphH	109	94	107	94
glyA	2159	1693	2009	1581
hmp	1194	1072	1190	1069
yfhA	47	36	42	31
yfhG	74	41	58	30
yfhK	144	102	137	96
yfhD	44	16	46	19
yfhB	268	174	282	177
yfhH	73	70	73	70
pdxJ	281	208	243	165
recO	50	45	47	45
era	137	95	112	72
rnc	85	71	90	74
lepB	256	229	242	210
lepA	379	267	364	264
rseB	675	507	675	507
rseA	6885	5368	6881	5367
yfiC	38	19	36	17
srmB	160	125	153	116
yfiE	246	208	210	171
ung	142	113	127	104
yfiF	124	105	112	97
yfiP	22	19	21	18
yfiQ	4586	3735	4393	3565
pssA	2643	2081	2622	2061
kgtP	3270	2418	3028	2260
clpB	23547	19803	22700	19108
yfiH	55	63	51	59
rluD	305	282	285	260
yfiO	956	650	951	649
pheA	486	384	446	354
tyrA	305	216	281	198
aroF	249	186	249	186
yfiN	96	68	95	65
trmD	2183	1826	2182	1823
ffh	992	897	1073	979
ypjD	89	55	84	53
yfjD	212	178	202	174
yfjB	232	178	232	178
recN	581	468	581	468
gabT	421	259	351	226
gabP	154	108	124	87
csiR	279	234	274	231
nrdF	33	22	33	22
proV	77	69	77	68
proW	27	27	25	26
proX	63	37	54	36
ygaZ	218	156	218	156
emrA	19	8	18	8
emrB	45	37	40	34
gshA	908	678	885	656
alaS	1874	1398	1856	1378
recA	1693	1439	1640	1383
mltB	6	11	6	11
srlE	109	88	109	88
srlD	186	116	186	116
srlR	606	519	587	490
gutQ	377	277	347	253
norV	33	26	30	22
norW	14	7	14	7
ascG	98	85	98	84
ascF	89	73	85	68
hycG	19	8	14	8
hycE	5	2	4	1
hycD	2	1	2	0
hycC	7	8	5	6
hycB	0	0	0	0
hypB	73	52	73	51
hypD	55	57	40	48
hypE	46	52	44	42
fhlA	77	78	73	72
mutS	136	82	125	76
ygbI	545	398	542	396
ygbJ	152	136	152	136
ygbK	144	123	131	113
ygbL	92	50	99	55
ygbM	103	73	102	70
ygbN	63	61	63	61
nlpD	63600	55788	64583	56790
pcm	240	156	240	156
surE	242	151	153	94
truD	263	210	263	209
ispD	44	35	40	34
cysC	43	33	43	33
cysN	216	158	203	148
cysD	84	50	84	50
iap	138	133	134	128
cysH	50	41	40	34
cysI	74	31	69	31
cysJ	36	17	36	17
ygcQ	15	12	15	12
ygcR	3	5	3	5
ygcS	7	4	7	4
ygcU	29	21	28	20
ygcW	15	13	15	13
yqcE	30	22	27	22
ygcF	456	350	456	349
eno	1838	1349	1828	1343
pyrG	919	689	895	674
mazG	301	259	281	242
relA	2045	1440	1792	1283
barA	179	142	177	141
gudD	366	263	357	253
gudX	303	217	258	182
gudP	483	428	465	410
truC	9	8	9	8
queF	239	192	235	186
ygdH	879	833	879	832
sdaC	57	46	55	46
sdaB	69	66	66	61
exo	98	83	97	83
fucO	1479	940	1479	940
fucA	358	248	361	249
fucP	252	225	235	203
fucI	373	257	368	248
fucK	256	211	256	211
fucR	575	460	575	460
ygdE	235	182	235	182
gcvA	242	214	233	207
csdA	109	89	98	73
ygdL	92	68	88	65
mltA	1064	833	997	781
amiC	85	64	80	57
argA	213	172	192	161
recD	106	71	103	69
ptr	302	234	291	224
recC	316	280	300	270
thyA	301	227	256	184
lgt	105	77	102	75
ptsP	459	324	458	324
mutH	189	169	188	169
ygdQ	76	77	73	76
tas	397	370	397	370
ygeD	106	69	106	69
aas	143	92	141	91
galR	189	165	187	165
lysA	30	24	30	23
lysR	72	58	71	56
ygeA	132	93	132	93
araE	244	235	226	225
kduD	113	83	113	80
kduI	81	50	76	45
yqeF	2903	2083	2861	2054
yqeG	81	69	78	65
yqeH	23	11	23	11
yqeI	11	10	11	10
ygeH	19	12	19	12
ygeR	392	310	331	267
xdhA	213	155	213	155
xdhB	72	39	72	39
ygeV	4886	4008	4814	3962
ygeW	37	24	36	24
ygeX	12	12	12	12
ygeY	32	14	32	14
hyuA	25	17	25	17
yqeA	122	111	120	108
yqeB	879	623	869	622
yqeC	610	373	609	369
ssnA	72	61	57	56
ygfM	46	27	46	27
xdhD	299	200	298	198
ygfO	36	35	33	32
guaD	75	51	74	51
ygfT	123	95	117	92
ygfU	53	32	50	30
lysS	582	474	540	446
prfB	537	478	511	462
recJ	160	132	153	125
dsbC	178	152	178	152
xerD	236	194	221	185
ygfZ	617	499	614	497
yqfA	852	616	828	594
bglA	399	314	367	285
ygfF	12	6	11	5
gcvP	228	173	213	169
gcvT	160	127	158	127
visC	196	159	187	153
serA	1456	1200	1402	1148
rpiA	594	440	594	440
argP	507	371	507	371
yliK	32	19	32	19
argK	12	5	12	5
ygfG	5	3	5	3
ygfH	24	19	24	19
ygfI	78	86	77	86
yggE	388	253	387	253
argO	64	52	40	38
mscS	224	172	224	172
fbaA	2404	1957	2355	1908
pgk	2284	1941	2284	1940
epd	691	564	690	564
yggF	13	14	12	13
cmtA	14	5	12	3
