	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2
wzzE	958	1465	856	578
rffE	1020	1543	823	443
rffD	1004	1412	704	375
rffG	735	1026	548	307
rffH	414	574	351	210
rffC	295	406	212	133
rffA	566	790	442	249
wzxE	469	694	389	207
rffT	306	446	305	157
wzyE	265	347	201	109
rffM	397	527	318	189
yifK	1410	2055	1570	758
hemY	1329	1975	1976	1073
hemX	1606	2255	2571	1366
hemD	626	708	854	456
hemC	577	826	962	537
cyaA	4550	5944	3173	2440
dapF	1111	1696	1282	658
yigA	680	1012	721	412
xerC	1069	1450	1168	576
yigB	593	794	597	268
uvrD	838	1244	1083	594
yigE	47	72	54	37
corA	960	1391	1059	570
rarD	158	201	150	90
pldA	995	1425	896	571
recQ	666	977	746	374
rhtC	403	580	540	279
rhtB	287	397	326	164
pldB	779	1103	986	552
yigL	454	633	452	256
yigM	124	150	117	65
metR	344	510	482	274
ysgA	726	1071	1133	697
udp	806	1280	1792	984
rmuC	328	429	1043	465
ubiE	1497	2070	1797	999
yigP	341	538	463	226
ubiB	1246	1776	1435	748
tatC	853	1264	856	489
tatD	278	417	347	183
ubiD	1945	2855	3259	1592
fre	1350	2032	2163	1093
fadA	108	157	1627	625
fadB	220	275	5945	2147
pepQ	3657	5104	5009	2847
yigZ	405	628	536	293
trkH	706	982	722	447
yihE	1533	2007	1244	797
dsbA	3608	5027	3082	1758
yihG	127	171	104	58
polA	3180	4311	4219	2122
hemN	976	1399	1129	634
glnG	635	968	662	316
glnL	538	737	535	263
glnA	6752	8620	4604	2945
bipA	13873	21448	8383	5392
yihL	108	156	214	128
yihM	152	194	425	200
yihN	47	68	191	104
ompL	13	9	22	10
yihO	32	32	49	34
yihP	28	43	28	17
yihQ	28	26	46	38
yihS	64	92	127	69
yihT	30	44	70	41
yihU	16	12	46	13
yihV	47	58	117	54
yihW	291	398	677	315
rbn	412	578	1056	451
yiiD	1211	1762	1826	922
fdhE	338	500	670	315
fdoI	135	154	291	152
fdoH	135	212	463	239
fdoG	1626	2231	4072	2278
fdhD	325	539	394	209
frvB	15	29	20	16
rhaD	13	27	14	10
rhaA	14	28	21	15
rhaS	29	41	121	57
rhaR	37	49	94	37
sodA	32206	37809	31964	18075
kdgT	95	121	150	67
yiiM	402	523	488	268
cpxA	1537	2257	1924	1052
cpxR	1681	2433	2125	1247
fieF	1321	1750	1325	781
pfkA	4770	7143	4323	2617
sbp	1225	1595	1401	662
cdh	232	327	170	112
tpiA	8947	13466	8164	4924
fpr	1012	1357	1195	696
glpX	604	868	3555	1669
glpK	10067	14086	121050	52700
glpF	2347	2677	41923	17569
menA	477	668	482	278
hslU	3096	4503	2992	1858
ftsN	766	1072	870	480
cytR	693	859	1200	520
yiiX	235	351	234	129
metB	1863	2135	1820	952
metL	1833	2988	2146	1058
metF	5735	8489	4404	2423
katG	4861	7665	9272	4945
yijE	90	117	104	55
yijF	12	19	13	9
gldA	103	191	220	120
fsaB	33	44	70	45
ptsA	25	42	66	31
frwC	12	17	73	33
pflD	74	126	166	78
pflC	24	53	68	30
yijO	60	53	64	35
yijP	1020	1237	844	470
ppc	9389	13235	7400	4734
argE	2380	3492	1798	979
argC	3400	4794	2564	1154
argB	2756	4113	2310	962
argH	4691	7738	3892	1715
oxyR	1280	1887	1475	875
sthA	1071	1366	3761	2015
fabR	1629	2173	3849	1730
trmA	813	1097	1061	621
btuB	2290	3049	2559	1323
murI	230	362	297	209
murB	2073	2802	2020	1053
birA	766	1033	766	383
coaA	1132	1500	1398	743
tufB	149249	226426	163475	86216
rplA	26843	40361	24218	13173
rpoB	36343	53371	45087	25157
rpoC	36523	59020	45883	24668
thiH	3028	4179	3330	2035
thiG	1439	2048	1607	1005
thiF	1557	2284	1824	1000
thiE	1332	2005	1492	949
thiC	5570	7354	5708	3529
nudC	547	767	538	282
hemE	726	1051	639	391
nfi	279	461	309	159
yjaH	438	581	626	337
zraR	240	364	381	204
purD	1663	2648	1289	770
purH	1839	2800	1359	902
metA	3174	4665	2830	1533
aceA	14563	22214	69521	37379
aceK	2420	3354	9744	5271
iclR	973	1201	956	590
metH	7792	10602	7644	4002
yjbB	318	489	465	244
pepE	84	157	643	270
yjbC	644	854	651	395
lysC	5476	7951	2937	1560
pgi	10170	14411	8932	5207
yjbF	8	12	4	2
yjbG	8	11	5	7
yjbH	57	74	104	43
xylE	73	106	89	47
malG	41	58	532	287
malF	122	143	2085	960
malE	1274	1617	22750	11078
malK	243	271	5572	2495
malM	159	186	1813	927
ubiA	550	769	948	450
plsB	2437	3502	3286	1746
lexA	1183	1737	1678	933
dinF	122	180	156	87
yjbM	7	18	11	10
yjbN	678	938	622	428
qor	757	1110	1323	755
dnaB	1450	2046	1462	786
alr	544	811	517	307
tyrB	3219	4768	3682	2097
aphA	148	207	1286	454
uvrA	852	1169	1319	782
yjcC	131	166	173	95
yjcE	573	866	619	379
actP	134	193	7670	3460
acs	899	1224	29556	11825
nrfA	60	99	102	49
nrfC	7	6	7	7
nrfD	9	10	20	8
gltP	854	1338	310	204
yjcO	357	440	743	383
fdhF	241	386	363	199
yjcQ	38	35	39	23
yjcR	13	20	12	13
phnL	20	22	22	16
phnK	6	19	30	13
phnJ	2	1	5	2
phnI	1	3	5	2
phnF	3	5	3	2
phnD	3	10	11	7
phnC	0	6	9	6
yjcZ	1487	2231	4050	2308
proP	3017	4384	2108	1729
basS	169	198	193	114
basR	99	165	217	93
eptA	63	103	123	59
adiC	13	23	24	8
adiY	12	17	9	10
adiA	50	51	78	35
melR	85	129	376	156
melA	55	92	307	148
melB	86	113	178	90
yjdF	174	235	166	86
fumB	80	110	298	122
dcuB	21	30	32	20
dcuR	308	443	749	369
dcuS	584	729	1307	636
lysU	879	1218	861	518
yjdL	95	136	132	67
cadA	95	95	100	49
cadB	3	11	13	5
cadC	50	89	69	44
dipZ	588	798	692	417
dcuA	1836	2532	2441	1511
aspA	977	1374	9167	3666
yjeH	267	423	290	173
groL	40410	61987	45051	28059
yjeJ	351	466	464	269
yjeK	671	879	717	406
frdB	166	262	752	310
frdA	441	797	2303	882
poxA	254	385	246	136
yjeP	575	868	732	442
psd	874	1221	1146	694
rsgA	1725	2285	2135	1142
yjeS	330	438	426	214
yjeF	413	561	671	274
amiB	714	1096	845	525
mutL	954	1293	1109	596
miaA	5985	8590	8064	4539
hflX	5662	7978	6823	3838
hflK	5095	7364	5926	3503
hflC	4236	6143	4646	2795
purA	9093	13210	12429	7136
rnr	3533	5435	3977	2220
rlmB	425	706	467	302
yjfJ	14	17	21	15
yjfK	6	13	21	12
yjfC	23	42	24	6
aidB	177	262	285	173
yjfP	187	261	194	125
ulaR	369	488	497	242
ulaG	63	106	69	39
ulaA	20	20	78	38
ulaD	47	86	94	50
ulaE	51	84	106	49
ulaF	44	52	70	37
ytfB	783	1017	1027	552
fklB	613	715	651	360
cycA	1383	2226	4379	1897
ytfE	56	84	92	41
ytfF	42	72	65	38
ytfG	106	135	147	74
cpdB	1021	1367	3135	1352
cysQ	703	1101	1196	597
ytfL	166	259	261	159
msrA	274	352	363	224
ytfM	861	1295	861	478
ytfQ	113	142	1328	476
ytfT	16	36	118	41
yjfF	41	55	141	47
fbp	832	1130	906	505
mpl	1903	2772	2058	1130
pmbA	1357	1943	1485	853
nrdD	247	376	588	306
treC	54	91	237	105
treB	56	98	435	173
treR	165	214	218	141
mgtA	5191	6762	5460	2881
pyrB	9665	13557	13369	7172
yjgI	40	39	32	23
argI	3997	6088	4681	1997
valS	8826	13520	8592	5002
pepA	4109	6436	4927	2711
yjgP	1340	1925	1467	882
yjgQ	817	1234	937	530
yjgB	135	203	312	174
yjhT	168	241	340	185
yjhA	26	45	82	44
fimB	676	861	384	274
fimC	366	472	407	280
fimH	135	176	146	109
gntP	56	90	462	174
uxuA	159	290	922	434
uxuB	186	310	916	434
uxuR	396	622	564	292
yjiE	217	287	189	105
iadA	629	910	514	338
yjiH	23	28	14	12
yjiK	67	81	92	47
hgdC	7	20	59	22
yjiM	40	43	266	95
yjiN	98	140	161	95
yjiY	70	71	149	67
tsr	16027	23175	21818	11496
mdoB	1527	2089	2049	1152
dnaC	207	309	281	189
yjjP	39	52	65	36
yjjQ	4	5	4	3
bglJ	196	252	226	106
rsmC	530	743	535	329
yjjG	189	326	249	126
prfC	2587	3758	1983	1156
osmY	1804	2477	3121	1809
yjjU	543	849	728	379
yjjW	27	62	41	20
yjjI	67	87	64	47
deoC	240	384	330	184
deoA	326	520	739	353
deoB	1045	1561	2219	1246
deoD	2084	2904	3216	1798
ytjB	264	351	270	190
serB	870	1260	885	437
radA	1140	1690	1101	632
nadR	1097	1553	1206	647
slt	868	1336	1325	673
ytjC	575	863	1340	577
rob	1125	1544	1481	811
creB	569	837	632	362
creC	276	384	324	179
arcA	4094	5336	7612	4086
yjtD	240	290	255	158
