	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2
mngA	16	21	19	17
cydA	3558	6420	5126	2736
cydB	2452	3882	3531	1777
tolQ	1447	2111	1242	669
tolA	2473	3469	2391	1163
tolB	9312	13620	9230	5221
ybgF	5962	8379	5304	3035
nadA	3538	4871	4009	2125
pnuC	1392	2080	1618	877
zitB	338	509	442	224
aroG	10537	13290	4413	3194
gpmA	15188	22630	15851	8205
galM	1971	3051	2712	1516
galK	1411	1996	2942	1494
galT	363	468	741	356
galE	571	750	864	504
modF	1660	2219	1704	963
modE	468	579	462	267
modA	1200	1577	2801	1532
modB	504	710	1234	635
modC	834	1182	1900	1068
ybhA	511	675	525	273
pgl	741	1052	1052	606
ybhD	32	51	61	30
ybhH	3	6	9	5
ybhI	999	1006	815	419
ybhJ	101	119	122	67
ybhC	2811	4127	2364	1369
bioB	1683	2312	2040	1178
bioC	390	608	434	242
bioD	457	679	497	324
uvrB	1044	1609	1519	886
ybhK	491	726	837	428
moaA	1405	1933	1588	948
ybhL	627	838	939	626
ybhN	36	56	73	54
ybhO	90	117	181	137
ybhP	95	145	213	124
ybhR	63	68	146	77
ybhS	73	93	107	56
ybhF	264	358	372	191
ybhG	252	326	392	235
ybiH	109	146	128	101
rhlE	262	376	94	49
dinG	235	362	351	181
ybiB	716	906	809	454
ybiC	5256	7057	4740	2795
ybiX	113	154	154	91
fiu	931	1118	552	283
ybiN	328	473	281	173
ybiO	83	156	196	117
glnQ	1059	1808	3067	1560
glnP	960	1467	2779	1419
glnH	3935	4937	12063	6068
rhtA	78	104	101	47
ybiR	340	455	423	245
ybiS	2072	2669	1622	1144
ybiT	2545	3528	2708	1543
ybiU	289	427	162	107
ybiV	674	774	378	280
ybiW	82	102	147	67
ybiY	20	25	30	10
fsaA	106	143	110	73
moeB	412	585	440	244
moeA	590	929	729	389
iaaA	2493	3671	4159	1754
yliA	2086	2977	2802	1277
yliB	1645	2399	2372	1283
yliC	496	732	704	354
yliD	403	534	448	245
yliE	936	1286	295	198
yliF	365	480	133	70
yliG	729	964	513	362
yliI	85	122	185	110
yliJ	1756	2456	2227	1348
dacC	1664	2521	2931	1516
deoR	575	788	620	344
cmr	266	340	224	145
ybjI	481	670	456	264
ybjJ	191	283	172	117
ybjL	568	840	532	345
nfsA	758	1041	703	413
rimK	466	735	478	256
potF	1400	2120	2267	1224
potG	520	811	677	424
potH	238	384	311	165
potI	146	289	243	131
rumB	324	438	275	136
artJ	5870	7446	4520	2128
artM	665	1006	840	422
artQ	471	758	720	380
artI	1426	2203	2431	1210
artP	920	1154	1116	623
ybjR	326	547	544	316
ybjS	257	329	351	176
ybjT	521	750	721	409
ltaE	821	1259	1179	655
poxB	637	835	1288	839
hcr	19	29	31	17
hcp	28	46	27	15
ybjE	83	94	64	54
aqpZ	66	86	126	73
ybjD	787	1130	989	573
ybjX	2801	3614	2703	1847
macA	488	674	729	352
macB	419	685	739	396
clpA	14584	21891	21009	11675
aat	127	143	131	97
cydC	766	1131	800	526
cydD	928	1244	884	504
trxB	5607	8278	4538	2601
lolA	1260	1590	1242	718
ycaJ	511	675	539	316
serS	3187	4917	3290	2023
dmsA	135	252	128	86
dmsB	33	64	40	32
dmsC	60	103	107	57
ycaC	216	254	654	394
ycaD	343	488	212	128
ycaM	38	45	112	71
ycaN	91	148	95	80
pflA	429	547	418	283
