	CMCP6_HS1	CMCP6_HS2	CMCP6_ASW1	CMCP6_ASW2
VV1_RS07510	7242	10527	106470	188566
VV1_RS07515	25420	8864	184849	298489
VV1_RS07520	2384	1674	1112	1536
VV1_RS07600	24537	30674	722	613
VV1_RS07605	11079	14695	735	612
VV1_RS07610	4730	3433	12016	11677
VV1_RS07620	15691	7886	22396	18898
VV1_RS07630	1447	4706	2753	2586
VV1_RS07640	607	735	342	288
VV1_RS07645	1819	3200	4203	3825
VV1_RS07650	1735	8470	880	1041
VV1_RS07680	5637	7396	2564	2589
VV1_RS07690	638	474	112	136
VV1_RS07695	89	174	110	54
VV1_RS07735	7337	16133	2192	2154
VV1_RS07740	16590	5264	3669	3368
VV1_RS07750	3842	2328	447	800
VV1_RS07755	593	400	229	263
VV1_RS07760	422	22805	264	206
VV1_RS07765	231	6514	96	153
VV1_RS07785	3619	2658	720	526
VV1_RS07790	120	253	234	152
VV1_RS07800	343	4329	8377	3904
VV1_RS07810	805	613	289	363
VV1_RS07820	11452	10908	6523	5461
VV1_RS07830	62	103	111	92
VV1_RS07835	779	1083	156	214
VV1_RS07850	200165	3522	1821	2078
VV1_RS07855	92420	55555	4180	12512
VV1_RS07860	1962	3308	321	537
VV1_RS07865	869	765	290	448
VV1_RS07870	390	348	536	332
VV1_RS07875	823	505	933	587
VV1_RS07880	288	261	399	289
VV1_RS07885	50	62	110	74
VV1_RS07895	498	243	804	352
VV1_RS07900	260	128	174	116
VV1_RS07905	66	62	484	208
VV1_RS07910	112	118	238	149
VV1_RS07915	1165	1708	1836	1418
VV1_RS07920	1900	5536	1129	1499
VV1_RS07930	2058	2124	987	1251
VV1_RS07935	1014	1237	799	878
VV1_RS07945	1168	3264	2848	1633
VV1_RS07950	2089	7198	8806	7260
VV1_RS07955	752	3139	701	484
VV1_RS07960	4113	3208	720	564
VV1_RS07970	3674	2967	758	1433
HFLB	29756	35712	25030	25273
FOLP	233	1021	612	561
VV1_RS08070	293	248	352	441
VV1_RS08090	25022	24894	4554	3953
VV1_RS08095	9115	1591	1405	3493
VV1_RS08110	460	132	2170	1331
VV1_RS08115	659	102	37	22
VV1_RS08120	2339	1677	1749	1619
VV1_RS08145	1030	2164	43168	30104
VV1_RS08150	886	4247	2103	1754
VV1_RS08160	1431	5513	4302	1795
VV1_RS08165	4933	28184	4479	3688
VV1_RS08170	2559	13207	12727	8898
VV1_RS08180	1769	4542	4245	3310
VV1_RS08190	1464	1642	395	439
VV1_RS08200	3402	9025	11114	8525
VV1_RS08205	2885	1124	1086	911
VV1_RS08210	1020	6769	4099	3431
VV1_RS08215	376	2997	1837	2039
VV1_RS08220	345	1160	1384	1084
VV1_RS08240	1018	727	56518	66777
VV1_RS08245	564	366	12506	10171
VV1_RS08270	29	38	1427	1495
VV1_RS08275	223	150	4127	4441
VV1_RS08285	58	174	2479	2458
VV1_RS08300	423	490	9207	8660
VV1_RS08305	191	219	4554	3490
VV1_RS08310	226	221	3407	2541
VV1_RS08315	76	301	2153	1666
VV1_RS08320	1004	669	19949	11091
VV1_RS08325	212	897	420	273
VV1_RS08330	563	954	725	567
VV1_RS08335	164	317	1678	1626
VV1_RS08345	32	293	54	33
VV1_RS08350	78	1860	292	118
VV1_RS08375	106	1987	224	182
VV1_RS08380	510	3678	709	471
VV1_RS08385	162	789	201	187
VV1_RS08395	1342	2064	15329	16406
VV1_RS08400	970	2201	1202	844
VV1_RS08425	5988	2028	547	869
VV1_RS08430	31679	12340	4265	5199
VV1_RS08435	1972	1188	573	922
VV1_RS08445	4431	6017	1472	1777
VV1_RS08455	1309	40382	2051	638
VV1_RS08460	10926	6539	319	223
VV1_RS08470	153	141	119	59
VV1_RS08475	617	1800	83	91
VV1_RS08480	1410	810	502	413
VV1_RS08505	5976	569	924	918
VV1_RS08520	562	197	365	218
VV1_RS08575	4853	9768	78314	63661
VV1_RS08580	314	552	4270	3755
VV1_RS08595	1424	1901	1310	1165
VV1_RS08605	8184	22558	1965	1311
VV1_RS08610	2770	9114	814	595
VV1_RS08615	1081	3302	402	162
VV1_RS08620	3277	5216	866	338
VV1_RS08630	4963	11492	1697	1033
