	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_starvation1	K12_starvation2
fadD	6990	8018	7334	8341
yeaZ	6	11	6	13
yoaA	6	6	6	6
sdaA	1052	1073	1052	1073
adrB	14	15	14	15
yoaE	21	23	21	23
manX	235	262	236	262
manY	143	190	148	193
rrmA	9	3	9	3
kdgR	454	429	454	429
yebQ	7	5	7	5
htpX	2004	1904	2015	1915
prc	109	103	116	112
yebS	28	23	28	27
yebT	30	40	31	47
yebU	4	6	4	6
pphA	41	56	41	56
yebZ	13	9	13	9
yobB	60	61	60	61
exoX	22	14	22	14
ptrB	133	134	133	135
yebE	110	124	110	124
purT	12	11	12	11
eda	44	32	44	32
edd	19	25	19	25
zwf	107	102	110	107
yebK	79	75	79	75
pykA	237	224	241	230
lpxM	23	18	24	19
yebA	59	70	59	70
znuA	77	86	77	88
znuC	16	11	17	12
znuB	20	22	21	22
ruvB	24	36	27	43
ruvA	34	37	34	37
yebB	2	3	2	3
yebC	51	62	53	64
aspS	101	124	106	130
yecE	9	16	9	16
yecO	10	12	10	12
yecP	5	8	10	16
torY	2	4	2	5
cutC	48	144	48	144
argS	69	80	72	81
flhA	25	23	25	23
flhB	11	11	11	11
cheZ	57	68	57	68
cheB	39	43	42	44
cheR	34	40	34	40
tap	176	192	176	192
tar	276	290	276	290
cheA	164	198	171	210
motB	48	59	51	63
motA	83	96	83	96
otsA	345	392	345	392
otsB	239	258	240	259
araH	210	213	218	221
araG	239	282	253	297
araF	336	333	336	333
tyrP	27	35	27	35
yecA	119	114	119	114
uvrC	41	33	41	33
uvrY	45	55	45	55
sdiA	69	70	72	84
yecC	20	46	21	48
yecS	22	32	23	32
yedO	134	111	134	119
fliY	1271	1352	1354	1437
fliA	126	137	130	145
fliD	63	73	66	76
amyA	150	167	157	174
yedE	37	43	38	43
fliF	32	38	33	41
fliG	37	30	38	31
fliH	16	19	17	22
fliI	7	13	8	14
fliM	18	9	19	10
fliP	2	1	3	1
fliR	5	5	6	5
rcsA	8	2	8	2
yedP	448	455	508	534
yedQ	140	162	156	176
yedI	114	154	118	158
yedA	3	3	3	3
dcm	11	6	11	6
yedJ	17	7	17	7
hchA	337	372	410	440
yedW	9	15	9	15
yedZ	20	24	20	24
