	IAI1_batch1	IAI1_batch2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
gltJ	515	372	397	276
gltI	4413	3067	8571	6698
ybeX	1711	1158	1068	822
ybeZ	1309	915	1058	836
miaB	1355	966	95	65
asnB	2387	1490	306	220
nagD	497	294	115	76
nagC	550	374	343	277
nagA	990	709	432	358
nagB	554	404	355	317
nagE	1345	981	2950	2388
glnS	3616	2528	1076	887
ybfM	28	22	195	181
ybfF	289	181	91	87
pgm	4898	3386	3259	2317
potE	78	60	221	192
kdpE	60	37	46	40
kdpD	161	91	144	111
kdpB	33	20	14	8
ybgH	403	307	49	39
ybgI	1190	885	463	317
ybgJ	825	528	282	215
ybgK	966	730	316	218
nei	245	192	50	33
abrB	58	37	19	15
gltA	9599	6088	8031	6031
sdhA	9641	6753	10256	7600
sdhB	3931	2942	4591	3495
sucA	18838	12552	19916	14335
sucB	12045	7925	8983	6136
sucC	13132	8836	11851	8420
sucD	10225	6606	11281	8803
mngR	109	82	104	92
mngA	15	2	7	13
cydA	4231	3587	4758	3368
cydB	2581	2160	3586	2671
tolQ	1298	927	155	83
tolA	2152	1428	352	257
tolB	8869	6433	2033	1455
ybgF	3869	2686	657	528
nadA	1475	863	162	90
pnuC	782	488	173	124
zitB	211	130	207	169
aroG	8700	6027	1038	840
gpmA	8103	5576	3270	2270
galM	3012	2282	886	752
galK	684	559	283	213
galT	349	213	127	114
galE	379	242	222	178
modF	1791	1253	328	246
modE	286	182	179	172
modA	270	202	96	88
modB	148	107	101	44
modC	262	178	93	64
ybhA	298	226	67	44
pgl	644	450	172	109
ybhD	26	9	40	38
ybhH	4	1	22	15
ybhI	1169	845	58	37
ybhJ	67	67	21	33
ybhC	2704	2226	85	65
bioB	1635	1034	965	621
bioC	458	278	37	27
bioD	455	308	32	22
uvrB	742	529	1095	934
ybhK	377	237	208	137
moaA	963	588	673	508
ybhL	493	294	1948	1778
ybhN	8	4	14	16
ybhO	13	8	31	15
ybhP	14	13	34	26
ybhR	46	37	77	62
ybhS	74	60	55	57
ybhF	252	185	119	70
ybhG	160	100	110	65
ybiH	58	40	49	28
rhlE	188	111	16	23
dinG	205	136	222	166
ybiB	313	226	259	182
ybiC	2642	1885	860	627
ybiX	50	41	71	52
fiu	378	123	73	41
ybiN	282	201	44	31
ybiO	53	27	48	42
glnQ	785	571	898	781
glnP	540	440	1231	1058
glnH	2287	1675	9478	7805
rhtA	66	46	28	21
ybiR	264	192	208	148
ybiS	1606	1102	393	339
ybiT	2162	1539	379	292
ybiU	108	79	31	25
ybiV	283	220	70	41
ybiW	65	39	64	41
ybiY	11	5	5	3
fsaA	49	32	37	32
moeB	274	194	107	76
moeA	446	291	295	224
iaaA	1526	1027	390	272
yliA	1244	848	224	161
yliB	1149	822	242	180
yliC	414	262	56	45
yliD	330	234	28	25
yliE	417	421	20	20
yliF	167	181	44	25
yliG	656	412	50	83
yliI	23	25	69	61
yliJ	877	643	210	154
dacC	928	730	1013	755
deoR	472	363	239	226
cmr	224	173	126	133
ybjI	225	137	68	50
ybjJ	107	77	53	53
ybjL	422	264	537	456
nfsA	429	263	146	114
rimK	370	247	83	86
potF	1473	1053	371	306
potG	608	439	89	80
potH	313	208	68	37
potI	273	177	96	78
rumB	279	190	24	9
artJ	3931	2815	104	80
artM	730	544	81	57
artQ	656	525	85	66
artI	1543	1202	432	313
artP	937	636	192	153
ybjR	231	162	302	233
ybjS	263	149	94	73
ybjT	561	344	102	74
ltaE	893	540	105	92
poxB	47	23	91	74
hcr	27	8	35	31
hcp	15	16	17	16
ybjE	155	76	25	28
aqpZ	100	54	178	132
ybjD	448	325	1043	768
ybjX	2316	1691	2044	1798
macA	351	228	347	249
macB	377	248	514	391
clpA	6294	4321	27649	22768
aat	116	54	28	32
cydC	484	311	107	66
cydD	566	374	119	121
trxB	5468	3746	442	341
lolA	723	542	654	481
ycaJ	507	405	146	112
serS	5551	4025	3918	3105
dmsA	80	92	61	37
dmsB	26	33	34	20
dmsC	71	68	95	62
ycaC	40	25	95	81
ycaD	239	200	146	107
ycaM	22	11	29	26
ycaN	91	70	128	119
pflA	300	214	613	598
pflB	11469	10594	13894	10372
focA	966	945	1848	1240
ycaO	1743	1174	57	56
ycaP	333	237	533	469
serC	12366	8189	1270	985
aroA	5723	3980	191	115
ycaL	77	53	22	18
cmk	2884	2112	304	267
rpsA	85900	63854	9146	7932
msbA	1873	1250	309	205
lpxK	431	272	61	40
kdsB	1218	849	388	274
ycbJ	80	66	311	234
smtA	549	426	234	161
mukF	1113	789	277	200
mukE	664	531	163	105
mukB	4496	3148	692	533
ycbB	559	360	873	648
ycbL	1247	895	1197	869
aspC	6452	3976	1900	1596
ompF	25326	18016	16540	12556
asnS	4933	3386	1313	1160
pncB	1338	812	151	125
pepN	2360	1523	4191	3147
ssuC	13	8	11	7
ssuA	15	16	9	11
ycbR	19	8	15	14
ycbT	64	36	29	20
ycbF	30	24	22	11
pyrD	811	523	30	20
ycbX	475	252	230	135
ycbY	1224	883	129	111
uup	1396	970	140	132
pqiA	317	229	123	80
pqiB	714	567	248	208
ycbZ	1034	748	301	252
yccR	144	105	250	245
yccS	411	326	215	150
helD	820	608	522	367
yccT	12	6	20	25
yccW	587	424	221	168
yccA	2525	1723	5174	4146
hyaA	7	2	6	5
hyaB	9	4	6	7
hyaC	6	8	10	5
hyaF	12	8	12	9
appC	78	72	89	46
appB	33	24	23	12
appA	62	43	55	40
yccC	7462	5813	220	198
yccZ	3544	2552	31	32
ymcA	2988	2143	16	22
ymcB	705	472	8	7
ymcC	1470	1103	82	78
yccM	56	30	39	32
torR	102	71	96	70
torC	15	13	12	11
torA	31	30	58	41
cbpA	264	227	304	205
agp	269	212	4420	3310
rutG	34	14	37	31
rutD	4	4	7	3
rutB	0	2	1	0
rutA	2	4	7	4
rutR	123	87	209	161
putP	2727	1796	3967	3458
efeO	3026	1636	95	66
efeB	1599	904	88	63
phoH	361	243	8730	7435
ycdW	788	523	446	288
ycdX	937	667	555	357
csgG	47	39	86	57
csgD	25	22	96	59
ymdC	101	77	125	106
mdoC	72	54	60	37
mdoG	2007	1350	756	683
mdoH	1694	1138	501	401
mdtG	20	11	22	23
lpxL	114	71	115	97
yceA	1678	1103	59	58
solA	1233	739	430	305
pyrC	648	344	54	50
grxB	316	171	109	104
mdtH	41	23	59	53
yceH	460	323	634	423
mviM	542	387	704	559
mviN	265	196	43	43
flgA	21	11	19	14
flgD	11	4	7	4
flgF	6	4	1	3
flgG	11	5	2	1
flgH	3	5	3	4
flgI	9	7	2	1
flgJ	8	4	6	2
flgK	43	33	61	44
flgL	40	30	86	77
rluC	1035	820	148	118
plsX	2944	2198	257	185
fabH	4207	3027	562	453
fabD	4953	3258	631	423
fabG	7863	5253	3573	2487
fabF	8161	5678	3172	2591
pabC	331	254	138	102
yceG	328	245	94	55
tmk	299	188	72	52
holB	319	192	68	64
ycfH	443	300	83	88
ptsG	12883	9249	433	380
fhuE	325	127	190	182
ycfM	823	574	248	175
ycfN	411	256	141	106
nagZ	921	643	536	434
ndh	959	651	119	89
ycfQ	116	69	471	409
ycfS	155	113	136	120
mfd	1646	996	526	405
lolC	485	268	58	35
lolD	395	232	18	17
lolE	803	597	451	341
ycfX	584	414	373	266
cobB	760	526	175	148
potD	4785	3519	167	125
potC	573	402	33	42
potB	373	243	27	21
potA	728	420	58	45
pepT	363	307	646	521
ycfD	1081	780	510	443
phoQ	1704	1327	434	318
phoP	1371	1090	898	675
purB	1521	848	85	62
hflD	274	138	61	60
trmU	1009	674	102	78
ymfC	100	71	52	39
icd	39514	27458	35209	27191
ycgE	497	328	330	251
ycgF	192	119	107	89
ycgG	13	10	25	20
minD	3298	2523	1499	1120
minC	1154	745	687	501
ycgM	975	677	495	362
umuC	68	51	95	74
nhaB	360	226	130	114
fadR	497	360	1484	1154
ycgB	31	29	791	669
dadA	244	163	2751	1938
dadX	133	93	1005	776
cvrA	360	275	104	94
emtA	553	409	116	93
ycgR	92	54	22	11
treA	30	24	190	121
dhaH	1048	733	237	188
dhaL	474	322	85	83
