	IAI1_batch1	IAI1_batch2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
yijE	55	47	57	60
yijF	8	5	6	5
gldA	102	81	254	154
fsaB	23	13	24	13
ptsA	27	26	53	51
frwC	19	8	30	26
pflD	58	35	72	52
pflC	27	9	19	11
yijO	31	20	16	18
yijP	1544	942	94	85
ppc	7041	4003	655	567
argE	2180	1392	172	135
argC	3930	2741	81	41
argB	2768	1832	62	31
argH	5937	3977	118	65
oxyR	1281	847	609	465
sthA	1007	738	2800	2438
fabR	857	661	1258	1094
trmA	570	362	185	136
btuB	1492	1072	395	301
murI	248	154	139	107
murB	881	693	424	312
birA	494	325	227	183
coaA	724	550	232	200
tufB	129863	95058	7048	5450
rplA	30120	21880	1759	1333
rpoB	39413	27910	5908	4429
rpoC	41848	29584	6773	5281
thiH	3502	1929	319	206
thiG	2501	1272	232	132
thiF	3127	1647	204	171
thiE	2597	1340	219	149
thiC	10766	6125	1144	778
nudC	375	241	79	67
hemE	815	484	180	123
nfi	276	200	40	29
yjaH	427	310	73	70
zraR	212	148	238	165
purD	1842	1258	77	55
purH	1836	1186	40	35
metA	4367	3113	2570	1376
aceA	471	325	3204	2481
aceK	88	52	968	854
iclR	314	214	243	217
metH	8389	5344	2390	1745
yjbB	285	237	117	100
pepE	142	111	280	306
yjbC	739	453	244	208
lysC	7796	4633	476	493
pgi	5636	4168	1706	1365
yjbF	7	9	1	1
yjbG	14	4	0	0
yjbH	37	16	14	14
xylE	30	15	89	58
malG	67	49	135	117
malF	154	130	33	33
malE	878	625	85	87
malK	201	135	23	19
malM	170	116	57	76
ubiA	451	323	1127	842
plsB	1696	1129	1246	918
lexA	904	615	1352	1037
dinF	164	88	70	54
yjbM	2	4	7	11
yjbN	538	395	146	108
qor	434	275	295	269
dnaB	1091	732	101	87
alr	500	339	118	87
tyrB	2562	1605	193	157
aphA	67	65	356	312
uvrA	682	483	297	247
yjcC	40	32	147	107
yjcE	791	573	183	173
actP	174	115	869	666
acs	1024	665	6090	4266
nrfA	37	22	33	29
nrfC	7	3	5	1
nrfD	12	5	8	7
gltP	601	543	56	33
yjcO	394	281	440	471
fdhF	94	63	139	92
yjcQ	14	10	5	10
yjcR	12	2	5	5
phnL	5	1	0	1
phnK	7	2	12	11
phnJ	2	2	1	1
phnI	1	4	1	1
phnF	5	1	0	0
phnD	5	5	3	2
phnC	2	2	1	1
yjcZ	20	14	17	10
proP	1481	1059	264	206
basS	338	234	50	39
basR	298	201	91	65
eptA	384	259	54	56
adiC	13	3	31	19
adiY	4	2	53	34
adiA	19	11	46	37
melR	69	59	517	377
melA	55	41	127	104
melB	43	34	95	62
yjdF	134	99	57	36
fumB	65	60	453	353
dcuB	19	17	66	47
dcuR	196	159	247	196
dcuS	378	308	360	250
lysU	608	480	163	149
yjdL	17	13	28	26
cadA	57	50	83	72
cadB	5	1	11	8
cadC	45	28	120	109
dipZ	453	284	88	73
dcuA	2007	1442	4969	4475
aspA	993	807	24367	19894
yjeH	281	191	134	102
groL	25091	18140	22769	16149
yjeJ	76	72	95	83
yjeK	354	237	71	45
frdB	134	111	1330	1071
frdA	327	251	3468	2643
poxA	238	192	100	68
yjeP	533	377	103	73
psd	638	417	263	188
rsgA	934	598	267	204
yjeS	158	104	98	87
yjeF	217	136	142	110
amiB	542	382	239	150
mutL	889	575	561	423
miaA	4400	3029	3227	2601
hflX	4460	2985	1480	1136
hflK	4763	3238	1139	800
hflC	4300	2958	1069	793
purA	8359	5490	2032	1539
rnr	3350	2369	2955	2177
rlmB	759	487	266	191
yjfJ	16	21	18	17
yjfK	10	4	4	5
yjfC	32	27	36	33
aidB	131	73	121	70
yjfP	163	105	132	86
ulaR	226	143	326	280
ulaG	52	33	46	35
ulaA	20	20	29	15
ulaD	42	33	32	22
ulaE	58	32	29	14
ulaF	33	17	22	15
ytfB	495	301	515	408
fklB	808	385	58	69
cycA	1326	952	2913	2311
ytfE	41	19	128	86
ytfF	76	32	34	28
ytfG	59	29	45	24
cpdB	610	437	944	753
cysQ	422	306	977	715
ytfL	229	155	227	183
msrA	233	149	209	167
ytfM	644	523	186	143
ytfQ	45	22	454	309
ytfT	12	7	92	69
yjfF	20	15	106	95
fbp	1065	657	2075	1942
mpl	1757	1247	411	292
pmbA	916	603	380	288
nrdD	102	100	119	127
treC	34	25	26	14
treB	42	25	58	38
treR	220	138	93	76
mgtA	1924	1514	324	254
pyrB	321	226	12	7
yjgI	36	22	27	14
argI	1548	1104	41	31
valS	8002	5626	926	676
pepA	4392	2914	707	557
yjgP	1005	701	387	322
yjgQ	891	603	381	320
yjgB	19	24	32	20
yjhT	56	69	192	162
yjhA	18	10	43	21
fimB	491	450	27	16
fimC	1331	887	310	220
fimH	533	358	100	69
gntP	36	33	174	144
uxuA	231	146	706	548
uxuB	252	156	345	235
uxuR	343	258	399	326
yjiE	139	90	47	26
iadA	524	405	43	44
yjiH	8	9	24	12
yjiK	52	50	49	44
hgdC	8	8	23	25
yjiM	16	24	114	69
yjiN	79	45	30	22
yjiY	92	57	506	372
tsr	73	38	68	58
mdoB	1513	1097	415	302
dnaC	222	150	38	45
yjjP	32	31	54	52
yjjQ	9	5	8	12
bglJ	44	22	44	28
rsmC	477	309	50	51
yjjG	234	155	31	15
prfC	1580	1081	31	30
osmY	83	69	167	146
yjjU	184	134	59	54
yjjW	14	20	6	4
yjjI	37	27	31	26
deoC	170	89	376	272
deoA	220	170	412	332
deoB	790	558	1725	1383
deoD	1033	611	1686	1532
ytjB	262	222	142	125
serB	1333	815	61	45
radA	1506	962	108	64
nadR	1037	742	139	97
slt	620	475	715	532
ytjC	706	461	257	208
rob	834	628	1000	981
creB	529	360	106	74
creC	221	168	49	56
arcA	2235	1730	13066	10504
yjtD	104	89	126	94
