"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_K12ref_starvation1","IAI1_K12ref_starvation2"
"41","yfiQ",2748.12716069078,4.22446587781296,0.119342026206571,35.3979734724862,1.83456993895064e-274,1.05644381118597e-272,256.959696220593,301.954138907827,5125.48868950926,5308.10611812545
"42","clpA",18511.9261842733,3.06617707494121,0.0867407166378501,35.3487634618326,1.0474281512935e-273,5.88804253619988e-272,3993.34401978373,3894.7577140917,32259.1934387074,33900.4095645106
"43","arcA",8465.48387171971,3.37361915578309,0.0958135099652483,35.2102658279266,1.39266105273436e-271,7.64668080350193e-270,1418.03684210623,1559.34525465833,15244.6244518844,15639.9289382299
"44","gltD",2551.17243616788,-5.17518520647505,0.147090699259632,-35.1836331768351,3.55857390915489e-271,1.90949840898061e-269,5112.5462522112,4821.35131050139,151.676196138448,119.115985820487
"45","frdA",2103.81500648373,4.20177835452938,0.119868960953409,35.0530973248575,3.49770292341045e-269,1.83512813381601e-267,207.471162133664,226.240265271237,4046.25421698568,3935.29438154433
"46","cysN",2700.27355704462,-4.49082482847255,0.128268135021493,-35.0112272835342,1.51818066137217e-268,7.79222726412976e-267,5348.5684917027,4995.31294873784,236.848213970039,220.364573767901
"47","glcC",1557.6574757361,5.02510959561941,0.143905183288638,34.9195871947177,3.75008020087156e-267,1.88381688388463e-265,97.0736630166683,86.5301412989593,3082.52700152139,2964.49909710737
"48","sfsA",3427.55347386521,4.17026799972134,0.119723084779412,34.8326140059372,7.80658422366326e-266,3.83986361501437e-264,361.012511480289,357.838188496738,6005.21062711226,6986.15256837155
"49","fadB",1854.84054588995,4.4376500495341,0.127446175797322,34.8197976264999,1.22029872978157e-265,5.8798475530904e-264,170.671995761332,154.131814188771,3613.39368800596,3481.16468560373
"50","eno",12284.791414521,-3.44156380254769,0.0999442751872005,-34.4348267682314,7.59716777210555e-260,3.58738262198824e-258,21341.6130907952,23665.0922896268,2132.80066570064,1999.65961196142
"51","yeaG",1869.37630702874,4.34098144779537,0.126748233334144,34.2488517086571,4.53648331369919e-257,2.10012492228309e-255,180.18902154728,169.454860043795,3686.89830613459,3440.96304038931
"52","ilvD",3340.91617587092,-4.11053278322566,0.121338497802791,-33.8765755111491,1.47445664139927e-251,6.69460025066092e-250,6677.14529142103,5957.05941505023,361.689390791684,367.770606220753
"53","thrC",3474.53787643797,-3.78787483481933,0.112839464892862,-33.5687061119601,4.80295748577551e-247,2.13958162715396e-245,6666.99379724935,6293.26506822223,448.02814859357,489.864491686752
"54","infB",5875.49739821632,-3.26664611337225,0.0976385658914555,-33.4565146829765,2.06934294713004e-245,9.04762721884079e-244,10353.2551183398,10939.7533848486,1096.73557207801,1112.2455175988
"55","pntA",12163.0066021954,-3.33472238503062,0.0998263154592645,-33.4052435942244,1.15052059482263e-244,4.9388711352295e-243,22793.9112257309,21481.1075774666,2314.81210106678,2062.19550451718
"56","ilvE",3141.54037961929,-4.29244797024166,0.128871427788643,-33.307987999338,2.95842599008031e-243,1.24729352903208e-241,6222.23145885272,5738.93135052577,332.520891534291,272.477817564364
