	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2
cdh	1	1	232	327
tpiA	110	128	8947	13466
fpr	27	24	1012	1357
glpX	161	176	604	868
glpK	8173	8684	10067	14086
glpF	6492	6722	2347	2677
menA	5	4	477	668
hslU	232	231	3096	4503
ftsN	66	58	766	1072
cytR	17	18	693	859
yiiX	2	5	235	351
metB	20	13	1863	2135
metL	31	46	1833	2988
metF	32	39	5735	8489
katG	286	325	4861	7665
yijE	6	3	90	117
yijF	0	0	12	19
gldA	43	42	103	191
fsaB	5	4	33	44
ptsA	13	18	25	42
frwC	11	2	12	17
pflD	15	8	74	126
pflC	2	0	24	53
yijO	1	2	60	53
yijP	23	34	1020	1237
ppc	102	105	9389	13235
argE	60	80	2380	3492
argC	27	23	3400	4794
argB	17	19	2756	4113
argH	47	50	4691	7738
oxyR	41	39	1280	1887
sthA	123	133	1071	1366
fabR	64	65	1629	2173
trmA	137	159	813	1097
btuB	55	39	2290	3049
murI	10	9	230	362
murB	17	34	2073	2802
birA	24	19	766	1033
coaA	9	18	1132	1500
tufB	1930	2155	149249	226426
rplA	327	367	26843	40361
rpoB	756	862	36343	53371
rpoC	873	1003	36523	59020
thiH	18	19	3028	4179
thiG	6	17	1439	2048
thiF	13	18	1557	2284
thiE	18	18	1332	2005
thiC	65	54	5570	7354
nudC	54	44	547	767
hemE	29	26	726	1051
nfi	3	2	279	461
yjaH	6	7	438	581
zraR	41	27	240	364
purD	17	15	1663	2648
purH	11	13	1839	2800
metA	55	71	3174	4665
aceA	1175	1147	14563	22214
aceK	492	555	2420	3354
iclR	40	23	973	1201
metH	154	176	7792	10602
yjbB	67	62	318	489
pepE	11	13	84	157
yjbC	19	19	644	854
lysC	21	30	5476	7951
pgi	200	236	10170	14411
yjbF	0	0	8	12
yjbG	1	0	8	11
yjbH	13	5	57	74
xylE	12	28	73	106
malG	37	50	41	58
malF	14	16	122	143
malE	135	128	1274	1617
malK	30	18	243	271
malM	55	75	159	186
ubiA	173	171	550	769
plsB	145	160	2437	3502
lexA	514	558	1183	1737
dinF	6	11	122	180
yjbM	2	2	7	18
yjbN	7	10	678	938
qor	262	367	757	1110
dnaB	14	12	1450	2046
alr	4	11	544	811
tyrB	37	49	3219	4768
aphA	8	17	148	207
uvrA	65	79	852	1169
yjcC	182	200	131	166
yjcE	22	45	573	866
actP	222	295	134	193
acs	2763	3261	899	1224
nrfA	4	3	60	99
nrfC	0	2	7	6
nrfD	0	0	9	10
gltP	10	15	854	1338
yjcO	28	38	357	440
fdhF	37	21	241	386
yjcQ	5	5	38	35
yjcR	2	1	13	20
phnL	6	8	20	22
phnK	5	2	6	19
phnJ	0	0	2	1
phnI	0	0	1	3
phnF	0	0	3	5
phnD	0	1	3	10
phnC	0	0	0	6
yjcZ	46	43	1487	2231
proP	56	77	3017	4384
basS	31	34	169	198
basR	58	82	99	165
eptA	61	51	63	103
adiC	8	8	13	23
adiY	4	8	12	17
adiA	5	4	50	51
melR	160	154	85	129
melA	114	105	55	92
melB	47	47	86	113
yjdF	8	7	174	235
fumB	24	26	80	110
dcuB	14	12	21	30
dcuR	11	16	308	443
dcuS	24	31	584	729
lysU	21	29	879	1218
yjdL	6	3	95	136
cadA	4	3	95	95
cadB	1	2	3	11
cadC	23	14	50	89
dipZ	6	5	588	798
dcuA	491	521	1836	2532
aspA	5068	5039	977	1374
yjeH	12	18	267	423
groL	789	855	40410	61987
yjeJ	7	5	351	466
yjeK	16	17	671	879
frdB	330	376	166	262
frdA	1141	1238	441	797
poxA	26	28	254	385
yjeP	12	12	575	868
psd	20	21	874	1221
rsgA	34	42	1725	2285
yjeS	83	65	330	438
yjeF	110	119	413	561
amiB	33	36	714	1096
mutL	33	47	954	1293
miaA	620	633	5985	8590
hflX	216	232	5662	7978
hflK	144	137	5095	7364
hflC	111	123	4236	6143
purA	399	432	9093	13210
rnr	814	930	3533	5435
rlmB	46	49	425	706
yjfJ	2	3	14	17
yjfK	1	0	6	13
yjfC	2	2	23	42
aidB	249	268	177	262
yjfP	28	26	187	261
ulaR	25	33	369	488
ulaG	13	24	63	106
ulaA	4	7	20	20
ulaD	4	7	47	86
ulaE	10	5	51	84
ulaF	3	3	44	52
ytfB	207	212	783	1017
fklB	39	31	613	715
cycA	608	684	1383	2226
ytfE	11	10	56	84
ytfF	3	8	42	72
ytfG	11	6	106	135
cpdB	47	47	1021	1367
cysQ	1360	1294	703	1101
ytfL	33	27	166	259
msrA	60	37	274	352
ytfM	19	37	861	1295
ytfQ	887	880	113	142
ytfT	91	142	16	36
yjfF	117	180	41	55
fbp	127	120	832	1130
mpl	31	35	1903	2772
pmbA	129	121	1357	1943
nrdD	872	1156	247	376
treC	5	3	54	91
treB	10	13	56	98
treR	16	11	165	214
mgtA	80	95	5191	6762
pyrB	35	44	9665	13557
yjgI	0	4	40	39
argI	33	40	3997	6088
valS	210	238	8826	13520
pepA	290	288	4109	6436
yjgP	194	223	1340	1925
yjgQ	135	150	817	1234
yjgB	100	110	135	203
yjhT	81	85	168	241
yjhA	13	12	26	45
fimB	1	1	676	861
fimC	3	4	366	472
fimH	11	13	135	176
gntP	27	32	56	90
uxuA	62	51	159	290
uxuB	25	30	186	310
uxuR	123	127	396	622
yjiE	8	13	217	287
iadA	37	51	629	910
yjiH	0	0	23	28
yjiK	6	5	67	81
hgdC	2	7	7	20
yjiM	22	27	40	43
yjiN	34	36	98	140
yjiY	32	46	70	71
tsr	157	163	16027	23175
mdoB	82	117	1527	2089
dnaC	20	21	207	309
yjjP	1	6	39	52
yjjQ	1	1	4	5
bglJ	12	10	196	252
rsmC	10	19	530	743
yjjG	35	32	189	326
prfC	20	14	2587	3758
osmY	725	750	1804	2477
yjjU	23	38	543	849
yjjW	1	3	27	62
yjjI	72	70	67	87
deoC	122	154	240	384
deoA	133	176	326	520
deoB	302	334	1045	1561
deoD	127	181	2084	2904
ytjB	13	19	264	351
serB	8	14	870	1260
radA	21	18	1140	1690
nadR	206	228	1097	1553
slt	96	97	868	1336
ytjC	27	43	575	863
rob	573	616	1125	1544
creB	14	13	569	837
creC	9	3	276	384
arcA	4434	4126	4094	5336
yjtD	22	18	240	290
