"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_batch1","K12_batch2"
"2051","sfmH",3.3357202749749,1.03114538533585,1.24337444789083,0.829312028315373,0.406927866299289,0.468433297090502,9.32321835806282,0,2.12800490230643,1.89165783953034
"2052","yedA",10.9299787681908,0.61218948112662,0.739603958324184,0.827726074524717,0.407825648922408,0.469237990792303,13.9848275370942,12.5924341171687,9.57602206037893,7.56663135812135
"2053","yieL",8.70866751210946,0.678070419431105,0.81989609373106,0.827019941448244,0.408225758841444,0.46946956484396,4.66160917903141,16.7899121562249,6.38401470691929,6.99913400626224
"2054","yejF",110.213599694188,-0.220429050145848,0.267389034759165,-0.824375802636733,0.40972605944123,0.470965543495981,107.217011117722,96.5419948982932,119.434275141948,117.661117618787
"2055","prmA",179.474859639365,-0.177913990586178,0.216141785947909,-0.823135562639684,0.410430907387355,0.471546166589559,186.464367161256,151.109209406024,186.998430790177,193.3274312
"2056","ycbF",16.6750441026897,-0.559225541913819,0.681022375690117,-0.821155900123143,0.411557472383456,0.472610502090146,18.6464367161256,8.39495607811245,19.4180447335462,20.2407388829746
"2057","napA",49.9071455650866,-0.344640843988652,0.421168746162476,-0.818296341143269,0.41318799484051,0.474021795830148,37.2928734322513,50.3697364686747,47.0821084635297,64.8838638958905
"2058","norV",20.8031843668655,0.4512221185297,0.551246300893757,0.818549018466184,0.413043764144067,0.474021795830148,18.6464367161256,29.3823462733936,17.0240392184514,18.1599152594912
"2059","recO",158.881787907797,-0.187568390572229,0.230051533217645,-0.815332060381343,0.414882261898527,0.475503407933214,167.817930445131,130.121819210743,164.122378090383,173.465023884932
"2060","yjjP",12.5142805194176,0.580972870345451,0.712423718153503,0.815487827737188,0.414793129263279,0.475503407933214,4.66160917903141,25.1848682343374,10.3740238987438,9.83662076555775
"2061","yciM",272.470382454359,-0.144727717792701,0.178089718049777,-0.812667454233648,0.416408745827027,0.477021372584964,270.373332383822,247.651204304317,286.216659360215,285.640333769081
"2062","fixC",6.46201774472934,-0.863032714492633,1.07105444929099,-0.805778562484789,0.420370541000132,0.481326308099569,4.66160917903141,4.19747803905623,9.04402083480232,7.94496292602741
"2063","ygfG",6.49156112757635,-0.867384989202626,1.07994978269612,-0.803171594735799,0.421875561072657,0.482798181696279,4.66160917903141,4.19747803905623,10.1080232859555,6.99913400626224
"2064","ompL",1.29012500545631,-1.30016003650256,1.6194432242901,-0.802843852134735,0.422064992385057,0.482798181696279,0,0,3.45800796624795,1.7024920555773
"2065","yagV",13.0160485320695,0.563702126541172,0.70277748706919,0.802106124503209,0.422491572537234,0.48305210787429,18.6464367161256,12.5924341171687,12.5020288010503,8.32329449393348
"2066","yjcR",5.19050501060692,0.813329955921296,1.01722160093136,0.799560248402725,0.423965626626705,0.484502828879793,9.32321835806282,4.19747803905623,3.45800796624795,3.78331567906067
"2067","pyrE",30.8155685569733,-0.39603636681158,0.496216841526619,-0.798111498177225,0.424805789516775,0.485228093395794,27.9696550741884,25.1848682343374,35.1120808880561,34.9956700313112
"2068","argP",188.693782323439,0.161639104467712,0.203322094587532,0.794990356535626,0.426619111757116,0.487063695772994,214.434022235445,184.689033718474,176.890407504222,178.761665835617
"2069","hcr",7.06449845344775,0.704099985328842,0.888195710707179,0.792730675053857,0.42793475430452,0.488329606047835,9.32321835806282,8.39495607811245,5.05401164297777,5.48580773463797
"2070","yiaN",3.06669793463724,1.0389277499597,1.32142064107733,0.786220312944924,0.431738427698387,0.492432090722653,0,8.39495607811245,2.92600674067134,0.945828919765168
"2071","ruvB",141.343437367835,-0.193802995701098,0.247071804435288,-0.784399483154534,0.432805741581331,0.493411084439171,111.878620296754,151.109209406024,143.108329680107,159.277590088454
"2072","ybcH",15.1642365169426,0.501936967151838,0.641721821718647,0.782172196992709,0.434113381718139,0.494662979843883,23.308045895157,12.5924341171687,11.7040269626854,13.0524390927593
"2073","fsr",40.2046510841835,-0.341232688859822,0.436497993219272,-0.781750876660745,0.434360995487314,0.49470637257383,37.2928734322513,33.5798243124498,46.8161078507414,43.1297987412917
"2074","proC",58.8461140023339,-0.285049671180965,0.365072370070894,-0.780803190133538,0.434918257490119,0.495102220797575,51.2777009693455,54.5672145077309,68.6281580993823,60.9113824328768
"2075","cynX",3.79148310759116,-1.05808497995378,1.35847215776732,-0.778878664464322,0.436051193138303,0.496152706987727,4.66160917903141,0,5.58601286855438,4.91831038277887
"2076","ydcF",110.722670927177,-0.219556432344841,0.282392201613509,-0.777487590274652,0.436871153214645,0.496846239277349,121.201838654817,83.9495607811245,128.212295363962,109.526988908806
"2077","ydiN",3.28618764317818,0.940828749812001,1.2161245072385,0.773628640992013,0.43915042988908,0.499197960986094,4.66160917903141,4.19747803905623,2.39400551509473,1.89165783953034
"2078","glxR",7.24703139163862,0.679342597066971,0.893089447636317,0.760665797658839,0.446856708480939,0.507225331117066,13.9848275370942,4.19747803905623,5.32001225576607,5.48580773463797
"2079","ynfH",48.9523421743366,-0.307872794208379,0.404539471441266,-0.76104512894999,0.44663011262301,0.507225331117066,27.9696550741884,58.7646925467872,52.1361201065075,56.9389009698631
"2080","ydhC",29.5804998237777,0.358034014998723,0.470620769370535,0.760769686126691,0.446794643568949,0.507225331117066,37.2928734322513,29.3823462733936,26.8660618916187,24.7807176978474
"2081","gntU",33.2354746287157,0.363409820720183,0.480806604803379,0.755833670106915,0.44974892671277,0.510262958178207,37.2928734322513,37.777302351506,22.8760526997941,34.9956700313112
"2082","yieP",178.097464690021,-0.16131403346225,0.214310338123824,-0.752712327713499,0.451622800360128,0.512142858621643,177.141148803193,159.504165484137,186.200428951813,189.54411552094
"2083","hofB",16.3934361731544,-0.531511888540113,0.707273681562287,-0.751493944134983,0.452355443973245,0.512481383503278,13.9848275370942,12.5924341171687,23.674054538159,15.3224285001957
"2084","phpB",23.3356469353291,0.406637403150752,0.540992932531761,0.751650120913324,0.452261493576664,0.512481383503278,32.6312642532199,20.9873901952811,17.0240392184514,22.699894074364
"2085","fepG",23.2228641020277,-0.430370208750033,0.572976375186837,-0.751113357177592,0.452584437730597,0.512494895674791,13.9848275370942,25.1848682343374,25.5360588276772,28.185701809002
"2086","pncA",120.593861676624,0.185472373250313,0.247333677524621,0.749887258001291,0.453322609296412,0.513084698249678,135.186666191911,121.726863132631,115.178265337335,110.283652044619
"2087","moaA",385.341945038925,0.114388287307059,0.152715473551528,0.749028796145289,0.453839849416238,0.513423998309409,424.206435291858,377.77302351506,373.730860967567,365.657460381214
"2088","eutA",3.15094615097556,0.933566703636291,1.25114148766298,0.746171966034081,0.455563540533527,0.515127164367652,0,8.39495607811245,2.12800490230643,2.08082362348337
"2089","hcp",6.25218260949992,-0.799758545034796,1.07683058662044,-0.742696720330708,0.457665315815306,0.517256012752483,4.66160917903141,4.19747803905623,7.4480171580725,8.70162606183955
"2090","ycjN",1.1852074378416,-1.20502507311287,1.62388908593735,-0.742061193432612,0.458050260557648,0.517443380467277,0,0,2.66000612788304,2.08082362348337
"2091","yjjU",142.940314980508,-0.183633040823149,0.248727105597433,-0.738291230391112,0.46033749441608,0.519778490825617,107.217011117722,159.504165484137,144.438332744049,160.601750576126
"2092","pflC",6.43325490362322,-0.808485090809411,1.09883221255809,-0.735767555382505,0.461872169273111,0.52126204189953,9.32321835806282,0,6.38401470691929,10.0257865495108
"2093","ycjM",3.67769150840583,-1.00202499161095,1.36402095164883,-0.734611143912197,0.462576349171436,0.521807338936341,4.66160917903141,0,5.32001225576607,4.72914459882584
"2094","ygjQ",3.55278469184141,-1.00921861608024,1.37690871994692,-0.732959710008333,0.463583003223586,0.522693156929746,0,4.19747803905623,5.85201348134268,4.16164724696674
"2095","ycjQ",6.9662137315952,0.673925406380995,0.921927508904072,0.73099609228725,0.464781539804706,0.523794374930268,4.66160917903141,12.5924341171687,3.99000919182456,6.62080243835618
"2096","baeS",23.0932466897033,0.400326342044673,0.549484377666408,0.728549087682547,0.46627753127883,0.525229604651392,23.308045895157,29.3823462733936,16.2260373800865,23.4565572101762
"2097","ssuA",5.38191198036841,0.763880877881835,1.05309804695263,0.725365392227523,0.468227898451858,0.527175044465826,13.9848275370942,0,3.19200735345964,4.35081303091977
"2098","paaA",5.14984641038082,0.741849304869622,1.02325072595284,0.724992698323099,0.468456509886845,0.527181039009934,4.66160917903141,8.39495607811245,3.19200735345964,4.35081303091977
"2099","hsrA",42.1946773120182,-0.305604558410448,0.425367829128358,-0.718447746828145,0.472481255634889,0.53145700074034,41.9544826112827,33.5798243124498,48.4121115274713,44.832290796869
"2100","ypdD",13.5551953728315,-0.529881328693528,0.739809497512214,-0.716240235459778,0.47384302267602,0.532734941208611,9.32321835806282,12.5924341171687,16.2260373800865,16.0790916360079
"2101","tas",232.064282954845,0.131500018812219,0.185724517189785,0.708038016746301,0.478921649378095,0.53818848842536,233.08045895157,251.848682343373,223.706515354963,219.621475169472
"2102","ybgJ",282.064321748721,-0.124107819167404,0.175486665785238,-0.707220794309739,0.479429278072425,0.538502628700759,284.358159920916,256.04616038243,293.132675292711,294.720291398826
"2103","cadA",18.6199196309303,-0.461829043689557,0.655322283847039,-0.704735753801033,0.480974696680327,0.539981578156088,18.6464367161256,12.5924341171687,25.2700582148888,17.9707494755382
"2104","mdlA",73.9820325111426,0.21604865250308,0.309725604481025,0.697548570016001,0.485459554517202,0.543832277373727,79.2473560435339,79.7520827420683,71.2881642272654,65.6405270317027
"2105","fimZ",3.47759461293967,0.857414391582076,1.22890696725104,0.697704882819597,0.485361773909414,0.543832277373727,9.32321835806282,0,2.12800490230643,2.45915519138944
"2106","yecS",111.653231716481,0.181058132266033,0.259621037245706,0.697393917638034,0.485556306947825,0.543832277373727,102.555401938691,134.319297249799,101.346233472344,108.391994205088
"2107","bglB",6.31946330443789,-0.770793259514121,1.10353345909154,-0.698477470858618,0.484878642368669,0.543832277373727,9.32321835806282,0,6.11801409413098,9.83662076555775
"2108","yjiE",50.9682002273912,-0.271068517543748,0.388065511001968,-0.698512261097002,0.484856892712487,0.543832277373727,37.2928734322513,54.5672145077309,57.7221329750619,54.2905799945206
"2109","yhcC",9.11732300460343,0.563539023171985,0.814632511866262,0.691770847545673,0.489081246955164,0.547520542466165,9.32321835806282,12.5924341171687,5.85201348134268,8.70162606183955
"2110","wzyE",62.8247058139356,-0.241200881249154,0.349680963302108,-0.689774127168506,0.490336241554226,0.548665339483189,60.6009193274083,54.5672145077309,70.4901623889005,65.6405270317027
"2111","qseB",13.4310690980079,-0.510087208484066,0.742208597693799,-0.687255860507431,0.491921508624867,0.550178437642497,9.32321835806282,12.5924341171687,15.1620349289333,16.646588987867
"2112","ydeQ",3.5535652335823,-0.941944316021518,1.37236766415729,-0.686364405561771,0.49248334431947,0.550546011334407,4.66160917903141,0,4.25600980461286,5.29664195068494
"2113","yjbF",1.09949857743571,-1.11384916624968,1.64072758240408,-0.678875139416876,0.497216978992124,0.555574674586089,0,0,2.12800490230643,2.2699894074364
"2114","guaD",50.8638182044119,0.249636770778599,0.372282788585798,0.670556841284288,0.502502884422773,0.561215378487307,55.9393101483769,54.5672145077309,50.0081152042011,42.9406329573386
"2115","ddpB",3.38964456672532,0.805281773983825,1.21307138174399,0.663837088322123,0.506794585177869,0.565740905723381,4.66160917903141,4.19747803905623,1.86200428951813,2.8374867592955
"2116","panF",73.6198976506469,0.206349222022712,0.314390289295327,0.656347314305483,0.511600681105294,0.570836109683175,60.6009193274083,96.5419948982932,69.4261599377473,67.9105164391391
"2117","potG",138.443259769844,-0.161507596806315,0.246426856574448,-0.65539770726054,0.512211727270344,0.571247939577366,144.509884549974,117.529385093574,138.320318649918,153.41345078591
"2118","nrfD",1.07141583865627,-1.0780699384274,1.64862021217941,-0.653922553213296,0.513161702922175,0.572037195750357,0,0,2.39400551509473,1.89165783953034
"2119","fabG",3587.20913966299,0.0552687170493533,0.0850810508985362,0.649600780263801,0.515950128946436,0.57487411724518,3566.13102195903,3744.15041083815,3582.49625303287,3456.05887282192
"2120","paaJ",7.14650548397761,0.587968185087585,0.908741146747817,0.647013934817184,0.517622924866094,0.57646590830606,4.66160917903141,12.5924341171687,4.52201041740116,6.80996822230921
"2121","fucR",101.820574550867,0.178006222155705,0.27536581833973,0.646435433522439,0.517997399106048,0.576610966190184,102.555401938691,113.331907054518,102.676236536285,88.7187526739728
"2122","lolA",305.279638477906,-0.11481669269245,0.179536019180178,-0.639518984640194,0.522485367397818,0.581332682575989,270.373332383822,314.810852929217,335.160772113263,300.773596485323
"2123","fixB",3.44864766596759,-0.88540021890943,1.38758788017833,-0.638085869412207,0.523417784418064,0.581829985822022,4.66160917903141,0,3.45800796624795,5.67497351859101
"2124","tauA",9.2695320182064,0.511029548961829,0.801368675823398,0.637695937436975,0.523671630610672,0.581829985822022,9.32321835806282,12.5924341171687,6.65001531970759,8.51246027788651
"2125","yfbH",8.7173644830256,-0.60485080967555,0.948442025850754,-0.637730924178521,0.523648851620802,0.581829985822022,13.9848275370942,0,8.77802022201402,12.1066101729942
"2126","ycjP",3.43839665678115,0.776845850245376,1.21939721189985,0.63707366448299,0.524076861813249,0.582006336190536,4.66160917903141,4.19747803905623,3.19200735345964,1.7024920555773
"2127","hycE",3.30599278626193,-0.880962639887979,1.38783070972993,-0.634776730123961,0.525574041956865,0.583394599464108,0,4.19747803905623,5.05401164297777,3.97248146301371
"2128","yrbG",101.262019167029,-0.175146207785039,0.277641259896771,-0.630836381632035,0.528147512413043,0.585975693988343,97.8937927596596,92.3445168592369,110.390254307146,104.419512742075
"2129","ibrA",9.3197447523298,0.506818526029235,0.813608691216189,0.622926637216274,0.53333273267428,0.591450719513375,9.32321835806282,12.5924341171687,9.31002144759063,6.05330508649708
"2130","hycC",1.04187245580926,-1.04129918013599,1.67328469536118,-0.622308435033661,0.533739075783677,0.591623454425005,0,0,1.33000306394152,2.8374867592955
"2131","wcaK",5.8257790538647,-0.693274699547029,1.11488017845184,-0.621837855714441,0.534048491481246,0.591688638379738,0,8.39495607811245,9.04402083480232,5.86413930254404
"2132","ydiQ",5.34047283840142,0.626559496260447,1.00926689660503,0.620806546185222,0.534726915604398,0.591884785626809,4.66160917903141,8.39495607811245,4.52201041740116,3.78331567906067
"2133","pstC",85.6835593988516,-0.18935758264578,0.304913678989835,-0.621020294245614,0.5345862704698,0.591884785626809,97.8937927596596,62.9621705858434,89.37620589687,92.5020683530334
"2134","nuoN",345.124298486694,-0.145116544006237,0.234041320531373,-0.620046680973946,0.535227054126925,0.592160766070135,242.403677309633,411.35284782751,319.466735958753,407.273932850881
"2135","ecpD",1.02412439266801,-1.01995260925696,1.66179982695574,-0.613763819632487,0.539371408802171,0.596372931365753,0,0,2.39400551509473,1.7024920555773
"2136","phoE",8.53033944546682,-0.583471966198501,0.951039638508951,-0.613509618919011,0.539539424564697,0.596372931365753,9.32321835806282,4.19747803905623,13.0340300266269,7.56663135812135
"2137","yieE",46.0469016629879,-0.245885809388437,0.403704997902514,-0.609072988112506,0.542476061026558,0.599338315434583,46.6160917903141,37.777302351506,49.4761139786245,50.3180985315069
"2138","yehW",13.7875287151368,0.432939556783999,0.711619163979705,0.608386590325645,0.542931103144128,0.599560493228853,27.9696550741884,4.19747803905623,12.7680294138386,10.2149523334638
"2139","yciV",219.815885835839,0.122268945922505,0.201348704388898,0.607249727747672,0.543685195447603,0.600062566031601,209.772413056413,247.651204304317,223.972515967752,197.867410014873
"2140","yrbC",530.59188868886,0.0925395678313504,0.152470316836669,0.606934974303763,0.543894066627542,0.600062566031601,606.009193274083,491.104930569578,485.185117725866,540.068313185911
"2141","yjdL",22.8896735059646,-0.346323379706278,0.574247242733091,-0.603091062410635,0.546448111817086,0.602598781877693,27.9696550741884,12.5924341171687,25.2700582148888,25.7265466176126
"2142","yihP",9.37444958582111,0.477502095246329,0.793260002927132,0.601949037496337,0.547208061035972,0.603155103690911,9.32321835806282,12.5924341171687,7.4480171580725,8.13412870998045
"2143","yaaU",5.31980348712503,0.620046188257814,1.03405632661591,0.599625158028868,0.548756076722492,0.604579140056838,4.66160917903141,8.39495607811245,2.92600674067134,5.29664195068494
