	CMCP6_HS1	CMCP6_HS2	CMCP6_YJ016ref_HS1	CMCP6_YJ016ref_HS2
VV1_RS05120	7557	8691	7535	8619
VV1_RS05125	5983	5045	5759	4844
VV1_RS05135	1583	979	1479	903
VV1_RS05170	34856	2989	33086	2827
VV1_RS05175	30284	2321	30243	2318
VV1_RS05180	2846	497	2845	497
VV1_RS05185	3831	824	3721	812
VV1_RS05200	51	124	51	124
VV1_RS05220	280	498	280	498
VV1_RS05225	170	245	169	231
VV1_RS05230	497	510	492	502
VV1_RS05235	417	566	378	503
VV1_RS05240	120	882	114	853
VV1_RS05250	325	1448	327	1446
VV1_RS05255	233	430	245	508
VV1_RS05275	4052	18958	4033	18805
VV1_RS05280	1767	1412	1564	1262
VV1_RS05285	6275	4294	6194	4246
VV1_RS05295	1261	1818	1250	1802
VV1_RS05300	127	280	123	275
VV1_RS05310	563	10618	566	10433
VV1_RS05330	96	144	95	148
VV1_RS05335	1160	2725	1157	2685
VV1_RS05340	1501	2371	1156	2095
VV1_RS05370	15908	7462	15919	7459
VV1_RS05380	679	670	571	600
VV1_RS05390	114	189	94	160
VV1_RS05400	250	1021	249	1020
VV1_RS05415	5733	11142	5732	11136
VV1_RS05420	906	1508	906	1507
VV1_RS05430	328	669	328	668
VV1_RS05440	2791	2023	2787	2010
VV1_RS05450	337	945	334	937
VV1_RS05470	127	607	124	607
VV1_RS05495	2362	2484	2419	2584
VV1_RS05500	325	282	326	282
VV1_RS05505	2246	1673	2228	1659
VV1_RS05510	9931	8600	9825	8542
VV1_RS05520	739	716	738	712
VV1_RS05540	2288	956	2253	937
VV1_RS05545	6875	3422	6873	3419
VV1_RS05550	11956	5604	11799	5586
VV1_RS05555	1792	1821	1743	1731
VV1_RS05560	1504	2208	1502	2207
VV1_RS05570	1323	1129	1292	1090
VV1_RS05580	51	75	43	71
VV1_RS05585	240	798	240	798
VV1_RS05655	1235	2235	1234	2232
VV1_RS05660	1191	1217	1189	1214
VV1_RS05725	25810	9056	25483	8856
VV1_RS05745	318	228	318	227
VV1_RS05760	730	679	722	653
VV1_RS05770	995	17280	993	17265
VV1_RS05780	1293	4613	1293	4620
VV1_RS05785	2052	536	2040	533
VV1_RS05800	309	271	300	263
VV1_RS05810	1113	1257	1113	1257
VV1_RS05820	599	404	601	403
VV1_RS05835	480	546	473	540
VV1_RS05840	69	67	69	67
VV1_RS05845	101	128	99	123
VV1_RS05850	91	852	91	849
VV1_RS05855	1584	2563	1582	2553
VV1_RS05875	246	261	244	261
VV1_RS05885	35	74	34	74
VV1_RS05890	646	2453	634	2394
VV1_RS05900	184	15155	175	13823
VV1_RS05930	2788	9159	2780	9158
VV1_RS05950	67	142	64	133
VV1_RS05975	608	244	605	244
VV1_RS05985	2601	934	2199	755
VV1_RS06000	1999	15849	2122	15860
VV1_RS06005	33062	106812	30205	101684
VV1_RS06010	308	384	276	368
VV1_RS06020	1406	2937	1400	2924
VV1_RS06025	5620	2027	5341	1884
VV1_RS06030	1705	4382	1733	4278
VV1_RS06035	878	1461	672	1216
VV1_RS06060	68197	14215	67192	13663
VV1_RS06065	250	898	245	870
VV1_RS06070	650	6140	647	6079
