	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2
mglA	561	465	6085	5389
mglB	1455	1112	24056	21562
galS	100	78	968	742
yeiB	348	188	164	143
folE	2469	1301	800	835
frmC	383	182	612	514
cirA	8202	2689	1873	1567
lysP	5929	3858	1854	1686
yeiE	182	109	285	229
yeiH	200	107	260	206
nfo	304	206	308	273
yeiJ	59	35	131	113
rihB	13	4	64	56
yeiL	19	18	112	57
yeiC	4	1	53	37
fruA	859	604	1209	1032
fruK	476	286	557	463
fruB	473	293	489	468
setB	36	21	50	52
yeiQ	229	135	200	167
yeiR	237	208	182	165
yeiU	386	323	141	100
rtn	310	189	375	300
yejB	89	69	150	149
yejE	123	105	169	130
yejF	314	199	392	384
bcr	298	189	259	195
rsuA	449	301	274	251
yejH	63	39	45	40
yejK	1479	1099	1134	1066
yejM	780	509	870	674
narP	241	196	323	328
ccmH	174	179	307	322
ccmF	283	293	374	363
ccmC	93	99	139	129
ccmB	68	57	64	82
ccmA	66	80	146	141
napC	95	121	220	215
napH	43	59	128	115
napG	44	64	126	117
napA	305	404	684	736
mqo	1095	694	128	116
yojI	953	624	703	603
alkB	23	20	28	24
ada	69	44	132	105
yojL	49	38	80	71
rcsB	1923	1343	2425	2217
rcsC	915	671	952	814
yfaP	13	3	17	15
yfaQ	29	22	59	48
yfaT	1	2	4	2
gyrA	8946	6396	8148	7428
ubiG	443	277	485	416
nrdA	2307	1368	1833	1639
nrdB	1607	1123	1635	1512
inaA	301	187	283	236
glpQ	331	247	3210	2701
glpT	100	59	1575	1240
glpA	20	13	21	22
glpB	14	10	18	12
glpC	23	14	46	31
yfaY	333	223	297	246
ais	146	85	143	146
yfbE	547	374	1415	1130
yfbF	144	76	259	247
yfbG	360	251	717	623
yfbH	123	84	326	303
arnT	146	103	406	335
menE	341	266	278	235
menC	437	291	368	370
menB	780	557	666	651
yfbB	160	142	168	146
menD	252	199	311	286
menF	325	237	353	326
elaC	145	91	171	135
nuoN	2334	1580	2747	2429
nuoM	2164	1484	2474	2212
nuoL	3941	2699	4454	3970
nuoH	2602	1883	2765	2530
nuoG	8739	6362	9240	8690
nuoF	3788	2804	4013	3693
nuoC	4672	3515	5491	5075
nuoB	2457	1674	3580	3292
lrhA	636	565	3181	2811
yfbQ	690	464	1434	1392
yfbS	205	139	442	395
yfbT	1907	1345	1081	885
ackA	2302	1554	3601	3501
pta	3849	2537	5469	5214
yfcF	111	58	108	88
yfcG	13	11	24	19
yfcH	691	437	702	662
hisP	1338	909	1140	1099
hisM	1094	758	954	866
hisQ	2094	1634	2443	2162
hisJ	10536	7580	11776	10555
purF	4608	3337	2409	2228
dedD	569	370	634	512
folC	1061	762	943	868
accD	5631	4128	5512	4702
truA	625	456	557	517
usg	1225	873	997	968
pdxB	1379	1008	1029	998
flk	289	199	279	205
yfcJ	153	92	57	59
fabB	7074	4692	9821	9027
trmC	369	260	382	306
yfcA	380	290	328	345
mepA	537	354	425	376
aroC	1742	1084	1327	1119
prmB	1284	842	1277	1135
yfcY	85	51	853	796
fadL	1106	682	1081	1006
vacJ	1243	984	1645	1404
yfdC	23	31	68	40
dsdA	131	90	98	98
emrY	18	14	13	8
emrK	19	14	11	10
evgA	460	361	143	139
yfdE	25	23	41	26
yfdV	11	14	14	24
oxc	45	25	51	64
frc	60	31	43	62
yfdX	18	17	29	37
ddg	34	39	43	32
yfdZ	855	536	866	788
ypdA	140	99	137	89
ypdB	165	124	196	164
ypdC	54	40	69	41
ypdD	56	53	103	90
ypdE	13	3	28	30
ypdF	16	15	53	38
ypdG	17	9	47	38
glk	937	614	984	828
yfeO	70	50	116	103
mntH	451	302	416	382
nupC	2371	1823	2472	2140
yfeA	399	356	563	448
gltX	3307	2523	2310	2143
yfeR	91	66	116	100
yfeH	725	454	515	410
ligA	884	591	916	802
zipA	2879	1965	3328	3112
cysZ	168	150	387	303
cysK	20013	15004	18922	18332
ptsI	32290	22767	25773	23771
pdxK	687	492	558	577
cysM	2579	1704	1398	1433
cysA	2950	1875	1940	1963
cysW	1682	1064	1217	1095
cysU	1347	915	854	823
cysP	3181	2024	2337	2011
ucpA	816	517	7036	6406
yfeT	53	53	139	128
yfeU	108	54	269	218
murP	51	56	230	198
murQ	87	74	402	370
yfeX	924	687	864	780
amiA	461	302	397	299
hemF	195	127	176	134
yfeG	46	15	61	59
eutL	36	31	59	45
eutC	17	19	53	52
eutB	38	30	86	93
eutA	6	7	28	28
eutH	21	10	54	40
eutG	7	6	25	23
eutJ	5	2	7	10
eutE	10	5	17	25
eutI	9	10	137	116
eutT	11	7	86	84
eutQ	7	9	121	115
maeB	3700	2499	18584	18886
talA	150	106	375	298
tktB	174	116	275	235
ypfG	27	24	135	137
aegA	54	45	102	100
narQ	136	115	212	200
acrD	123	88	193	188
dapE	983	738	707	721
ypfH	178	158	234	237
ypfJ	669	494	671	531
purC	3831	2825	3751	3274
nlpB	4939	3500	5250	4800
dapA	5699	4011	6314	5828
hyfA	4	3	4	5
hyfC	3	6	5	10
hyfD	6	3	9	9
hyfE	6	2	7	0
hyfG	13	13	19	20
hyfI	6	6	14	8
perM	263	196	320	245
yfgC	855	606	1642	1487
hda	558	414	436	356
uraA	1187	918	576	554
upp	3026	2098	2141	2143
purM	4147	2809	2791	2517
purN	1075	751	499	460
ppk	847	600	915	784
ppx	713	474	659	605
yfgF	68	56	110	89
guaA	4792	3023	2036	1880
guaB	3819	2538	1433	1247
xseA	516	294	253	215
der	1867	1396	1605	1421
yfgL	4077	2966	4217	3794
yfgM	1867	1365	1800	1712
hisS	4259	2941	3265	2891
ispG	1636	1213	1607	1445
yfgA	1253	822	1339	1118
yfgB	1216	841	1031	948
pbpC	131	80	229	195
sseA	591	336	2619	2158
sseB	571	349	592	489
pepB	1247	683	1578	1384
hscA	2196	1199	1698	1661
iscS	6003	3204	7660	8281
yfhQ	574	341	488	388
suhB	1684	1323	878	721
yfhR	22	13	25	26
hcaT	136	77	299	216
hcaR	506	357	5498	4341
hcaE	21	13	43	37
hcaB	13	7	29	29
yphB	29	24	69	65
yphC	27	19	82	56
yphD	9	2	35	31
yphE	26	22	114	98
yphF	13	10	112	93
yphH	126	93	187	160
glyA	22427	15714	16726	15274
hmp	386	296	963	832
yfhA	424	326	444	335
yfhG	317	238	286	262
yfhK	395	241	477	374
yfhD	241	194	184	168
yfhB	212	187	242	200
yfhH	143	123	272	217
pdxJ	1201	850	1408	1266
recO	474	341	339	352
era	1511	1018	1106	949
rnc	1018	691	691	590
lepB	1660	1136	1490	1339
lepA	4341	3036	3573	3253
rseB	873	647	1648	1264
rseA	2194	1616	7225	5984
yfiC	192	135	218	200
srmB	506	280	327	287
yfiE	93	70	125	120
ung	340	274	391	341
yfiF	970	675	737	683
yfiP	70	62	74	49
yfiQ	405	335	3946	3295
pssA	2042	1401	4029	3503
kgtP	795	563	4746	4081
clpB	3454	2614	5540	5135
yfiH	328	257	179	159
rluD	671	483	561	498
yfiO	2593	1901	3585	3271
pheA	1982	1349	883	849
tyrA	4932	3013	1470	1481
aroF	5935	4057	2007	1884
yfiN	87	54	107	78
trmD	24226	17483	16382	15633
ffh	1920	1287	1428	1321
ypjD	361	225	348	278
yfjD	495	366	582	470
yfjB	226	168	315	279
recN	255	167	309	271
gabT	82	57	1048	820
gabP	28	18	262	229
csiR	166	109	338	227
nrdF	164	68	106	71
proV	793	461	283	225
proW	295	161	76	92
proX	412	201	248	223
ygaZ	780	478	597	490
emrA	405	304	141	123
emrB	321	261	135	139
gshA	2460	1838	2255	2150
alaS	14322	9894	11708	11123
recA	3395	2377	3726	3311
mltB	184	103	106	91
srlE	15	4	31	34
srlD	82	57	92	93
srlR	201	116	412	347
gutQ	205	153	420	347
norV	13	3	24	17
norW	22	11	17	17
ascG	338	238	419	359
ascF	16	13	35	41
hycG	37	17	64	56
hycE	17	4	21	22
hycD	6	7	8	5
hycC	7	12	12	11
hycB	5	1	2	2
hypB	54	36	126	105
hypD	65	60	121	107
hypE	79	65	100	99
fhlA	74	52	87	84
mutS	692	471	656	589
ygbI	233	166	701	596
ygbJ	16	14	62	35
ygbK	39	27	83	56
ygbL	21	12	28	27
ygbM	31	25	48	34
ygbN	30	20	64	35
nlpD	11162	8193	40216	35415
pcm	670	415	632	533
surE	720	461	570	503
truD	1282	847	1164	1052
ispD	624	423	468	424
cysC	2209	1373	1011	867
cysN	8430	5542	3931	3748
cysD	4831	3141	1964	1837
iap	199	152	230	202
cysH	4612	3377	2368	2318
cysI	9685	6504	4546	4707
cysJ	6920	4520	2541	2493
ygcQ	37	24	38	30
ygcR	8	11	21	22
ygcS	9	6	10	9
ygcU	31	21	99	111
ygcW	13	9	71	59
yqcE	26	28	66	64
ygcF	498	411	473	429
eno	33637	26255	13729	12550
pyrG	6889	5208	3528	3354
mazG	609	520	818	662
relA	2610	1868	3245	2915
barA	532	443	605	521
gudD	112	77	174	153
gudX	48	45	94	81
gudP	11	16	40	45
truC	202	116	181	123
queF	693	493	673	534
ygdH	736	439	1449	1239
sdaC	412	283	117	100
sdaB	210	175	112	96
exo	148	112	272	231
fucO	96	69	4493	3809
fucA	19	13	887	756
fucP	10	13	153	110
fucI	74	35	418	400
fucK	92	63	277	269
fucR	354	241	2031	1791
ygdE	540	422	549	490
gcvA	274	182	284	243
csdA	309	202	237	195
ygdL	356	219	295	279
mltA	1331	959	2118	1791
amiC	856	709	560	467
argA	7972	5541	2756	2681
recD	700	490	569	517
ptr	961	719	1278	1115
recC	732	485	758	617
thyA	1011	665	699	658
lgt	599	350	470	386
ptsP	1445	962	1402	1164
mutH	150	108	257	201
ygdQ	111	68	128	92
tas	582	359	457	477
ygeD	283	185	345	333
aas	872	543	1065	940
galR	257	175	281	243
lysA	1853	1221	933	865
lysR	92	49	91	68
ygeA	205	125	284	202
araE	349	284	380	333
kduD	60	50	118	90
kduI	45	37	99	78
yqeF	1173	817	6353	5556
yqeG	70	58	106	79
yqeH	14	15	47	22
yqeI	33	30	42	21
ygeH	5	6	10	6
ygeR	460	290	657	611
xdhA	61	36	355	347
xdhB	17	14	122	111
ygeV	148	118	2790	2293
ygeW	12	4	49	40
ygeX	17	16	58	31
ygeY	9	9	47	41
hyuA	14	10	24	22
yqeA	32	31	99	65
yqeB	36	23	336	297
yqeC	5	3	217	177
ssnA	13	4	33	16
ygfM	13	8	12	28
xdhD	61	55	122	118
ygfO	27	20	36	46
guaD	127	121	201	167
ygfT	56	36	147	170
ygfU	3	8	111	75
lysS	5423	3784	3967	3484
prfB	4244	2911	2960	2705
recJ	1209	879	739	633
dsbC	783	571	651	591
xerD	653	450	589	519
ygfZ	909	570	1066	919
yqfA	116	90	204	179
bglA	1198	827	926	885
ygfF	33	29	19	24
gcvP	2529	1899	1126	986
gcvT	2242	1700	907	787
visC	525	365	469	406
serA	22724	15304	5919	5939
rpiA	1453	1058	1560	1498
argP	565	401	514	448
yliK	48	33	58	39
argK	10	13	10	16
ygfG	11	5	19	16
ygfH	30	28	48	49
ygfI	47	44	118	76
yggE	430	334	548	507
argO	124	78	140	122
mscS	2076	1593	771	688
fbaA	13947	10631	10477	10134
pgk	11509	8717	8986	8268
epd	2469	1738	1618	1544
yggF	13	7	17	13
cmtA	16	10	40	31
tktA	7882	4872	9907	8983
yggG	1100	875	2400	2113
speB	875	569	471	377
speA	8625	5938	6825	6755
metK	9908	6580	4886	4353
galP	161	121	65	63
endA	76	60	19	22
yggJ	372	246	309	293
gshB	804	496	794	748
yggS	417	304	381	356
yggW	477	363	359	327
yggM	29	21	101	90
ansB	67	47	143	151
yggN	469	360	534	540
yggH	1216	908	743	621
mutY	414	296	174	164
mltC	456	277	343	278
nupG	164	134	3086	2437
yqgA	30	23	40	34
yghK	29	25	492	401
glcF	52	30	1500	1322
glcD	32	23	1253	1135
glcC	153	96	2282	1797
ECIAI1_3132	11	9	22	21
yghR	10	8	18	8
yghS	9	11	16	17
yghT	3	6	9	9
pitB	38	28	45	27
gss	1035	771	642	577
yghU	595	390	1587	1348
hybC	342	252	611	628
hybB	39	52	147	156
hybA	31	18	129	146
hybO	65	51	192	188
yghZ	213	123	1932	1691
yghA	15	5	21	18
exbB	2937	1655	2103	1708
metC	1476	1052	1378	1250
yghB	256	181	286	246
yqhC	116	70	137	108
yqhD	343	191	462	424
dkgA	84	58	212	170
yqhG	48	25	69	39
ygiQ	831	532	341	309
sufI	761	512	628	496
plsC	394	285	370	263
parC	1750	1254	1330	1241
qseB	126	110	145	128
parE	1969	1455	1529	1477
cpdA	869	603	1837	1479
nudF	423	296	451	382
tolC	2906	1609	2151	2089
ygiC	2218	1640	2848	2715
ygiE	393	272	613	526
ribB	570	431	592	554
yqiJ	18	13	43	42
yqiK	36	18	113	75
rfaE	1730	1170	1489	1356
htrG	246	164	815	753
cca	414	284	630	522
bacA	573	524	492	417
plsY	212	126	205	155
ygiP	34	33	33	30
ttdA	10	6	7	6
ttdB	8	5	9	5
ygjE	27	31	24	19
gcp	556	394	417	360
dnaG	2041	1460	1768	1577
rpoD	4349	2783	5243	4819
yqjH	277	102	135	101
yqjI	194	135	112	120
aer	115	106	174	123
ygjG	65	45	107	90
ebgR	83	46	101	76
ygjI	5	4	15	19
ygjJ	7	4	7	3
ygjK	24	18	40	27
ygjO	264	182	125	102
ygjQ	19	18	30	26
ygjR	161	108	756	658
alx	63	48	27	34
sstT	1857	1274	2654	2279
uxaA	326	187	345	333
uxaC	347	178	488	406
exuT	141	87	402	362
exuR	487	346	558	482
yqjA	371	263	373	303
yqjG	85	52	83	79
yhaJ	536	352	501	477
yhaK	32	25	58	45
yhaM	76	57	81	81
yhaO	31	26	54	47
tdcG	45	37	103	73
tdcE	207	140	490	431
tdcD	13	18	141	103
tdcC	89	72	446	342
tdcB	9	8	225	155
tdcA	8	9	185	128
garK	73	55	131	99
garR	53	49	176	146
garL	12	12	42	34
garP	44	23	82	56
garD	63	45	482	404
agaR	383	352	528	443
kbaZ	27	13	88	98
agaS	18	9	22	19
kbaY	10	11	26	18
agaC	8	12	18	13
agaD	14	9	30	22
agaI	19	17	15	19
yraI	6	7	15	13
yraL	383	230	346	315
yraQ	321	234	367	301
yraR	66	38	82	75
yhbU	22	29	43	30
yhbV	29	32	30	26
yhbW	118	76	62	57
mtr	347	210	310	245
deaD	1747	1297	776	734
nlpI	3871	3012	5728	4807
pnp	11016	7951	12633	11762
truB	1389	1104	995	1009
infB	16318	12137	12568	12430
nusA	6532	4770	5342	5182
argG	15664	11641	4183	4073
yhbX	69	47	74	64
glmM	2130	1454	1802	1763
folP	513	304	395	406
ftsH	11824	8288	10765	9667
rrmJ	1755	1199	2357	2069
dacB	243	132	156	122
obgE	1345	933	1176	1060
yhbE	636	453	457	363
ispB	1209	880	978	903
murA	3253	2099	2315	2330
yrbC	1273	898	1229	1153
yrbE	938	701	640	560
yrbF	1269	965	950	900
yrbG	382	227	338	282
kdsD	1112	793	1037	1013
lptB	1135	809	1199	1094
rpoN	3074	2171	4766	4073
yhbJ	936	655	981	818
yrbL	2288	1497	2651	2484
mtgA	437	298	662	608
elbB	870	656	1418	1267
arcB	829	611	1550	1403
yhcC	24	16	20	23
gltB	16360	9971	2349	2495
gltD	8058	5349	1313	1308
nanE	32	11	132	127
nanT	32	25	293	208
nanA	67	43	211	179
nanR	484	387	573	403
dcuD	31	20	68	42
sspA	2879	2108	2457	2199
degQ	730	541	1057	923
degS	373	256	351	264
mdh	16193	11565	28976	26620
aaeB	37	34	53	51
aaeA	56	41	62	58
aaeR	121	82	93	68
tldD	1236	865	944	863
rng	1244	852	981	894
mreC	620	425	411	339
mreB	2562	1622	2280	2270
csrD	507	385	1086	973
yhdH	548	356	1092	1049
accC	7404	5309	7193	7198
panF	255	184	172	168
prmA	575	393	408	382
dusB	5549	4377	4212	3724
yhdJ	51	48	81	86
envR	19	13	32	16
acrE	9	13	22	11
acrF	198	144	229	189
aapQ	35	26	64	49
aapP	38	28	106	86
aroE	613	474	475	417
smf	377	279	757	645
fmt	1236	825	1003	918
rsmB	563	420	496	449
trkA	524	423	490	456
rpoA	72728	52971	41803	39530
rpsD	47661	35056	29833	28012
secY	63778	48810	39647	38127
rpsC	41711	30497	24030	24096
rplB	44418	33293	24211	24319
rplD	36653	27363	19199	18662
rplC	46335	34264	24179	24243
tufA	128693	94285	96211	89262
fusA	100410	75567	58585	56492
yheO	920	721	991	787
fkpA	5998	4603	8453	7456
kefB	288	176	338	301
yheS	695	499	491	446
yheT	237	148	167	141
prkB	275	190	354	325
crp	2706	1764	4021	3524
yhfK	763	449	634	543
argD	4534	3085	1745	1601
fic	47	39	53	57
tsgA	203	124	58	45
nirB	94	152	77	48
nirC	32	20	24	22
cysG	663	434	634	520
frlA	12	7	17	13
frlB	15	7	11	11
frlC	25	16	28	31
frlD	19	20	34	38
frlR	135	68	145	134
yhfS	32	24	53	38
yhfT	21	15	53	49
php	13	11	21	20
yhfZ	187	168	376	351
trpS	3029	2008	2175	1973
gph	933	621	665	695
rpe	821	620	837	757
dam	682	500	569	511
aroB	4198	3254	3256	2996
hofQ	27	19	94	86
yrfD	36	33	119	107
mrcA	1835	1319	1121	927
igaA	660	458	1078	954
yrfG	427	293	328	289
hslO	1079	687	706	679
pck	2084	1547	30557	27715
envZ	341	200	656	510
ompR	595	365	1388	1210
yhgF	2625	1679	1595	1470
feoB	1245	759	1216	1113
yhgA	48	46	51	49
bioH	262	183	209	147
gntX	217	143	218	175
gntT	1089	857	2017	1899
malQ	718	523	1255	1203
malP	1050	782	1325	1231
malT	3693	2658	16032	13690
rtcB	83	51	62	66
glpG	582	442	405	341
glpD	43	47	81	83
glgP	4562	3088	7656	6802
glgA	2465	1644	3890	3531
glgC	2791	1781	4335	4263
glgX	2978	2053	3686	3496
glgB	6267	4361	6931	6372
asd	11939	7537	4625	4518
gntU	110	88	98	69
gntR	266	154	234	225
yhhW	130	94	168	161
yhhX	717	483	709	619
yhhZ	3	0	6	5
ggt	48	32	70	41
ugpC	63	28	160	161
ugpE	11	10	62	72
ugpA	16	9	44	50
ugpB	126	85	895	753
livF	989	691	902	847
livG	1179	805	1056	832
livM	1933	1313	1682	1459
livH	1792	1263	1850	1687
livK	3550	2507	4774	4384
livJ	12210	7523	16109	14481
rpoH	2145	1510	4340	3933
ftsX	936	659	995	844
ftsE	681	452	553	521
ftsY	2230	1622	2306	1991
yhhN	238	124	165	167
yhhQ	67	52	71	63
yhhS	151	108	71	73
yhhT	52	33	70	56
nikA	28	12	32	22
nikB	9	7	13	12
nikC	8	6	13	8
nikD	8	3	10	6
nikE	11	8	10	8
yhhI	406	388	889	558
yhhJ	507	434	1294	1173
rbbA	1030	773	2006	1796
yhiI	948	662	1899	1743
yhiM	57	55	62	60
yhiN	489	352	271	214
pitA	1999	1364	1355	1249
yhiP	32	29	47	34
yhiQ	116	67	73	69
prlC	1306	733	1028	1003
yhiR	170	94	122	99
gor	1092	716	908	795
arsB	44	32	57	42
yhiD	27	15	33	27
mdtE	21	19	18	7
mdtF	120	63	97	87
gadW	184	118	36	28
gadX	271	290	89	66
gadA	149	109	159	140
yhjA	65	43	81	63
treF	83	48	78	75
yhjB	49	40	59	44
yhjC	114	80	70	68
yhjD	68	57	57	51
yhjE	3927	2299	2219	2001
yhjG	62	40	48	66
yhjH	9	10	15	20
kdgK	240	156	289	263
yhjJ	584	418	965	795
dctA	425	284	7155	6717
yhjK	410	266	394	352
bcsC	659	407	668	597
bcsZ	151	116	227	184
bcsB	330	173	312	310
bcsA	440	305	425	389
bcsE	292	184	338	255
bcsG	135	93	171	157
yhjV	164	119	179	140
dppF	425	319	624	579
dppD	470	363	839	727
dppC	434	358	681	718
dppB	485	407	879	825
dppA	5704	4310	16999	15663
eptB	118	100	883	662
yhjX	18	12	29	23
yhjY	61	38	76	62
yiaD	151	113	116	77
tiaE	1031	566	601	518
yiaF	1781	1420	2103	1932
glyS	5689	4037	4552	4214
glyQ	2547	1891	1891	1721
yiaH	79	58	65	48
xylB	118	69	250	209
xylA	83	49	356	304
xylF	32	22	674	617
xylG	36	29	375	288
xylH	61	45	255	195
xylR	211	146	507	411
bax	2277	1573	15891	13900
avtA	1443	1001	1216	1063
yiaJ	408	308	236	200
yiaK	13	8	96	102
yiaN	5	4	28	32
yiaO	2	1	94	72
sgbH	2	4	64	61
sgbU	7	3	92	78
sgbE	12	6	77	60
yiaT	18	16	30	36
yiaU	84	46	111	84
yiaV	19	20	30	21
aldB	37	27	428	314
yiaY	25	21	52	59
selB	1256	886	943	905
selA	586	404	402	351
yibF	188	121	206	173
yibH	26	24	68	56
mtlA	574	384	1701	1312
mtlD	539	413	753	659
lldP	128	84	327	264
lldR	76	57	126	93
lldD	149	78	180	169
cysE	848	529	1137	1031
gpsA	1742	1169	2357	2234
gpmI	2250	1665	514	467
envC	842	587	600	453
yibQ	313	234	238	207
yibD	32	14	78	38
tdh	211	141	437	357
kbl	233	192	553	472
waaD	1239	810	991	854
waaF	990	724	809	712
kdtA	543	334	591	493
mutM	192	156	190	144
yicR	839	640	813	696
dfp	507	277	414	398
pyrE	952	747	337	300
yicC	1143	780	938	865
yicG	5	4	14	5
ligB	41	31	89	73
gmk	1005	652	735	637
spoT	3072	2074	1841	1600
trmH	513	342	285	278
gltS	556	439	335	268
yicE	1309	769	605	523
yicH	720	511	1059	888
yicI	89	53	113	93
yicJ	22	20	58	37
setC	16	11	21	11
yicL	305	226	331	259
nlpA	1815	1282	984	944
yicM	102	81	34	20
uhpT	12	11	115	81
uhpC	93	54	39	39
uhpB	174	128	105	63
ilvB	1855	1159	2187	2505
emrD	6	7	26	12
yidJ	39	25	128	101
yidK	8	3	46	30
yidL	39	26	120	109
yidP	25	16	26	18
yidE	501	389	1639	1436
yidR	214	147	336	276
cbrA	20	6	32	33
dgoT	27	13	89	51
dgoD	43	31	168	132
dgoA	17	15	59	57
dgoR	130	116	308	319
yidX	95	99	167	92
yidA	422	233	220	170
gyrB	3642	2529	2625	2513
recF	443	348	198	173
dnaN	1049	786	854	699
dnaA	1771	1215	1546	1346
yidC	5152	3553	4049	3768
trmE	497	351	427	374
tnaA	71	44	1184	993
tnaB	16	9	109	95
mdtL	33	20	21	17
yidZ	125	78	119	77
yieE	139	81	408	330
yieH	250	193	248	186
yieK	40	28	35	32
yieL	23	29	45	37
bglH	17	8	22	26
bglB	16	9	18	17
bglG	5	4	30	19
phoU	437	351	977	886
pstB	441	325	819	682
pstA	145	106	211	169
pstC	165	131	245	185
pstS	405	288	760	667
glmS	7380	5414	2860	2647
glmU	5782	4129	2669	2443
atpD	27211	18697	26002	24286
atpG	16672	11309	15487	14304
atpA	41597	29737	39671	37096
atpB	13608	9902	15310	14055
gidB	326	264	247	214
gidA	1981	1387	1094	1017
asnA	2223	1312	786	691
yieM	244	195	244	197
ravA	259	196	225	229
trkD	426	268	332	263
rbsA	212	145	414	358
rbsC	142	88	586	411
rbsB	789	867	9857	7878
rbsK	415	289	1659	1493
rbsR	181	138	484	390
hsrA	98	90	119	90
yieP	251	209	170	149
hdfR	310	228	313	289
yifB	36	38	67	54
ilvE	9807	6367	6079	6109
ilvD	10524	6609	6268	5972
ilvA	6150	3840	3408	3150
ilvY	184	99	132	124
ilvC	22146	16004	8549	8392
rep	748	519	560	463
gpp	1195	702	1002	885
rhlB	2450	1589	2006	1733
rho	3096	1809	2606	2270
rfe	1117	864	972	826
wzzE	947	658	786	664
rffE	805	588	430	378
rffD	828	554	475	379
rffG	678	375	409	362
rffH	434	305	282	265
rffC	208	171	141	131
rffA	435	297	348	306
wzxE	383	232	258	225
rffT	306	225	216	185
wzyE	197	174	136	149
rffM	216	155	173	151
yifK	1049	729	597	578
hemY	1491	965	2186	1892
hemX	1544	1008	2366	2165
hemD	507	293	632	577
hemC	766	487	820	749
cyaA	2857	1891	1208	1080
dapF	814	535	705	572
yigA	470	310	462	365
xerC	563	371	452	409
yigB	318	210	249	274
uvrD	702	453	652	557
yigE	60	38	57	44
corA	981	689	1183	1059
rarD	154	106	114	113
pldA	887	643	842	711
recQ	807	511	605	527
rhtC	393	294	453	350
rhtB	216	153	285	240
pldB	385	283	389	311
yigL	260	165	196	179
yigM	171	121	151	110
metR	486	355	592	457
ysgA	838	530	3022	2750
udp	920	562	4260	3815
rmuC	189	159	676	567
ubiE	1144	818	1179	1119
yigP	714	452	779	649
ubiB	1104	741	1075	1007
tatC	1136	836	744	646
tatD	265	193	204	141
ubiD	1677	1148	2652	2179
fre	1010	728	1476	1271
fadA	118	73	2276	1971
fadB	269	171	6971	6022
pepQ	2141	1448	3311	3112
yigZ	290	214	388	390
trkH	559	380	544	455
yihE	1016	766	924	871
dsbA	2169	1615	2466	2219
yihG	111	89	91	66
polA	1535	1066	2405	2134
hemN	1031	695	977	795
glnG	818	555	312	271
glnL	676	427	206	175
glnA	8991	6186	4268	4189
bipA	11721	8297	4874	4531
yihL	82	56	107	85
yihM	106	89	187	181
yihN	55	48	94	111
ompL	7	6	3	5
yihO	6	8	24	16
yihP	12	15	53	37
yihQ	35	17	89	80
yihS	69	36	172	161
yihT	29	20	90	106
yihU	14	12	41	34
yihV	30	25	111	86
yihW	257	164	516	416
rbn	203	171	518	459
yiiD	658	431	816	755
fdhE	385	224	611	527
fdoI	107	73	269	269
fdoH	180	128	504	441
fdoG	1371	957	3740	3451
fdhD	213	191	298	257
frvB	11	6	11	17
rhaD	19	6	16	18
rhaA	5	5	15	8
rhaS	22	22	257	189
rhaR	31	22	286	200
sodA	16891	8516	19138	14676
kdgT	31	25	126	106
yiiM	272	187	303	254
cpxA	1515	1085	1603	1405
cpxR	1327	972	1636	1375
fieF	708	510	573	525
pfkA	3175	2168	1569	1384
sbp	846	642	427	473
cdh	263	176	113	117
tpiA	6248	4380	5094	4892
fpr	597	325	674	517
glpX	182	116	195	159
glpK	139	116	1685	1390
glpF	20	17	490	355
menA	412	286	303	302
hslU	1943	1312	1718	1775
ftsN	673	488	657	561
cytR	496	319	447	391
yiiX	57	50	127	116
metB	1493	954	1344	1168
metL	2673	1705	1768	1537
metF	7118	5254	3173	2722
katG	3493	2505	8468	7404
yijE	55	47	96	76
yijF	8	5	19	10
gldA	102	81	348	338
fsaB	23	13	52	63
ptsA	27	26	75	69
frwC	19	8	98	76
pflD	58	35	135	116
pflC	27	9	46	54
yijO	31	20	53	28
yijP	1544	942	943	884
ppc	7041	4003	2301	2123
argE	2180	1392	802	748
argC	3930	2741	1225	1076
argB	2768	1832	876	916
argH	5937	3977	1744	1617
oxyR	1281	847	1288	1168
sthA	1007	738	3528	2967
fabR	857	661	1808	1534
trmA	570	362	554	474
btuB	1492	1072	1435	1257
murI	248	154	279	269
murB	881	693	1064	964
birA	494	325	550	471
coaA	724	550	990	868
tufB	129863	95058	98636	91204
rplA	30120	21880	15297	15336
rpoB	39413	27910	34632	31699
rpoC	41848	29584	38008	35815
thiH	3502	1929	2552	2018
thiG	2501	1272	1904	1456
thiF	3127	1647	2112	1613
thiE	2597	1340	1847	1436
thiC	10766	6125	7550	5897
nudC	375	241	250	220
hemE	815	484	581	547
nfi	276	200	259	215
yjaH	427	310	762	568
zraR	212	148	340	328
purD	1842	1258	868	775
purH	1836	1186	790	677
metA	4367	3113	3606	3032
aceA	471	325	3848	3644
aceK	88	52	503	473
iclR	314	214	269	238
metH	8389	5344	6322	5731
yjbB	285	237	340	246
pepE	142	111	1278	1107
yjbC	739	453	711	601
lysC	7796	4633	2275	2146
pgi	5636	4168	3449	3069
yjbF	7	9	3	8
yjbG	14	4	9	1
yjbH	37	16	33	22
xylE	30	15	52	32
malG	67	49	839	731
malF	154	130	1919	1700
malE	878	625	12946	11690
malK	201	135	3337	3035
malM	170	116	2134	1824
ubiA	451	323	647	538
plsB	1696	1129	2009	1882
lexA	904	615	863	783
