	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2
fadR	497	360	1097	842
ycgB	31	29	62	44
dadA	244	163	1053	1027
dadX	133	93	637	506
cvrA	360	275	311	300
emtA	553	409	538	501
ycgR	92	54	80	54
treA	30	24	82	57
dhaH	1048	733	636	588
dhaL	474	322	386	329
dhaK	871	562	692	665
dhaR	268	161	236	203
ychF	3004	2322	2367	2233
ychM	215	138	469	377
prsA	3780	2211	4219	4111
ispE	1008	568	1113	1021
lolB	440	291	395	398
hemA	824	636	889	779
prfA	717	594	595	606
prmC	289	206	190	188
ychA	654	533	723	629
kdsA	2216	1715	1906	1879
chaA	1646	1167	1044	849
chaC	320	249	194	193
ychP	146	106	113	93
narL	355	232	303	226
narX	272	185	215	141
narK	14	11	26	15
narG	63	48	84	82
narH	56	33	74	82
narJ	16	17	27	16
narI	20	13	46	26
purU	2111	1607	1079	1046
rssA	321	243	433	387
rssB	232	172	290	244
galU	2097	1583	2175	2140
tdk	514	415	407	341
adhE	8423	5824	3884	3538
ychE	75	61	66	68
oppA	1658	1115	3402	3119
oppB	321	223	508	457
oppC	422	311	658	620
oppD	559	383	815	810
oppF	610	393	841	699
cls	952	665	1048	869
kch	342	245	234	211
tonB	731	377	733	631
yciC	574	443	769	729
ompW	525	927	6992	8263
trpA	2496	1633	1370	1271
trpB	4600	2742	2366	2125
trpD	2482	1274	1247	1106
trpE	1305	743	511	482
yciV	418	317	495	472
yciO	356	234	372	381
rluB	1206	860	686	692
yciK	626	439	888	834
sohB	1637	1123	1794	1558
topA	5958	4136	6384	5966
cysB	568	434	526	440
acnA	1476	1105	5041	4858
pgpB	225	154	349	300
yciM	814	612	1251	922
pyrF	1329	959	758	723
deoT	314	201	424	352
gmr	644	481	488	414
rnb	5397	3536	2439	2403
fabI	6623	4837	4804	4613
sapF	188	133	195	154
sapD	301	196	267	242
sapC	107	71	105	85
sapB	122	93	125	104
sapA	276	186	247	225
puuP	47	31	389	301
puuA	134	66	2011	1424
puuD	180	108	2766	2023
puuB	14	6	256	225
puuE	20	12	293	203
pspF	137	82	190	161
pspA	524	425	700	595
ycjM	9	7	67	37
ycjN	2	4	28	23
ycjO	3	4	21	10
ycjP	3	3	11	12
ycjQ	13	13	26	25
ycjR	8	8	24	16
ycjS	18	10	38	28
ycjU	2	1	7	4
ompG	6	11	19	18
ycjW	161	100	274	229
ycjX	243	160	282	229
ycjF	245	151	312	277
tyrR	957	723	1121	986
ycjG	172	119	776	643
mpaA	111	68	225	187
ycjZ	159	123	216	166
mppA	959	777	2438	2044
ynaI	220	171	376	333
uspE	1375	1043	5007	4381
fnr	2207	1453	2988	2736
abgT	17	10	28	18
abgB	19	11	54	45
abgA	28	20	90	90
abgR	91	67	283	249
ydaM	55	45	93	58
ydaN	391	264	499	406
dbpA	155	107	137	95
ydaO	866	688	546	488
ompN	77	51	124	100
ldhA	607	424	685	615
feaR	155	108	2564	1735
feaB	131	95	406	328
maoC	37	30	190	144
paaA	26	14	231	171
paaC	26	21	159	134
paaJ	29	19	127	113
paaF	17	16	52	56
paaG	27	11	65	52
paaH	50	38	131	110
paaE	87	64	907	882
paaK	81	58	1352	1145
paaX	205	137	558	418
ydbC	66	47	1310	1147
azoR	340	261	370	306
hrpA	1394	931	806	770
ydcF	144	101	216	209
aldA	580	374	11735	10493
trg	68	63	190	145
